,power sector,bus and coach,construction and civil engineering,conductor engineering,land based,construction site,signals,electrification,process engineering maintenance,fabrication and welding,performing engineering operations,mechanical manifacturing,marine engineering,engineering maintenance,engineering tech support,engineering manufacture,automotive engineering,aeronautical engineering,food and drink,electrical power,engineering surveying,building services
10,dismantle extra high voltage conductors on steel tower structures,contribute to safe working practices in bus/coach engineering and maintenance,"install, maintain and remove temporary excavation support",,core land-based engineering principles – cooling and lubrication,control work against agreed quality standards,carry out installation of signalling assets,prepare to undertake duties in the rail engineering industry,carry out planned maintenance procedures on instrument and control plant and equipment,cutting materials using hand operated thermal cutting equipment,assembling pipework components to mechanical equipment,fitting pipework systems to mechanical assemblies,checking marine fabrications for quality and dimensional accuracy,carrying out fault diagnosis on lifts,checking and calibrating mechanical inspection equipment,carrying out maintenance activities on mechanical equipment within an engineered system,diagnosing and rectifying faults in vehicle electrical and electronic systems,carrying out tests on aircraft fuel and storage systems,hand over and confirm completion of maintenance activities within food and drink operations,fault location and diagnosing faults on control systems and components,,service and maintain industrial and commercial heating and ventilating systems
11,"dismantle overhead steelwork, fittings and conductors on wood pole structures",diagnose electrical faults in bus/coach systems and components,"install, maintain and remove work area protection and safety equipment",,"core land-based engineering principles – material preparation, shaping and assembling",control work progress against agreed programmes,carry out installation of telecoms assets,restore the contact systems to operational condition in the rail engineering industry,carry out planned maintenance procedures on instrument and control systems,cutting materials using saws and abrasive discs,assembling structural steelwork,handing over machine tools to production operators,complying with statutory regulations and organisational safety requirements,carrying out fault diagnosis on mechanical equipment,checking and calibrating process control instrumentation,carrying out maintenance activities on process controller equipment within an engineered system,fitting ancillary units to commercial and passenger carrying vehicles,carrying out tests on aircraft hydraulic systems,maintain air conditioning and ventilation systems used in food and drink operations,fault location and diagnosing faults on convertor systems and components,,
12,dismantle primary and extra high voltage substation plant and apparatus,diagnose mechanical faults in bus/coach systems and components,lay modular pavement,,core land-based engineering principles – mechanical principles,develop and maintain good working relationships,carry out planned maintenance of signalling assets,transfer responsibility of electrification and plant equipment and components,carry out planned maintenance procedures on mechanical plant and equipment,cutting plate and sections using shearing machines,assembling structural sub assemblies to produce a public service vehicle,identifying defects in composite mouldings,cutting and shaping materials using portable thermal cutting equipment,carrying out fault diagnosis on services and systems,complying with statutory regulations and organisational safety requirements,carrying out the testing and calibration of instrumentation control equipment and circuits,fitting electrical and electronic components to commercial and passenger carrying vehicles,carrying out tests on aircraft pitot static systems,maintain compressed air systems and equipment used in food and drink operations,fault location and diagnosing faults on low voltage systems and components,,
13,earthing of overhead line conductors on steel tower structures,diagnose mechanical/ electrical faults in ancillary systems and components in buses/coaches,lay preformed kerbs and channels,,core land-based engineering principles – servicing and maintenance,enable learning opportunities,carry out planned maintenance of telecoms assets,,contribute to effective working relationships,cutting sheet metal to shape using hand and machine tools,"assembling, wiring and testing electrical panels/components mounted in enclosures",loading and proving cnc machine tool programs,cutting materials using hand and machine tools,carrying out preventative planned maintenance on electrical equipment,determining engineering requirements for the supply of products or services,coach individuals,fitting internal and external trim and fitments to commercial and passenger carrying vehicles,carrying out tests on aircraft power transmission systems,maintain emergency power generation equipment used in food and drink operations,fault location and diagnosing faults on pitch systems and components,,
14,electrical and functional testing of fitting plant and apparatus,drive the bus/coach for testing and vehicle recovery,"lay, place or apply construction related materials",,core land-based engineering principles – thermal joining processes,ensure that work activities and resources meet project work requirements,carry out removal of components from signalling assets,,contribute to effective working relationships in process engineering maintenance,developing and marking out templates for metalwork,assisting in the installation of mechanical equipment,machining components using centre lathes,cutting sheet metal to shape using hand and machine tools,carrying out preventative planned maintenance on engineered systems,developing and maintaining effective customer relationships,commission a new product manufacturing process,fitting pipework systems to commercial and passenger carrying vehicles,complying with statutory regulations and organisational safety requirements,maintain fluid power equipment within an engineered system used in food and drink operations,fault location and diagnosing faults on yaw systems and components,,
15,electrical testing of overhead line distribution equipment,establish customer technical requirements for buses/coaches,locate and excavate to expose buried utility services,,core land-based engineering principles – tools and equipment,establish and monitor communication systems and organisational procedures,carry out removal of components from telecoms assets,,deal with hazards in process engineering maintenance,erecting structural steelwork,assisting in the installation of wooden furniture/outfitting units for yachts and boats,machining components using cnc grinding machines,diagnosing faults on marine electrical equipment and circuits,carrying out preventative planned maintenance on fluid power equipment,handing over and exchanging responsibility for control of engineering activities,"commission engineering products, processes or facilities",joining components for commercial and passenger carrying vehicles using a manual welding process,dismantling aircraft gas turbine engines to module/unit level,maintain fresh water distribution systems and equipment used in food and drink operations,hydraulic theory and principles of wind turbine technology,,
16,electrical testing of underground cables and apparatus,"evaluate and develop your own knowledge, understanding and skills in the bus/coach engineering and maintenance environment","move, handle and store resources",,customer care in land-based engineering,establish dimensional control criteria,carry out replacement of components from signalling assets,,deal with variations and defects in electrical plant and equipment,forming pipework by machine bending,bending and forming plate using power operated machines,machining components using cnc horizontal boring machines,diagnosing faults on marine mechanical equipment,carrying out preventative planned maintenance on instrumentation and control equipment,implementing engineering activities,communicate information and knowledge,modifying commercial and passenger carrying vehicles,dressing aircraft engines,maintain gas distribution systems and equipment used in food and drink operations,mathematics in power engineering,,
17,excavate and install distribution wood poles and stays,identify and locate electrical faults in bus/coach systems and components,"move, handle or store resources",,deliver customer care in land-based engineering,"establish, control and monitor environmental factors and sustainability",carry out replacement of components from telecoms assets,,deal with variations and defects in instrument and control systems,forming platework using power rolling machines,carrying out aircraft detail fitting activities,machining components using cnc laser profiling machines,dismantling and removing marine mechanical equipment,carrying out preventative planned maintenance on mechanical equipment,implementing quality control systems and procedures in an engineering environment,complying with statutory regulations and organisational safety requirements,preparing vehicle body surfaces for finishing,drilling and finishing holes in composite and/or metallic aircraft structures or components,maintain heating and ventilation systems used in food and drink operations,"mathematics, mechanical and electrical theory in power engineering",,
18,fault repair of distribution and high voltage substation plant and apparatus,identify and locate mechanical faults in bus/coach systems and components,operate plant or machinery to compact,,establish and maintain working relationships with others,"establish, implement and maintain systems for managing health, safety and welfare",conduct functional testing of newly installed signalling systems,,deal with variations and defects in mechanical plant and equipment,forming sheet metal using hand and machine tools,carrying out fault location on electrical equipment and circuits,machining components using cnc machining centres,forming marine components using a power press,carrying out preventative planned maintenance on services systems and equipment,inspecting and testing electrical products,"configure engineering products, processes or facilities",producing commercial and passenger carrying vehicle body sub assemblies,identifying defects in composite mouldings,maintain instrumentation and control systems used in food and drink operations.,mechanical theory and principles in power engineering,,
19,fault repair of overhead line distribution assets,identify bus/coach body damage and recommend suitable repair techniques,operate plant or machinery to compact (ride-on roller),,handle refrigerants,evaluate and select work methods,conduct maintenance testing of signalling assets,,determine the feasibility of repair of components from electrical plant and equipment,forming structural sections using machines,carrying out fault location on fluid power equipment and circuits,machining components using cnc milling machines,forming marine components using power rolling machines,checking lift function,inspecting and testing electronic products,contribute to a team feasibility review of a new product design,repairing and refurbishing commercial and passenger carrying vehicles,implementing aeronautical engineering activities,maintain mechanical equipment within an engineered system used in food and drink operations,mechanical theory and principles of wind turbine technology,,
20,inspect the installation of underground cables,improve the service provided to customers of buses/coaches,operate plant or machinery to receive and transport loads,,implement organisational procedures in land-based engineering,evaluate feedback information and recommend improvements,conduct specified testing of telecoms systems,,determine the feasibility of repair of components from instrument and control systems,heat treating materials for fabrication activities,carrying out fault location on mechanical equipment,machining components using cnc punching machines,forming marine sheet metal components using hand and machine tools,complying with statutory regulations and organisational safety requirements,inspecting components using co-ordinate measuring machines (cmm),control the new product design change process,spraying vehicle body surfaces,installing aircraft mechanical fasteners into composite and/or metallic components,maintain process controller equipment within an engineered system used in food and drink operations,"power engineering: cables, sub stations and overhead lines",,
21,inspection and maintenance of battery systems,install ancillary systems and components in buses/coaches,operate plant or machinery to receive and transport loads (forward tipping dumper tracked),,inspect and test land-based equipment,hand over property,contribute to technical leadership of signal engineering activities,,determine the feasibility of repair of components from mechanical plant and equipment,joining fabricated components using mechanical fasteners,carrying out fault location on service systems and equipment,machining components using cnc turning machines,installing cable runs and circuits in marine structures,configure communication-electronic systems,inspecting engineering products by magnetic particle testing,create engineering designs,using and interpreting engineering data and documentation,installing composite mouldings,maintain waste/foul water distribution systems and equipment used in food and drink operations,"power engineering: electrical networks, plant and apparatus",,
22,inspection of overhead line wood pole networks,operate an it system in a bus/coach engineering and maintenance environment,operate plant or machinery to receive and transport loads (forward tipping dumper wheeled),,inspect and test land-based machinery and equipment,"identify, allocate and plan the deployment and use of plant, equipment or machinery",contribute to technical leadership of telecoms engineering activities,,diagnose and determine the causes of faults in electrical plant and equipment,joining materials by manual torch brazing and soldering,carrying out heat treatment of engineering materials,machining components using electro-discharge machines,installing marine ancillary plant and equipment,handing over and confirming completion of maintenance activities,inspecting engineering products by penetrant flaw detection techniques,decide whether to produce or buy in products and/or services,working efficiently and effectively in engineering,levelling and weighing aircraft,maintain workplace environmental control systems used in food and drink operations,power industry,,
23,inspection of substation plant and apparatus,plan and organise work of self and others,"operate powered units, tools or pedestrian plant, machinery or equipment",,isolate and reinstate an electric and hybrid vehicle,implement communication systems for the project,determine requirements for safe access to work locations for signal engineering,,diagnose and determine the causes of faults in instrument and control systems,joining materials by resistance spot welding,carrying out maintenance activities on electrical equipment,machining components using gear cutting machines,installing marine communication equipment and systems,inspecting and servicing lift equipment,inspecting engineering products using ultrasonic testing techniques,deliver products and services to customers,,lifting and trestling/shoring aircraft for maintenance/repair operations,repair/overhaul instrumentation and control equipment used in food and drink operations,protect the environment during wind turbine maintenance activities,,
24,install and configure distribution apparatus on wood pole structures,prepare and treat surfaces and apply paint coats to bus/coach body panels and components,"operate powered units, tools or pedestrian plant, machinery or equipment (compressors)",,"monitor and maintain health, safety and security",maintain supplies of materials to meet project requirements,determine requirements for the safe access to work locations for telecoms engineering,,diagnose and determine the causes of faults in mechanical plant and equipment,joining materials by the manual metal arc welding process,carrying out maintenance activities on fluid power equipment,machining components using grinding machines,installing marine computer equipment and systems,installing communication-electronic systems,inspecting fabricated components and structures,determine the requirements for engineering activities,,maintaining electrical power systems on aircraft,test and calibrate instrumentation and control equipment and circuits used in food and drink operations,supervise and maintain safety in a power utility environment,,
25,install and replace fittings on steel tower structures,provide roadside assistance for broken down buses/coaches,"operate powered units, tools or pedestrian plant, machinery or equipment (generators)",,monitor the handover and installation of land-based equipment,"maintain systems for health, safety, welfare and environmental protection",diagnose faults in signalling assets,,establish that a mechanical engineering maintenance process has been completed to specification,joining materials by the manual oxy/fuel gas welding process,carrying out maintenance activities on mechanical equipment,machining components using honing and lapping machines,installing marine fire main systems and equipment,maintaining air conditioning and ventilation systems,inspecting mechanical products,determining welding and related technical requirements to achieve objectives,,maintaining flight control systems on aircraft,use engineering drawings and documents in maintenance activities in food and drink operations,supervising the use of resources in the power industry,,
26,install distribution substation plant and apparatus,recondition electrical components in buses/coaches,"operate powered units, tools or pedestrian plant, machinery or equipment (mixers)",,organisational procedures in land-based engineering,maintain the dimensional accuracy of the work,diagnose faults in telecoms assets,,establish that an electrical engineering maintenance process has been completed to specification,joining materials by the manual tig and plasma-arc welding processes,carrying out maintenance on compressed air equipment,machining components using horizontal boring machines,installing marine hydraulic systems and equipment,maintaining compressed air systems and equipment,loading and proving computer control programs,develop a new product manufacturing process design strategy,,maintaining flight control systems on rotorcraft,work efficiently and effectively in engineering food and drink operations,theory and background of wind turbines and energy,,
27,install extra high voltage conductors on steel tower structures,recondition mechanical components in buses/coaches,"operate powered units, tools or pedestrian plant, machinery or equipment (pedestrian operated plant or machines)",,overhaul and repair engines on land-based equipment,manage own professional development,establish compliance with specifications for maintained telecoms assets,,establish that an engineering maintenance process has been completed to specification,joining materials by the semi-automatic mig/mag and flux cored arc processes,carrying out modifications or rewiring electrical circuits,machining components using milling machines,"installing marine lighting, alarm, detection and monitoring equipment and systems",maintaining electrical equipment,monitoring engineering activities,develop a new product manufacturing process flow and floor plan layout,,maintaining ice and rain protection systems on aircraft,,understand legislation in the power industry,,
28,"install overhead steelwork, fittings and conductors on wood pole structures",rectify body damage on bus/coach vehicle body components,"operate powered units, tools or pedestrian plant, machinery or equipment (pumps)",,recognise and reduce hazards in the land-based engineering work area,manage project handover,establish compliance with specifications for newly installed telecoms assets,,establish that an instrument and control engineering maintenance process has been completed to specification,marking out components for fabrication,carrying out pipe fitting activities,"machining components using shaping, planing or slotting machines",installing marine mechanical control systems and equipment,maintaining electrical equipment within an engineered system,obtaining and controlling materials for engineering activities,develop a research methodology for engineering,,maintaining power plant on aircraft,,wind turbine technology systems approach,,
29,install primary and extra high voltage substation plant and apparatus,rectify body damage to bus/coach body components,"operate powered units, tools or pedestrian plant, machinery or equipment (self-powered tools)",,refrigerant handling,manage your personal development,establish compliance with specifications for signalling assets,,hand over process engineering plant and equipment,marking out components for metalwork,carrying out repairs to yacht and boat composite components,machining components using turret lathes,installing marine navigational equipment and systems,maintaining emergency power generation equipment,obtaining resources for engineering activities,develop a strategy for the engineering design process,,maintaining propeller/propulsor systems on aircraft,,work with other people,,
30,install underground cables,rectify electrical faults in bus/coach systems and components,place and finish non-specialist concrete,,service and maintain engines on land-based equipment,monitor project activities,establish information for signal engineering installation,,hand over process plant and equipment,operating cnc fabrication equipment,carrying out repairs to yacht and boat wooden components and assemblies,machining components using vertical boring machines,installing marine pipework and components,maintaining environmental control equipment,planning engineering activities,develop and sustain collaborative relationships with other departments,,maintaining reciprocating engines on aircraft,,,,
31,jointing and termination of high voltage (up to 25 kv) underground cables,rectify mechanical faults in bus/coach systems and components,pour concrete to form structures,,service and repair braking systems on land-based equipment,"organise, control and monitor supplies of materials",establish information for signal engineering maintenance and/or fault finding,,identify and suggest improvements to working practices and procedures on electrical plant and equipment,preparing mechanised arc welding equipment for production,carrying out routine servicing of mechanical equipment,"overhauling components of pneumatic, vacuum or compressed air equipment",installing marine power generation and distribution equipment and systems,maintaining fluid power equipment,preparing mechanical testing equipment,develop and sustain productive working relationships with colleagues,,maintaining rotor drive systems on rotorcraft,,,,
32,jointing and termination of low voltage mains underground cables,repair damage to bus/coach body components,prepare and mix concrete and mortars,,service and repair clutches and other transmission controlling devices on land-based equipment,"plan and schedule the maintenance or remedial activities of property, systems or services",establish information for signal engineering testing,,identify and suggest improvements to working practices and procedures whilst maintaining electrical plant and equipment,"preparing resistance spot, seam and projection welding machines for production",carrying out scheduled maintenance activities on mechanical equipment,overhauling pump assemblies,installing marine power transmission systems and equipment,maintaining fluid power equipment within an engineered system,preparing ultrasonic flaw detection equipment for testing activities,develop and sustain productive working relationships with stakeholders,,maintaining rotor systems on rotorcraft,,,,
33,jointing of overhead line extra high voltage conductors,repair electrical faults in bus/coach systems and components,prepare and mix construction related materials,,"service and repair clutches, fluid flywheels and torque converters on land-based equipment",plan demolition activities,establish information for telecoms engineering installation,,identify and suggest improvements to working practices and procedures whilst maintaining instrument and control systems,producing and finishing holes using drilling machines,carrying out scheduled maintenance tasks on electrical equipment,overhauling valve assemblies,installing marine propulsion systems and equipment,maintaining fresh water distribution systems and equipment,preparing work areas for radiographic testing activities,develop marketing plans,,maintaining turbine engines on aircraft,,,,
34,live low voltage distribution work,repair mechanical faults in bus/coach systems and components,reinstate ground condition,,service and repair electrical systems on land-based equipment,plan highways maintenance or repair activities,establish information for telecoms engineering maintenance and/or fault finding,,identify and suggest improvements to working practices and procedures whilst maintaining mechanical plant and equipment,producing fillet welded joints using a manual welding process,carrying out scheduled maintenance tasks on fluid power equipment,pipe bending and forming by hand methods,installing marine sensor equipment and systems,maintaining gas distribution systems and equipment,producing contractual arrangements to supply or procure goods or services for engineering activities,develop operational plans,,marking out composite and/or metallic aircraft components,,,,
35,location and identification of underground utility services,set out and assemble bus/coach body components,set out secondary dimensional work control,,service and repair electronic control and monitoring systems on land-based equipment,plan historical conservation/restoration activities,establish information for telecoms engineering testing,,inspect electrical plant and equipment,producing fillet welded joints using a manual/semi-automatic welding process,carrying out scheduled maintenance tasks on service systems and equipment,pipe bending and forming using bending machines,installing marine sheet metal components and assemblies,maintaining heating and ventilation systems,producing electrical engineering drawings using computer aided techniques,develop understanding of your markets and customers,,monitoring aeronautical engineering activities,,,,
36,maintain apparatus on steel tower structures,support learners by coaching in the workplace,slinging and hand signalling the movement of suspended loads,,service and repair engines on land-based equipment,plan the preparation of the site for the project,organise local signal engineering activities,,inspect instrument and control systems,producing holes using drilling machines,"carrying out sheet metal cutting, forming and assembly activities",preparing and testing pipework systems,installing marine weapons equipment and systems,maintaining industrial refrigeration equipment,producing electronic engineering drawings using computer aided techniques,"develop your knowledge, skills and competence",,obtaining resources for aeronautical engineering activities,,,,
37,maintain compressed air systems,support learners by mentoring in the workplace,slinging and signalling the movement of suspended loads,,service and repair hydraulic systems and components on land-based equipment,plan tunnelling activities,organise local telecoms engineering activities,,inspect mechanical plant and equipment,producing major structural components/sub assemblies,complying with statutory regulations and organisational safety requirements,producing components by manual machining,installing marine wooden components,maintaining instrumentation and control equipment and circuits,producing engineering drawings/models using 3d computer aided techniques,"ensure compliance with legal, regulatory, ethical and social requirements",,overhauling aircraft gas turbine engine combustion assemblies,,,,
38,maintain distribution substation plant and apparatus,,,,service and repair hydraulic systems on land-based equipment,plan work activities and resources to meet work requirements,plan for further professional development in the rail engineering industry,,interpret detailed electrical information from technical sources,producing pipe fabrications,conducting business improvement activities,producing components using hand fitting techniques,installing rigging and lifting equipment,maintaining instrumentation and control systems,producing engineering systems/services drawings using computer aided techniques,establish an engineering design brief,,overhauling aircraft gas turbine engine compressor assemblies,,,,
39,maintain primary and extra high voltage substation plant and apparatus,,,,service and repair land-based air conditioning/refrigeration equipment,provide customer service in construction,plan signal maintenance testing activities,,interpret detailed instrument and control information from technical sources,producing platework assemblies,cutting and shaping materials using cnc laser profiling machines,producing composite assemblies,joining marine pipework by manual torch brazing and soldering,maintaining mechanical equipment,producing fabrication/structural engineering drawings using computer aided techniques,establish manufacturing process design brief for new product introduction,,overhauling aircraft gas turbine engine gearbox assemblies,,,,
40,"movement of cable, plant and apparatus",,,,service and repair land-based air-conditioning/refrigeration systems,supervise demolition activities,plan telecoms maintenance testing activities,,interpret detailed mechanical information from technical sources,producing sheet metal assemblies,cutting and shaping materials using thermal cutting equipment,producing piston engine assemblies,joining marine sheet metal components using mechanical fasteners,maintaining mechanical equipment within an engineered system,producing fluid power engineering drawings using computer aided techniques,establish new product development and introduction brief,,overhauling aircraft gas turbine engine turbine assemblies,,,,
41,movement of overhead line plant and apparatus,,,,service and repair land-based cutting and mowing equipment,supervise highways maintenance or repair activities,reinstate the work area after signal engineering activities,,"minimise risks to life, property and the environment",producing socket and flange fillet welded joints in pipe using a manual welding process,cutting and shaping platework components,producing power turbine combustion assemblies,lining off for assembly and erection of marine steelwork and components,maintaining medical gas pipeline systems and equipment,producing mechanical engineering drawings using computer aided techniques,evaluate engineering designs,,overhauling aircraft gas turbine engines by module replacement,,,,
42,over 25 kv paper insulated jointing and terminations (non pressurised),,,,service and repair land-based harvesting and processing equipment,supervise historical conservation/restoration activities,reinstate the work area after telecoms engineering activities,,monitor the performance and condition of electrical plant and equipment,producing structural steel ancillary components,cutting and shaping using cnc plasma or gas cutting machines,producing power turbine compressor assemblies,maintaining marine auxiliary power units,maintaining process control systems,producing off-line programs for cnc boring machines,evaluate engineering risk assessments,,overhauling components of aircraft hydraulic equipment,,,,
43,over 25 kv paper insulated jointing and terminations (pressurised),,,,"service and repair land-based soil preparation, cultivation and plant establishment equipment",supervise tunnelling activities,transfer responsibility of signalling assets,,monitor the performance and condition of instrument and control systems,"slinging, lifting and moving materials and components",cutting and shaping wooden components for yachts and boats using hand tools,producing power turbine gearbox assemblies,maintaining marine fuel systems and equipment,maintaining process controller equipment within an engineered system,producing off-line programs for cnc fabrication machines,evaluate the results of engineering research,,"overhauling components of aircraft rotor heads, blades and power transmission equipment",,,,
