,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,maintain air conditioning and ventilation systems used in food and drink operations;maintain heating and ventilation systems used in food and drink operations;maintain fresh water distribution systems and equipment used in food and drink operations,service and repair clutches and other transmission controlling devices on land-based equipment,identify and locate electrical faults in bus/coach systems and components,,reinstate the work area after signal engineering activities;reinstate the work area after telecoms engineering activities,carry out replacement of components from telecoms assets,implementing aeronautical engineering activities,,spraying vehicle body surfaces,,develop a research methodology for engineering,carrying out heat treatment of engineering materials;applying heat treatment to engineering materials,,joining marine materials and components using adhesives;bonding marine materials and components using adhesives;bonding engineering materials using adhesives,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,carrying out heat treatment of engineering materials;applying heat treatment to engineering materials,working efficiently and effectively in engineering,checking marine fabrications for quality and dimensional accuracy,checking marine fabrications for quality and dimensional accuracy,,operating cnc fabrication equipment;operating cnc fabrication machines,,wiring electrical equipment and circuits,,
11,maintain emergency power generation equipment used in food and drink operations,service and repair electrical systems on land-based equipment,identify and locate mechanical faults in bus/coach systems and components,,,conduct maintenance testing of signalling assets;conduct functional testing of newly installed signalling systems,installing aircraft composite mouldings,,,,establish an engineering design brief,carrying out maintenance activities on electrical equipment,,joining materials by the manual gas welding process;welding marine materials and structures using the manual oxy/fuel gas;welding materials by the manual gas welding process;joining plastics using manual welding processes;joining marine materials/structures using the manual oxy/fuel gas welding process;welding materials by the oxy/fuel gas welding process,,carrying out repairs to yacht and boat composite components,,cutting materials using hand and machine tools,cutting materials using hand and machine tools,,preparing mechanised arc welding equipment for production,,,,
12,maintain fluid power equipment within an engineered system used in food and drink operations,service and repair electronic control and monitoring systems on land-based equipment,identify bus/coach body damage and recommend suitable repair techniques,,,conduct specified testing of telecoms systems,installing aircraft mechanical fasteners into composite and/or metallic components,,,,evaluate engineering risk assessments,carrying out maintenance activities on fluid power equipment,,marking out components for metalwork,,carrying out repairs to yacht and boat wooden components and assemblies,,diagnosing faults on marine electrical and electronic equipment and circuits;diagnosing faults on marine electrical equipment and circuits;carrying out fault diagnosis on electrical equipment and circuits,forming marine components using a power press;shaping marine steelwork using a power press,,using resistance spot welding to join marine sheet metal materials;joining materials by resistance spot welding;joining marine sheet metal materials using resistance spot welding;assembling components for commercial and passenger carrying vehicles by resistance spot welding;assembling components for experimental vehicle engineering by resistance spot welding,,,,
13,maintain gas distribution systems and equipment used in food and drink operations,service and repair hydraulic systems on land-based equipment,improve the service provided to customers of buses/coaches,,,contribute to technical leadership of telecoms engineering activities;contribute to technical leadership of signal engineering activities,levelling and weighing aircraft,,,,identify and define areas of engineering research,carrying out repairs to yacht and boat composite components,,operating cnc fabrication equipment;operating cnc fabrication machines,,conducting business improvement activities,,forming marine components using a power press;shaping marine steelwork using a power press,forming marine components using power rolling machines;shaping marine steelwork using power rolling machines;forming platework using power rolling machines,,welding materials by the semi-automatic mig/mag and flux cored arc processes;welding materials by the manual tig and plasma arc welding process;welding materials by the manual metal arc process;welding materials by the manual mig/mag and other continuous wire processes,,,,
14,maintain instrumentation and control systems used in food and drink operations,service and repair land-based air-conditioning/refrigeration systems,install ancillary systems and components in buses/coaches,,,determine requirements for the safe access to work locations for telecoms engineering;determine requirements for safe access to work locations for signal engineering,lifting and trestling/shoring aircraft for maintenance/repair operations,,,,identifying engineering design requirements of clients,carrying out repairs to yacht and boat wooden components and assemblies,,producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,,installing cable runs and circuits in marine structures;carrying out the installation of cable runs and circuits in marine structures,installing cable runs and circuits in marine structures;carrying out the installation of cable runs and circuits in marine structures,,,,,,
15,maintain mechanical equipment within an engineered system used in food and drink operations,service and repair land-based cutting and mowing equipment,operate an it system in a bus/coach engineering and maintenance environment,,,diagnose faults in signalling assets,maintaining cabin systems on aircraft;maintaining flight control systems on rotorcraft;maintaining engine water injection systems on aircraft;maintaining propeller/propulsor systems on aircraft;maintaining communication systems on aircraft;maintaining rotor blade and tail pylon folding systems on rotorcraft;maintaining lubricating oil systems on aircraft;maintaining stabilisers on aircraft;maintaining engine starting systems on aircraft;maintaining engine exhaust systems on aircraft;maintaining fuel systems on aircraft;maintaining electrical power systems on aircraft;maintaining lighting systems on aircraft;maintaining fire protection systems on aircraft;maintaining vacuum systems on aircraft;maintaining rotor drive systems on rotorcraft;maintaining bleed air systems on aircraft;maintaining wings on aircraft;maintaining pneumatic systems on aircraft;maintaining air conditioning systems on aircraft;maintaining landing gear on aircraft;maintaining turbine engines on aircraft;maintaining radar systems on aircraft;maintaining equipment and furnishings on aircraft;maintaining hydraulic systems on aircraft;maintaining engine indicating systems on aircraft;maintaining indicating and recording systems on aircraft;maintaining reciprocating engine turbo-supercharging systems on aircraft;maintaining oxygen systems on aircraft;maintaining power plant on aircraft;maintaining auto flight systems on aircraft;maintaining rotor systems on rotorcraft;maintaining ice and rain protection systems on aircraft,,,,implement engineering processes,conducting business improvement activities,,producing structural steel ancillary components,,cutting and shaping materials using thermal cutting equipment,,installing marine ancillary plant and equipment,installing marine ancillary plant and equipment,,,,,,
16,maintain process controller equipment within an engineered system used in food and drink operations,service and repair land-based harvesting and processing equipment,plan and organise work of self and others,,,diagnose faults in telecoms assets,maintaining flight control systems on aircraft,,,,implement quality assurance methods and procedures,cutting and shaping materials using thermal cutting equipment,,producing structural steel ancillary components,,cutting and shaping wooden components for yachts and boats using hand tools,,installing marine communication equipment and systems;installing marine navigational equipment and systems,installing marine communication equipment and systems;installing marine navigational equipment and systems,,,,,,
17,maintain waste/foul water distribution systems and equipment used in food and drink operations,"service and repair land-based soil preparation, cultivation and plant establishment equipment",prepare and treat surfaces and apply paint coats to bus/coach body panels and components,,,establish compliance with specifications for maintained telecoms assets;carry out planned maintenance of telecoms assets;establish compliance with specifications for newly installed telecoms assets,marking out composite and/or metallic aircraft components,,,,implementing welding production methods and procedures,cutting and shaping wooden components for yachts and boats using hand tools,,"slinging, lifting and moving materials and components",,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,,installing marine computer equipment and systems,installing marine computer equipment and systems,,,,,,
18,maintain workplace environmental control systems used in food and drink operations,"service and repair land-based transport, handling and storage equipment",provide roadside assistance for broken down buses/coaches,,,establish compliance with specifications for signalling assets,monitoring aeronautical engineering activities,,,,improve the quality of engineering products or processes,finishing surfaces by applying coatings or coverings,,using resistance spot welding to join marine sheet metal materials;joining materials by resistance spot welding;joining marine sheet metal materials using resistance spot welding;assembling components for commercial and passenger carrying vehicles by resistance spot welding;assembling components for experimental vehicle engineering by resistance spot welding,,cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,,installing marine fire main systems and equipment,installing marine fire main systems and equipment,,,,,,
19,repair/overhaul instrumentation and control equipment used in food and drink operations,service and repair land-based treatment application equipment,recondition mechanical components in buses/coaches,,,establish information for signal engineering installation;establish information for telecoms engineering testing;establish information for telecoms engineering installation;establish information for signal engineering testing,obtaining resources for aeronautical engineering activities,,,,inspecting welded components or structures for visual quality and dimensional accuracy,"fitting seating, interior panels, soft furnishing and trim in yachts and boats",,welding materials by the semi-automatic mig/mag and flux cored arc processes;welding materials by the manual tig and plasma arc welding process;welding materials by the manual metal arc process;welding materials by the manual mig/mag and other continuous wire processes,,erecting structural steelwork;assembling structural steelwork,,installing marine hydraulic systems and equipment,installing marine hydraulic systems and equipment,,,,,,
20,test and calibrate instrumentation and control equipment and circuits used in food and drink operations,service and repair mechanical transmission assemblies on land-based equipment,rectify body damage on bus/coach vehicle body components,,,establish information for signal engineering maintenance and/or fault finding,overhauling aircraft gas turbine engine gearbox assemblies;overhauling aircraft piston engines;overhauling aircraft gas turbine engines by module replacement;stripping and rebuilding engines for motorsport vehicles;overhauling aircraft gas turbine engine turbine assemblies;stripping and rebuilding prototype engines for test;overhauling aircraft gas turbine engine compressor assemblies;overhauling aircraft gas turbine engine combustion assemblies,,,,investigate incidents relating to engineering activities,forming and assembling electrical cable enclosure and support systems,,,,finishing surfaces by applying coatings or coverings,,"installing marine lighting, alarm, detection and monitoring equipment and systems","installing marine lighting, alarm, detection and monitoring equipment and systems",,,,,,
21,understand how to apply total productive maintenance (tpm) in food and drink operations ,service and repair pneumatic systems on land-based equipment,rectify electrical faults in bus/coach systems and components;rectify mechanical faults in bus/coach systems and components,,,establish information for telecoms engineering maintenance and/or fault finding,"overhauling components of aircraft rotor heads, blades and power transmission equipment;overhauling components of aircraft oxygen equipment",,,,leading electrical/electronic product manufacturing or testing activities ;leading mechanical manufacturing or inspection activities,forming and assembling pipework systems,,,,"fitting seating, interior panels, soft furnishing and trim in yachts and boats",,installing marine mechanical control systems and equipment,installing marine mechanical control systems and equipment,,,,,,
22,understand how to assist in the installation of equipment to produce an engineered system in food and drink operations;understand how to assist in the installation of engineering services equipment used in food and drink operations,service and repair wheeled and tracked steering systems on land-based equipment,repair damage to bus/coach body components,,,organise local telecoms engineering activities;organise local signal engineering activities,"overhauling major components of aircraft airframes;overhauling components of aircraft pneumatic, vacuum and environmental equipment;overhauling components of aircraft fuel and lubrication equipment;overhauling components of aircraft hydraulic equipment",,,,leading installation or commissioning activities,general electrical and electronic engineering applications,,,,forming and assembling electrical cable enclosure and support systems,,installing marine outfitting components and assemblies;installing marine wooden components;installing wooden furniture/outfitting units in yachts and boats;installing sponson assemblies onto the rigid inflatable boat (rib);installing skirting assemblies onto the hovercraft,installing marine outfitting components and assemblies;installing marine wooden components;installing wooden furniture/outfitting units in yachts and boats;installing sponson assemblies onto the rigid inflatable boat (rib);installing skirting assemblies onto the hovercraft,,,,,,
23,understand how to assist in the installation of instrumentation and control equipment used in food and drink operations ,work safely in the land-based engineering work area,repair electrical faults in bus/coach systems and components;repair mechanical/electrical faults in ancillary systems and components in buses/coaches,,,plan for further professional development in the rail engineering industry,planning aeronautical engineering activities,,,,leading maintenance activities,"general machining, fitting and assembly applications",,,,forming and assembling pipework systems,,installing marine power generation and distribution equipment and systems,installing marine power generation and distribution equipment and systems,,,,,,
24,understand how to carry out condition monitoring of plant and equipment used within food and drink operations,,set out and assemble bus/coach body components,,,plan signal maintenance testing activities,produce detailed drawings using computer aided techniques;producing aeronautical mechanical engineering drawings using computer aided techniques,,,,leading rail welding activities,general maintenance engineering applications,,,,general electrical and electronic engineering applications,,installing marine power transmission systems and equipment,installing marine power transmission systems and equipment,,,,,,
25,understand how to carry out fault diagnosis on engineered systems within food and drink operations;understand how to carry out fault diagnosis on services and systems for food and drink operations,,support learners by coaching in the workplace,,,plan telecoms maintenance testing activities,producing aeronautical electronic engineering drawings using computer aided techniques;producing aeronautical electrical engineering drawings using computer aided techniques,,,,leading welding and fabrication activities,installing aircraft mechanical fasteners,,,,"general machining, fitting and assembly applications",,installing marine propulsion systems and equipment,installing marine propulsion systems and equipment,,,,,,
26,understand how to carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations ,,,,,reinstate the work area after signal engineering activities;reinstate the work area after telecoms engineering activities,producing aeronautical engineering drawings/models using 3d computer aided techniques,,,,monitor and evaluate engineering processes,joining public service vehicle components by mechanical processes,,,,general maintenance engineering applications,,installing marine sensor equipment and systems,installing marine sensor equipment and systems,,,,,,
27,understand how to carry out preventative planned maintenance on engineered systems within food and drink operations,,,,,transfer responsibility of telecoms assets;transfer responsibility of signalling assets,producing aircraft composite assemblies,,,,monitoring welding activities in production,maintaining and testing process instrumentation and control devices,,,,installing aircraft mechanical fasteners,,installing marine sheet metal components and assemblies,installing marine sheet metal components and assemblies,,,,,,
