,15,9,26,8,18,40,3,37,21,28,16,11,27,39,32,25,33,19,4,34,13,41,29,10,20,30,22,31
8,,,,,,producing aircraft components by acrylic moulding,use and maintain search or munition clearance equipment,applying surface treatments,,,,"prepare and move traction and rolling stock assets, components and equipment",,machining aircraft components using cnc machining centres,organise maintenance of treatment processing plant and equipment ,,commission mechanical fire protection systems,move materials within the explosives process,identify and analyse the factors applicable to the explosive article design specification,diagnose faults in traction and rolling stock assets,,,using and interpreting engineering data and documents,,maintain and develop own technical and operational engineering expertise related to electricity network assets,maintain fluid power equipment within an engineered system used in food and drink operations,reinstate excavations and surfaces during utilities network construction operations,installing aircraft seating and furniture
9,,,,,,producing aircraft components by vacuum forming,"assist with the preparation, maintenance and use of search or munition clearance equipment",finishing surfaces by applying treatments,,,,"supervise the movement of traction and rolling stock assets, components and equipment",,producing aircraft components by injection moulding,carrying out maintenance of aircrew protective helmets and electrical headsets,,maintain and test the operational performance of mechanical fire protection,prepare explosives process materials,generate design options for explosive articles,diagnose faults in ancillary systems in trs,,,working efficiently and effectively in engineering,,de-commission assets on the electricity network;commission assets on the electricity network,understand how to maintain fluid power equipment within an engineered system used in food and drink operations,access overhead line equipment construction sites,assembling aircraft transparencies
10,,,,,,carrying out trimming operations on aircraft composite components,plan specified targets search operations,applying surface treatments to marine wooden assemblies;finishing marine wooden assemblies by applying surface treatments,,,,moving materials and components in an aircraft environment,,marking out components for experimental vehicle engineering,carrying out maintenance of aircrew protective clothing,,"install domestic gas space heating appliances;maintain gas water heating and wet central heating appliances;maintain domestic gas space heating appliances;electrical fault finding on domestic gas appliances;install gas fired ducted air heaters and appliances;maintain gas fired ducted air heaters and appliances;install domestic gas cookers, tumble dryers and leisure appliances;maintain domestic gas cookers, tumble dryers and leisure appliances",supervise the preparation of the explosives processing operation,evaluate design options for explosive articles,testing installed aircraft engines,,,,,determine the requirements for operations and maintenance of electricity network assets,maintain process controller equipment within an engineered system used in food and drink operations,prepare resources for pipe jointing activities,installing aircraft hydraulic systems
11,,,,,,carrying out bonding operations on aircraft composite components,manage munition clearance and search operations and programmes,carrying out the preparation of material surfaces by abrasive blasting;preparing material surfaces by abrasive blasting,,,,prepare boats and yachts for moving within a marina yard,,using hand fitting techniques to produce components for experimental vehicle engineering,"carrying out maintenance of aircrew nuclear, biological and chemical (nbc) respirators and equipment",,install gas meters and regulators (2.5 to 16.0m3/hr);install gas meters and regulators (2.5 to 1076m3/hr);install gas meters and regulators above 1076m3/hr,monitor and control explosives processing,assimilate and evaluate the information on explosive substances and/or articles,testing aircraft power transmission systems,,,,,schedule operations and maintenance activities on electricity network assets,understand how to maintain process controller equipment within an engineered system used in food and drink operations,maintain a safe and secure working environment during site operations on gas network construction;maintain a safe and secure working environment in utilities network construction,installing aircraft pneumatic systems
12,,,,,,carrying out repairs to aircraft composite mouldings,manage specified targets search operations,preparing surfaces by ultra high pressure (uhp) water jetting;preparing material surfaces by ultra high pressure (uhp) water jetting,,,,move and store boats and yachts on land,,machining components for experimental vehicle engineering,overhauling aircraft gun systems,,respond to reported gas downstream emergencies;respond to reported gas upstream emergencies,supervise explosives processing,gather and interpret the information on explosive substances and/or articles,testing aircraft pneumatic systems,,,,,implement work on electricity network assets,carry out preventative planned maintenance on engineered systems within food and drink operations,locate and avoid supply apparatus in non routine operations for gas network construction,installing aircraft de-icing systems
13,,,,,,checking aircraft composite mouldings for defects,evaluate and improve the effectiveness of munition clearance and search operations and programmes,carrying out the application of deck screeds and other deck coverings;applying deck screeds and other deck coverings,,,,preparing and manoeuvring armoured fighting vehicles (afvs) for maintenance and transportation  ,,cutting and shaping sheet metal for experimental vehicle engineering,overhauling aircraft assisted escape systems (aaes),,"gas tightness testing and direct purging ;strength testing, gas tightness testing and direct purging ",prepare materials for processing according to instructions,prepare the research strategy for explosive substances and/or articles,testing aircraft environmental systems,,,,,solve electricity network engineering problems with engineering solutions,understand how to carry out preventative planned maintenance on engineered systems within food and drink operations,reinstate excavation and pavement surfaces in site operations gas network construction,installing aircraft fuel systems
14,,,,,,manufacturing vehicle composite mouldings using wet lay-up techniques,organise and supervise the delivery of specified targets search plans,applying signature reduction coverings;carrying out the application of signature reduction coverings,,,,"lift and move permanent way materials, components and equipment",,machining components for commercial and passenger carrying vehicle applications,overhauling aircraft armament release systems,,prepare to carry out work,prepare to start up a machine-based production process,prepare the research programme for explosive substances and/or articles,testing aircraft fuel systems,,,,,specify methods and procedures to operate and maintain electricity network assets,carry out condition monitoring of plant and equipment used within food and drink operations,joint materials by butt fusion  processes in non routine operations for gas network construction,installing aircraft environmental systems
15,,,,,,manufacturing vehicle components by vacuum forming,evaluate the effectiveness of specified targets search operations,"applying fairing, filling and specialist protective coatings to marine components;applying specialist finishes to marine components",,,,"assess and prepare permanent way materials, components and equipment for moving",,marking out motorsport components for fabrication,servicing aircrew protective helmets and electrical headsets,,"identify systems, equipment and components",start up and maintain a machine-based production process,submit proposals for research work for explosive substances and/or articles,testing aircraft flying control surfaces and systems,,,,,conduct and commission specified connections to gas network assets,understand how to carry out condition monitoring of plant and equipment used within food and drink operations,determine technical requirements needed to achieve objectives in gas network construction operations,installing flying control surfaces and systems
16,,,,,,repairing defects in vehicle composite mouldings,define the boundaries of the area to be searched for munitions,carrying out the application of fairing/filling compounds to yachts and boats;applying fairing/filling compounds to yachts and boats,,,,"supervise the assessment, preparation and movement of permanent way materials, components and equipment",,cutting and shaping sheet and tube materials to fabricate motorsport components,"servicing aircrew nuclear, biological and chemical (nbc) respirators and equipment",,"install domestic heating systems, equipment and components;install industrial and commercial heating & ventilation systems, equipment and components",shutdown a machine-based production process,plan the research into explosive substances and/or articles,testing aircraft instrumentation systems,,,,,,assist in the installation of equipment to produce an engineered system in food and drink operations,,installing aircraft armament systems
17,,,,,,restoring motorsport mechanical components to usable condition by repair,identify and record the location and disposition of potential munitions within boundaries,inspecting marine coatings;inspecting surface coatings on yachts and boats,,,,supervise the unloading of explosive substances and articles from the vehicle by others;supervise the loading of the vehicle with explosive substances and articles by others,,forming sheet and tube materials to fabricate motorsport components,carrying out scheduled maintenance on marine electrical and electronic equipment,,"install weathering systems;install plumbing systems, equipment and components",select and prepare used products for processing,initiate the explosive effect,carrying out tests on avionic indication and gauging components of aircraft systems,,,,,,apply total productive maintenance (tpm) in food and drink operations,,installing aircraft assisted escape mechanisms
18,,,,,,producing motorsport composite mouldings using wet lay-up techniques,identify and describe the area to be searched,,,,,,,"producing mould, press tool or die components by manual machining",carrying out scheduled maintenance on marine mechanical equipment,,"decommission plumbing systems, equipment and components",prepare to produce products by hand-based operations,assess the explosive substances and/or articles for disposal,development testing aeronautical electronic equipment,,,,,,understand how to apply total productive maintenance (tpm) in food and drink operations ,,installing aircraft main engines
19,,,,,,applying finishes to motorsport composite mouldings,contribute to locating the disposition of potential munitions,,,,,,,producing toolroom components using cnc turning machines,disconnecting and removing marine mechanical equipment,,"fit and fix cooling systems, equipment and components",finish products,dispose of explosive substances and/or articles by function as intended procedures,maintaining engine fuel and control systems on aircraft,,,,,,maintain waste/foul water distribution systems and equipment used in food and drink operations,,installing aircraft auxiliary engines
20,,,,,,producing leisure vehicle composite mouldings using wet lay-up techniques,contribute to identifying and describing the area to be searched,,,,,,,producing toolroom components using cnc milling machines,carrying out maintenance on marine fuel systems and equipment,,"decommission cooling systems, equipment and components",configure and set processing systems to meet production requirements,contribute to post-disposal tasks for explosive substances and/or articles,maintaining engine controls on aircraft,,,,,,maintain workplace environmental control systems used in food and drink operations,,installing aircraft power transmission systems
21,,,,,,repairing leisure vehicle composite mouldings,confirm the presence of munition(s),,,,,,,producing toolroom components using cnc grinding machines,carrying out maintenance on marine pneumatic systems and equipment,,"commission cooling systems, equipment and components",optimise standard operations which are under process control,adapt an existing disposal procedure for explosive substances and/or articles,carrying out fault diagnosis on experimental vehicles,,,,,,understand how to maintain workplace environmental control systems used in food and drink operations,,installing aircraft cableforms/looms
22,,,,,,using wet lay-up laminating techniques to produce composite mouldings,contribute to locating and gaining access to specified targets,,,,,,,producing toolroom components using cnc machining centres,carrying out maintenance on marine auxiliary power units for electrical power generation,,"decommission heating & ventilation systems, equipment and components",carry out complex manual operations,design a new disposal procedure for explosive substances and/or articles,testing installed engines for motorsport vehicles (rolling road),,,,,,maintain emergency power generation equipment used in food and drink operations,,installing aircraft instrument panels and meters
23,,,,,,using spray lay-up laminating techniques to produce composite mouldings,develop your competence in working with munitions or specified targets,,,,,,,machining components for jigs and fixtures,carrying out maintenance on marine mechanical control equipment and systems,,commission mechanical systems,carry out complex sampling operations,manage tasks for the disposal of explosive substances and/or articles,removal and fitting fuel systems to prototype engines for test,,,,,,understand how to maintain emergency power generation equipment used in food and drink operations ,,installing aircraft visual display units and computer systems
24,,,,,,using resin flow infusion techniques to produce composite mouldings,evacuate casualties,,,,,,,machining toolroom components using a range of machines,"carrying out maintenance on marine steering gear, control systems and equipment",,"rectify and modify mechanical systems, equipment and components",carry out testing operations,contribute to pre-disposal tasks for explosive substances and/or articles,testing prototype engines installed in vehicles,,,,,,maintain gas distribution systems and equipment used in food and drink operations,,installing aircraft engine control units
25,,,,,,using resin transfer moulding techniques to produce composite mouldings,provide advice on specified targets search matters;provide advice on munition clearance and search related matters,,,,,,,machining toolroom components using centre lathes,carrying out maintenance on marine lifting equipment,,establish electrical control (and supply) of mechanical building services and systems,provide technical support,work effectively in a team involved in activities for explosive substances and/or articles,testing post-production electronic components and circuits,,,,,,understand how to maintain gas distribution systems and equipment used in food and drink operations  ,,installing aircraft power supplies
26,,,,,,using filament winding techniques to produce composite mouldings,,,,,,,,machining toolroom components using milling machines,carrying out maintenance on marine ancillary plant and equipment,,carry out safe electrical working practices on electrical control (and supply) for mechanical building services systems,plan polymer process activities,hand over explosive substances and/or articles,locating and diagnosing faults in post-production electronic components and circuits,,,,,,maintain instrumentation and control systems used in food and drink operations,,installing aircraft communication systems
27,,,,,,curing and consolidating composite mouldings,,,,,,,,joining materials by the manual metal arc welding process,carrying out maintenance on marine steam plant and equipment,,,contribute to a machine-based processing operation,pack or re-pack explosive substances and/or articles,preparing facilities for testing electronic components and circuits,,,,,,understand how to maintain instrumentation and control systems used in food and drink operations,,installing aircraft flight guidance and control systems
28,,,,,,carrying out bonding activities on composite mouldings,,,,,,,,joining materials by the manual tig and plasma-arc welding processes,carrying out maintenance on marine liquid ballast systems,,,carry out a hand-based processing operation,unpack explosive substances and/or articles,writing specifications for testing electronic components or circuits,,,,,,understand how to carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations ,,installing aircraft navigational systems
29,,,,,,carrying out repairs on composite mouldings,,,,,,,,preparing flash welding machines for operation,carrying out maintenance on marine fire main systems and equipment,,,finish production components,manage equipment in an explosives environment,carrying out functional tests on electrical equipment,,,,,,carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations,,installing aircraft radar systems
30,,,,,,checking for defects in composite mouldings,,,,,,,,cutting and shaping wooden components for yachts and boats using machines,carrying out maintenance on marine pantry and galley equipment,,,pack and store production components,prepare and care for equipment in an explosives environment,locating and diagnosing faults in electrical systems and equipment,,,,,,repair/overhaul instrumentation and control equipment used in food and drink operations,,installing aircraft countermeasure systems
31,,,,,,identifying defects in composite mouldings,,,,,,,,setting cnc fabrication machines for production operations,assisting in the disconnection and removal of yacht and boat electrical/electronic equipment,,,"accept, verify and store materials required for process operations",manage explosives safety,locating faults in marine mechanical equipment,,,,,,understand how to repair/overhaul instrumentation and control equipment used in food and drink operations,,installing aircraft electro-optical and infrared systems
32,,,,,,repairing marine mechanical components,,,,,,,,carrying out pattern development for marine applications,assisting in the disconnection and removal of yacht and boat mechanical and ancillary equipment,,,unit 1: prepare materials for processing according to instructions within polymer processing and related operations,certify as free from explosives hazards,"setting to work, testing and trialling marine sensor equipment and systems",,,,,,test and calibrate instrumentation and control equipment and circuits used in food and drink operations,,installing aircraft instrumentation systems
33,,,,,,using wet lay-up techniques to produce marine composite components,,,,,,,,repairing yacht and boat wooden components and assemblies,carrying out routine servicing of yacht and boat mechanical and ancillary equipment,,,unit 10: supply materials required for process operations within polymer processing and related operations,manage continuous improvement in activities for explosive substances and articles,setting to work and testing marine mechanical control equipment and systems,,,,,,understand how to test and calibrate instrumentation and control equipment and circuits used in food and drink operations,,producing aircraft wiring layouts and routeings
34,,,,,,using pre-preg laminating techniques to produce marine composite components,,,,,,,,marking out for the manufacture and installation of marine outfitting components,carrying out routine servicing of yacht and boat electrical/electronic equipment,,,unit 12: start up and maintain a machine-based production process within polymer processing and related operations,provide technical or safety advice and/or guidance to others on explosives,setting to work and testing marine ancillary plant and equipment,,,,,,assist in the installation of instrumentation and control equipment used in food and drink operations,,"producing aircraft electrical sub-assemblies, cableforms and looms"
35,,,,,,carrying out bonding operations on marine composite components,,,,,,,,producing marine outfitting components in sheet metal,check and maintain yacht and boat lifting and support equipment,,,unit 13: shutdown a machine-based production process within polymer processing and related operations,formulate national policy for explosive substances and articles,testing electrical and electronic equipment in yachts and boats,,,,,,understand how to assist in the installation of instrumentation and control equipment used in food and drink operations ,,"applying transfers, decals and livery to aircraft"
36,,,,,,carrying out repairs to marine composite mouldings,,,,,,,,machining components using grinding machines,check and maintain marina pontoons,,,unit 15: prepare to produce products by hand-based operations within polymer processing and related operations,develop the organizational safety policy and/or strategy for explosives,diagnosing faults on marine mechanical equipment,,,,,,work safely in the land-based engineering work area,,stripping and removing aircraft finishes
37,,,,,,checking marine composite components/mouldings for defects,,,,,,,,marking out wood and composite materials,prepare vessel for rigging and de-rigging,,,unit 16: produce products using hand-based operations within polymer processing and related operations,implement the organizational safety policy and/or strategy for explosives,stripping and rebuilding motorsport engines (pre-competition),,,,,,service and repair clutches and other transmission controlling devices on land-based equipment,,modifying aircraft armament systems and components
38,,,,,,producing marine composite components using wet lay-up techniques,,,,,,,,using grinding machines,inspect and maintain yacht rigging,,,unit 17: finish products within polymer processing and related operations,analyse and identify aggregated hazards and risks for explosives,carry out fault diagnosis on traction and rolling stock communication-electronic systems,,,,,,service and repair mechanical transmission assemblies on land-based equipment,,installing aircraft armament system components
39,,,,,,producing marine composite components using pre-preg laminating techniques,,,,,,,,producing components by rapid prototyping techniques,maintaining marine weapons equipment and systems,,,unit 18: inspect products within polymer processing and related operations,determine and implement aggregated risk control measures for explosives,test traction and rolling stock communication-electronic systems,,,,,,service and repair land-based cutting and mowing equipment,,installing aircraft assisted escape systems (aaes)
40,,,,,,producing marine components by acrylic moulding,,,,,,,,setting plastic injection moulding machines for production of aircraft components,installing marine auxiliary power units for electrical power generation,,,unit 19: prepare to configure processing equipment within polymer processing and related operations,develop and implement assurance systems for explosives safety,service and maintain engines on land-based equipment,,,,,,service and repair land-based harvesting and processing equipment,,installing aircraft armament expendable stores
41,,,,,,identifying defects in marine composite components and assemblies,,,,,,,,carrying out cnc fabrication machine tool programming;loading and proving cnc fabrication machine tool programs;loading and proving aircraft component cnc machine tool programs;carrying out aircraft component cnc machine tool programming;loading and proving programs for cnc wood routing and sawing activities,installing marine steam plant and equipment,,,unit 20: configure processing equipment within polymer processing and related operations,develop emergency response systems and procedures for explosives safety,"carry out fault diagnosis on traction and rolling stock systems;carrying out fault diagnosis on mechanical equipment;carrying out fault diagnosis on aircraft avionics components or systems;carrying out fault diagnosis on engineered systems;carrying out fault diagnosis on mould, press tool or die equipment",,,,,,"service and repair land-based soil preparation, cultivation and plant establishment equipment",,removing and replacing components of aircraft control systems
42,,,,,,repairing yacht and boat composite components,,,,,,,,producing aircraft components by manual machining;producing components by manual machining,installing marine pantry and galley equipment and services,,,unit 22: carry out simple sampling operations within polymer processing and related operations,investigate explosives-related safety incidents,carrying out fault diagnosis on electrical equipment and circuits;diagnosing faults on marine electrical equipment and circuits;diagnosing faults on marine electrical and electronic equipment and circuits,,,,,,implement organisational procedures in land-based engineering,,removing and replacing components of aircraft pneumatic and vacuum systems
43,,,,,,carrying out composite moulding activities,,,,,,,,fabricating structural components for experimental vehicle engineering;fabricating structural components for jigs and fixtures,maintaining marine pneumatic systems and equipment,,,unit 23: carry out simple testing operations within polymer processing and related operations,determine the classification of explosive substances and/or articles,testing aircraft assisted escape systems;testing aircraft hydraulic systems;testing aircraft de-icing systems;testing aircraft armament systems,,,,,,"service and repair land-based transport, handling and storage equipment",,removing and replacing major assemblies of aircraft airframes
44,,,,,,manufacturing vehicle components by acrylic moulding;moulding acrylic aircraft components,,,,,,,,setting cnc wood routing and sawing machines for production,maintaining marine lifting equipment,,,unit 25: contribute to the improvement of routine working practices within polymer processing and related operations,assess explosives licence applications,testing aircraft countermeasure systems;testing aircraft navigational systems;testing aircraft cableforms/looms;testing aircraft engine control units;testing aircraft radar systems;testing aircraft communication systems;test aircraft electro-optical and infrared systems;testing aircraft flight guidance and control systems;testing aircraft visual display units and computer systems,,,,,,service and repair electrical systems on land-based equipment,,modifying aircraft propulsion equipment and systems
45,,,,,,bonding vehicle composite components;bonding marine composite components;bonding motorsport composite mouldings,,,,,,,,operating cnc wood routing and sawing machines,maintaining marine ancillary plant and equipment,,,unit 29: configure and set processing systems to meet production requirements within polymer processing and related operations,prepare and submit an explosives licence application,testing uninstalled aircraft assisted escape system (aaes) components;testing uninstalled aircraft armament system components;testing installed aircraft armament systems,,,,,,service and repair electronic control and monitoring systems on land-based equipment,,assembling aircraft armament expendable stores
46,,,,,,producing aircraft composite mouldings using hot press moulding techniques;using hot press moulding techniques to produce composite mouldings,,,,,,,,producing toolroom components using cnc laser profiling machines,maintaining marine steam plant and equipment,,,unit 31: evaluate and modify processing parameters to meet process operations within polymer processing and related operations,review the factors affecting the safety of specific explosive substances and/or articles,undertaking fault diagnosis on installed aircraft armament systems;undertaking fault diagnosis on uninstalled aircraft armament system components,,,,,,service and repair hydraulic systems on land-based equipment,,"installing, testing and modifying aircraft cableforms/looms in a mechanical structure"
47,,,,,,producing aircraft composite mouldings using pultrusion techniques;using pultrusion techniques to produce composite mouldings,,,,,,,,producing toolroom components using cnc electro-discharge machines,maintaining marine liquid ballast arrangements,,,unit 32: carry out complex manual operations within polymer processing and related operations,analyse the acceptability of safety control measures for specific explosive substances and/or articles,conducting and monitoring static tests on vehicles;conducting and monitoring road tests on vehicles,,,,,,handle refrigerants,,maintaining navigation systems on aircraft
48,,,,,,manufacturing vehicle composite mouldings using pre-preg laminating techniques;producing motorsport composite mouldings using pre-preg laminating techniques,,,,,,,,producing jig and fixture components using hand fitting techniques,maintaining marine fire main systems and equipment,,,unit 34: carry out complex sampling operations within polymer processing and related operations,review an organization’s safety management system for explosives,setting up and testing prototype vehicle electrical/electronic engine/transmission control units;setting up and testing motorsport vehicle electrical/electronic engine/transmission control units,,,,,,carry out the handover and installation of land-based equipment,,maintaining doors on aircraft
49,,,,,,trimming motorsport composite mouldings using hand tools;trimming leisure vehicle composite mouldings using hand tools;trimming marine composite mouldings;carrying out trimming operations on marine composite mouldings;trimming vehicle composite mouldings using hand tools,,,,,,,,carrying out cnc machine tool programming,maintaining marine refrigeration and air conditioning equipment,,,unit 35: carry out testing operations within polymer processing and related operations,establish the performance criteria for explosive substances and/or articles,setting up and testing motorsport vehicle data acquisition systems;setting up and testing prototype vehicle data acquisition systems;setting up and testing motorsport vehicle visual display and computing systems;setting up and testing motorsport vehicle communication systems,,,,,,deliver customer care in land-based engineering,,"maintaining fuselage, nacelles and pylons on aircraft"
50,,,,,,applying finishes to vehicle composite mouldings,,,,,,,,setting centre lathes to produce toolroom components;setting a range of machines to produce toolroom components,maintaining marine pantry and galley equipment and services,,,unit 36: provide technical support within polymer processing and related operations,contribute to pre-trial or pre-test tasks relating to relating to explosive substances and/or articles,testing engines for motorsport vehicles (fixed dynamometer);testing prototype engines (fixed dynamometer),,,,,,service and repair land-based treatment application equipment,,identifying and interpreting the requirements for providing continuing airworthiness certification activities
51,,,,,,producing leisure vehicle composite mouldings using resin infusion laminating techniques;producing motorsport composite mouldings using resin infusion laminating techniques,,,,,,,,setting milling machines to produce toolroom components;setting electro-discharge machines to produce toolroom components,overhauling marine power transmission systems,,,unit 38: plan polymer process activities within polymer processing and related operations,contribute to conducting trial or test of explosive substances and/or articles,locating faults in marine electrical and electronic equipment and circuits,,,,,,apply core land-based engineering principles: tools and equipment,,preparing aircraft maintenance programmes
