,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10,maintain air conditioning and ventilation systems used in food and drink operations;maintain heating and ventilation systems used in food and drink operations;maintain fresh water distribution systems and equipment used in food and drink operations,service and repair clutches and other transmission controlling devices on land-based equipment,identify and locate electrical faults in bus/coach systems and components,,establish information for signal engineering maintenance and/or fault finding,carry out replacement of components from telecoms assets,implementing aeronautical engineering activities,,,,,,,,,,,,,,,,,,,,,,,,spraying vehicle body surfaces,,develop a research methodology for engineering,heat treating materials for marine fabrication activities;heat treating materials for fabrication activities,checking marine fabrications for quality and dimensional accuracy,checking marine fabrications for quality and dimensional accuracy,wiring electrical equipment and circuits,,,,heat treating materials for marine fabrication activities;heat treating materials for fabrication activities,carrying out heat treatment of engineering materials;applying heat treatment to engineering materials,producing structural steel ancillary components,"slinging, lifting and moving materials and components",producing structural steel ancillary components,,
11,maintain emergency power generation equipment used in food and drink operations,service and repair electrical systems on land-based equipment,identify and locate mechanical faults in bus/coach systems and components,,establish information for telecoms engineering maintenance and/or fault finding,conduct maintenance testing of signalling assets;conduct functional testing of newly installed signalling systems,installing aircraft composite mouldings,,,,,,,,,,,,,,,,,,,,,,,,,,establish an engineering design brief,joining marine materials and components using adhesives;bonding marine materials and components using adhesives;bonding engineering materials using adhesives,cutting materials using hand and machine tools,cutting materials using hand and machine tools,,,,,joining marine materials and components using adhesives;bonding marine materials and components using adhesives;bonding engineering materials using adhesives,carrying out maintenance activities on electrical equipment,"slinging, lifting and moving materials and components",welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,"slinging, lifting and moving materials and components",,
12,maintain fluid power equipment within an engineered system used in food and drink operations,service and repair electronic control and monitoring systems on land-based equipment,identify bus/coach body damage and recommend suitable repair techniques,,reinstate the work area after signal engineering activities;reinstate the work area after telecoms engineering activities,conduct specified testing of telecoms systems,installing aircraft mechanical fasteners into composite and/or metallic components,,,,,,,,,,,,,,,,,,,,,,,,,,evaluate engineering risk assessments,joining materials by manual torch brazing and soldering,diagnosing faults on marine electrical and electronic equipment and circuits;diagnosing faults on marine electrical equipment and circuits;carrying out fault diagnosis on electrical equipment and circuits,forming marine components using a power press;shaping marine steelwork using a power press,,,,,joining materials by the manual gas welding process;welding marine materials and structures using the manual oxy/fuel gas;welding materials by the manual gas welding process;joining plastics using manual welding processes;joining marine materials/structures using the manual oxy/fuel gas welding process;welding materials by the oxy/fuel gas welding process,carrying out maintenance activities on fluid power equipment,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,working efficiently and effectively in engineering,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,,
13,maintain gas distribution systems and equipment used in food and drink operations,service and repair hydraulic systems on land-based equipment,improve the service provided to customers of buses/coaches,,,contribute to technical leadership of telecoms engineering activities;contribute to technical leadership of signal engineering activities,levelling and weighing aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,identify and define areas of engineering research,joining materials by the manual gas welding process;welding marine materials and structures using the manual oxy/fuel gas;welding materials by the manual gas welding process;joining plastics using manual welding processes;joining marine materials/structures using the manual oxy/fuel gas welding process;welding materials by the oxy/fuel gas welding process,forming marine components using a power press;shaping marine steelwork using a power press,forming marine components using power rolling machines;shaping marine steelwork using power rolling machines;forming platework using power rolling machines,,,,,marking out components for metalwork,carrying out repairs to yacht and boat composite components,working efficiently and effectively in engineering,,,,
14,maintain instrumentation and control systems used in food and drink operations,service and repair land-based air-conditioning/refrigeration systems,install ancillary systems and components in buses/coaches,,,determine requirements for the safe access to work locations for telecoms engineering;determine requirements for safe access to work locations for signal engineering,lifting and trestling/shoring aircraft for maintenance/repair operations,,,,,,,,,,,,,,,,,,,,,,,,,,identifying engineering design requirements of clients,marking out components for metalwork,installing cable runs and circuits in marine structures;carrying out the installation of cable runs and circuits in marine structures,installing cable runs and circuits in marine structures;carrying out the installation of cable runs and circuits in marine structures,,,,,operating cnc fabrication equipment;operating cnc fabrication machines,carrying out repairs to yacht and boat wooden components and assemblies,,,,,
15,maintain mechanical equipment within an engineered system used in food and drink operations,service and repair land-based cutting and mowing equipment,operate an it system in a bus/coach engineering and maintenance environment,,,diagnose faults in signalling assets,maintaining cabin systems on aircraft;maintaining flight control systems on rotorcraft;maintaining engine water injection systems on aircraft;maintaining propeller/propulsor systems on aircraft;maintaining communication systems on aircraft;maintaining rotor blade and tail pylon folding systems on rotorcraft;maintaining lubricating oil systems on aircraft;maintaining stabilisers on aircraft;maintaining engine starting systems on aircraft;maintaining engine exhaust systems on aircraft;maintaining fuel systems on aircraft;maintaining electrical power systems on aircraft;maintaining lighting systems on aircraft;maintaining fire protection systems on aircraft;maintaining vacuum systems on aircraft;maintaining rotor drive systems on rotorcraft;maintaining bleed air systems on aircraft;maintaining wings on aircraft;maintaining pneumatic systems on aircraft;maintaining air conditioning systems on aircraft;maintaining landing gear on aircraft;maintaining turbine engines on aircraft;maintaining radar systems on aircraft;maintaining equipment and furnishings on aircraft;maintaining hydraulic systems on aircraft;maintaining engine indicating systems on aircraft;maintaining indicating and recording systems on aircraft;maintaining reciprocating engine turbo-supercharging systems on aircraft;maintaining oxygen systems on aircraft;maintaining power plant on aircraft;maintaining auto flight systems on aircraft;maintaining rotor systems on rotorcraft;maintaining ice and rain protection systems on aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,implement engineering processes,operating cnc fabrication equipment;operating cnc fabrication machines,installing marine ancillary plant and equipment,installing marine ancillary plant and equipment,,,,,preparing mechanised arc welding equipment for production,conducting business improvement activities,,,,,
16,maintain process controller equipment within an engineered system used in food and drink operations,service and repair land-based harvesting and processing equipment,plan and organise work of self and others,,,diagnose faults in telecoms assets,maintaining flight control systems on aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,implement quality assurance methods and procedures,producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,installing marine communication equipment and systems;installing marine navigational equipment and systems,installing marine communication equipment and systems;installing marine navigational equipment and systems,,,,,producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,,,,,
17,maintain waste/foul water distribution systems and equipment used in food and drink operations,"service and repair land-based soil preparation, cultivation and plant establishment equipment",prepare and treat surfaces and apply paint coats to bus/coach body panels and components,,,establish compliance with specifications for maintained telecoms assets;carry out planned maintenance of telecoms assets;establish compliance with specifications for newly installed telecoms assets,marking out composite and/or metallic aircraft components,,,,,,,,,,,,,,,,,,,,,,,,,,implementing welding production methods and procedures,producing structural steel ancillary components,installing marine computer equipment and systems,installing marine computer equipment and systems,,,,,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies,cutting and shaping materials using thermal cutting equipment,,,,,
18,maintain workplace environmental control systems used in food and drink operations,"service and repair land-based transport, handling and storage equipment",provide roadside assistance for broken down buses/coaches,,,establish compliance with specifications for signalling assets,monitoring aeronautical engineering activities,,,,,,,,,,,,,,,,,,,,,,,,,,improve the quality of engineering products or processes,producing structural steel ancillary components,installing marine fire main systems and equipment,installing marine fire main systems and equipment,,,,,producing structural steel ancillary components,cutting and shaping wooden components for yachts and boats using hand tools,,,,,
19,repair/overhaul instrumentation and control equipment used in food and drink operations,service and repair land-based treatment application equipment,recondition mechanical components in buses/coaches,,,establish information for signal engineering installation;establish information for telecoms engineering testing;establish information for telecoms engineering installation;establish information for signal engineering testing,obtaining resources for aeronautical engineering activities,,,,,,,,,,,,,,,,,,,,,,,,,,inspecting welded components or structures for visual quality and dimensional accuracy,"slinging, lifting and moving materials and components",installing marine hydraulic systems and equipment,installing marine hydraulic systems and equipment,,,,,producing structural steel ancillary components,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,,,,,
20,test and calibrate instrumentation and control equipment and circuits used in food and drink operations,service and repair mechanical transmission assemblies on land-based equipment,rectify body damage on bus/coach vehicle body components,,,establish information for signal engineering maintenance and/or fault finding,overhauling aircraft gas turbine engine gearbox assemblies;overhauling aircraft piston engines;overhauling aircraft gas turbine engines by module replacement;stripping and rebuilding engines for motorsport vehicles;overhauling aircraft gas turbine engine turbine assemblies;stripping and rebuilding prototype engines for test;overhauling aircraft gas turbine engine compressor assemblies;overhauling aircraft gas turbine engine combustion assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,investigate incidents relating to engineering activities,using resistance spot welding to join marine sheet metal materials;joining materials by resistance spot welding;joining marine sheet metal materials using resistance spot welding;assembling components for commercial and passenger carrying vehicles by resistance spot welding;assembling components for experimental vehicle engineering by resistance spot welding,"installing marine lighting, alarm, detection and monitoring equipment and systems","installing marine lighting, alarm, detection and monitoring equipment and systems",,,,,"slinging, lifting and moving materials and components",cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,,,,,
21,understand how to apply total productive maintenance (tpm) in food and drink operations ,service and repair pneumatic systems on land-based equipment,rectify electrical faults in bus/coach systems and components;rectify mechanical faults in bus/coach systems and components,,,establish information for telecoms engineering maintenance and/or fault finding,"overhauling components of aircraft rotor heads, blades and power transmission equipment;overhauling components of aircraft oxygen equipment",,,,,,,,,,,,,,,,,,,,,,,,,,leading electrical/electronic product manufacturing or testing activities ;leading mechanical manufacturing or inspection activities,welding materials by the semi-automatic mig/mag and flux cored arc processes;welding materials by the manual tig and plasma arc welding process;welding materials by the manual metal arc process;welding materials by the manual mig/mag and other continuous wire processes,installing marine mechanical control systems and equipment,installing marine mechanical control systems and equipment,,,,,using resistance spot welding to join marine sheet metal materials;joining materials by resistance spot welding;joining marine sheet metal materials using resistance spot welding;assembling components for commercial and passenger carrying vehicles by resistance spot welding;assembling components for experimental vehicle engineering by resistance spot welding,erecting structural steelwork;assembling structural steelwork,,,,,
22,understand how to assist in the installation of equipment to produce an engineered system in food and drink operations;understand how to assist in the installation of engineering services equipment used in food and drink operations,service and repair wheeled and tracked steering systems on land-based equipment,repair damage to bus/coach body components,,,organise local telecoms engineering activities;organise local signal engineering activities,"overhauling major components of aircraft airframes;overhauling components of aircraft pneumatic, vacuum and environmental equipment;overhauling components of aircraft fuel and lubrication equipment;overhauling components of aircraft hydraulic equipment",,,,,,,,,,,,,,,,,,,,,,,,,,leading installation or commissioning activities,,installing marine outfitting components and assemblies;installing marine wooden components;installing wooden furniture/outfitting units in yachts and boats;installing sponson assemblies onto the rigid inflatable boat (rib);installing skirting assemblies onto the hovercraft,installing marine outfitting components and assemblies;installing marine wooden components;installing wooden furniture/outfitting units in yachts and boats;installing sponson assemblies onto the rigid inflatable boat (rib);installing skirting assemblies onto the hovercraft,,,,,welding materials by the semi-automatic mig/mag and flux cored arc processes;welding materials by the manual tig and plasma arc welding process;welding materials by the manual metal arc process;welding materials by the manual mig/mag and other continuous wire processes,finishing surfaces by applying coatings or coverings,,,,,
23,understand how to assist in the installation of instrumentation and control equipment used in food and drink operations ,work safely in the land-based engineering work area,repair electrical faults in bus/coach systems and components;repair mechanical/electrical faults in ancillary systems and components in buses/coaches,,,plan for further professional development in the rail engineering industry,planning aeronautical engineering activities,,,,,,,,,,,,,,,,,,,,,,,,,,leading maintenance activities,,installing marine power generation and distribution equipment and systems,installing marine power generation and distribution equipment and systems,,,,,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,"fitting seating, interior panels, soft furnishing and trim in yachts and boats",,,,,
24,understand how to carry out condition monitoring of plant and equipment used within food and drink operations,,set out and assemble bus/coach body components,,,plan signal maintenance testing activities,produce detailed drawings using computer aided techniques;producing aeronautical mechanical engineering drawings using computer aided techniques,,,,,,,,,,,,,,,,,,,,,,,,,,leading rail welding activities,,installing marine power transmission systems and equipment,installing marine power transmission systems and equipment,,,,,,forming and assembling electrical cable enclosure and support systems,,,,,
25,understand how to carry out fault diagnosis on engineered systems within food and drink operations;understand how to carry out fault diagnosis on services and systems for food and drink operations,,support learners by coaching in the workplace,,,plan telecoms maintenance testing activities,producing aeronautical electronic engineering drawings using computer aided techniques;producing aeronautical electrical engineering drawings using computer aided techniques,,,,,,,,,,,,,,,,,,,,,,,,,,leading welding and fabrication activities,,installing marine propulsion systems and equipment,installing marine propulsion systems and equipment,,,,,,forming and assembling pipework systems,,,,,
26,understand how to carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations ,,,,,reinstate the work area after signal engineering activities;reinstate the work area after telecoms engineering activities,producing aeronautical engineering drawings/models using 3d computer aided techniques,,,,,,,,,,,,,,,,,,,,,,,,,,monitor and evaluate engineering processes,,installing marine sensor equipment and systems,installing marine sensor equipment and systems,,,,,,general electrical and electronic engineering applications,,,,,
27,understand how to carry out preventative planned maintenance on engineered systems within food and drink operations,,,,,transfer responsibility of telecoms assets;transfer responsibility of signalling assets,producing aircraft composite assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,monitoring welding activities in production,,installing marine sheet metal components and assemblies,installing marine sheet metal components and assemblies,,,,,,"general machining, fitting and assembly applications",,,,,
28,understand how to carry out preventative planned maintenance on services systems and equipment used in food and drink operations;understand how to carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations ,,,,,,producing aircraft engine turbine assemblies;producing aircraft piston engine assemblies;producing aircraft engine compressor assemblies;producing aircraft engine gearbox assemblies;producing aircraft engine combustion assemblies;dressing aircraft engines;producing aircraft detail assemblies;producing aircraft engine major assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,obtaining resources for the implementation of engineering activities,,installing marine weapons equipment and systems,installing marine weapons equipment and systems,,,,,,general maintenance engineering applications,,,,,
29,understand how to comply with statutory regulations and organisational safety requirements in food and drink operations,,,,,,producing composite and/or metallic aircraft major assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,"plan and decommission engineering equipment, processes or facilities",,installing rigging and lifting equipment;carrying out the installation of rigging and lifting equipment,installing rigging and lifting equipment;carrying out the installation of rigging and lifting equipment,,,,,,installing aircraft mechanical fasteners,,,,,
30,understand how to hand over and confirm completion of maintenance activities within food and drink operations,,,,,,producing composite and/or metallic aircraft sub-assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,planning welding production resources and activities,,joining marine materials/structures using the manual metal arc (mma) welding process;welding plate using multiple manual arc welding processes;welding marine pipe/tube using multiple manual arc welding processes;producing fillet welded joints using a manual/semi-automatic welding process;welding pipe/tube using multiple manual arc welding processes;joining components for commercial and passenger carrying vehicles using a manual welding process;producing socket and flange fillet welded joints in low pressure marine pipework using a manual welding process;tack welding marine plate using a manual/semi-automatic welding process;welding marine materials and structures using manual tig and plasma arc welding processes;welding marine materials and structures using semi-automatic mig/mag and;assembling jig and fixture structures using a manual welding process;tack welding marine plate using a manual welding process;producing fillet welded joints using a manual welding process;joining materials by the manual mig/mag and other continuous wire processes;welding marine plate and structures using multiple manual arc welding processes;producing socket and flange fillet welded joints in pipe using a manual welding process;tack welding fillet joints in marine steelwork;joining marine materials/structures using manual tig and plasma-arc welding processes;joining marine materials/structures using semi-automatic mig/mag and flux cored arc processes;welding marine materials and structures using the manual metal arc process,joining marine materials/structures using the manual metal arc (mma) welding process;welding plate using multiple manual arc welding processes;welding marine pipe/tube using multiple manual arc welding processes;producing fillet welded joints using a manual/semi-automatic welding process;welding pipe/tube using multiple manual arc welding processes;joining components for commercial and passenger carrying vehicles using a manual welding process;producing socket and flange fillet welded joints in low pressure marine pipework using a manual welding process;tack welding marine plate using a manual/semi-automatic welding process;welding marine materials and structures using manual tig and plasma arc welding processes;welding marine materials and structures using semi-automatic mig/mag and;assembling jig and fixture structures using a manual welding process;tack welding marine plate using a manual welding process;producing fillet welded joints using a manual welding process;joining materials by the manual mig/mag and other continuous wire processes;welding marine plate and structures using multiple manual arc welding processes;producing socket and flange fillet welded joints in pipe using a manual welding process;tack welding fillet joints in marine steelwork;joining marine materials/structures using manual tig and plasma-arc welding processes;joining marine materials/structures using semi-automatic mig/mag and flux cored arc processes;welding marine materials and structures using the manual metal arc process,,,,,,joining public service vehicle components by mechanical processes,,,,,
31,understand how to maintain emergency power generation equipment used in food and drink operations ,,,,,,producing composite mouldings using wet lay-up techniques,,,,,,,,,,,,,,,,,,,,,,,,,,producing engineering specifications,,joining marine pipework by manual torch brazing and soldering;carrying out manual torch brazing and soldering of marine pipework;joining materials using manual torch brazing and soldering;joining marine materials by manual torch brazing and soldering,joining marine pipework by manual torch brazing and soldering;carrying out manual torch brazing and soldering of marine pipework;joining materials using manual torch brazing and soldering;joining marine materials by manual torch brazing and soldering,,,,,,maintaining and testing process instrumentation and control devices,,,,,
32,understand how to maintain fluid power equipment within an engineered system used in food and drink operations,,,,,,producing technical details for aeronautical engineering activities,,,,,,,,,,,,,,,,,,,,,,,,,,"propose decommissioning of engineering equipment, processes or facilities",,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners,,,,,,maintaining electrical equipment/systems,,,,,
33,understand how to maintain fresh water distribution systems and equipment used in food and drink operations;understand how to maintain heating and ventilation systems used in food and drink operations;understand how to maintain compressed air systems and equipment used in food and drink operations;understand how to maintain air conditioning and ventilation systems used in food and drink operations  ;understand how to maintain waste/foul water distribution systems and equipment used in food and drink operations,,,,,,providing technical guidance on aeronautical engineering activities,,,,,,,,,,,,,,,,,,,,,,,,,,providing technical advice and guidance on engineering or manufacturing requirements,,joining non-metallic marine pipework;joining non-ferrous marine pipework;assembling non-metallic marine pipework;assembling non-ferrous marine pipework;joining ferrous marine pipework by mechanical means;assembling ferrous marine pipework by mechanical means,joining non-metallic marine pipework;joining non-ferrous marine pipework;assembling non-metallic marine pipework;assembling non-ferrous marine pipework;joining ferrous marine pipework by mechanical means;assembling ferrous marine pipework by mechanical means,,,,,,maintaining electronic equipment/systems,,,,,
34,understand how to maintain gas distribution systems and equipment used in food and drink operations  ,,,,,,rebuilding aircraft gas turbine engine assemblies after overhaul,,,,,,,,,,,,,,,,,,,,,,,,,,schedule engineering activities ,,lining off for assembly and erection of marine steelwork and components,lining off for assembly and erection of marine steelwork and components,,,,,,maintaining fluid power equipment,,,,,
35,understand how to maintain instrumentation and control systems used in food and drink operations,,,,,,reinstating the work area on completion of activities,,,,,,,,,,,,,,,,,,,,,,,,,,solve engineering or manufacturing problems,,maintaining marine auxiliary power units,maintaining marine auxiliary power units,,,,,,maintaining mechanical devices and equipment,,,,,
36,understand how to maintain mechanical equipment within an engineered system used in food and drink operations,,,,,,"removing and replacing components of aircraft armament systems;removing and replacing components of aircraft passive warning and optical/surveillance systems;removing and replacing avionic indication and gauging components in aircraft systems;removing and replacing components of aircraft radar systems;removing and replacing components of aircraft electrical power control, distribution and protection systems;removing and replacing components of aircraft navigational and computing systems;removing and replacing components of aircraft internal and external lighting systems;removing and replacing components of aircraft pitot static systems;removing and replacing components of aircraft communication systems",,,,,,,,,,,,,,,,,,,,,,,,,,solving welding problems in production,,"maintaining marine communication equipment and systems;maintaining marine sensor equipment and systems;maintaining marine navigational equipment and systems;maintaining marine electrical power generation and distribution equipment and systems;maintaining marine computer equipment and systems;maintaining marine lighting, alarm, detection and monitoring equipment and systems;maintaining marine electrical rotating machines and domestic equipment;maintaining electronic equipment in yachts and boats","maintaining marine communication equipment and systems;maintaining marine sensor equipment and systems;maintaining marine navigational equipment and systems;maintaining marine electrical power generation and distribution equipment and systems;maintaining marine computer equipment and systems;maintaining marine lighting, alarm, detection and monitoring equipment and systems;maintaining marine electrical rotating machines and domestic equipment;maintaining electronic equipment in yachts and boats",,,,,,marking out components for fabrication,,,,,
37,understand how to maintain process controller equipment within an engineered system used in food and drink operations,,,,,,"removing and replacing components of aircraft cabin systems, equipment and furnishings;removing and replacing aircraft power plant and components;removing and replacing components of aircraft hydraulic systems;removing and replacing components of aircraft power transmission systems;removing and replacing components of aircraft environmental systems",,,,,,,,,,,,,,,,,,,,,,,,,,specify methods and procedures to achieve engineering requirements,,maintaining marine fuel systems and equipment,maintaining marine fuel systems and equipment,,,,,,preparing and proving cnc fabrication machine tool programs,,,,,
38,understand how to maintain workplace environmental control systems used in food and drink operations,,,,,,removing and replacing components of aircraft fuel and lubrication systems,,,,,,,,,,,,,,,,,,,,,,,,,,specify risk reduction methods and procedures,,maintaining marine hydraulic systems and equipment,maintaining marine hydraulic systems and equipment,,,,,,preparing and proving cnc machine tool programs,,,,,
39,understand how to repair/overhaul instrumentation and control equipment used in food and drink operations,,,,,,repairing aircraft composite mouldings,,,,,,,,,,,,,,,,,,,,,,,,,,testing and calibrating instrumentation and control equipment and circuits;carrying out the testing and calibration of instrumentation control equipment and circuits,,maintaining marine mechanical control equipment and systems,maintaining marine mechanical control equipment and systems,,,,,,preparing and using cnc fabrication machinery,,,,,
40,understand how to test and calibrate instrumentation and control equipment and circuits used in food and drink operations,,,,,,repairing airframes and structures,,,,,,,,,,,,,,,,,,,,,,,,,,"transfer control of engineering products, processes or facilities",,"maintaining marine steering gear, control systems and equipment","maintaining marine steering gear, control systems and equipment",,,,,,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,,,,,
41,understand how to use engineering drawings and documents in maintenance activities in food and drink operations,,,,,,"towing, marshalling and parking aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,marking off marine structural steelwork components;marking off for the manufacture of marine steelwork components,marking off marine structural steelwork components;marking off for the manufacture of marine steelwork components,,,,,,preparing and using grinding machines,,,,,
42,use engineering drawings and documents in maintenance activities in food and drink operations,,,,,,undertaking scheduled maintenance of aircraft airframe and mechanical equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,marking out for fabrication and assembly of marine sheet metalwork;marking out marine sheet metalwork,marking out for fabrication and assembly of marine sheet metalwork;marking out marine sheet metalwork,,,,,,preparing and using industrial robots,,,,,
43,,,,,,,undertaking scheduled maintenance of aircraft avionics equipment/systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,marking out for the installation of marine wooden assemblies,marking out for the installation of marine wooden assemblies,,,,,,preparing and using lathes for turning operations,,,,,
44,,,,,,,using curing and consolidation equipment for aircraft composite mouldings,,,,,,,,,,,,,,,,,,,,,,,,,,,,marking out for the manufacture of structural components for wooden yachts and boats;marking out for the manufacture and assembly of marine wooden components;marking out for the manufacture of wooden furniture/outfitting components for yachts and boats;marking out for manufacture and assembly of marine wooden components,marking out for the manufacture of structural components for wooden yachts and boats;marking out for the manufacture and assembly of marine wooden components;marking out for the manufacture of wooden furniture/outfitting components for yachts and boats;marking out for manufacture and assembly of marine wooden components,,,,,,preparing and using manual flame brazing and braze  welding equipment,,,,,
45,,,,,,,using hand tools to trim composite mouldings;trimming aircraft composite mouldings using hand tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,"moving materials and components in a marine environment;slinging, lifting and moving materials and components;slinging, lifting and moving materials, machinery and components in a marine environment","moving materials and components in a marine environment;slinging, lifting and moving materials and components;slinging, lifting and moving materials, machinery and components in a marine environment",,,,,,"preparing and using manual tig or plasma-arc welding equipment;using manual metal arc welding equipment;using semi-automatic mig or mag welding equipment;preparing and using manual metal arc welding equipment;using manual oxy-fuel gas welding equipment;preparing and using semi-automatic mig, mag and flux cored arc welding equipment;using manual tig welding equipment",,,,,
46,,,,,,,using pre-preg laminating techniques to produce composite mouldings;using atl/afp laminating techniques to produce composite mouldings;producing aircraft composite mouldings using pre-preg laminating techniques;producing aircraft composite mouldings using atl/afp laminating techniques;using resin film infusion techniques to produce composite mouldings;producing aircraft composite mouldings using resin film infusion techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,outfitting marine steelwork,outfitting marine steelwork,,,,,,preparing and using milling machines,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overhauling and repairing marine electrical rotating machines and domestic equipment;overhauling electrical marine rotating machines and domestic equipment,overhauling and repairing marine electrical rotating machines and domestic equipment;overhauling electrical marine rotating machines and domestic equipment,,,,,,producing aircraft detail assemblies,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overhauling marine fuel systems and equipment,overhauling marine fuel systems and equipment,,,,,,producing cad models (drawings) using a cad system,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overhauling marine propulsion systems,overhauling marine propulsion systems,,,,,,producing components using hand fitting techniques;making components using hand tools and fitting techniques,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparing and testing marine pipework systems;assisting in the testing of marine pipework systems,preparing and testing marine pipework systems;assisting in the testing of marine pipework systems,,,,,,producing composite mouldings using pre-preg techniques,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparing docks and slips for vessel operations;prepare docks and slips for the receiving of boats and yachts;assisting in the preparation of docks and slips for vessel operations,preparing docks and slips for vessel operations;prepare docks and slips for the receiving of boats and yachts;assisting in the preparation of docks and slips for vessel operations,,,,,,producing electrical or electronic engineering drawings using a cad system,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparing loads for moving;setting up and preparing loads for moving,preparing loads for moving;setting up and preparing loads for moving,,,,,,producing engineering project plans,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparing marine coatings for application;preparing holding primer for application;preparing coating materials for application on yachts and boats;preparing marine coating materials for application,preparing marine coatings for application;preparing holding primer for application;preparing coating materials for application on yachts and boats;preparing marine coating materials for application,,,,,,producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparing marine material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for coating/finishing using hand and;carrying out patch preparation of material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for painting/finishing,preparing marine material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for coating/finishing using hand and;carrying out patch preparation of material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for painting/finishing,,,,,,producing mechanical engineering drawings using a cad system,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,producing wooden structural components for yachts and boats using machines;producing furniture and structural components for leisure vehicles;producing marine wooden components using hand tools;producing marine wooden components using machines;producing/finishing wooden furniture/outfitting components for yachts and;producing wooden furniture/outfitting components for yachts and boats using;producing marine outfitting components in wood based materials;shaping marine wooden components using machines;producing/finishing wooden structural components for yachts and boats;shaping marine wooden components using hand tools,producing wooden structural components for yachts and boats using machines;producing furniture and structural components for leisure vehicles;producing marine wooden components using hand tools;producing marine wooden components using machines;producing/finishing wooden furniture/outfitting components for yachts and;producing wooden furniture/outfitting components for yachts and boats using;producing marine outfitting components in wood based materials;shaping marine wooden components using machines;producing/finishing wooden structural components for yachts and boats;shaping marine wooden components using hand tools,,,,,,producing platework components and assemblies,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,repairing marine composite components and assemblies,repairing marine composite components and assemblies,,,,,,producing structural steel ancillary components,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting to work, testing and trialling marine communication equipment and systems","setting to work, testing and trialling marine communication equipment and systems",,,,,,producing structural steel ancillary components,,,,,
