URN,NOS Title,Skills extracted
ASTFFL9,Assess and estimate work required to limit damage to contents after flood,Book; Instruction; Floor; Cost; Calculation; Camera; Estimating
ASTFM305,Maintain the quality of service delivery,Instruction; Service level agreement; Schedule
ASTFM306,Contribute to the management of incidents and emergencies,Management; Permit; Instruction; Schedule
ASTFM313,Monitor and report on progress and the use of resources,Parameter; Collection; Schedule
ASTGEN1,Contribute to health and safety in the workplace,Instruction; First aid; Emergency services; Welfare
ASTHO2 ,Address the challenging behaviour of individuals in a supported housing context,Management; Age; Informed consent
ASTH203,"Monitor and maintain health, safety and security of self and others",
ASTH207,Use organisational it systems in a housing context,Management; Customer relationship management; Storage; Property management systems
ASTH209,Match the needs of customers with available accommodation,Application process; Assist customer; Contact customer
ASTH222,Ensure personal safety and security when lone working,
ASTH223,Hold meetings with customers and others,
ASTH226,Support the rights of customers in the community,
ASTH303,Develop relationships with others to improve customer service in housing,
ASTH309,Monitor and respond to possible breaches of housing related agreements,Acting; Cost; Proactive
ASTH310,Sell property to housing customers,Sales; Cost; Scheme
ASTH311,Provide housing advice and guidance to customers,Promote; Service provision; Advise customer
ASTH313,Provide a housing rent service,Advise customer; Payment method; Prioritise request; Collection
ASTH412,Contribute to housing review strategies and plans,Service provision; Information sharing; Data collection; Vision
ASTH420,Develop joint working agreements and practices and review their effectiveness,Management; Empower; Initiative; Risk assessment
ASTHOM2,Contribute to the safety and security of people and property,Power supply; Instruction; Compliance; Logging; React; Schedule
ASTHOM5,Prepare and disseminate home condition reports,Comment; Cost; Database; Inspection
ASTICT3,Contribute to the security of the premises,Book; Entry point; Site map; Smart card; Lighting; Book entry; Ventilation
ASTIPC13,"Provide guidance, resources and support to enable staff to minimise the risk of spreading infection",Management; Training; Root cause analysis; Latex; Infection control; Audit; First aid; Hand hygiene; Cleaning; Immunisation
ASTLB1,Evaluate benefit applications,
ASTLL9,Bring tenancy / licence agreements to an end,
ASTLLCA,Maintain the statutory local land charges register,Database; Geographic information system gi; Building control
ASTLLCB,Contribute to maintaining the statutory local land charges register,Database; Geographic information system gi; Building control
ASTLLCC,Maintain records in order to respond to official local land and property enquiries,Cost; Database; Geographic information systems; Building control
ASTLLCD,Contribute to maintaining records in order to respond to official land and property enquiries,Read map; Database; Geographic information systems; Building control
ASTLLCE,Manage communications regarding the local land and property information service,Promote; Services marketing; Freedom of information act
ASTLLCG,Carry out searches of the local land charges register and respond to official local land and property enquiries,Database; Geographic information system gi; Legibility; Building control
ASTLLCK,Research local land and property information,Instruction; Database; Geographic information system gi; Legibility
ASTLLCO,Design and compile accurate and comprehensive personal search reports,Cost; Legibility; Inspection; Record keeping; Storage systems
ASTLRICS2-1,Give customers a positive impression of yourself and your organisation,Comment; Intranet; Land registration
ASTLRR2.1,Maintain effective working,Logging; Schedule; Land registration
ASTLRR2.11,Settle complex plans cases,Book; Layer; Digital mapping; Tolerance
ASTLRR2.6,Settle plans within prepared areas,Instruction; Layer; Digital mapping; Tolerance
ASTLRR3.14,Assist team members in processing complex or unusual applications,
ASTNDEA1,"Work in a safe, effective, professional and ethical manner",Promote; Instruction; Advisory; Auditing
ASTPAR1.2.1,Establish objectives for proposed parking provision,Marketing; Initiative; Estimating
ASTPAR4.2.2,Provide ‘meet and greet’ parking services,Booking; Render; Storage; Collection
ASTPAR5.2.2,Mark out parking areas and restrictions in line with requirements,Instruction; Fault; Schedule
ASTPAR5.2.4,Establish equipment and signs which fulfil parking provision in temporary arrangements,
ASTPAR5.2.5,Monitor and quality assure parking lines and signs,Ageing; Installation; Schedule
ASTPAR5.4.1,Assist in the recovery of the non-payment of parking charges,
ASTPAR5.4.2,Identify the details of keepers of vehicles which infringe parking requirements,
ASTPAR5.4.3,Process the release of impounded vehicles,Active listening; Proof; Payment method; Warning sign
ASTPAR6.1.3,Provide management information reports regarding parking provision,Management; Promote; Schedule
ASTPC202,Promote and maintain service delivery in a facilities services environment,Promote; Sort; Identify opportunity; Schedule
ASTPC207,Maintain grounds of premises and facilities,Promote; Instruction; Collection; Hand tool
ASTPC214,Deal with routine waste,Handle waste; Cleanliness; Instruction; Storage; Collection; Liner; Cleaning
ASTPC308,"Contribute to the safety, security and maintenance of the site",Contingency plan; Management; Instruction
ASTPKC12,Complete documents for removal of vehicles,Motorcycle; Instruction; Local geography
ASTPKC14,Collect and process payments,Instruction; Payment schedule; Storage; Collection
ASTPKC2,Carry out start and end of working procedures,Book; Instruction; Printer; Camera
ASTPKC4,Deal with information relating to parking control,Book; Telecommunication; Book entry
ASTPKC8,Complete documents for immobilising and de-immobilising vehicles,Motorcycle; Instruction; Local geography; Compliance
ASTPKC9,Apply and remove vehicle immobilisation devices,Motorcycle; Instruction; Capture; Local geography
ASTPSSF1,Prepare yourself to deliver good customer service,
ASTRBM17 ,Facilitate the transfer of leases,Management; Invoicing; Schedule
ASTRBM18 ,Identify and respond to problems relating to property management services,Management; Promote; Service provision; Property management
ASTRL12,Conduct accompanied viewings of owned properties to let,Acting; Promote; Comment; Compliance; Listen actively
ASTRL15 ,Prepare inventories for properties to let,Acting; Comment; Furnishing
ASTRL18,Facilitate the maintenance of managed properties,Quotation; Instructing; Repair; Managed property
ASTRL7,Undertake market appraisals and advise landlords on the presentation of their properties,Promote; Age; Cost; Compliance; Listen actively
ASTRL9,Prepare properties for marketing (letting),Cost; Marketing material; Marketing; Compliance
ASTSH02,Support clients to move on,
ASTSH2,Assess  housing need and demand of the  local population across all tenures,Economics; Financial market; Impact assessment; Set target
ASTSRP16,"Negotiate the sale of properties in england, wales and n ireland",Proof; Survey; Instruction; Sales; Due diligence; Marketing material; Reservation; Listen actively
ASTSRP17,Qualify prospective buyers of property,
ASTSRP18,Progress sales of residential property,Promote; Survey; Instruction; Sales; Marketing material
ASTSRP19,Negotiate the sale of properties in scotland,Parameter; Instruction; Sales; Instruct; Listen actively
ASTSRP21,Agree specifications for new-build properties with customers,Promote; Cost; Furnishing; Listen actively
ASTSRP3,Progress enquiries regarding services associated with selling property,Promote; Marketing material; Listen actively
ASTSRP5,Organise market appraisals of prospective clients’ properties,Prospective client; Proof; Cost
IMPPD126,Benchmark a food and drink product against competition,Parameter; Food; Cost; Product development; Benchmarking
LANRVN11,Calculate and administer fluid therapy to veterinary patients,Therapy; Surgical procedure; Infection control; Aftercare; Welfare
IMPMP145,Carry out boning of meat or poultry,Cleanliness; Food; Poultry; Storage; Yield; Food safety
IMPBW204,Carry out container inspection and labelling in brewing,Cleanliness; Instruction; Inspection; Storage; Written communication; Storage systems; Packaging
IMPBW116,Carry out filtration and dilution for chilled and filtered beer in brewing,Cleanliness; Instruction; Sales; Filtration; Food safety; Production schedule
IMPMP110,Carry out manual bleeding operations,Cleanliness; Food; Poultry; Welfare
IMPMP103,Carry out manual stunning of meat or poultry species,Production process; Food; Poultry; Welfare
IMPMP154,Carry out poultry butchery,Cleanliness; Food; Wholesale; Poultry; Storage; Yield; Game
IMPMP303,Carry out pre-slaughter inspection activities (red meat),Undertake inspection; Cleanliness; Food; Inspection; Welfare
IMPMP143,Carry out primal cutting of meat or poultry,Avoid contamination; Cleanliness; Food; Poultry; Storage; Yield; Food safety
IMPMP127,Carry out rodding and clipping of meat carcasses,Avoid contamination; Clean carcass; Cleanliness; Food; Yield; Food safety
IMPMC103,Carry out sampling of incoming raw material for milling,Instruction; Food; Environmental protection; Traceability; Throughput; React; Schedule
IMPMP147,Carry out seaming or filleting of meat or poultry,Avoid contamination; Cleanliness; Food; Muscle; Poultry; Storage; Yield; Food safety
IMPMP149,Carry out trimming of meat or poultry,Cleanliness; Food; Muscle; Poultry; Storage; Yield; Food safety
IMPMP156,Carry out wild game butchery,Cleanliness; Food; Poultry; Storage; Yield; Game
CCSAPAB3,Propose and agree archaeological project methods,Project design; Cost; Site investigation; Schedule
CCSAPAB4,Agree a brief for an archaeological project,Consultant; Maximum; Parameter; Cost
CCSAPAC3,Contribute to non-intrusive archaeological investigations,Survey; Maintain equipment; Recording format; Storage systems
CCSAPAD6,Apply preventive care procedures to archaeological items,Environmental protection; Storage; Preventive care
CCSAPAE1,Develop archaeology information systems to meet the needs of users,Archaeology; Survey; Information systems; Installation
CCSAPAF2,Prepare the accommodation of archaeological items,Installation; Collection; Environmental monitoring
CCSAPAF4,Lend and borrow archaeological items,Management; Cost; Installation; Collection; Loans
CCSAPAG2,Commission and evaluate work on interpretative and educational media for archaeology,Promote; Archaeology; Trial; Exhibition
CCSAPAG6,Support community engagement with the historic environment,Promote; Listening; Experiment
CCSAPAH10,Contribute to health and safety in the workplace,Instruction; Compliance; Emergency services
CCSAPAH15,Evaluate archaeological project achievements and secure improvements,Promote; Mapping; Database; Acquisition
CCSAPAH2,Represent the interests of a cultural heritage organisation,Promote; Marketing material; Identify opportunity
CCSAPAH4,Agree professional services for archaeology,Quotation; Archaeology; Comment; Cost; Sort; Cash flow analysis; Estimating
CCSAPAH9,Reduce risks to health and safety in the workplace,Training; Instruction; Machinery; First aid; Workplace health and safety
CCSAPAJ1,Maintain compliance with archaeological requirements,Inspection; Documentation type; Land use; Compliance
CCSAPAJ2,Contribute to advances in the body of knowledge and archaeological practice,Promote; Comment; Derive; Initiative
CCSAPLE14,Work with security teams to ensure safety and security during events,Instruction; Exhibition; Risk assessment
CCSAPLE15,Recommend venues for arts projects and live events,Parameter; Cost; Event management; Feasibility study; Exhibition
CCSAPLE19 ,"Receive, set up and dismantle equipment for arts projects and live events",Housekeeping; Instruction; Storage; Exhibition
CCSAPLE20,Create plans and schedules for arts projects and live events,Contingency plan; Production process; Timeline; Sort; Exhibition; Schedule
CCSAPLE22,"Arrange itineraries, travel and accommodation for tours, arts projects and live events",Book; Travel arrangement; Exhibition; Schedule
CCSAPLE29,Design community arts projects for specific groups and individuals,
CCSAPLE30,"Support the development, delivery and evaluation of community arts projects",
CCSAPLE32,Engage participants in community arts activities,
CCSAPLE33,Support participants to engage and develop in community arts activities,
CCSAPLE34,Facilitate groups in community arts activities,
CCSAPLE35,Deal with actual and potential conflict situations,Listening; Risk assessment; Body language
CCSAPLE39,Manage your continuing professional development,Articulate; Cost; Time constraint
CCSAPLE4,Develop ideas for arts projects and live events,Gather data; Cost; Target market; Exhibition
CCSAPLE9,Identify funding and sponsorship opportunities for arts projects and live events,Record keeping; Proactive; Exhibition; Numeracy
CCSAU1,Develop and refine automation ideas for performance,Parameter; Set design; Installation; Script
CCSAU15,Calibrate automation systems,Traceability; Calibration; Tolerance; Cleaning; Scaling
CCSAU16,Decommission automation systems,Contingency plan; Proofing; Schedule
CCSAU17,Collate production information for automation programming,Parameter; Production process; Script
CCSAU19,Rehearse and plot  the automation,Synopsis; Fault; Alteration
CCSAU21,Establish and execute backup procedures for automation systems,
CCSAU38,Maintain an understanding of current legislation and regulation relevant to your role in automation,
CCSAU39,Implement new legislation and regulation relevant to your role in automation,
CCSAU40,Maintain and update codes of practice and procedures relevant to your role in automation,Management; Promote; Management reporting
CCSAU43,Operate the automation desk during rehearsal and performance,
CCSAU5,Extract and interpret information from system drawings and specifications,Technical drawing; Installation; Tolerance; Archive
CCSBA105,Store and retrieve information,Booking; Information systems; Exhibition
CCSCCS22,"Assist customers, visitors or audiences in getting the best from their experience of a creative and cultural organisation",Fundraising; Innovate; Marketing; Assist customer; Vision
CCSCCS31,Represent your creative and cultural organisation and sector,Promote; Identify opportunity; Vision
CCSCCS40,Manage and monitor budgets for a creative and cultural organisation,Management; Template; Cost; Estimating
CCSCCS71,Deliver an event or programme of events for learning and interpretation for a creative and cultural organisation,Marketing; Risk assessment; Learning style
CCSCCS73,Deliver community engagement for a creative and cultural organisation,Training; Marketing; Exhibition; Experiment
CCSCCS91,Conduct fundraising for a creative and cultural organisation,Management; Fundraising; Prospect; Database; Schedule
CCSCH64,Protect cultural heritage through conservation,Record keeping; Storage; Cushioning
CCSCH74,Conservation options and strategies for cultural heritage,Management; Promote; Storage; Collection
CCSCR14,"Prepare and maintain materials, tools and equipment for craft",Craft; Avoid contamination; Instruction
CCSCR15,Use safe working practices and spaces for craft,Workspace; Craft; Instruction; Risk assessment
CCSCR3,Assist with research for craft practice,Book; Craft; Instruction; Marketing
CCSCR35,Develop and implement a business plan for craft,Craft; Business model; Business administration; Business planning
CCSCR37,Work out appropriate pricing for craft,Craft; Pricing; Cost; Marketing
CCSCR44,Explore international routes to market for craft,Promote; Craft; Sales; Cost; Calculation; Identify opportunity
CCSCR49,Use digital technologies for craftwork and work practice,Craft; Marketing; Adapt it
CCSCR5,Create a design brief for craft,Intellectual property; Craft; Cost
CCSCR52,"Restore, conserve and reconstruct work in craft",Craft; History; Survey; Cost; Reconstruction
CCSCR53,Obtain finance for craft,Craft; Cost; Financial market; Calculation; Loans
CCSCR54,Purchase goods for craft,Quotation; Craft; Sales; Cost
CCSCR55,Purchase services for craft,Quotation; Craft; Cost
CCSCR59,"Ensure compliance with legal, regulatory, social and ethical requirements for craft",Environmental law; Patent; Craft; Compliance
CCSCR6,Interpret and follow a design brief for craft,Intellectual property; Craft; Cost; Timeline; Vision
CCSCR9,"Produce a drawing or sketch, working stage or rough,",Craft; Cost; Sketch; Experiment
CCSCRC06,Form crafted ceramic items by joining or assembling,Sustainability; Craft; Meet deadline; Ceramic
CCSCRC08,Model crafted ceramics,Craft; Fault; Ceramic
CCSCVO10,Develop staff rotas to cover operations needs in a cultural venue,Contingency plan; Calculation; Schedule
CCSCVO11,Monitor the security and environment of items within a cultural venue,Parameter; Proactive; Fault; Schedule
CCSCVO14,Respond to incidents and emergencies,Contingency plan; Instruction; Proactive
CCSCVO4,Promote function and event facilities within a cultural venue,Management; Promote; Booking; Maximum; Cost; Initiative; Cultural history; Exhibition; Cross sell
CCSCVO5,Support the organisation of events and exhibitions,Marketing; Evaluate events; Exhibition
CCSCVO9,Provide support to the selection of candidates for recruitment or promotion in a cultural venue,
CCSDES19,Develop and extend critical and creative thinking skills,Creativity; History; Central; Sort; Experiment
CCSDES24,Create 3d models using a computer aided design system,Housekeeping; Coordinate; Rendering
CCSDES26,Conduct user testing of designs,Test script; Instruction; Script
CCSDES27,Evaluate user testing of designs,Parameter; Product design; Schedule
CCSDES35,Manage market research for your design business,Management; Quantitative research; Research design; Consultant; Prepare report; Project design; Survey; Market research; Timeline
CCSDES36,Develop and extend your design skills and practices,Experimentation; Intellectual property; Experiment
CCSDES38,Manage design realisation,Intellectual property; Timeline; Occupational health and safety; Schedule
CCSDES42,Negotiate and make deals with design clients,Parameter; Persuasion; Listen
CCSDES45,Subcontract and outsource services for your design project,Remuneration; Illustration; Invoice; Environmental protection; Cost; Outsource; Contract law; Alteration
CCSDES8,Explore the use of colour in a creative environment,Experimentation; Colour theory; Experiment
CCSDL2,"Identify, research and understand your market",Statistic; Dance; Survey; Target market; Vision
CCSDL22,"Research, identify and resource your continuing professional development",Dance; Mentor; Resourcing
CCSDL8,"Manage expectations with participating individuals, groups, funders and partners",Dance; Age; Manage budget; Marketing
CCSDL9,Build relationships and trust with and within community groups to inspire take up to your session(s),Dance; Health education; Initiative; Criminal justice
CCSFL10,Plan innovation for your freelance work in creative and cultural industries,Brainstorming; Innovation; Innovate; Craft; Music; Proactive; Advertising; Business marketing
CCSFL48,Write bids and make tenders for your freelance work in the creative and cultural industries,Quotation; Craft; Music; Cost; Timeline; Initiative; Proactive; Advertising; Business marketing
CCSFL9,Manage your time as a freelancer in creative and cultural industries,Management; Craft; Music; Streamline; Proactive; Advertising; Costing; Business marketing
CCSJ2.12,Identify and explain methods and tools used in vitreous enamelling,Storage; Hand tool; Interpret drawing
CCSJ2.2,Read jewellery manufacture or silversmithing drawings,Technical drawing; Instruction; Protractor; Interpret drawing
CCSJ2.4,Identify the basic properties of common precious metals and alloys used in jewellery manufacturing and silversmithing,Ductility; Instruction; Precious metal; Silver; Experiment
CCSJ2.7,Produce formed jewellery or silverware components,Instruction; Iron; Fault; Mill
CCSJ2.9,Polish and finish jewellery or silverware components,Instruction; Polish; Fault
CCSJ3.13,Use mechanical methods of joining jewellery or silverware,Instruction; Screw thread; Tolerance
CCSJ3.19,Produce tools or jigs for use in the manufacturing process of jewellery or silversmithing,Instruction; Tolerance; Manufacturing process
CCSJ3.2,"Produce jewellery, silverware or engraving from detailed drawings and specifications",Technical drawing; Template; Tolerance
CCSJ3.22,"Keep up to date with the jewellery industry, allied trades and related technologies",
CCSJ4.14,Produce chased products using advanced techniques,Template; Instruction; Calculation; Interpret drawing
CCSJ4.16,Produce tools for the jewellery and silversmithing industry,Machine tool; Tolerance; Chamfer; Emergency shutdown; Hand tool
CCSJ4.4,Form jewellery components using advanced techniques,Instruction; Laser; Machine tool; Tolerance
CCSJ4.5,Join jewellery components using advanced techniques,Soldering; Maximum; Instruction; Fault
CCSJ4.8,Produce spun products using advanced techniques,Instruction; Lathe; Laser
CCSMP01,Contribute to the development and design of promotional material for a music publishing organisation,Maximum; Printer; Production process; Marketing; Target market; Promotional material; Music publishing
CCSMP21,Track customer problems in a music publishing environment,Music publishing; Logging; Sorting
CCSMP37,Organise business travel and accommodation within a music publishing organisation,Book; Travel arrangement; Music publishing; Schedule; Vaccination
CCSMP45,Deal with music publishing customers by telephone,Advise customer; Transaction; Music publishing; Listen
CCSMPR17,Create a musical accompaniment,
CCSMPR20,Conduct music,Music; Score; Musical genre
CCSMPR27,Perform as the lead or featured artist,
CCSMPR32,Audition for musical roles,Audition; Music; Application process
CCSMPR35,Play music from memory,Music; R; Kinesthetic learning
CCSMPR36,Score music,Music; Score; Musical notation
CCSMPR43,Notate music,Music; Transcribing; Listen
CCSMPR46,Apply critical listening skills,Parameter; Music; Instrumentation; Listening
CCSMPR47,"Use safe working practices in the creation, production and performance of music",Workspace; Music; Compliance; Risk assessment
CCSMPR53,Undertake professional development in music,Music; Training; Education; Marketing
CCSRCS11,Use and maintain mailing lists within a music business environment,Music; Target market; Mailing list; Schedule
CSRCS16,Process applications for membership to a collecting society,
CCSSM1,Support the planning of props requirements for a production,Environmental health and safety; Technical theatre; Script
CCSSM17,Carry out basic sound operation,Sort; Live performance; Fault; Equipment cleaning
CCSTIC06,Follow procedures to prevent theft and fraud in ticketing,Voucher; Prevent theft; Audit; Transaction
CCSTTL1,Develop early set designs for live productions,Process equipment; Special effect; Set design; Installation
CCSTTL13,Agree venues and incoming productions,Sort; Risk assessment; Schedule
CCSTTL17,Interpret designs for sets and props,Cost; Installation; Acquisition
CCSTTL2,Develop lighting designs for live productions,History; Survey; Lighting; Installation; Painting
CCSTTL3,Develop sound designs for live productions,Dance; Music; Sort; Acoustic; System design; Attenuation
CCSTTL33,Oversee the set up of flying and installing flown components for live productions,Instruction; Production process; Installation
CCSTTL41,Monitor required changes during technical rehearsal,Coordinate; Storage; Schedule
CCSTTL45,Operate follow spot during live productions,Operate follow spot; Live performance; Smooth
CCSTTL55 ,"Keep up to date with developments in materials, techniques and technology for live productions",History; Cost; Forecasting
CCSTTL56,Present aspects of your work to visitors,
CCSTTL57,Work at height,Permit; Transporting; Anchor; Instruction; Storage; Risk assessment; Fall protection
CCSTTL7 ,Specify special effects for live productions,Special effect; Storage; Compliance
CCSW3,Organise the transfer of scenery and props to the performance area,
CCSWHM12,Repair and customise items of  jewellery for use in a performance,Instruction; Make decision; Fault; Repair
CCSWHM5,Plan hair and makeup requirements for a production,Template; Hair; Hair colouring; Cost; Technical theatre; Application process; Schedule
CCSWHM6,"Source hair and makeup products, wigs and equipment",Template; Hair; Hair colouring; Time constraint; Technical theatre; Script; Production schedule
CDICRD13,Represent individuals’ needs to others,Contingency plan; Promote; Career development; Mediation
CFABAA113,Explore ideas for innovation in a business environment,Innovation; Cost; Risk management
CFABAA118,Manage an office facility,Office equipment; Interpersonal skill; User control; Repair
CFABAA121,Supervise an office facility,Office equipment; Interpersonal skill; Security policy; Repair
CFABAA311,Support the organisation and co-ordination of events,Instruction; Interpersonal skill; Cost
CFABAA321,Support the organisation of business travel or accommodation,Book; Travel arrangement; Schedule
CFABAA322,Organise business travel or accommodation,Book; Travel arrangement; Schedule
CFABAA412,Plan and organise meetings,Interpersonal skill; Dispatch; Arrange catering
CFABAA413,Chair meetings,Interpersonal skill; Instruct; Chair meeting
CFABAA617,Develop a presentation,
CFABAA623,Deliver a presentation,Contingency plan; Listen; Body language
CFABAD111,Support the design and development of information systems,Management; Information systems; Fault
CFABAD112,Design and develop an information system,Management; Information systems; System design
CFABAD321,Collate and organise data,
CFABAD333,Archive information,Instruction; Information systems; Archive
CFABAD334,Provide archive services,Retention period; Information systems; Archive
CFABAE141,Use occupational and safety guidelines when using a workstation,Workstation; Slope; Typing; Occupational health and safety
CFABAF132,Prepare specifications for contracts,
CFABAF141,Maintain and issue stock items,
CFABAF171,Support work procedures in a business environment,Sustainability; Interpersonal skill; Business administration
CFABAF172,Undertake work in a business environment,Sustainability; Interpersonal skill; Business administration
CFABAF174,Manage work in a business environment,Sustainability; Maximum; Interpersonal skill; Interact with others; Business administration
CFABAG121,Contribute to decision-making in a business environment,
CFABAG1211,Support other people to work in a business environment,
CFABAG123,Contribute to negotiations in a business environment,
CFABAG124,Negotiate in a business environment,
CFABAG125,Contribute to solving business problems,
CFABAG126,Plan how to solve business problems,
CFABAG127,Solve business problems,
CFABAG128,Evaluate and solve business problems,
CFABAG129,Contribute to working with others in a business environment,
CFABAH125,Review corporate performance,Promote; Performance review; Compliance
CFABCF,Build case files,
CFABD2,Define your product or service,Market research; Sales; Cost
CFABD8,Plan your exit strategy,Contingency plan; Book; Maximum; Business administration; Compliance
CFABL1,Decide on a business location,Library; It support; Printing; Marketing; Incubator; Public transport; Scheme; Transport
CFABSSB1,Support clients that are considering replicating their business,Intellectual property; Consultant; Training; Property right; Due diligence; Marketing; Franchising
CFACC10,Support team use of contact centre systems and technology,Parameter; Data manipulation; Cost; Customer relationship management crm; Support colleague; Alteration
CFACC13,Contribute to customer service in a contact centre,Politeness; Customer focus; Comment
CFACC17,Review and develop customer service procedures for use in a contact centre,Trial; Sales; Cost
CFACC2,Seek opportunities to develop your own personal effectiveness at work in a contact centre,Prioritise action; Proactive; Collection
CFACC3,Improve organisational effectiveness and personal development in a contact centre,Promote; Identify opportunity; Collection
CFACC31,Provide support through a contact centre for specified services and/or products,
CFACC35,Contribute to resource plan development in contact centre operations,Resource planning; Forecasting; Schedule
CFACC8,Use specific features of contact centre systems and technology,Management; Validation; Logging; Telephony
CFACC9,Use systems and technology during customer contact in a contact centre,Validation; Information systems; Telephony
CFACSA1,Maintain a positive and customer-friendly attitude,Age; React; Body language
CFACSA16,Build a customer service knowledge base,Active listening; Comment; Trial; Transaction; Social medium platform; Classify information
CFACSA2,Behave in a way that gives a good customer service impression,Support colleague; Social medium; React
CFACSB1,Do your job in a customer friendly way,
CFACSB11,Improve the customer relationship,Cost; Social medium platform; Initiative; Proactive
CFACSB12,Maintain and develop a healthy and safe customer service environment,
CFACSB14,Review the quality of customer service,Service improvement; Collection; Social medium
CFACSD1,Develop customer relationships,Comment; Cost; Customer retention; Social medium
CFACSD12,"Gather, analyse and interpret customer feedback",Comment; Survey; Cost; Calculation; Service improvement; Collection; Social medium; Data collection
CFACSD19,Review and re-engineer customer service processes,Reengineering; Parameter; Cost; Compliance
CFAENTI&TA2,Make sense of enterprise opportunities and their compatibility with organisational priorities,New venture; Age; Scanning; Proactive
CFAGOR1,Determine the organisation’s approach to risk,Articulate; Risk management; Tolerance; Risk appetite
CFAINT02,Prepare for interpreting assignments,
CFAINT08,Work with other interpreters,
CFALANG1.6,Read complex text on a wide range of work topics,
CFALANG2.6,Speak/sign using complex language in a wide range of work situations,Comment; Instruction; Idiom
CFALSA01,Prepare for lipspeaking assignments,Seminar; Payment method; Contract negotiation; Fingerspelling; Community education; Social services
CFAM1.1.1,Map organisations within their current and future marketing environment,Articulate; Marketing; Organise information; Market trend
CFAM1.2.2,Design market research projects,Management; Market research; Cost
CFAM1.2.4,Collect market research data,Market research; Collection; Listen actively; Data collection
CFAM1.2.5,Analyse market research data,Articulate; Market research; Storage
CFAM3.2.1,Establish requirements for products/services,Articulate; Trial; Marketing; Identify opportunity; Risk assessment
CFAM3.2.4,Develop and implement packaging requirements to fulfil marketing objectives,Cost; Cost benefit analysis; Marketing; Merchandising; Packaging
CFAM3.4.3,Implement a marketing distribution plan,Sort; Marketing; Service level agreement
CFAM4.2.2,Develop the creative product within advertising,Intellectual property; Creativity; History; Music; Copywriting; Property right; Teamwork; Capture; Marketing; Message strategy; Advertising; Art direction
CFAM4.6.2,Prepare on outline plan for a field marketing activity,Employment law; Marketing; Field marketing; Listen actively; Data collection; Schedule; Coordinating
CFAM5.3.3,Use it in managing marketing data,Data quality; Prospect; Marketing; Marketing communications
CFAM6.1.3,Develop and maintain a portfolio of products/services,Articulate; Sales; Cost benefit analysis; Marketing; Forecasting
CFAM6.1.5,Lead and manage marketing projects,Management; Monitor activity; Cost; Marketing
CFAM6.1.8,"Fulfil the legal, regulatory and ethical requirements impacting upon your marketing activity",Marketing; Marketing communications; Compliance
CFAM6.2.1,Assess marketing opportunities within international and/or diverse markets,Articulate; Cost; Trading systems; Marketing
CFAM7.2.3,Identify third party suppliers of marketing / marketing communications services,Supplier evaluation; Database; Marketing; Marketing communications
CFAM7.4.3,Develop personal networks,Marketing; Initiative; Reciprocity
CFAMN9,Carry out the banking for your business,Book; Cost; Bank statement; Business process
CFAOP4,Sub-contract work for your business,Management; Environmental protection; Contract law; Alteration
