Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval 
,SEMEM314,O,Testing Electrical Equipment and Circuits,6,38,13/1/2016
,SEMEM315,O,Carrying Out Preventative Planned Maintenance on Electrical Equipment,6,51,13/1/2016
,SEMEM380,O,Assisting in the Installation of Mechanical Equipment,6,45,13/1/2016
,SEMEM381,O,Assisting in the Installation of Electrical/Electronic Equipment,6,45,13/1/2016
,SEMBIT3-12,O,Applying Total Productive Maintenance (TPM),6,25,13/1/2016
Qualification Structure and SCQF Credit Rating (Accreditation),,,,,,
Awarding Body Name,,,EAL,Date Structure Approved,,13/1/2016
Qualification Title,,,SVQ 3 Engineering Maintenance at SCQF Level 6,SCQF Overall Level,,6
Group Award Code,,,GL2M 23,SCQF Overall Credit,,Minimum 189 & Maximum 384
Date Accredited From,,,30/3/2016,,,
Accreditation End Date,,,31/3/2021,,,
Accreditation Cert End Date,,,31/3/2025,,,
,,,,,,
Structure Information - (see information noted below for each pathway),,,,,,
