Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,SCQF Level,SCQF Credit,Date of SCQF Approval ,"Imported From 
(SSC/B Name)"
"Pathway 5 - Sheet Metalworking 3 mm or less 
Candidates must complete the 3 Mandatory Units above plus a further 3 mandatory units from Group A plus 3 optional units must be selected 2 from Option Group B and 1 from Option Group C) (9 units in total)",,,,,,,
Must complete 3 mandatory units from Group A,,,,,,,
,SEMFWE322,M,Marking Out Components for Metalwork,6,47,13/1/2016,
,SEMFWE323,M,Cutting Sheetmetal to Shape using Hand and Machine Tools,6,49,13/1/2016,
,SEMFWE324,M,Forming Sheetmetal using Hand and Machine Tools,6,50,13/1/2016,
Must complete 2 units from the following Option Group B,,,,,,,
,SEMFWE325,O,Producing Sheetmetal Assemblies,6,47,13/1/2016,
,SEMFWE326,O,Heat Treating Materials for Fabrication Activities,6,38,13/1/2016,
,SEMFWE327,O,Developing and Marking Out Templates for Metalwork,6,49,13/1/2016,
Must complete 1 unit from the following Option Group C,,,,,,,
,SEMFWE328,O,Joining Fabricated Components using Mechanical Fasteners,6,36,13/1/2016,
,SEMFWE329,O,Bonding Engineering Materials using Adhesives,6,38,13/1/2016,
,SEMFWE330,O,Joining Materials by Resistance Spot Welding,6,38,13/1/2016,
,SEMFWE331,O,Producing Fillet Welded Joints using a Manual Welding Process,6,50,13/1/2016,
,SEMFWE339,O,"Slinging, Lifting and Moving Materials and Components ",6,29,13/1/2016,
,SEMFWE366,O,Operating CNC Fabrication Equipment,6,44,13/1/2016,
"Pathway 6 - Structural Steelwork
Candidates must complete the 3 Mandatory Units above plus 6 optional units must be selected (1 Unit must be chosen from Option Group A, 1 from Option Group B, 2 from Option Group C and 2 from Option Group D)",,,,,,,
Must complete 1 unit from the following Option Group A,,,,,,,
,SEMFWE322,O,Marking Out Components for Metalwork,6,47,13/1/2016,
,SEMFWE327,O,Developing and Marking Out Templates for Metalwork,6,49,13/1/2016,
Must complete 1 unit from the following Option Group B,,,,,,,
,SEMFWE332,O,Cutting Plate and Sections using Shearing Machines,6,30,13/1/2016,
,SEMFWE333,O,Cutting and Shaping Materials using Portable Thermal Cutting Equipment ,6,35,13/1/2016,
,SEMFWE334,O,Cutting Materials using Saws and Abrasive Discs,6,32,13/1/2016,
,SEMFWE366,O,Operating CNC Fabrication Equipment,6,44,13/1/2016,
Must complete 2 units from the following Option Group C,,,,,,,
,SEMFWE340,O,Forming Structural Sections using Machines,6,38,13/1/2016,
,SEMFWE341,O,Producing Structural Steel Ancillary Components,6,40,13/1/2016,
,SEMFWE342,O,Producing Major Structural Components/Sub-assemblies,6,42,13/1/2016,
,SEMFWE337,O,Producing and Finishing Holes using Drilling Machines,6,36,13/1/2016,
Must complete 2 units from the following Option Group D,,,,,,,
,SEMFWE328,O,Joining Fabricated Components using Mechanical Fasteners,6,36,13/1/2016,
,SEMFWE331,O,Producing Fillet Welded Joints using a Manual Welding Process,6,50,13/1/2016,
,SEMFWE339,O,"Slinging, Lifting and Moving Materials and Components",6,29,13/1/2016,
,SEMFWE343,O,Erecting Structural Steelwork,6,42,13/1/2016,
Qualification Structure and SCQF Credit Rating ,,,,,,,
Qualification Title,,,GP07 46 SVQ in Fabrication and Welding Engineering at SCQF Level 6,,,,
Qualification Developer,,,Semta,Awarding Body,,QFI,
Date Structure ACG Approved,,,2/7/2013,Group Award Code,,GP07 46,
Structure Version Number,,,2,Date Accredited From,,16/05/2018,
SCQF Overall Level,,,6,Accreditation End Date,,30/04/2021,
SCQF Overall Credit,,,Minimum credit 72 & Maximum credit 307,Certification End Date,,30/04/2025,
Credit Rating Body,,,SQA Accreditation  ,,,,
,,,,,,,
Structure Information (see structural information below),,,,,,,
