Accred Code,Developer Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval ,"Imported From 
(Developer Name)"
,SEMETS373,O,Supporting Logistics Operations in an Engineering Manufacturing Environment,6,42,13/1/2016,
Option Group B,,,,,,,
,SEMETS356,O,Providing Technical Advice and Guidance on Engineering Activities,7,38,13/1/2016,
,SEMETS357,O,Carrying out Project Management of Engineering Activities,7,82,13/1/2016,
,SEMETS358,O,Developing and Maintaining Effective Customer Relationships,6,56,13/1/2016,
,SEMETS359,O,Handing Over and Exchanging Responsibility for Control of Engineering Activities,6,49,13/1/2016,
,SEMETS360,O,Carrying out Health and Safety Risk Assessments on Engineering Activities,7,59,13/1/2016,
,SEMETS361,O,Producing Contractual Arrangements to Supply or Procure Goods or Services for Engineering Activities,7,56,13/1/2016,
,SEMETS374,O,Using and Maintaining Business Procedures and Protocols in an Engineering Environment,6,42,13/1/2016,
"Pathway 3 - Engineering Drawing
Candidates must complete the 3 mandatory units above plus 1 further optional unit  (a total of 4 units)",,,,,,,
Optional Section - 1 unit must be selected,,,,,,,
,SEMETS304,O,Producing Mechanical Engineering Drawings using Computer Aided Techniques,6,53,13/1/2016,
,SEMETS305,O,Producing Engineering Drawings/Models using 3D Computer Aided Techniques,6,53,13/1/2016,
,SEMETS306,O,Producing Electrical Engineering Drawings using Computer Aided Techniques,6,53,13/1/2016,
,SEMETS307,O,Producing Electronic Engineering Drawings using Computer Aided Techniques,6,53,13/1/2016,
,SEMETS308,O,Producing Fabrication/Structural Engineering Drawings using Computer Aided Techniques,6,53,13/1/2016,
,SEMETS309,O,Producing Fluid Power Engineering Drawings using Computer Aided Techniques,6,53,13/1/2016,
,SEMETS310,O,Producing Engineering Systems/Services Drawings using Computer Aided Techniques,6,53,13/1/2016,
"Pathway 4 - Quality Control
Candidates must complete the 3 mandatory units above plus 1 optional unit (a total of 4 units)",,,,,,,
Optional Section - 1 unit must be selected,,,,,,,
,SEMETS311,O,Inspecting Mechanical Products,6,46,13/1/2016,
,SEMETS312,O,Inspecting Components using Co-ordinate Measuring Machines (CMM),6,46,13/1/2016,
,SEMETS313,O,Inspecting Fabricated Components and Structures,6,46,13/1/2016,
,SEMETS314,O,Carrying Out Visual Inspection of Welded Fabrications,6,46,13/1/2016,
,SEMETS315,O,Inspecting and Testing Electrical Products,6,28,13/1/2016,
,SEMETS316,O,Inspecting and Testing Electronic Products,6,28,13/1/2016,
,SEMETS317,O,Checking and Calibrating Mechanical Inspection Equipment,6,39,13/1/2016,
,SEMETS318,O,Checking and Calibrating Electrical and Electronic Test Equipment,6,39,13/1/2016,
,SEMETS319,O,Checking and Calibrating Process Control Instrumentation,6,40,13/1/2016,
"Pathway 5 - Non-destructive Testing 
Candidates must complete the 3 mandatory units above plus 2 units from the optional section (2 Units - 1 of the following pairs from Option Group A or 2 Units from Option Group B) (a total of 5 units)",,,,,,,
Option Group A (1 pair must be selected from either Group A or 2 units from Group B),,,,,,,
,SEMETS324,O,Preparing Ultrasonic Flaw Detection Equipment for Testing Activities,6,38,13/1/2016,
,SEMETS325,O,Inspecting Engineering Products using Ultrasonic Testing Techniques,6,49,13/1/2016,
OR,,,,,,,
,SEMETS326,O,Preparing Work Areas for Radiographic Testing Activities,6,43,13/1/2016,
,SEMETS327,O,Carrying Out Radiographic Testing Activities,6,41,13/1/2016,
Option Group B (2 units may be selected from Group B),,,,,,,
,SEMETS321,O,Specifying Non-Destructive Testing Instructions for Inspection Activities,6,35,13/1/2016,
,SEMETS322,O,Inspecting Engineering Products by Penetrant Flaw Detection Techniques,6,44,13/1/2016,
,SEMETS323,O,Inspecting Engineering Products by Magnetic Particle Testing,6,44,13/1/2016,
,SEMETS328,O,Analysing and Interpreting the Results of Radiographic Tests,6,48,13/1/2016,
"Pathway 6 - Mechanical Testing
Candidates must complete the 3 mandatory units above plus a further 3 mandatory units (a total of 6 units)",,,,,,,
Candidates must complete the following 3 mandatory units,,,,,,,
,SEMETS375,M,Preparing Mechanical Testing Equipment,6,38,13/1/2016,
,SEMETS376,M,Carrying out Mechanical Testing,6,37,13/1/2016,
,SEMETS377,M,Analysing and Interpret the Results of Mechanical Tests,6,32,13/1/2016,
Qualification Structure and SCQF Credit Rating ,,,,,,,
Qualification Title,,,SVQ 3 Engineering Technical Support at SCQF Level 6,,,,
Qualification Developer,,,SEMTA,Awarding Body,,EAL,
Date Structure ACG Approved,,,13/1/2016,Group Award Code,,GL3M 23,
Structure Version Number,,,Version 2,Qualification Version ,,Version 1,
SCQF Overall Level,,,6,Date Accredited From,,20/4/2016,
SCQF Overal Credit,,,Minimum 43 & Maximum 282,Accreditation End Date,,30/4/2021,
Credit Rating Body,,,,Certification End Date,,30/4/2025,
Structure Information (including how many Units are to be selected),,,,,,,
