,data-driven keywords,expert-driven keywords,intersection of data- and expert-driven keywords,data-driven only keywords
accountancy and finance,"['link' 'mn' 'accounting' 'software' 'tax' 'payroll' 'deduction' 'income'
 'payment' 'cash' 'accountancy' 'employee' 'audit' 'centre' 'vat'
 'expense' 'capital' 'budget' 'credit' 'insurance']","['accountancy', 'finance']",['accountancy'],"['expense', 'deduction', 'employee', 'accounting', 'capital', 'insurance', 'link', 'software', 'centre', 'payment', 'budget', 'mn', 'credit', 'cash', 'payroll', 'income', 'tax', 'vat', 'audit']"
achieving excellence in sports performance,"['coaching' 'career' 'sport' 'excellence' 'goal' 'competition'
 'capability' 'conditioning' 'demand' 'athlete' 'fitness' 'skaes'
 'exercise' 'exhaust' 'exhibitor' 'exchanger' 'excise' 'excitation'
 'exhibition' 'excitement']","['develop', 'physical', 'capability', 'achieve', 'excellence', 'sport', 'psychological', 'skills', 'sporting', 'career']","['sport', 'career', 'capability', 'excellence']","['exhaust', 'coaching', 'competition', 'exchanger', 'excise', 'athlete', 'exhibition', 'exhibitor', 'demand', 'goal', 'fitness', 'excitation', 'exercise', 'skaes', 'conditioning', 'excitement']"
achieving excellence in sports performance inc change june 2007,"['sport' 'excellence' 'coaching' 'athlete' 'competition' 'lifestyle'
 'goal' 'commitment' 'skaes' 'image' 'leisure' 'aider' 'nutrition'
 'supplement' 'relaxation' 'safeguarding' 'harm' 'reassurance' 'violation'
 'suggestion']","['communicate', 'effectively', 'people', 'achieve', 'excellence', 'sport', 'develop', 'technical', 'skills', 'tactical', 'nutritional', 'programme', 'manage', 'lifestyle', 'health', 'safety']","['lifestyle', 'sport', 'excellence']","['nutrition', 'coaching', 'competition', 'aider', 'athlete', 'supplement', 'relaxation', 'violation', 'harm', 'image', 'suggestion', 'goal', 'commitment', 'safeguarding', 'leisure', 'skaes', 'reassurance']"
achieving food manufacturing excellence,"['food' 'excellence' 'manufacture' 'processing' 'chain' 'contribution'
 'sigma' 'vision' 'measurement' 'culture' 'drive' 'productivity'
 'methodology' 'success' 'conflict' 'drink' 'sop' 'stream' 'innovation'
 'reduction']","['food', 'manufacturing', 'excellence', 'manufacture', 'achieving', 'improvement', 'operations', 'control', 'measurement', 'collection', 'maintenance', 'procedures', 'compliance', 'organisational', 'development', 'change', 'management', 'analysis', 'process', 'statistical']","['manufacture', 'food', 'measurement', 'excellence']","['drive', 'sop', 'innovation', 'drink', 'success', 'productivity', 'stream', 'chain', 'sigma', 'methodology', 'processing', 'reduction', 'culture', 'conflict', 'vision', 'contribution']"
activity leadership,"['participant' 'leader' 'session' 'sport' 'leadership' 'conservation'
 'svq' 'page' 'empower' 'governing' 'duty' 'exploration' 'wildlife'
 'leisure' 'recreation' 'casualty' 'adventure' 'badminton' 'boat'
 'illness']","['contribute', 'working', 'active', 'leisure', 'conservation', 'environment', 'resources', 'participants', 'development', 'activity', 'set', 'take', 'store', 'equipment', 'check', 'support', 'sport', 'work', 'organisation', 'learning']","['leisure', 'sport', 'conservation']","['leadership', 'illness', 'exploration', 'casualty', 'adventure', 'session', 'wildlife', 'page', 'badminton', 'governing', 'participant', 'leader', 'duty', 'empower', 'boat', 'svq', 'recreation']"
activity leadership l2 2002,"['participant' 'session' 'sport' 'exploration' 'page' 'abuse' 'child'
 'please' 'svq' 'expectation' 'impression' 'curriculum' 'leisure' 'sqa'
 'oc' 'governing' 'qca' 'conflict' 'recreation' 'com']","['leisure', 'active', 'learning', 'customer', 'relationship', 'develop', 'impression', 'positive', 'establish', 'respond', 'appropriate', 'communicate', 'information', 'abuse', 'emotional', 'physical', 'sexual', 'prepare', 'session', 'participant']","['impression', 'participant', 'abuse', 'leisure', 'session']","['qca', 'exploration', 'page', 'governing', 'expectation', 'conflict', 'sqa', 'oc', 'curriculum', 'please', 'com', 'sport', 'svq', 'child', 'recreation']"
addressing and responding to honour based violence,"['survivor' 'victim' 'violence' 'honour' 'witness' 'crime' 'excretion'
 'exclusivity' 'exclusion' 'exclude' '·production' 'excursion'
 'excitement' 'excitation' 'excise' 'exchanger' 'exchange' 'excess'
 'exception' 'excretory']","['victim', 'survivor', 'hbv', 'victims', 'survivors', 'abuse', 'domestic', 'sexual', 'violence', 'crime', 'reduction', 'support', 'communities', 'cultures', 'harmful', 'cultural', 'practices', 'fgm', 'forced', 'marriage']","['violence', 'victim', 'survivor', 'crime']","['witness', 'excretion', 'exchanger', 'excise', 'honour', 'exclude', 'exception', '·production', 'excitation', 'exclusion', 'excess', 'exclusivity', 'exchange', 'excursion', 'excretory', 'excitement']"
addressing modern slavery,"['victim' 'agency' 'safeguarding' 'referral' 'exploitation' 'indicator'
 'exclusivity' 'exclusion' 'exclude' 'excitement' 'excretory' 'excitation'
 'excise' 'exchanger' 'exchange' 'excess' 'exception' 'excretion'
 '·production' 'excellence']","['first', 'responder', '1st', 'human', 'trafficking', 'servitude', 'forced', 'labour', 'compulsory', 'exploitation']",['exploitation'],"['agency', 'excretion', 'exchanger', 'excise', 'excellence', 'exclude', 'exception', 'safeguarding', 'referral', '·production', 'excitation', 'exclusion', 'excess', 'exclusivity', 'exchange', 'excretory', 'victim', 'indicator', 'excitement']"
addressing stalking,"['survivor' 'victim' 'awareness' 'stalker' 'child' 'indicator' 'sign'
 'raise' 'crime' 'prevention' 'exclusivity' 'exclusion' 'exclude'
 '·production' 'excretion' 'excitation' 'excise' 'exchanger' 'exchange'
 'excess']","['victims', 'victim', 'survivors', 'survivor', 'stalking', 'behaviours', 'signs', 'indicators', 'initial', 'response', 'prevention', 'abuse', 'domestic', 'sexual', 'violence', 'crime', 'online', 'safety', 'assistance', 'reduction']","['victim', 'survivor', 'prevention', 'crime']","['raise', 'excretion', 'exchanger', 'excise', 'child', 'exclude', '·production', 'excitation', 'exclusion', 'awareness', 'sign', 'exclusivity', 'exchange', 'excess', 'stalker', 'indicator']"
administration for mortgage and or financial planning intermediaries,"['mortgage' 'planner' 'adviser' 'valuation' 'illustration' 'literature'
 'quotation' 'administration' 'provider' 'office' 'payment' 'supervisor'
 'appointment' 'resourcing' 'supervision' 'efficiency' 'discrepancy'
 'output' 'flow' 'costeffectiveness']","['financial', 'products', 'quotations', 'mortgage', 'invoicing', 'payment', 'client', 'valuations', 'back', 'office', 'reports', 'administrative', 'systems', 'legacy']","['office', 'mortgage', 'payment']","['illustration', 'quotation', 'output', 'planner', 'appointment', 'provider', 'adviser', 'flow', 'efficiency', 'resourcing', 'supervisor', 'valuation', 'administration', 'supervision', 'costeffectiveness', 'literature', 'discrepancy']"
administration of local revenues and benefits,"['payment' 'taxation' 'entitlement' 'appeal' 'office' 'relief' 'subsidy'
 'recovery' 'tax' 'billing' 'claimant' 'claim' 'eligibility' 'exemption'
 'grant' 'valuation' 'agency' 'discount' 'notice' 'department']","['local', 'revenues', 'administration', 'maintain', 'records', 'properties', 'establish', 'liabilities', 'amounts', 'due', 'implement', 'billing', 'collection', 'procedures', 'recover', 'enforce', 'sums', 'overdue', 'evaluate', 'benefits']",['billing'],"['agency', 'eligibility', 'exemption', 'notice', 'appeal', 'subsidy', 'department', 'claimant', 'discount', 'recovery', 'payment', 'claim', 'grant', 'relief', 'taxation', 'valuation', 'tax', 'office', 'entitlement']"
advanced wood occupations,"['timber' 'wood' 'band' 'cutter' 'machinery' 'diamond' 'blade' 'servicing'
 'knife' 'router' 'sawn' 'machine' 'stock' 'circular' 'round' 'truss'
 'saw' 'complex' 'supplier' 'extraction']","['timber', 'wood', 'merchants', 'sales', 'sawmilling', 'round', 'tooling', 'saw', 'doctor', 'secondary', 'conversion', 'primary', 'stairs', 'pallets', 'systems', 'doors', 'internal', 'engineered', 'machinery', 'frame']","['machinery', 'saw', 'round', 'wood', 'timber']","['blade', 'servicing', 'circular', 'diamond', 'supplier', 'truss', 'cutter', 'knife', 'machine', 'complex', 'sawn', 'band', 'stock', 'router', 'extraction']"
advertising sales,"['advertising' 'market' 'vision' 'sector' 'competitor' 'territory'
 'marketing' 'goal' 'budget' 'workforce' 'agency' 'leadership' 'brand'
 'negotiation' 'motivation' 'quotation' 'expectation' 'success' 'forecast'
 'proposal']","['advertising', 'sales', 'budgets', 'relationship', 'management', 'territories', 'business', 'solutions', 'live', 'events', 'exhibitions']",['advertising'],"['agency', 'leadership', 'quotation', 'expectation', 'forecast', 'competitor', 'success', 'sector', 'proposal', 'goal', 'market', 'budget', 'workforce', 'motivation', 'vision', 'brand', 'marketing', 'territory', 'negotiation']"
advice and guidance,"['professional' 'education' 'mediation' 'course' 'interaction'
 'preference' 'practitioner' 'advocacy' 'rationale' 'look' 'negotiation'
 'network' 'proceeding' 'load' 'contribution' 'achievement' 'acceptance'
 'learning' 'explore' 'disadvantage']","['communication', 'clients', 'advice', 'guidance', 'support', 'service', 'offers', 'liaison', 'liaise', 'communicate', 'procedures', 'exchange', 'information', 'refer', 'referral', 'talk', 'help', 'assistance', 'mediation', 'mediate']",['mediation'],"['acceptance', 'disadvantage', 'network', 'preference', 'rationale', 'course', 'look', 'advocacy', 'load', 'practitioner', 'education', 'interaction', 'proceeding', 'explore', 'contribution', 'achievement', 'negotiation', 'learning', 'professional']"
aeronautical engineering suite 2,"['aircraft' 'moulding' 'assembly' 'servicing' 'resin' 'drawing' 'cable'
 'aviation' 'surface' 'coating' 'panel' 'load' 'engineering' 'loom'
 'vacuum' 'trimming' 'lifting' 'repair' 'cutting' 'livery']","['engineering', 'aeronautical', 'drawings', 'specifications', 'power', 'aircraft', 'materials', 'tools', 'control', 'equipment', 'panels', 'cables', 'assemblies', 'cable', 'composite', 'mouldings', 'fibre', 'seats', 'coatings', 'lifting']","['cable', 'lifting', 'aircraft', 'engineering']","['trimming', 'assembly', 'aviation', 'load', 'vacuum', 'repair', 'livery', 'drawing', 'servicing', 'coating', 'panel', 'loom', 'surface', 'resin', 'moulding', 'cutting']"
aeronautical engineering suite 3,"['aircraft' 'aviation' 'installation' 'fastener' 'engine' 'assembly'
 'moulding' 'overhauling' 'flight' 'engineering' 'modification' 'machine'
 'fault' 'testing' 'fuel' 'rotor' 'radar' 'removal' 'replacement' 'resin']","['engineering', 'aeronautical', 'aircraft', 'components', 'techniques', 'equipment', 'installing', 'assemblies', 'wing', 'systems', 'flying', 'control', 'system', 'power', 'engine', 'fuel', 'maintenance', 'air', 'main', 'testing']","['fuel', 'testing', 'engine', 'aircraft', 'engineering']","['installation', 'fault', 'overhauling', 'removal', 'modification', 'machine', 'rotor', 'assembly', 'aviation', 'fastener', 'resin', 'moulding', 'radar', 'flight', 'replacement']"
african type hair barbering standards,"['hair' 'salon' 'clipper' 'pattern' 'look' 'moustache' 'beard'
 'texturising' 'shape' 'cut' 'grooming' 'comb' 'sodium' 'graduation'
 'contour' 'razor' 'treatment' 'excitement' 'exclusivity' 'exclude']","['hair', 'scalp', 'conditions', 'massage', 'techniques', 'products', 'chemically', 'treated', 'precision', 'cutting', 'skills', 'neckline', 'outline', 'finishes', 'club', 'scissors', 'comb', 'lines', 'short', 'analyse']","['hair', 'comb']","['clipper', 'grooming', 'look', 'graduation', 'sodium', 'salon', 'exclude', 'cut', 'razor', 'beard', 'contour', 'texturising', 'exclusivity', 'pattern', 'treatment', 'moustache', 'shape', 'excitement']"
african type hair hairdressing standards,"['hair' 'salon' 'habia' 'look' 'styling' 'colouring' 'massage' 'colour'
 'scalp' 'image' 'lock' 'venue' 'cross' 'stylist' 'graduation' 'plaiting'
 'hairdressing' 'cut' 'payment' 'shampoo']","['hairdressing', 'colouring', 'hair', 'african', 'type', 'massage', 'natural', 'chemically', 'treated', 'styling', 'techniques', 'cutting', 'locks', 'length', 'graduation', 'clients', 'services', 'new', 'plan', 'products']","['graduation', 'colouring', 'hairdressing', 'hair', 'massage', 'styling']","['shampoo', 'stylist', 'payment', 'scalp', 'cut', 'habia', 'look', 'colour', 'venue', 'cross', 'image', 'lock', 'plaiting', 'salon']"
agricultural crop production,"['crop' 'machinery' 'tractor' 'hygiene' 'chemical' 'vehicle' 'honey'
 'attachment' 'transportation' 'bee' 'nutrient' 'pest' 'disease'
 'disorder' 'cultivation' 'repair' 'soil' 'seed' 'planting' 'harvest']","['machinery', 'equipment', 'comb', 'honey', 'crops', 'rodent', 'pests', 'diseases', 'farm', 'livestock', 'hygiene', 'biosecurity', 'plants', 'nutrients', 'fertiliser', 'fruit', 'tractor', 'mounted', 'fourwheel', 'drive']","['hygiene', 'honey', 'tractor', 'machinery']","['cultivation', 'attachment', 'soil', 'planting', 'bee', 'disorder', 'seed', 'repair', 'crop', 'harvest', 'pest', 'nutrient', 'vehicle', 'disease', 'chemical', 'transportation']"
agricultural management,"['livestock' 'crop' 'enterprise' 'farm' 'forage' 'grass' 'utilisation'
 'animal' 'land' 'incident' 'hygiene' 'harvesting' 'transfer' 'welfare'
 'harvest' 'grazing' 'cropping' 'reuse' 'energy' 'restraint']","['crops', 'farm', 'waste', 'recycle', 'agriculture', 'enterprise', 'policies', 'plans', 'animal', 'livestock', 'plants', 'harvest', 'sheep', 'grass', 'field', 'crop', 'forage', 'management', 'reduce', 'reuse']","['harvest', 'livestock', 'reuse', 'enterprise', 'animal', 'farm', 'grass', 'forage', 'crop']","['transfer', 'land', 'energy', 'welfare', 'restraint', 'incident', 'grazing', 'hygiene', 'harvesting', 'utilisation', 'cropping']"
air conditioning,"['building' 'installation' 'engineering' 'implementing' 'park'
 'establishment' 'contractor' 'refrigeration' 'version' 'accessory'
 'trade' 'entertainment' 'leisure' 'highway' 'pump' 'asbestos' 'presence'
 'church' 'worship' 'conductor']","['safety', 'working', 'environment', 'natural', 'practices', 'procedures', 'environmental', 'air', 'conditioning', 'electrical', 'electronic', 'electrotechnical', 'heating', 'ventilation', 'plumbing', 'refrigeration', 'building', 'services', 'engineering', 'operatives']","['refrigeration', 'building', 'engineering']","['contractor', 'conductor', 'presence', 'park', 'version', 'accessory', 'church', 'highway', 'worship', 'installation', 'pump', 'entertainment', 'leisure', 'implementing', 'establishment', 'trade', 'asbestos']"
air conditioning energy assessment,"['air' 'energy' 'fan' 'cooling' 'refrigerant' 'temperature' 'intent'
 'efficiency' 'exchanger' 'tm' 'heat' 'adequacy' 'refrigeration'
 'suggestion' 'inspector' 'consumption' 'load' 'evaporator' 'owner'
 'affiliation']","['energy', 'assessment', 'air', 'conditioning', 'inspection', 'arrangements', 'consultation', 'property', 'owner', 'client', 'inspect', 'packaged', 'systems', 'types', 'maintenance', 'consumption', 'identify', 'complex', 'recommendations', 'requirements']","['air', 'consumption', 'energy', 'owner']","['affiliation', 'exchanger', 'refrigeration', 'temperature', 'load', 'cooling', 'inspector', 'adequacy', 'refrigerant', 'suggestion', 'heat', 'efficiency', 'tm', 'evaporator', 'intent', 'fan']"
air tightness testing,"['air' 'building' 'calibration' 'envelope' 'pressure' 'fan' 'tightness'
 'quotation' 'average' 'permeability' 'calculation' 'seal' 'methodology'
 'conformance' 'measurement' 'disclaimer' 'contract' 'ventilation'
 'testing' 'airflow']","['air', 'tightness', 'change', 'rate', 'testing', 'building', 'envelope', 'structure', 'fan', 'flow', 'large', 'complex', 'buildings', 'high', 'rise', 'phased', 'handover', 'risk', 'quality', 'assurance']","['tightness', 'air', 'envelope', 'testing', 'building', 'fan']","['average', 'measurement', 'quotation', 'permeability', 'conformance', 'calculation', 'pressure', 'calibration', 'ventilation', 'contract', 'seal', 'methodology', 'airflow', 'disclaimer']"
allergy services,"['allergy' 'allergen' 'reaction' 'diagnosis' 'symptom' 'acute' 'treatment'
 'medication' 'episode' 'food' 'prick' 'avoidance' 'morbidity' 'injector'
 'challenge' 'allergic' 'school' 'exposure' 'family' 'practitioner']","['allergen', 'anaphylaxis', 'angioedema', 'asthma', 'eczema', 'rhinitis', 'urticaria', 'allergic', 'reaction', 'exposure', 'medication', 'risk', 'information', 'acute', 'severe', 'conjunctivitis', 'gastrointestinal', 'challenge', 'tests', 'symptoms']","['exposure', 'allergen', 'allergic', 'reaction', 'challenge', 'acute', 'medication']","['morbidity', 'prick', 'allergy', 'family', 'food', 'episode', 'avoidance', 'practitioner', 'diagnosis', 'symptom', 'treatment', 'injector', 'school']"
anaerobic digestion,"['load' 'biosecurity' 'digestion' 'hygiene' 'lifting' 'route' 'distance'
 'pulling' 'weight' 'gravity' 'hse' 'posture' 'disorder' 'executive'
 'plant' 'lift' 'chemical' 'contamination' 'rodent' 'exhaust']","['health', 'safety', 'contamination', 'chemicals', 'gas', 'network', 'safe', 'manual', 'handling', 'lifting', 'loads']","['contamination', 'lifting']","['posture', 'exhaust', 'gravity', 'weight', 'route', 'rodent', 'pulling', 'hygiene', 'disorder', 'executive', 'load', 'distance', 'lift', 'biosecurity', 'hse', 'chemical', 'digestion', 'plant']"
animal care and welfare,"['animal' 'welfare' 'surgeon' 'dog' 'accommodation' 'coat' 'stock'
 'therapy' 'specie' 'hygiene' 'microchip' 'infection' 'keeper' 'stray'
 'treatment' 'surgery' 'owner' 'pet' 'conservation' 'humane']","['animal', 'health', 'welfare', 'behaviour', 'care', 'biosecurity', 'groom', 'coat', 'breeding', 'animals', 'birth', 'dogs', 'dog', 'style', 'harm', 'training', 'people', 'rehabilitation', 'therapy', 'pet']","['welfare', 'animal', 'dog', 'therapy', 'coat', 'pet']","['surgery', 'specie', 'accommodation', 'infection', 'surgeon', 'humane', 'hygiene', 'owner', 'keeper', 'treatment', 'stray', 'microchip', 'stock', 'conservation']"
animal care management,"['breeding' 'animal' 'welfare' 'stock' '·production' 'excursion'
 'exchange' 'exchanger' 'excise' 'excitation' 'excitement' 'exclude'
 'exclusion' 'exclusivity' 'excretion' 'excretory' 'execute' 'exception'
 'execution' 'executive']","['animal', 'breeding', 'programmes']","['breeding', 'animal']","['execution', 'excretion', 'exchanger', 'excise', 'executive', 'stock', 'exclude', 'exception', '·production', 'excitation', 'welfare', 'exclusion', 'execute', 'exclusivity', 'exchange', 'excursion', 'excretory', 'excitement']"
animal care v2,"['animal' 'accommodation' 'transportation' 'film' '·production' 'exchange'
 'exchanger' 'excise' 'excitation' 'excitement' 'exclude' 'exclusion'
 'exclusivity' 'excretion' 'excretory' 'excursion' 'execute' 'exception'
 'execution' 'executive']","['planning', 'transfer', 'accommodation', 'safe', 'location', 'care']",['accommodation'],"['execution', 'excretion', 'animal', 'exchanger', 'excise', 'executive', 'exclude', 'exception', '·production', 'excitation', 'exclusion', 'execute', 'exclusivity', 'exchange', 'excursion', 'film', 'transportation', 'excretory', 'excitement']"
animal technology,"['animal' 'home' 'establishment' 'office' 'welfare' 'accommodation'
 'breeding' 'licence' 'ga' 'sterilisation' 'cleaning' 'hygiene'
 'anaesthesia' 'barrier' 'infection' 'parturition' 'stock' 'technologist'
 'mother' 'gestation']","['animal', 'health', 'welfare', 'accommodation', 'hygiene', 'animals', 'research', 'surgical', 'procedure', 'anaesthesia', 'infection', 'licence', 'procedures', 'scientific', 'contamination', 'biosecurity', 'equipment', 'genetically', 'altered', 'breeding']","['accommodation', 'anaesthesia', 'welfare', 'infection', 'animal', 'licence', 'hygiene', 'breeding']","['gestation', 'cleaning', 'barrier', 'home', 'ga', 'parturition', 'mother', 'office', 'establishment', 'stock', 'technologist', 'sterilisation']"
animal training,"['animal' 'element' 'artiste' 'accommodation' 'transportation' 'budget'
 'filming' 'film' 'script' 'set' '·production' 'excitement' 'excise'
 'excitation' 'exclusion' 'exchanger' 'exchange' 'excess' 'exclude'
 'excretion']","['audio', 'visual', 'production', 'animal', 'training', 'film', 'set', 'budget', 'recommend', 'animatronics', 'perform', 'script', 'breakdown', 'cost', 'care', 'transportation', 'permits', 'feeding', 'exercise', 'needs']","['budget', 'animal', 'set', 'script', 'transportation', 'film']","['·production', 'accommodation', 'excitation', 'element', 'exchanger', 'exclusion', 'excise', 'excretion', 'excess', 'exchange', 'filming', 'artiste', 'exclude', 'excitement']"
animation,"['animation' 'character' 'sound' 'shot' 'lighting' 'script' 'camera'
 'director' 'model' 'asset' 'motion' 'idea' 'prop' 'budget' 'render'
 'software' 'storyboard' 'art' 'story' 'audience']","['production', 'animation', 'animated', 'digital', '3d', 'create', 'character', 'test', 'evaluate', 'feedback', 'stop', 'motion', 'characters', 'lighting', 'action', 'story', 'brief', 'director', 'style', '3D']","['character', 'lighting', 'director', 'motion', 'story', 'animation']","['asset', 'budget', 'storyboard', 'art', 'model', 'script', 'audience', 'sound', 'camera', 'prop', 'shot', 'software', 'render', 'idea']"
anti money laundering,"['laundering' 'financing' 'money' 'terrorist' 'institution' 'transaction'
 'diligence' 'culture' 'enforcement' 'suspicion' 'conflict' 'breach'
 'assumption' 'jurisdiction' 'compliant' 'vision' 'issuing' 'openness'
 'consultation' 'agency']","['antimoney', 'laundering', 'countering', 'terrorist', 'financing', 'guidance', 'compliance', 'risk', 'culture', 'policy', 'measures', 'suspicious', 'Antimoney', 'Laundering', 'Countering', 'Terrorist', 'Financing', 'money', 'financial', 'information']","['terrorist', 'culture', 'laundering', 'financing', 'money']","['agency', 'issuing', 'suspicion', 'openness', 'jurisdiction', 'diligence', 'conflict', 'breach', 'assumption', 'vision', 'enforcement', 'compliant', 'consultation', 'institution', 'transaction']"
