NOS file name,Suite as per ActiveIS,Suite extracted from pdf
cognmas14.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas2.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas3.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas4.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas5.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas6.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas7.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas8.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas9.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cogppro2.pdf,polymer processing and related operations,empty
cogppro20.pdf,polymer processing and related operations,empty
cogppro23.pdf,polymer processing and related operations,empty
cogppro24.pdf,polymer processing and related operations,empty
cogppro27.pdf,polymer processing and related operations,empty
cogppro3.pdf,polymer processing and related operations,empty
cogppro31.pdf,polymer processing and related operations,empty
cogppro35.pdf,polymer processing and related operations,empty
cogppro38.pdf,polymer processing and related operations,empty
cogppro4.pdf,polymer processing and related operations,empty
cogppro7.pdf,polymer processing and related operations,empty
cogsbp07.pdf,sustainable business practice,empty
cogsbp12.pdf,sustainable business practice,empty
cogsbp13.pdf,sustainable business practice,empty
cogsbp20.pdf,sustainable business practice;traffic office;logistics operations;supply chain management,empty
cogsbp24.pdf,sustainable business practice;sustainability in manufacturing,empty
cogsbp26.pdf,sustainable business practice;sustainability in manufacturing,empty
cogsbp29.pdf,sustainable business practice;sustainability in manufacturing,empty
collect-and-act-upon-feedback--euswm23.pdf,waste resource operations management,waste management
communicate-with-customers-in-the-waste-resource-management-industry-euswm22.pdf,waste resource operations management,waste management
contribute to the provison of customer service for multidrop activities legacy.pdf,driving goods vehicles;courier,driving goods vehicles for multi drop activities
control-maintenance-and-other-engineering-operations-on-a-waste-resource-management-facility-euswm06.pdf,waste resource operations management,waste management
cosbedpo12.pdf,built environment design and consultancy practice,empty
cosvr100l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr101l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr102l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr103l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr104l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr105l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr106l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr109l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr111l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr112l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr114l.pdf,waterproof membrane roofing systems,applied waterproof membranes construction
cosvr115.pdf,waterproof membrane roofing systems,heritage skills construction
cosvr147l.pdf,specialist concrete occupations,specialist concrete operations construction
cosvr155.pdf,demolition construction,demolition; accessing operations and rigging construction
cosvr209.pdf,stonemasonry construction;building maintenance multi trade repair and refurbishment operations;blacksmithing,wood occupations construction
cosvr210.pdf,occupational work supervision construction;accessing operations and rigging construction;cladding occupations construction;controlling lifting operations construction;construction site supervision;construction site management;decorative finishing and industrial painting occupations construction;construction operations construction;floorcovering occupations construction;interior systems construction;plastering construction;sub structure work occupations construction;trowel occupations construction;wood occupations construction;woodmachining construction sawmilling extrusion furniture;building maintenance multi trade repair and refurbishment operations;blacksmithing;drilling operations,wood occupations construction
cosvr211.pdf,occupational work supervision construction;accessing operations and rigging construction;cladding occupations construction;decorative finishing and industrial painting occupations construction;floorcovering occupations construction;formwork construction;interior systems construction;roofing occupations construction;trowel occupations construction;wall and floor tiling construction;woodmachining construction sawmilling extrusion furniture;wood occupations construction;building maintenance multi trade repair and refurbishment operations;blacksmithing;drilling operations,wood occupations construction
cosvr254.pdf,construction design management coordination level 4 nos,empty
cosvr27.pdf,wood occupations construction,heritage skills construction
cosvr298.pdf,roofing occupations construction;waterproof membrane roofing systems;cladding occupations construction,roofing occupations construction ; applied waterproof membranes construction ; cladding occupations construction ; heritage skills construction
cosvr312l.pdf,specialist concrete occupations construction,specialist concrete operations
cosvr373.pdf,construction and civil engineering operations,construction operations and civil engineering services construction
cosvr402l.pdf,plant operations construction;accessing operations and rigging construction;cladding occupations construction;construction diving operations;construction operations and civil engineering services construction;demolition construction;erection of precast concrete construction;innovative modern methods of construction;mastic asphalt construction;piling operations construction;site logistics operations construction;specialist installation occupations construction;steelfixing construction;stonemasonry construction;sub structure work occupations construction;temporary traffic management construction;tunnelling operations construction;wall and floor tiling construction;wood occupations construction,wood occupations construction
cosvr46.pdf,chimney engineering construction,trowel occupations construction
cosvr500.pdf,construction operations construction,heritage skills construction
cosvr501.pdf,construction operations construction,heritage skills construction
cosvr60.pdf,specialist concrete occupations construction,wood occupations construction
cosvr617l.pdf,post tensioning operations construction,site logistics construction
cosvr641.pdf,"wood occupations construction;accessing operations and rigging construction;associated industrial services occupations construction;building maintenance multi trade repair and refurbishment operations;carving occupations construction;chimney engineering construction;cladding occupations construction;construction operations and civil engineering services;construction diving operations;construction plant or machinery maintenance construction;controlling lifting operations construction;decorative finishing and industrial painting occupations construction;demolition;erection of precast concrete construction;fitted interiors construction;floorcovering occupations construction;formwork construction;heritage skills construction;innovative modern methods of construction;insulation and building treatments construction;interior systems construction;mastic asphalt construction;piling operations construction;plant installation construction;plant operations construction;plastering construction;post tensioning operations construction, refractory installation construction;removal of hazardous and non hazardous waste construction;roofing occupations construction;site logistics construction;specialist concrete occupations construction;specialist installation occupations construction;steelfixing construction;stonemasonry construction;sub structure work occupations construction;super structure work occupations construction;temporary traffic management construction;thermal insulation construction;trowel occupations construction;tunnelling operations construction;wall and floor tiling construction;waterproof membrane roofing systems construction;woodmachining construction sawmilling extrusion furniture;wood preserving industrial pre treatment construction",wood occupations construction
cosvr641l.pdf,wood occupations construction;accessing operations and rigging construction;waterproof membrane roofing systems;associated industrial services occupations construction;chimney engineering construction;cladding occupations construction;construction operations and civil engineering services construction;construction diving operations;controlling lifting operations construction;decorative finishing and industrial painting occupations construction;demolition construction;fitted interiors construction;floorcovering occupations construction;formwork construction;heritage skills construction;innovative modern methods of construction;insulation and building treatments construction;interior systems construction;maintenance operations construction;mastic asphalt construction;piling operations construction;plant installation construction;plant operations construction;plastering construction;post tensioning operations construction;refractory installation construction;removal of hazardous and non hazardous waste construction;roofing occupations construction;site logistics operations construction;specialist concrete occupations construction;specialist installation occupations construction;steelfixing construction;stonemasonry construction;sub structure work occupations construction;super structure work occupations construction;temporary traffic management construction;thermal insulation construction;trowel occupations construction;tunnelling operations construction;wall and floor tiling construction;woodmachining construction sawmilling extrusion furniture;wood preserving industrial pre treatment construction;building maintenance multi trade repair and refurbishment operations;blacksmithing,wood occupations construction
cosvr642.pdf,wood occupations construction;accessing operations and rigging construction;waterproof membrane roofing systems;associated industrial services occupations construction;chimney engineering construction;cladding occupations construction;construction diving operations;construction operations and civil engineering services construction;decorative finishing and industrial painting occupations construction;demolition construction;erection of precast concrete construction;fitted interiors construction;floorcovering occupations construction;formwork construction;innovative modern methods of construction;insulation and building treatments construction;interior systems construction;maintenance operations construction;mastic asphalt construction;piling operations construction;plant operations construction;plastering construction;post tensioning operations construction;refractory installation construction;removal of hazardous and non hazardous waste construction;roofing occupations construction;site logistics operations construction;specialist concrete occupations construction;specialist installation occupations construction;steelfixing construction;stonemasonry construction;sub structure work occupations construction;super structure work occupations construction;temporary traffic management construction;thermal insulation construction;trowel occupations construction;tunnelling operations construction;wall and floor tiling construction;fencing;treework;building maintenance multi trade repair and refurbishment operations;drilling operations;construction skills;;fencing,wood occupations construction
cosvr643.pdf,wood occupations construction;accessing operations and rigging construction;applied waterproof membranes construction;associated industrial services occupations construction;chimney engineering construction;cladding occupations construction;construction operations and civil engineering services;construction diving operations construction;controlling lifting operations construction;decorative finishing and industrial painting occupations construction;demolition;erection of precast concrete construction;fitted interiors construction;floorcovering occupations construction;formwork construction;innovative modern methods of construction;insulation and building treatments construction;interior systems construction;maintenance operations construction;mastic asphalt construction;piling operations construction;plant installation construction;plant operations construction;plastering construction;post tensioning operations construction;refractory installation construction;removal of hazardous and non hazardous waste construction;roofing occupations construction;site logistics construction;specialist concrete occupations construction;specialist installation occupations construction;steelfixing construction;stonemasonry construction;sub structure work occupations construction;super structure work occupations construction;thermal insulation construction;trowel occupations construction;tunnelling operations construction;wall and floor tiling construction;woodmachining construction sawmilling extrusion furniture;wood preserving industrial pre treatment construction;building maintenance multi trade repair and refurbishment operations,wood occupations construction
cosvr672.pdf,construction plant or machinery maintenance;plant installation construction;live events and promotions management;live events and promotion,construction plant or machinery maintenance; live events management; liveevents; plant installations
cosvr711.pdf,construction site supervision;construction skills;fencing,construction site supervision; controlling lifting operations construction
cosvr713.pdf,construction site supervision;treework;agricultural management;construction skills,construction site supervision; construction site management; controllinglifting operations construction
cosvr728.pdf,construction site management;construction skills;fencing,construction site management; controlling lifting operations construction
cs2 maintain registers and use of common sealsc.pdf,governance nos,empty
cs3 plan organise and conduct governing body and committee meetingssc.pdf,governance nos,company secretary
cs4 plan organise and conduct general meetingssc.pdf,governance nos,company secretary
cs5 communicate with key stakeholders.pdf,governance nos,empty
develop-restoration-and-aftercare-schemes-for-landfill-sites-euswm13.pdf,waste resource operations management,waste management
ecidd07.pdf,original,design and draughting
ensure the tanker is loaded correctly legacy.pdf,driving goods vehicles,driving tankers
ensure the tanker is unloaded correctly legacy.pdf,driving goods vehicles,driving tankers
ensure the vehicle is loaded correctly for multidrop activities legacy.pdf,driving goods vehicles;courier,driving goods vehicles for multi drop activities
ensure the vehicle is unloaded correctly for multidrop activities legacy.pdf,driving goods vehicles;courier,driving goods vehicles for multi drop activities
eskitp6023.pdf,accident repair paint,it and telecoms
eskitp7046.pdf,cynnwys y dysgwr,it and telecoms
eskitp7122.pdf,explosives substance and articles key role 10 2009,it and telecoms
eusad01.pdf,anaerobic digestion,gas network construction
eusal01v2.pdf,offshore wind and marine installation and commissioning,advanced lifting
eusal02v2.pdf,offshore wind and marine installation and commissioning,advanced lifting
eusgnc011.pdf,gas network construction,empty
eusgnc011.pdf,gas network construction,empty
eusgnc016.pdf,gas network construction,empty
eusgnc016.pdf,gas network construction,empty
eusunpm19.pdf,recycling activities,utilities network planning and management
euswm35.pdf,waste management,
fspfsic05.pdf,general insurance,insurance claims
fsppp01.pdf,paraplanning,paraplanner
fsppts4.pdf,pension scheme trusteeship;secretary to the trustees of pension funds,pension trustee board secretariat
fsptcs05.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs06.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs07.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs08.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs09.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs10.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs11.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs12.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs14.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs15.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs22.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs23.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs25.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs26.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs27.pdf,training and competence schemes for the financial sector,training and competence manager
fsptcs28.pdf,training and competence schemes for the financial sector,training and competence manager
gov 1 define the remit of a governing body.pdf,governance nos,empty
gov10 comply with the organisation’s legal responsibilities.pdf,governance nos,empty
gov12 manage relationships with stakeholders.pdf,governance nos,empty
gov13 provide information to user groups.pdf,governance nos,empty
gov2 define the composition of the governing body.pdf,governance nos,empty
gov3 appoint and oversee governing body.pdf,governance nos,empty
gov4 organise governing body meetings.pdf,governance nos,empty
gov5 monitor the performance of the governing body.pdf,governance nos,empty
gov6 determine and review the organisation’s purpose vision and values.pdf,governance nos,empty
gov7 determine the organisation’s strategyand its approach to risk.pdf,governance nos,empty
"gov8 ensure the organisation’s structure, resource allocation and remuneration systems align with its strategy.pdf",governance nos,empty
"gov9 establish and seek assurance that internal control, management and compliance procedures are in place.pdf",governance nos,empty
identify-and-generate-new-waste-resource-management-business-opportunities-euswm01.pdf,waste resource operations management,waste management
imiarbg1l.pdf,"maintenance and repair light vehicle;maintenance and repair heavy vehicle;maintenance and repair motorcycle;maintenance and repair caravans and motorhomes;maintenance and repair heavy vehicle trailer;maintenance and repair lift truck;accident repair body;accident repair joining;accident repair mechanical, electrical and trim;accident repair paint;accident repair smart cosmetic;accident repair smart pdr;auto electrical and mobile electrical installation;body building;vehicle recovery;vehicle parts operations;vehicle sales v3;vehicle parts operations v3",empty
imiarbg2l.pdf,"maintenance and repair light vehicle;maintenance and repair motorcycle;maintenance and repair caravans and motorhomes;maintenance and repair heavy vehicle;maintenance and repair heavy vehicle trailer;maintenance and repair lift truck;maintenance and repair technicians;accident repair body;accident repair joining;accident repair mechanical, electrical and trim;accident repair paint;accident repair smart cosmetic;accident repair smart pdr;auto electrical and mobile electrical installation;body building;vehicle recovery;vehicle parts operations;vehicle parts operations v3;vehicle sales v3;automotive glazing","maintenance and repair light vehicle; heavy vehicle, heavy vehicletrailer; motorcycle; lift truck; caravans and motorhomes; accident repair body; paint; joining; mechanical, electrical and trim met ; smart cosmetic;smart paintless dent removal pdr ;auto electrical and mobile electrical installation; body building; roadsideassistance; vehicle recovery; vehicle damage assessors; vehicle fitting;vehicle parts; vehicle sales; autoglazing"
imiarbg3l.pdf,maintenance and repair light vehicle;maintenance and repair motorcycle;maintenance and repair caravans and motorhomes;maintenance and repair heavy vehicle;maintenance and repair heavy vehicle trailer;maintenance and repair lift truck;maintenance and repair technicians;auto electrical and mobile electrical installation;body building;vehicle recovery;vehicle parts operations;vehicle parts operations v3;vehicle sales v3,"maintenance and repair light vehicle; heavy vehicle, heavy vehicletrailer; motorcycle; lift truck; caravans and motorhomes; accident repair body; paint; joining; mechanical, electrical and trim met ; smart cosmetic;smart paintless dent removal pdr ;auto electrical and mobile electrical installation; body building; roadsideassistance; vehicle recovery; vehicle damage assessors; vehicle fitting;vehicle parts; vehicle sales"
imiarbg4l.pdf,"maintenance and repair light vehicle;maintenance and repair motorcycle;maintenance and repair caravans and motorhomes;maintenance and repair heavy vehicle;maintenance and repair heavy vehicle trailer;maintenance and repair lift truck;maintenance and repair technicians;accident repair body;accident repair joining;accident repair mechanical, electrical and trim;accident repair paint;accident repair smart cosmetic;accident repair smart pdr;auto electrical and mobile electrical installation;body building;vehicle recovery;vehicle parts operations;vehicle parts operations v3;vehicle sales v3","maintenance and repair light vehicle; heavy vehicle, heavy vehicletrailer; motorcycle; lift truck; caravans and motorhomes; accident repair body; paint; joining; mechanical, electrical and trim met ; smart cosmetic;smart paintless dent removal pdr ;auto electrical and mobile electrical installation; body building; roadsideassistance; vehicle recovery; vehicle damage assessors; vehicle fitting;vehicle parts; vehicle sales"
imiarbg6.pdf,"maintenance and repair light vehicle;maintenance and repair motorcycle;maintenance and repair caravans and motorhomes;maintenance and repair heavy vehicle;maintenance and repair heavy vehicle trailer;maintenance and repair lift truck;maintenance and repair technicians;accident repair body;accident repair joining;accident repair mechanical, electrical and trim;accident repair paint;accident repair smart cosmetic;accident repair smart pdr;auto electrical and mobile electrical installation;body building;vehicle recovery;vehicle parts operations;vehicle parts operations v3;vehicle sales v3","maintenance and repair light vehicle; heavy vehicle, heavy vehicletrailer; motorcycle; lift truck; caravans and motorhomes; accident repair body; paint; joining; mechanical, electrical and trim met ; smart cosmetic;smart paintless dent removal pdr ;auto electrical and mobile electrical installation; body building; roadsideassistance; vehicle recovery; vehicle damage assessors; vehicle fitting;vehicle parts; vehicle sales"
imiarbg8l.pdf,"maintenance and repair light vehicle;maintenance and repair motorcycle;maintenance and repair caravans and motorhomes;maintenance and repair heavy vehicle;maintenance and repair heavy vehicle trailer;maintenance and repair lift truck;maintenance and repair technicians;accident repair body;accident repair joining;accident repair mechanical, electrical and trim;accident repair paint;accident repair smart cosmetic;accident repair smart pdr;auto electrical and mobile electrical installation;body building;vehicle parts operations;vehicle parts operations v3;vehicle recovery;vehicle sales v3","maintenance and repair light vehicle; heavy vehicle, heavy vehicletrailer; motorcycle; lift truck; caravans and motorhomes; accident repair body; paint; joining; mechanical, electrical and trim met ; smart cosmetic;smart paintless dent removal pdr ;auto electrical and mobile electrical installation; body building; roadsideassistance; vehicle recovery; vehicle damage assessors; vehicle fitting;vehicle parts; vehicle sales"
imirr12.pdf,maintenance and repair motorcycle,roadside assistance; vehicle recovery
implement-and-manage-improvements-and-changes-to-waste-resource-management-systems-and-operations-euswm03.pdf,waste resource operations management,waste management
impmp333kv1.pdf,meat and poultry processing,meat and poultry inspection
lananc54.pdf,animal care and welfare;veterinary paraprofessional activities,animal care and management
lancs35l.pdf,horticulture;livestock production;veterinary paraprofessional activities;treework;croftholders and smallholders,horticulture; crofters and smallholders; agricultural crop production;livestock production
lancs5.pdf,veterinary nursing and auxiliary services;veterinary paraprofessional activities;animal care and welfare;animal technology;crofters and smallholders;equine dental care;horticulture;livestock production,horticulture; agricultural crop production; livestock production; animal care;veterinary nursing and auxiliary services; animal technology
lancs66l.pdf,livestock production;equine;animal care and welfare;security dog handling,livestock production; equine; crofters and smallholders; animal care andwelfare
lanedc1.pdf,veterinary paraprofessional activities,equine dental care
lanem4.pdf,environmental awareness and management;treework;animal care and welfare;environmental conservation;horticulture;land based engineering operations,environmental awareness and management 2009 and animal care and management
lanenc1.pdf,environmental conservation;treework,empty
lanh11.pdf,horticulture;waterproof membrane roofing systems,horticulture; apply waterproof membrains
lanh30.pdf,horticulture,lantra
lanh32.pdf,horticulture;livestock production;agricultural crop production;environmental conservation,horticulture; environmental conservation agricultural crop production;livestock production
lanh9.pdf,horticulture;crofters and smallholders,horticulture; apply water proof membrains
lanlg5.pdf,land based operations,crofters and smallholders
maintain--develop-and-share-ex-euswm21.pdf,waste resource operations management,waste management
maintain-health--safety-and-wellbeing-in-the-waste-resource-management-industry-euswm18.pdf,waste resource operations management,waste management
make-the-most-of-opportunities-sksgs2.pdf,creative media generic skills,editing; production design; visual effects;
man2 03 new version.pdf,metal processing and allied operations suite 2;materials processing and finishing suite 2;composite engineering suite 2;metal processing and allied operations suite 2;rail engineering overhead line equipment construction suite 2,aeronautical engineering suite 2 2006 engineering maintenance and installation suite 2 2008engineering technical support suite 2 2007fabrication and welding suite 2marine engineering suite 2materials processing and finishing suite 2 2003mechanical manufacturing engineering suite 2 2008materials processing and finishing suite 2metal processing and allied operations suite 2metal processing and allied operations suite 3
man3 03 new version.pdf,materials processing and finishing suite 3;metal processing and allied operations suite 3;electrical and electronic engineering suite 3;aeronautical engineering suite 3;automotive engineering suite 3;electrical and electronic engineering suite 3;marine engineering suite 2;marine engineering suite 3;materials processing and finishing suite 3;metal processing and allied operations suite 3;rail engineering overhead line equipment construction suite 3,"aeronautical engineering suite 3 2008 aeronautical engineering suite 3 2009automotive engineering suite 3 2008composite engineering suite 3electrical and electronic engineering suite 3 2004engineering maintenance suite 3 2008engineering technical support suite 3 2009engineering toolmaking suite 3 2005engineering woodworking, pattern and model making suite3 2002fabrication and welding suite 3installation and commissioning suite 3 2003marine engineering suite 3materials processing and finishing suite 3 2003mechanical manufacturing engineering suite 3 2008materials processing and finishing suite 3metal processing and allied operations suite 3electrical and electronic engineering suite 3"
manage-and-maintain-effective-systems-for-responding-to-emergencies-euswm20.pdf,waste resource operations management,waste management
