File name,NOS Title,URN,SOC Code,Suite
astacea1.pdf,"work in a safe, effective and professional manner",astacea1,['3565'],green deal energy advice
astacea2.pdf,prepare for the energy assessment of air conditioning systems,astacea2,['3565'],air conditioning energy assessment
astacea3.pdf,inspect simple / packaged air conditioning systems,astacea3,['3565'],air conditioning energy assessment
astacea4.pdf,inspect complex/central air conditioning systems,astacea4,['3565'],air conditioning energy assessment
astacea5.pdf,report on the energy performance of air conditioning systems,astacea5,['3565'],air conditioning energy assessment
astag12.pdf,liaise with other services,astag12,['9242'],parking control occupations
astap1.pdf,process appeals against local authority decisions,astap1,['4129'],administration of local revenues and benefits
astasps34.pdf,agree client requirements and prepare terms of engagement,astasps34,['2434'],valuation of residential property for secured lending
astasps35.pdf,investigate and evaluate factors that impact on the value of property,astasps35,['2434'],valuation of residential property for secured lending
astasps36.pdf,value property,astasps36,['2434'],valuation of residential property for secured lending
astatt1.pdf,prepare to carry out air tightness testing ,astatt1,['5225'],air tightness testing
astatt10.pdf,"carry out air tightness testing on large and complex, high rise and phased hand over zonal buildings",astatt10,['5225'],air tightness testing
astatt2.pdf,prepare building for air tightness testing,astatt2,['5225'],air tightness testing
astatt3.pdf,carry out air tightness testing for single dwellings and other small buildings  ,astatt3,['5225'],air tightness testing
astatt4.pdf,carry out air tightness testing for non-simple buildings,astatt4,['5225'],air tightness testing
astatt5.pdf,prepare and issue the air tightness test report  ,astatt5,['5225'],air tightness testing
astatt6.pdf,calculate the area of building envelopes,astatt6,['5225'],air tightness testing
astatt7.pdf,manage all calibrated equipment,astatt7,['5225'],air tightness testing
astatt8.pdf,initiate and progress contracts with clients to carry out air tightness testing ,astatt8,['5225'],air tightness testing
astatt9.pdf,quality assure the air tightness testing process ,astatt9,['5225'],air tightness testing
astb1.pdf,develop and implement operational plans for your area of responsibility,astb1,['3565'],local land charges and property information 2009
astb6.pdf,provide leadership in your area of responsibility,astb6,['3565'],local land charges and property information 2009
astbsc1.pdf,work at and clean a biohazard scene,astbsc1,['6240'],specialist cleaning
astbus301.pdf,carry out your responsibilities at work,astbus301,['3565'],local land charges and property information 2009
astbus302.pdf,work within your business environment,astbus302,['3565'],local land charges and property information 2009
astbus406.pdf,"monitor and review the implementation of corporate objectives, strategies and policies",astbus406,['3565'],local land charges and property information 2009
astbus408.pdf,evaluate internal and external factors and promote partnership working,astbus408,['3565'],local land charges and property information 2009
astbus410.pdf,create and manage information systems,astbus410,['3565'],local land charges and property information 2009
astbus412.pdf,chair meetings,astbus412,['3565'],local land charges and property information 2009
astc01.pdf,manage self and relationships and service standards,astc01,['3565'],"surveying, property maintenance and valuation"
astc02.pdf,manage your own work,astc02,['3565'],"surveying, property maintenance and valuation"
astc03.pdf,ensure that your own actions reduce risks to health and safety,astco3,['3565'],"surveying, property maintenance and valuation"
astc102.pdf,maintain personal hygiene standards when cleaning,astc102,['6240'],cleaning and support services 2009
astc105.pdf,work with others and follow reporting procedures,astc105,['6240'],cleaning and support services 2009
astc106.pdf,work individually and follow reporting procedures,astc106,['6240'],cleaning and support services 2009
astc107.pdf,work in an environmentally friendly way,astc107,['6240'],cleaning and support services 2009
astc108.pdf,use and store equipment and cleaning agents in line with organisational procedures,astc108,['6240'],cleaning and support services 2009
astc109.pdf,"deal with waste, recyclables, lost property and suspicious packages",astc109,['6240'],cleaning and support services 2009
astc110.pdf,use electrical or battery powered cleaning equipment effectively and safely,astc110,['6240'],cleaning and support services 2009
astc111.pdf,clean a variety of surfaces using correct methods,astc111,['6240'],cleaning and support services 2009
astc202.pdf,communicate effectively with customers and others,astc202,['6240'],cleaning and support services 2009
astc203.pdf,work as a team and develop yourself,astc203,['6240'],cleaning and support services 2009
astc204.pdf,work individually and develop yourself,astc204,['6240'],cleaning and support services 2009
astc206.pdf,clean and maintain external surfaces and areas,astc206,['6240'],cleaning and support services 2009
astc208.pdf,clean washrooms and replenish supplies,astc208,['6240'],cleaning and support services 2009
astc209.pdf,clean high risk areas,astc209,['6240'],cleaning and support services 2009
astc210.pdf,clean confined spaces,astc210,['6240'],cleaning and support services 2009
astc211.pdf,clean food areas,astc211,['6240'],cleaning and support services 2009
astc212.pdf,deep clean equipment and surfaces,astc212,['6240'],cleaning and support services 2009
astc213.pdf,"clean, maintain and protect hard floors",astc213,['6240'],cleaning and support services 2009
astc214.pdf,clean and maintain soft floors and furnishings,astc214,['6240'],cleaning and support services 2009
astc215.pdf,clean glazed surfaces and façades,astc215,['6240'],cleaning and support services 2009
astc218.pdf,perform street cleansing manually,astc218,['6240'],cleaning and support services 2009
astc219.pdf,perform street cleansing by machine,astc219,['6240'],cleaning and support services 2009
astc221.pdf,use a water-fed pole system to clean windows and facades,astc221,['6240'],cleaning and support services 2009
astc301.pdf,supervise the work of cleaning staff,astc301,['6240'],cleaning and support services 2009
astc302.pdf,contribute to the implementation of systems and best practice in cleaning,astc302,['6240'],cleaning and support services 2009
astc303.pdf,"support equality, diversity and individual rights in the workplace",astc303,['6240'],cleaning and support services 2009
astc309.pdf,supervise the cleaning of food areas,astc309,['6240'],cleaning and support services 2009
astc311.pdf,maintain a sustainable environment in cleaning,astc311,['6240'],cleaning and support services 2009
astc313.pdf,train cleaning staff,astc313,['6240'],cleaning and support services 2009
astccr1.pdf,prepare to carry out clean-room cleaning operations,astccr1,['6240'],specialist cleaning
astccr2.pdf,carry out and complete clean-room cleaning operations,astccr2,['6240'],specialist cleaning
astccr3.pdf,contribute to maintaining the required standard of cleanliness of clean-rooms,astccr3,['6240'],specialist cleaning
astccr4.pdf,respond to spillages in clean-rooms,astccr4,['6240'],specialist cleaning
astccr5.pdf,contribute to the control of infection in clean environments,astccr5,['6240'],specialist cleaning
astcea01.pdf,prepare for the provision of commercial energy advice,astcea01,['3565'],commercial energy advice
astcea02.pdf,establish the asset ratings of commercial buildings,astcea02,['3565'],commercial energy advice
astcea03.pdf,establish the operational rating of buildings,astcea03,['3565'],commercial energy advice
astcea04.pdf,identify effective measures to reduce energy consumption and achieve carbon reduction,astcea04 ,['3565'],commercial energy advice
astcea05.pdf,explain and promote energy efficiency and carbon reduction options to clients,astcea05 ,['3565'],commercial energy advice
astcea06.pdf,develop an energy management and carbon reduction plan with clients,astcea06 ,['3565'],commercial energy advice
astcea07.pdf,support clients to implement energy management and carbon reduction plans,astcea07 ,['3565'],commercial energy advice
astcea08 .pdf,encourage senior management to promote and adopt energy efficiency and carbon reduction strategies and policies,astcea08,['3565'],commercial energy advice
astcs21.pdf,deliver reliable customer service,astcs21,['3565'],local land charges and property information 2009
astcs31.pdf,resolve customer service problems,astcs31,['3565'],local land charges and property information 2009
astd2.pdf,develop productive working relationships with colleagues and stakeholders,astd2,['3565'],local land charges and property information 2009
astd3.pdf,"recruit, select and keep colleagues",astd3,['3565'],local land charges and property information 2009
astd6.pdf,allocate and monitor the progress and quality of work in your area of responsibility,astd6,['3565'],local land charges and property information 2009
astd7.pdf,provide learning opportunities for colleagues,astd7,['3565'],local land charges and property information 2009
astdea1.pdf,work in an effective and professional manner,astdea1,['3565'],domestic energy assessors national occupational standards
astdea2.pdf,prepare for energy assessments of domestic property,astdea2,['3565'],energy advisers
astdea3.pdf,identify representative properties for sampling and multiple certification ,astdea3,['3565'],energy advisers
astdea4.pdf,undertake energy inspections,astdea4,['3565'],energy advisers
astdea5.pdf,produce and explain energy performance certificates relating to domestic property,astdea5,['3565'],green deal energy advice
astdndeas3.pdf,assess the energy performance of new-build non-dwellings prior to first occupancy using the simplified building energy model (sbem),astndeas3,['3565'],non domestic energy assessors
astdndeas4.pdf,assess the energy performance of new-build non-dwellings prior to first occupancy using dynamic simulation models (dsms),astndeas4,['3565'],non domestic energy assessors
astdndeas5.pdf,undertake energy inspections of existing non-dwellings with frequently occurring characteristics using the simplified building energy model (sbem),astndeas5,['3565'],non domestic energy assessors
astdndeas6.pdf,undertake energy inspections of existing non-dwellings using the simplified building energy model (sbem),astndeas6,['3565'],non domestic energy assessors
astdndeas7.pdf,undertake energy inspections of existing non-dwellings requiring the use of dynamic simulation models (dsms),astndeas7,['3565'],non domestic energy assessors
aste1.pdf,manage a budget,aste1,['3565'],local land charges and property information 2009
astea2.pdf,prepare for the provision of energy advice,astea2,['3565'],energy advisers
astea3.pdf,conduct site visits to inspect property and provide initial energy advice to clients,astea3,['3565'],energy advisers
astea5.pdf,monitor the implementation of energy advice,astea5,['3565'],energy advisers
astea6.pdf,promote community action to reduce energy consumption,astea6,['3565'],energy advisers
astea7.pdf,promote low and zero carbon energy technologies,astea7,['3565'],energy advisers
astf6.pdf,monitor and solve customer service problems,astf6,['3565'],local land charges and property information 2009
astf9.pdf,build your organisation’s understanding of its market and customers,astf9,['3565'],local land charges and property information 2009
astffl1.pdf,respond to requests for fire damage limitation work,astffl1,['6240'],specialist cleaning
astffl10.pdf,prevent further damage to structures and contents by flooding,astffl10,['6240'],specialist cleaning
astffl11.pdf,create acceptable dry conditions for restoration operations,astffl11,['6240'],specialist cleaning
astffl2.pdf,assess and estimate work required to limit damage to structures post fire,astffl2,['6240'],specialist cleaning
astffl3.pdf,assess and estimate work required to limit damage to contents post fire,astffl3,['6240'],specialist cleaning
astffl4.pdf,prepare and carry out pre-restoration cleaning to structures,astffl4,['6240'],specialist cleaning
astffl5.pdf,prepare and carry out pre-restoration cleaning to contents,astffl5,['6240'],specialist cleaning
astffl6.pdf,prepare for flood damage emergencies,astffl6,['6240'],specialist cleaning
astffl7.pdf,respond to flood damage emergencies,astffl7,['6240'],specialist cleaning
astffl8.pdf,assess and estimate work required to limit damage to structures after flood,astffl8,['6240'],specialist cleaning
astffl9.pdf,assess and estimate work required to limit damage to contents after flood,astffl9,['6240'],specialist cleaning
astfm301.pdf,establish and monitor the facilities required by clients,astfm301,['1251'],facilities management
astfm305.pdf,maintain the quality of service delivery,astfm305,['1251'],facilities management
astfm306.pdf,contribute to the management of incidents and emergencies,astfm306,['1251'],facilities management
astfm307.pdf,determine the effectiveness of security measures,astfm307,['1251'],facilities management
astfm308.pdf,"prioritise and implement the maintenance of property, systems and services",astfm308,['1251'],facilities management
astfm310.pdf,ensure health and safety requirements are met in your area of responsibility,astfm310,['1251'],facilities management
astfm311.pdf,contribute to maintaining sustainable development and environmental good practice at work legacy,astfm311l,['1251'],facilities management
astfm312.pdf,manage facilities management projects,astfm312,['1251'],facilities management
astfm313.pdf,monitor and report on progress and the use of resources,astfm313,['1251'],facilities management
astfm314.pdf,contribute to the procurement of supplies,astfm314,['1251'],facilities management
astfm315.pdf,implement change,astfm315,['1251'],facilities management
astfm316.pdf,provide leadership for your team,astfm316,['1251'],facilities management
astfm317.pdf,remote support for products or services,astfm317,['1251'],facilities management
astfm318.pdf,supplying information for management control,astfm318,['1251'],facilities management
astfm319.pdf,contributing to the management of performance and the enhancement of value,astfm319,['1251'],facilities management
astfm320.pdf,disaster recovery and contingency planning,astfm320,['1251'],facilities management
astfm321.pdf,reassessing operational performance,astfm321,['3565'],facilities management
astfm323.pdf,allocate and manage the efficient use of space,astfm323,['1251'],facilities management
astfm324.pdf,manage and monitor the efficient use of energy,astfm324,['1251'],facilities management
astfm326.pdf,"specify, commission and manage external contracts and agreements",astfm326,['1251'],facilities management
astfm401.pdf,understand facilities management and its place in the organisation,astfm401,['1251'],facilities management
astfm402.pdf,"devise, plan and implement facilities management policies",astfm402,['1251'],facilities management
astfm403.pdf,manage a range of services in a facilities management environment,astfm403,['1251'],facilities management
astfm404.pdf,"develop, promote and market facilities management services",astfm404,['1251'],facilities management level 4
astfm405.pdf,monitor and implement facilities management projects,astfm405,['1251'],facilities management level 4
astfm406.pdf,manage change in a facilities management environment,astfm406,['1251'],facilities management level 4
astfm407.pdf,"support equality, diversity and individual rights in facilities management",astfm407,['1251'],facilities management level 4
astfm408.pdf,develop productive working relationships with others when delivering facilities management services,astfm408,['1251'],facilities management level 4
astfm409.pdf,deliver facilities management through people,astfm409,['1251'],facilities management level 4
astfm410.pdf,manage facilities management budgets and finances,astfm410,['1251'],facilities management level 4
astfm411.pdf,"implement health and safety, environmental and quality standards for facilities management",astfm411,['1251'],facilities management level 4
astfm412.pdf,manage risks and controls to ensure business continuity,astfm412,['1251'],facilities management
astfm413.pdf,manage operational performance in facilities management,astfm413,['1251'],facilities management
astfm414.pdf,specify and source products and services for facilities management,astfm414,['1251'],facilities management
astfm415.pdf,provide property asset management,astfm415,['1251'],facilities management
astfm416.pdf,manage accommodation and space utilisation,astfm416,['1251'],facilities management
astfm417.pdf,oversee works and maintenance of facilities,astfm417,['1251'],facilities management
astfm418.pdf,carry out energy management of facilities,astfm418,['1251'],facilities management
astfm419.pdf,contribute to sustainable best practice through facilities management,astfm419,['1251'],facilities management
astfm501.pdf,understand the strategic importance of facilities management,astfm501,['1251'],facilities management
astfm502.pdf,oversee the implementation and review of facilities management policies,astfm502,['1251'],facilities management
astfm503.pdf,expand the facilities management service legacy,astfm503l,['1251'],facilities management for senior managers
astfm505.pdf,build and nurture relationships in facilities management legacy,astfm505l,['1251'],facilities management for senior managers
astfm506.pdf,manage finance for facilities management legacy,astfm506l,['1251'],facilities management for senior managers
astfm508.pdf,manage assets and the maintenance strategy,astfm508,['1251'],facilities management
astfm510.pdf,comply with regulation and legislation in facilities management  ,astfm510l,['1251'],facilities management for senior managers
astfm514.pdf,plan estates in facilities management,astfm514l,['1251'],facilities management for senior managers
astfm515.pdf,strategically plan space,astfm515,['1251'],facilities management
astfm516.pdf,mobilise facilities management contracts,astfm516l,['1251'],facilities management for senior managers
astfm517.pdf,implement sustainable facilities management,astfm517,['1251'],facilities management
astgda1.pdf,"provide information to customers on the principles, financing and operation of the green deal (or equivalent programme) ",astgda1,['3565'],green deal energy advice
astgda2.pdf,undertake home visits to carry out green deal (or equivalent programme)occupancy assessments and give advice,astgda2,['3565'],energy advisers
astgda3.pdf,prepare and issue domestic green deal (or equivalent programme) advice reports,astgda3,['3565'],energy advisers
astgda4.pdf,explain the green deal (or equivalent programme) advice report to the domestic customer,astgda4,['3565'],green deal energy advice
astgda5.pdf,carry out non-domestic inspections to determine operational profile and give advice,astgda5,['3565'],energy advisers
astgda6.pdf,prepare and issue non-domestic green deal (or equivalent programme) advice reports,astgda6,['3565'],energy advisers
astgda7.pdf,explain the green deal (or equivalent programme) advice report to the non-domestic customer,astgda7,['3565'],energy advisers
astgen1.pdf,contribute to health and safety in the workplace,astgen1,['6240'],cleaning and support services generic
astgen2.pdf,communicate effectively in the workplace,astgen2,['6240'],cleaning and support services generic
astgen4.pdf,control the use of resources,astgen4,['6240'],specialist cleaning
asth02.pdf,address the challenging behaviour of individuals in a supported housing context ,astho2 ,['3520'],resettlement of offenders
asth201.pdf,develop and maintain relationships with stakeholders in a housing context ,asth201,['3234'],housing
asth202.pdf,maintain effective working relationships with housing colleagues and others ,asth202,['3234'],housing
asth203.pdf,"monitor and maintain health, safety and security of self and others ",asth203,['3234'],housing
asth204.pdf,process documents relating to housing services  ,asth204,['3234'],housing
asth205.pdf,undertake promotional activity within the housing sector,asth205,['3234'],housing
asth206.pdf,advertise and market properties,asth206,['3234'],housing
asth207.pdf,use organisational it systems in a housing context ,asth207,['3234'],housing
asth208.pdf,set up and deal with housing agreements,asth208,['3234'],housing
asth209.pdf,match the needs of customers with available accommodation,asth209,['3234'],housing
asth210.pdf,support the management of housing agreements ,asth210,['3234'],housing
asth211.pdf,organise the maintenance and repair of property ,asth211,['3234'],housing
asth212.pdf,check and record the condition of property ,asth212,['3234'],housing
asth213.pdf,respond to customer requests for repairs ,asth213,['3234'],housing
asth222.pdf,ensure personal safety and security when lone working,asth222,['3234'],housing
asth223.pdf,hold meetings with customers and others ,asth223,['3234'],housing
asth224.pdf,help develop customers to contribute to decision making,asth224,['3234'],housing
asth225.pdf,support residents’ involvement in the local community,asth225,['3234'],housing
asth226.pdf,support the rights of customers in the community ,asth226,['3234'],housing
asth301.pdf,"promote safe, ethical and sustainable practice in your area of responsibility ",asth301,['3234'],housing
asth302.pdf,manage your own resources and professional development,asth302,['1251'],housing
asth303.pdf,develop relationships with others to improve customer service in housing,asth303,['3234'],housing
asth304.pdf,respond to customer requests for repairs,asth304,['1251'],housing
asth305.pdf,inspect the condition of property,asth305,['3234'],housing
asth306.pdf,organise the maintenance and repair of property,asth306,['1251'],housing
asth307.pdf,allocate accommodation to meet customers’ needs  ,asth307,['3234'],housing
asth308.pdf,set up and manage housing related agreements  ,asth308,['3234'],housing
asth309.pdf,monitor and respond to possible breaches of housing related agreements  ,asth309,['3234'],housing
asth310.pdf,sell property to housing customers  ,asth310,['3234'],housing
asth311.pdf,provide housing advice and guidance to customers  ,asth311,['3234'],housing
asth312.pdf,manage empty properties ,asth312,['3234'],housing
asth313.pdf,provide a housing rent service  ,asth313,['3234'],housing
asth314.pdf,manage temporary accommodation ,asth314,['3234'],housing
asth315.pdf,deal with customers by telephone,asth315,['1251'],housing
asth316.pdf,help customers to identify and access development opportunities ,asth316,['3234'],housing
asth317.pdf,arrange and conduct meetings with customers and others ,asth317,['3234'],housing
asth318.pdf,work with customers and groups to develop the community  ,asth318,['3234'],housing
asth319.pdf,develop and sustain partnership or collaborative working arrangements  ,asth319,['3234'],housing
asth320.pdf,develop and promote customer involvement in the organisation ,asth320,['3234'],housing
asth321.pdf,"develop, implement and review support plans with individuals",asth321,['3234'],housing
asth322.pdf,support social and personal development needs of individuals ,asth322,['3234'],housing
asth323.pdf,help customers to move and settle into new living environments ,asth323,['3234'],housing
asth324 x.pdf,"contribute to assessing and act upon risk of danger, harm or abuse",asth324,['1251'],housing
asth325.pdf,work within appropriate boundaries with customers ,asth325,['3234'],housing
asth326.pdf,enable individuals to maintain contacts in potentially isolating situations,asth326,['4113'],housing
asth327.pdf,provide support to customers to reduce the risk of homelessness  ,asth327,['3234'],housing
asth401.pdf,"ensure compliance with legal, regulatory, ethical and social requirements",asth401,['1251'],housing
asth404.pdf,manage and develop individuals  ,asth404,['3234'],housing
asth405.pdf,manage finance for your area of responsibility,asth405,['1251'],housing
asth406.pdf,identify and secure funding in your area of responsibility ,asth406,['3234'],housing
asth407.pdf,manage housing projects and contractors ,asth407,['3234'],housing
asth408.pdf,investigate disputes and breaches of agreement in a housing context ,asth408,['3234'],housing
asth409.pdf,monitor and respond to the potential for legal proceedings in a housing context,asth409,['3234'],housing
asth410.pdf,reduce the number and impact of empty properties ,asth410,['3234'],housing
asth411.pdf,manage housing rent services ,asth411,['3234'],housing
asth412.pdf,contribute to housing review strategies and plans  ,asth412,['3234'],housing
asth413.pdf,work with the private sector to increase the availability of rented homes ,asth413,['3234'],housing
asth414.pdf,implement and manage feedback processes with customers and stakeholders  ,asth414,['3234'],housing
asth415.pdf,set up and manage partnership working arrangements in a housing context ,asth415,['3234'],housing
asth416.pdf,"develop practices which promote choice, well-being and protection of all individuals",asth416,['1251'],housing
asth417.pdf,assess individual needs and preferences,asth417,['1251'],housing
asth418.pdf,"produce, evaluate and amend service delivery plans to meet individual needs and preferences",asth418,['1251'],housing
asth419.pdf,maintain and manage records and reports,asth419,['1251'],housing
asth420.pdf,develop joint working agreements and practices and review their effectiveness,asth420,['1251'],housing
asth421.pdf,recruit and manage volunteers in the housing sector,asth421,['3234'],housing
asth422.pdf,plan and implement change in a housing environment ,asth422,['3234'],housing
asthom2.pdf,contribute to the safety and security of people and property,asthom2,['3565'],home inspectors
asthom3.pdf,prepare for home inspections,asthom3,['3565'],home inspectors
asthom4.pdf,undertake home inspections,asthom4,['3565'],home inspectors
asthom5.pdf,prepare and disseminate home condition reports,asthom5,['3565'],home inspectors
asthss7.pdf,make sure your own actions aim to protect the environment,asthss7,,parking control occupations
astict1.pdf,prepare to carry out cleaning operations on information communication technology (ict) equipment,astict1,['6240'],specialist cleaning
astict2.pdf,carry out information communication technology (ict) equipment cleaning operations,astict2,['6240'],specialist cleaning
astict3.pdf,contribute to the security of the premises,astict3,['6240'],specialist cleaning
astind1.pdf,prepare for and carry out industrial pressure cleaning operations,astind1,['6240'],specialist cleaning
astind2.pdf,prepare for and carry out industrial mechanical cleaning operations,astind2,['6240'],specialist cleaning
astind3.pdf,prepare for and carry out industrial chemical cleaning operations,astind3,['6240'],specialist cleaning
astipc13.pdf,"provide guidance, resources and support to enable staff to minimise the risk of spreading infection",astipc13,,cleaning and support services 2009
astj4.pdf,recruit staff,astj4,['3565'],local land charges and property information 2009
astk1.pdf,make sure your staff can do their work,astk1,['3565'],local land charges and property information 2009
astlb1.pdf,evaluate benefit applications,astlb1,['4129'],administration of local revenues and benefits
