,1,2,3
constructing capital plant steel structures erecting,constructing capital plantsteel structures erecting,,
construction diving operations,construction divingoperations,constructiondiving operations,construction operations
construction operations andcivil engineering services construction,construction operations and civil engineering services construction,constructionoperations and civil engineering services construction,construction operations and civilengineering services construction
constructionoperations and civil engineering services,construction operations and civil engineering services,construction operations and civilengineering services,constructionoperations and civil engineering services construction
contact centre,contact centre 2011,nos for operational delivery contact centre roles,
continuing airworthiness suite 2,continuing airworthiness suite 4,,
controllinglifting operations construction,controlling lifting operations construction,,
craft blacksmithing,craft blacksmith,craft,
craft clock and watch service andrepair,craft clock and watch service and repair,craft,
crofters andsmallholders,crofters and smallholders,crofters and small holders,croftersand smallholders
cultural and heritage venue operations,cultural andheritage venue operations,culturaland heritage venue operations,cultural and heritage venueoperations
cultural and heritage venuemanagement,cultural and heritage venue management,cultural andheritage venue management,culturaland heritage venue management
customer service 2013,customer service 2010,,
decorative finishing and industrialpainting occupations construction,decorative finishing and industrial painting occupations construction,"decorative finishing and industrial painting occupations construction ,accessing operations and rigging, innovative modern methods of construction, maintenance operations",
demoliton,demolition,,
diabetes retinopathy,diabetic retinopathy,diabetes,
drinks dispense systems,drinks dispensesystems,,
electrical and electronic engineering suite 3 2004,electrical and electronic engineering suite 3,engineering,
electronic security systems,electronic security systems 08,,
elementary security occupation,elementary security occupations,,
engineering and manufacture,engineering and manufacture suite4,engineering and manufacture suite 4,engineering
engineering and manufacturesuite 4,engineering and manufacture suite 4,engineering and manufacture suite4,engineering
engineering technical support suite 3 2009,engineering technical support suite 2 2007,engineering,technical support
engineering toolmaking suite 3,engineering toolmaking suite 3 2005,engineering,
"engineering, leadership and management suite 4","engineering, leadership and management suite 5",engineering leadership and management suite 5,engineering leadership and management suite 3
environmentalconservation,environmental conservation,,
equine 2011,equine 2012,equine,
equne,equine,,
erection of precast concrete construction,erection of pre cast concrete construction,,
fabrication and welding suite 3,fabrication and welding suite 2,fabrication and welding engineering suite 3,
family learning v2 2010,family learning,,
fenestration installation and surveying,fenestration and installation surveying,fenestration andinstallation surveying,fenestration installation
fire and rescue sector controloperations,fire and rescue sector control operations,fire rescue sector controloperations,
fire rescue sector control operations 2007,fire rescue sector controloperations,fire and rescue sector control operations,
fisheries management,fisheriesmanagement,"livestockproduction, fisheries management",
"footwear, leathergoods and leather production","footwear,leathergoods and leather production",,
gamblingoperations,gambling operations,gambling,
game and wildlife management,game and wildlifemanagement,gamekeeping and wildlife management,
gamekeeping and wildlifemanagement,gamekeeping and wildlife management,game and wildlifemanagement,
gas network construction,gas networkconstruction,,
hairdressing 2008,hairdressing,,
health and social care nos,health and social care,,
highways maintenance construction,highwaysmaintenance construction,,
hospitality food and beverage service,hospitality €“ food and beverage service,food and beverage,
hospitality €“ generics,hospitality generics,,
hospitality €“ professional cookery,hospitality professional cookery,hospitality professionalcookery,
"inspectors of health, social care, children and young people’s services","inspectors of health, social care children and young people’s services","inspectors of health, social care, children and youngpeople’s services",
installation and commissioning suite 3,installation and commissioning suite 3 2003,,
"installation of domestic fascias, soffits and bargeboards","installation of domestic fascias, soffits andbargeboards","installing domestic fascia, soffit, and bargeboards",
"installation,testing and commissioning of electrical systems and equipment plant","installation, testing and commissioning of electrical systems and equipment plant",,
installing and maintaining audio systems,installing and maintaining audiovisual systems,,
installing plant and systems small bore tubing,installing plant and systems €“ small bore tubing,,
installingplant and systems mechanical,installing plant and systems mechanical,maintaining plant and systems mechanical,
instructing physical activity and exercise 2009,instructing physical activity and exercise,,
insulation and building treatments construction,insulation andbuilding treatments construction,,
international trade and logistics operations,international tradeand logistics operations,international trade and logisticsoperations,international trade and logistics operations higher level suite
international trade andlogistics operations higher level suite,international trade and logistics operations higher level suite,logistics operations,
investigations 2010,investigations,,
it users,it users 6 2,,
keyholding and response,keyholding and response 2008,,
laboratory and associated technical activities suite 3,laboratory and associated technical activities suite 4,laboratory and associated technical activities suite 2,laboratory and associated technical activities suite 3 2010
laboratory and associated technical activities suite 4 2010,laboratory and associated technical activities suite 3 2010,laboratory and associated technical activities suite 2 2010,laboratory and associated technical activities suite 4
laboratory science suite 3 2009,laboratory science suite 3 2008,laboratory science suite 2 2009,laboratory science suite 4 2009
land based engineering operations,land basedengineering operations,engineering,
leadership and management for care services,leadership and management in care services,leadership management in care services,
leadership management incare services,leadership management in care services,leadershipmanagement in care services,leadership and management in care services
leisure management l3 2005,leisure management,,
leisure vehicle component manufacture,leisure vehicle composite component manufacture,,
life sciences and related industries 3,life sciences and related industries 2,life science and related industries 2,
live eventsmanagement,live events management,live events,
liveevents,live events,,
livestockproduction,livestock production,"livestockproduction, fisheries management",
local land charges and property information 2009,local land charges and property information,,
logistics operations,logisticsoperations,international trade and logistics operations,international tradeand logistics operations
maintaining plantand systems instrument and controls,maintaining plant and systems instrument and controls,,
maintainingplant and systems electrical,maintaining plant and systems electrical,maintaining plant and systems mechanical,
maintenance and repair caravans andmotorhomes,maintenance and repair caravans and motorhomes,maintenanceand repair caravans and motorhomes,
maintenance and repair light vehicle,maintenance and repair heavy vehicle,,
maintenance and repair motorcycle,maintenance andrepair motorcycle,motorcycle,
maintenance andrepair heavy vehicle trailer,maintenance and repair heavy vehicle trailer,maintenance and repair heavy vehicle,
maintenance andrepair lift truck,maintenance and repair lift truck,maintenance and repair lifttruck,lift truck
maintenanceand repair heavy vehicle,maintenance and repair heavy vehicle,maintenance and repair heavyvehicle,maintenance and repair heavy vehicle trailer
management and business consultancy nos 2009,nos suite for management and business consultancy,,
managing sport and active leisure,managing sport and active leisure 2006,sport and active leisure,
marine engineering,marine engineering suite 2,marine engineering suite 3,engineering
marketing 2013,marketing,,
materials processing and finishing suite 2 2003,materials processing and finishing suite 3 2003,materials processing and finishing suite 2,materials processing and finishing suite 3
materials processing and finishing suite 3,materials processing and finishing suite 2,materials02processing and finishing suite 3,materials processing and finishing suite 3 2003
materials processing and finishing suite 3metal processing and allied operations suite 2metal processing and allied operations suite 3electrical and electronic engineering suite 3engineering and manufacture suite 4,metal processing and allied operations suite 3,materials processing and finishing suite 3,metal processing and allied operations suite 2
mechanical manufacturing engineering suite 2 2008,mechanical manufacturing engineering suite 3 2008,engineering,
metal processing and allied operations suite 3,metal processing and allied operations suite 2,metal processing andallied operations suite 2,metal processing and allied operations
music performer and composer,music performers and composer,music performers and composers,
nail services 2009,nail services,,
nondestructive testing,non destructive testing,non destructivetesting,
nos for it professionals,nos for it professional,,
officiating level 2,officiating level 3,,
on construction domestic energy assessors,onconstruction domestic energy assessors,domestic energy assessors,
performing engineering operations suite 2,performing engineering operations suite 1,performing engineering operations suite 2 2006,performing engineering operations suite 1 2006
performing manufacturing operations suite 1,performing manufacturing operations suite 2,,
plant installation construction,plant installations construction,,
plantinstallations,plant installations,,
policing and law enforcement c3,policing and law enforcement,policing and law enforcement 2003,
post tensioning operations constructions,post tensioning operations construction,,
power transmissions and distribution,power transmission and distribution,,
precast concrete operations,specialist concrete operations,,
preventing and tackling domestic and orsexual abuse violence,preventing and tackling domestic and or sexual abuse violence,preventing and tackling domestic and or sexualabuse violence,
print administration,printing administration,,
processing operations for the extractive and minerals processing industries,processing operations for the extractive and mineral processing industries,,
providing advice on securities or derivatives in the non retail market,providing advice on securities derivatives in the non retail market,providing advice on securities or derivatives in the retail market,providing advice on securities orderivatives in the retail market
providing cash and valuables in transit services,providing cash and valuables in transit services 2010,,
providing legal services,providing legalservices,,
rail engineering overhead line equipment construction suite 2,rail engineering overhead line equipment construction suite 3,rail engineering overhead line equipment construction suite 2 rail engineering overhead line equipment construction suite 3,rail engineering
rail engineering telecoms suite 3,rail engineering telecoms suite 2,rail engineering,engineering
rail engineering traction and rolling stock suite 3,rail engineering traction and rolling stock suite 2,rail engineering,engineering
refrigeration and air conditioning,refrigeration and airconditioning,air conditioning and refrigeration engineers,air conditioning
removal of hazardous and non hazardouswaste construction,removal of hazardous and non hazardous waste construction,removal ofhazardous and non hazardous waste construction,
residential propertyletting and management,residential property letting and management,,
roadsideassistance,roadside assistance,,
roofingoccupations construction,roofing occupations construction,carving occupations construction,
sales 2013,sales,sales 2010,
scientific manufacture suite 3 2009,scientific manufacture suite 2 2009,scientific manufacture suite 4 2009,
security and loss prevention,security and loss prevention 2007,,
security dog handling,security dog handling 2009,,
security management 2007,security management,,
security searchoperations,security search operations,securitysearch operations,
site logisticsoperations construction,site logistics operations construction,logisticsoperations,
smart metering 3 phase and mediumpressure,smart metering 3 phase and medium pressure,smart metering,
spa therapy,spa therapy 2009,,
specialist installation occupations construction,specialistinstallation occupations construction,specialist installation occupations,specialist installation
specialist installationoccupations,specialist installation occupations,,
sport and play surfaces level 2,sport and play surfaces level 3,,
sports development l2 2005,sports development,,
substructure work occupations construction,sub structure work occupations construction,sub structure workoccupations construction,superstructure work occupations construction
super structure work occupations construction,superstructure work occupations construction,super structure workoccupations construction,sub structure work occupations construction
"supervising hire and rental equipment, plant and tools","supervising hire andrental operations equipment, plant and tools",,
supervising hire and rentaloperations construction,supervising hire and rental operations construction,,
supported housing,supportedhousing,housing,
supporting activities in engineeringconstruction,supporting activities in engineering construction,supporting activities inengineering construction,engineering
sustainabilityin manufacturing,sustainability in manufacturing,,
temporary traffic management construction,temporarytraffic management construction,temporary trafficmanagement construction,traffic management
textiles andmaterial design,textiles and material design,design,
tray fitting tower and columninternals,tray fitting tower and column internals,,
trowel occupations construction,troweloccupations construction,,
tunnellingoperations construction,tunnelling operations construction,,
vehicle damageassessment operations,vehicle damage assessment operations,,
vehicle parts operations v3,vehicle parts operations,vehicleparts operations,vehicle parts
vehicle sales,vehicle sales v3,sales,
warehouse and storage,warehousing and storage,,
woodoccupations construction,wood occupations construction,,
work with parents v2 2010,work with parents,,
youth justice,youthjustice,,
youth work,youth work 2010 v2,,
