,Avg group similarity,NOS 1,NOS 2
Pair 16,1.0,"[coglata2-13] ""Carry out simple scientific or technical tests using automated equipment"" (""carry-out-simple-scientific-or-technical-tests-using-automated-equipment-coglata2-13.pdf"", Current, Original)","[coglata2-13] ""Carry out simple scientific or technical tests using automated equipment"" (""coglata2-13.pdf"", Current, Original)"
Pair 17,1.0,"[coglata3-10] ""Carry out small scale processing"" (""carry-out-small-scale-processing-coglata3-10.pdf"", Current, Original)","[coglata3-10] ""Carry out small scale processing"" (""coglata3-10.pdf"", Current, Original)"
Pair 18,1.0,"[eusfes01] ""Maintain a healthy and safe working environment for waste management activities"" (""maintain-a-healthy-and-safe-working-environment-for-waste-management-activities-eusfes01.pdf"", Current, Original)","[euswo01] ""Maintain a healthy and safe working environment for waste management activities"" (""maintain-a-healthy-and-safe-working-environment-for-waste-management-activities-euswo01.pdf"", Current, Original)"
Pair 19,1.0,"[semaut3-110] ""Finishing the floor assembly, fitting front bulkhead and part fitting services in a leisure vehicle"" (""semaut3110.pdf"", Current, Original)","[ska110] ""Finishing the floor assembly, fitting front bulkhead and part fitting services in a leisure vehicle"" (""ska110.pdf"", Current, Original)"
Pair 20,1.0,"[semaut3-109] ""Assembling a leisure vehicle chassis, floor and running gear"" (""semaut3109.pdf"", Current, Original)","[ska109] ""Assembling a leisure vehicle chassis, floor and running gear"" (""ska109.pdf"", Current, Original)"
Pair 21,1.0,"[semaut3-108] ""Constructing the walls and roof of a leisure vehicle"" (""semaut3108.pdf"", Current, Original)","[ska108] ""Constructing the walls and roof of a leisure vehicle"" (""ska108.pdf"", Current, Original)"
Pair 22,1.0,"[semaut3-107] ""Constructing the floor of a leisure vehicle"" (""semaut3107.pdf"", Current, Original)","[ska107] ""Constructing the floor of a leisure vehicle"" (""ska107.pdf"", Current, Original)"
Pair 23,1.0,"[sfhss07] ""Receive, transmit, store and retrieve information"" (""sfhss07.pdf"", Current, Original)","[sfj za1] ""Receive, transmit, store and retrieve information"" (""sfjza1.pdf"", Current, Original)"
Pair 24,1.0,"[cfacsd20] ""Manage customer service performance"" (""cfacsd20.pdf"", Current, Original)","[sfjcccc3.1] ""Manage customer service performance"" (""sfjcccc3.1.pdf"", Current, Tailored)"
Pair 25,1.0,"[prompr48] ""Applying total productive maintenance"" (""prompr48.pdf"", Current, Original)","[sembit3-12] ""Applying total productive maintenance (tpm)"" (""sembit312.pdf"", Current, Original)"
Pair 26,1.0,"[promg28] ""Receive store and handle materials for processing "" (""promg28.pdf"", Current, Imported)","[propo09] ""Receive, store and handle materials for processing"" (""propo09.pdf"", Current, Original)"
Pair 27,1.0,"[sfjccae1.1] ""Design policy"" (""sfjccae1.1.pdf"", Current, Original)","[sfjpsg2.4.1] ""Design policy"" (""sfjpsg2.4.1.pdf"", Current, Original)"
Pair 28,1.0,"[coglata14] ""Prepare scientific or technical samples for testing activities"" (""coglata14.pdf"", Current, Original)","[coglata14] ""Prepare scientific or technical samples for testing activities"" (""prepare-scientific-or-technical-samples-for-testing-activities-coglata14.pdf"", Current, Original)"
Pair 29,1.0,"[sfhci.o] ""Produce forensic images of the deceased "" (""produce-forensic-images-of-the-deceased--sfhci.pdf"", Current, Original)","[sfhci.o] ""Produce forensic images of the deceased "" (""sfhci.o.pdf"", Current, Original)"
Pair 30,1.0,"[coglata3-19] ""Evaluate and provide scientific or technical assistance for learning activities"" (""coglata3-19.pdf"", Current, Original)","[coglata3-19] ""Evaluate and provide scientific or technical assistance for learning activities"" (""evaluate-and-provide-scientific-or-technical-assistance-for-learning-activities-coglata3-19.pdf"", Current, Original)"
Pair 31,1.0,"[skactic36] ""Support the protection of children from abuse"" (""skactic36.pdf"", Current, Original)","[sklalc36] ""Support the protection of children from abuse"" (""sklalc36.pdf"", Current, Original)"
Pair 32,1.0,"[coglata3-23] ""Provide technical support for computer application software and equipment for learning activities"" (""coglata3-23.pdf"", Current, Original)","[coglata3-23] ""Provide technical support for computer application software and equipment for learning activities"" (""provide-technical-support-for-computer-application-software-and-equipment-for-learning-activities-coglata3-23.pdf"", Current, Original)"
Pair 33,1.0,"[coglata3-17] ""Provide scientific or technical leadership for a workplace team"" (""coglata3-17.pdf"", Current, Original)","[coglata3-17] ""Provide scientific or technical leadership for a workplace team"" (""provide-scientific-or-technical-leadership-for-a-workplace-team-coglata3-17.pdf"", Current, Original)"
Pair 34,1.0,"[coglata4-01] ""Develop and maintain a healthy and safe work environment for scientific or technical activities"" (""coglata4-01.pdf"", Current, Original)","[coglata4-01] ""Develop and maintain a healthy and safe work environment for scientific or technical activities"" (""develop-and-maintain-a-healthy-and-safe-work-environment-for-scientific-or-technical-activities-coglata4-01.pdf"", Current, Original)"
Pair 35,1.0,"[coglata4-06] ""Write scientific or technical reports for workplace activities"" (""coglata4-06.pdf"", Current, Original)","[coglata4-06] ""Write scientific or technical reports for workplace activities"" (""write-scientific-or-technical-reports-for-workplace-activities-coglata4-06.pdf"", Current, Original)"
Pair 36,1.0,"[coglata3-11] ""Diagnose faults, repair and maintain scientific or technical equipment for workplace activities"" (""coglata3-11.pdf"", Current, Original)","[coglata3-11] ""Diagnose faults, repair and maintain scientific or technical equipment for workplace activities"" (""diagnose-faults--repair-and-maintain-scientific-or-technical-equipment-for-workplace-activities-coglata3-11.pdf"", Current, Original)"
Pair 37,1.0,"[coglata3-06] ""Plan scientific or technical sampling and testing activities"" (""coglata3-06.pdf"", Current, Original)","[coglata3-06] ""Plan scientific or technical sampling and testing activities"" (""plan-scientific-or-technical-sampling-and-testing-activities-coglata3-06.pdf"", Current, Original)"
Pair 38,1.0,"[eusfes10] ""Validate waste"" (""validate-waste-eusfes10.pdf"", Current, Original)","[euswo10] ""Validate waste"" (""validate-waste-euswo10.pdf"", Current, Original)"
Pair 39,1.0,"[coglata3-05] ""Provide technical advice and guidance for scientific or technical activities"" (""coglata3-05.pdf"", Current, Original)","[coglata3-05] ""Provide technical advice and guidance for scientific or technical activities"" (""provide-technical-advice-and-guidance-for-scientific-or-technical-activities-coglata3-05.pdf"", Current, Original)"
Pair 40,1.0,"[coglata4-07] ""Manage scientific or technical business processes for workplace activities"" (""coglata4-07.pdf"", Current, Original)","[coglata4-07] ""Manage scientific or technical business processes for workplace activities"" (""manage-scientific-or-technical-business-processes-for-workplace-activities-coglata4-07.pdf"", Current, Original)"
Pair 41,1.0,"[coglata3-01] ""Maintain health and safety in a scientific or technical workplace"" (""coglata3-01.pdf"", Current, Original)","[coglata3-01] ""Maintain health and safety in a scientific or technical workplace"" (""maintain-health-and-safety-in-a-scientific-or-technical-workplace-coglata3-01.pdf"", Current, Original)"
Pair 42,1.0,"[coglata2-08] ""Prepare resources and equipment for scientific or technical learning activities"" (""coglata2-08.pdf"", Current, Original)","[coglata2-08] ""Prepare resources and equipment for scientific or technical learning activities"" (""prepare-resources-and-equipment-for-scientific-or-technical-learning-activities-coglata2-08.pdf"", Current, Original)"
Pair 43,1.0,"[coglata2-10] ""Provide support for scientific or technical learning activities"" (""coglata2-10.pdf"", Current, Original)","[coglata2-10] ""Provide support for scientific or technical learning activities"" (""provide-support-for-scientific-or-technical-learning-activities-coglata2-10.pdf"", Current, Original)"
Pair 44,1.0,"[eusfes42] ""Work safely at heights"" (""work-safely-at-heights-eusfes42.pdf"", Current, Original)","[euswo42] ""Work safely at heights"" (""work-safely-at-heights-euswo42.pdf"", Current, Original)"
Pair 45,1.0,"[coglata2-06] ""Prepare compounds and solutions for scientific or technical use"" (""coglata2-06.pdf"", Current, Original)","[coglata2-06] ""Prepare compounds and solutions for scientific or technical use"" (""prepare-compounds-and-solutions-for-scientific-or-technical-use-coglata2-06.pdf"", Current, Original)"
Pair 46,1.0,"[coglata2-03] ""Use information recording systems for scientific or technical activities"" (""coglata2-03.pdf"", Current, Original)","[coglata2-03] ""Use information recording systems for scientific or technical activities"" (""use-information-recording-systems-for-scientific-or-technical-activities-coglata2-03.pdf"", Current, Original)"
Pair 47,1.0,"[coglata2-05] ""Maintain stocks of resources, equipment and consumables for scientific or technical use"" (""coglata2-05.pdf"", Current, Original)","[coglata2-05] ""Maintain stocks of resources, equipment and consumables for scientific or technical use"" (""maintain-stocks-of-resources--equipment-and-consumables-for-scientific-or-technical-use-coglata2-05.pdf"", Current, Original)"
Pair 48,1.0,"[astlrr2.12] ""Identify rights and burdens relating to applications"" (""astlrr2.12.pdf"", Current, Original)","[astlrr3.12] ""Identify rights and burdens relating to applications"" (""astlrr3.12.pdf"", Current, Original)"
Pair 49,1.0,"[coglata4-10] ""Plan and conduct scientific or technical investigations"" (""coglata4-10.pdf"", Current, Original)","[coglata4-10] ""Plan and conduct scientific or technical investigations"" (""plan-and-conduct-scientific-or-technical-investigations-coglata4-10.pdf"", Current, Original)"
Pair 50,1.0,"[coglata3-15] ""Assess your own scientific or technical knowledge and skills for workplace activities"" (""assess-your-own-scientific-or-technical-knowledge-and-skills-for-workplace-activities-coglata3-15.pdf"", Current, Original)","[coglata3-15] ""Assess your own scientific or technical knowledge and skills for workplace activities"" (""coglata3-15.pdf"", Current, Original)"
Pair 51,1.0,"[coglata3-22] ""Test and evaluate new scientific or technical methods and equipment for learning activities"" (""coglata3-22.pdf"", Current, Original)","[coglata3-22] ""Test and evaluate new scientific or technical methods and equipment for learning activities"" (""test-and-evaluate-new-scientific-or-technical-methods-and-equipment-for-learning-activities-coglata3-22.pdf"", Current, Original)"
Pair 52,1.0,"[coglata4-08] ""Prepare and manage budgets for scientific or technical workplace activities"" (""coglata4-08.pdf"", Current, Original)","[coglata4-08] ""Prepare and manage budgets for scientific or technical workplace activities"" (""prepare-and-manage-budgets-for-scientific-or-technical-workplace-activities-coglata4-08.pdf"", Current, Original)"
Pair 53,0.995,"[sfhrt20] ""Provide technical assistance with the fitting of non-routine custom made devices"" (""sfhrt20.pdf"", Current, Original)","[sfhrt8] ""Provide technical assistance with the fitting of routine custom made devices"" (""sfhrt8.pdf"", Current, Original)"
Pair 54,0.995,"[cfam7.1.6] ""Monitor and control relationship management activities"" (""cfam7.1.6.pdf"", Current, Original)","[sfjccbd2.1] ""Monitor and control relationship management activities"" (""sfjccbd2.1.pdf"", Current, Tailored)"
Pair 55,0.995,"[prompr49] ""Creating standard operating procedures (sop)"" (""prompr49.pdf"", Current, Original)","[sembit3-16] ""Creating standard operating procedures (sop)"" (""sembit316.pdf"", Current, Original)"
Pair 56,0.995,"[cfam4.4.4] ""Co-ordinate communications functions and the dissemination of the organisation’s communications"" (""cfam4.4.4.pdf"", Current, Original)","[sfjccaj1.1] ""Co-ordinate communications functions and the dissemination of the"" (""sfjccaj1.1.pdf"", Current, Tailored)"
Pair 57,0.995,"[proffi317] ""Clarify design briefs and research information"" (""proffi317.pdf"", Current, Original)","[prosf317] ""Clarify design briefs and research information  "" (""prosf317.pdf"", Current, Imported)"
Pair 58,0.995,"[sfhci.a6 ] ""Produce conventional radiographic images for diagnostic purposes using mobile imaging equipment"" (""produce-conventional-radiographic-images-for-diagnostic-purposes-using-mobile-imaging-equipment-sfhci.pdf"", Current, Original)","[sfhci.a6 ] ""Produce conventional radiographic images for diagnostic purposes using mobile imaging equipment"" (""sfhci.a6 .pdf"", Current, Original)"
Pair 59,0.995,"[eusfes13] ""Maintain the security of waste management facilities"" (""maintain-the-security-of-waste-management-facilities-eusfes13.pdf"", Current, Original)","[euswo13] ""Maintain the security of waste management facilities"" (""maintain-the-security-of-waste-management-facilities-euswo13.pdf"", Current, Original)"
Pair 60,0.995,"[cosvr608] ""Operate plant, machinery, equipment or vehicles to prevent, clear or reduce the impact of ice or snow"" (""cosvr608.pdf"", Current, Original)","[cosvr608] ""Operate plant, machinery equipment or vehicles to prevent clear or reduce the impact of ice or snow"" (""cosvr608l.pdf"", Current, Original)"
Pair 61,0.995,"[cosvr367] ""Lay modular pavement"" (""cosvr367.pdf"", Current, Original)","[cosvr367] ""Lay modular pavement"" (""lay-modular-pavement-cosvr367.pdf"", Current, Original)"
Pair 62,0.995,"[sfhci.c] ""Perform, interpret and report on ultrasound examinations"" (""perform--interpret-and-report-on-ultrasound-examinations-sfhci.pdf"", Current, Original)","[sfhci.c] ""Perform, interpret and report on ultrasound examinations"" (""sfhci.c.pdf"", Current, Original)"
Pair 63,0.995,"[eusfes50] ""Perform street cleansing by machine"" (""perform-street-cleansing-by-machine-eusfes50.pdf"", Current, Original)","[euswo50] ""Perform street cleansing by machine"" (""perform-street-cleansing-by-machine-euswo50.pdf"", Current, Original)"
Pair 64,0.995,"[skabt0920] ""Make sure your own actions reduce risks to health and safety "" (""skabt0920.pdf"", Current, Imported)","[skag20] ""Ensure responsibility for actions to reduce risks to health and safety"" (""skag20.pdf"", Current, Original)"
Pair 65,0.995,"[eusfes30] ""Collect recyclable materials"" (""collect-recyclable-materials-eusfes30.pdf"", Current, Original)","[euswo30] ""Collect recyclable materials"" (""collect-recyclable-materials-euswo30.pdf"", Current, Original)"
Pair 66,0.995,"[skssc8] ""Apply coatings for use on film and tv sets by the airless spray method for a film or television production"" (""skssc8.pdf"", Current, Original)","[skssc9] ""Apply coatings for use on film and tv sets by the air spray method for a film or television production"" (""skssc9.pdf"", Current, Original)"
Pair 67,0.995,"[cogsc5] ""Obtain contextual information for nuclear safety cases"" (""cogsc5.pdf"", Current, Original)","[cogsc6] ""Identify safety hazards for nuclear safety cases"" (""cogsc6.pdf"", Current, Original)"
Pair 68,0.995,"[coglata2-07] ""Demonstrate scientific or technical methods, techniques and skills to others in the workplace"" (""coglata2-07.pdf"", Current, Original)","[coglata2-07] ""Demonstrate scientific or technical methods, techniques and skills to others in the workplace"" (""demonstrate-scientific-or-technical-methods--techniques-and-skills-to-others-in-the-workplace-coglata2-07.pdf"", Current, Original)"
Pair 69,0.995,"[coglata2-12] ""Carry out simple scientific or technical tests using manual equipment"" (""carry-out-simple-scientific-or-technical-tests-using-manual-equipment-coglata2-12.pdf"", Current, Original)","[coglata2-12] ""Carry out simple scientific or technical tests using manual equipment"" (""coglata2-12.pdf"", Current, Original)"
Pair 70,0.995,"[eusfes07] ""Control the risk from vehicle and plant movements on waste management facilities"" (""control-the-risk-from-vehicle-and-plant-movements-on-waste-management-facilities-eusfes07.pdf"", Current, Original)","[euswo07] ""Control the risk from vehicle and plant movements on waste management facilities"" (""control-the-risk-from-vehicle-and-plant-movements-on-waste-management-facilities-euswo07.pdf"", Current, Original)"
Pair 71,0.995,"[semaut3-124] ""Setting cnc wood routing and sawing machines for production"" (""semaut3124.pdf"", Current, Original)","[ska124] ""Setting cnc wood routing and sawing machines for production"" (""ska124.pdf"", Current, Original)"
Pair 72,0.995,"[impft157k] ""Principles of extrusion in food technology"" (""impft157k.pdf"", Current, Original)","[impft157k] ""Principles of extrusion in food technology"" (""impft157kl.pdf"", Legacy, Original)"
Pair 73,0.995,"[semem3-85] ""Assisting in the installation of instrumentation and control equipment"" (""semem385.pdf"", Current, Original)","[sememi2-50] ""Assisting in the installation of instrumentation and control equipment"" (""sememi250.pdf"", Current, Original)"
Pair 74,0.995,"[semaut3-117] ""Connecting and testing water pipework and equipment in leisure vehicles"" (""semaut3117.pdf"", Current, Original)","[ska117] ""Connecting and testing water pipework and equipment in leisure vehicles"" (""ska117.pdf"", Current, Original)"
Pair 75,0.995,"[semaut3-116] ""Connecting and testing liquid petroleum gas systems and equipment in leisure vehicles"" (""semaut3116.pdf"", Current, Original)","[ska116] ""Connecting and testing liquid petroleum gas systems and equipment in leisure vehicles"" (""ska116.pdf"", Current, Original)"
Pair 76,0.995,"[coglata3-12] ""Measure, weigh and prepare compounds and solutions for laboratory use"" (""coglata3-12.pdf"", Current, Original)","[coglata3-12] ""Measure, weigh and prepare compounds and solutions for laboratory use"" (""measure--weigh-and-prepare-compounds-and-solutions-for-laboratory-use-coglata3-12.pdf"", Current, Original)"
Pair 77,0.995,"[coglata2-02] ""Maintain effective and efficient working relationships for scientific or technical activities"" (""coglata2-02.pdf"", Current, Original)","[coglata2-02] ""Maintain effective and efficient working relationships for scientific or technical activities"" (""maintain-effective-and-efficient-working-relationships-for-scientific-or-technical-activities-coglata2-02.pdf"", Current, Original)"
Pair 78,0.995,"[impwm112kv1] ""Understand how to blend and stabilise fermented grape juice to produce uk wine"" (""impwm112kv1.pdf"", Current, Original)","[impwm113kv1] ""Understanding how to produce sparkling wine using the traditional method"" (""impwm113kv1.pdf"", Current, Original)"
Pair 79,0.99,"[eusad01] ""Maintain site biosecurity and personal hygiene in anaerobic digestion plants"" (""eusad01 (new).pdf"", Current, Original)","[eusad01maintain site biosecurity and personal hygiene on anaerobic digestion plants] ""Maintain site biosecurity and personal hygiene in anaerobic digestion plants"" (""eusad01.pdf"", Current, Original)"
Pair 80,0.99,"[semet13] ""Handing over and confirming the completion of mould, press tool or die equipment"" (""semet13.pdf"", Current, Original)","[semet313] ""Handing over and confirming the completion of mould, press tool or die equipment"" (""semet313.pdf"", Current, Original)"
Pair 81,0.99,"[sfjba17] ""Promote the interests of individuals in the community"" (""sfjba17.pdf"", Current, Original)","[sfjcjba17] ""Promote the interests of individuals in the community"" (""sfjcjba17.pdf"", Current, Original)"
Pair 82,0.99,"[semet14] ""Preparing and setting power presses"" (""semet14.pdf"", Current, Original)","[semet314] ""Preparing and setting power presses"" (""semet314.pdf"", Current, Original)"
Pair 83,0.99,"[coglata3-21] ""Improve the quality and reliability of scientific or technical activities in the workplace"" (""coglata3-21.pdf"", Current, Original)","[coglata3-21] ""Improve the quality and reliability of scientific or technical activities in the workplace"" (""improve-the-quality-and-reliability-of-scientific-or-technical-activities-in-the-workplace-coglata3-21.pdf"", Current, Original)"
Pair 84,0.99,"[promm9] ""Manage the receipt, storage or dispatch of goods  "" (""promm9.pdf"", Current, Tailored)","[prosum14] ""Manage the receipt, storage or dispatch of goods"" (""prosum14.pdf"", Current, Original)"
Pair 85,0.99,"[sfhci.m] ""Produce dual-energy x-ray absorptiometry (dxa) scans for diagnostic purposes"" (""produce-dual-energy-x-ray-absorptiometry-(dxa)-scans-for-diagnostic-purposes-sfhci.pdf"", Current, Original)","[sfhci.m] ""Produce dual-energy x-ray absorptiometry (dxa) scans for diagnostic purposes"" (""sfhci.m.pdf"", Current, Original)"
Pair 86,0.99,"[cfaop5] ""Make sure people in your business can do their work"" (""cfaop5.pdf"", Current, Original)","[eusra344b] ""Make sure people in your business can do their work"" (""eusra344b.pdf"", Current, Original)"
Pair 87,0.99,"[sfj la5] ""Provide information to clients"" (""sfj ab5.pdf"", Current, Tailored)","[sftdw4] ""Provide information to clients"" (""sftdw4.pdf"", Current, Tailored)"
Pair 88,0.99,"[fspaml18] ""Design and monitor an internal reporting system for suspicious transactions and activities  "" (""design-and-monitor-an-internal-reporting-system-for-suspicious-transactions-and-activities---fspaml18.pdf"", Current, Original)","[fspaml18] ""Design and monitor an internal reporting system for suspicious transactions and activities"" (""fspaml18.pdf"", Current, Original)"
Pair 89,0.99,"[coglata3-14] ""Make presentations for scientific or technical activities in the workplace"" (""coglata3-14.pdf"", Current, Original)","[coglata3-14] ""Make presentations for scientific or technical activities in the workplace"" (""make-presentations-for-scientific-or-technical-activities-in-the-workplace-coglata3-14.pdf"", Current, Original)"
Pair 90,0.99,"[semaut3-130] ""Preparing water and waste pipework and equipment for installation into leisure vehicles"" (""semaut3130.pdf"", Current, Original)","[ska130] ""Preparing water and waste pipework and equipment for installation into leisure vehicles"" (""ska130.pdf"", Current, Original)"
Pair 91,0.99,"[eskitp6035] ""It disaster recovery level 5 role"" (""eskitp6035.pdf"", Current, Original)","[eskitp6036] ""It disaster recovery level 5 role"" (""eskitp6036.pdf"", Current, Original)"
Pair 92,0.99,"[sfj za13] ""Ensure organisational compliance with freedom of information legislation"" (""sfjza13 (2).pdf"", Current, Original)","[sfj za13] ""Ensure organisational compliance with freedom of information legislation"" (""sfjza13.pdf"", Current, Original)"
Pair 93,0.99,"[euswt10] ""Minimise risks to life, property and the environment in electricity power utilities legacy"" (""euswt10l.pdf"", Current, Original)","[euswt10] ""Minimise risks to life, property and the environment in electricity power utilities"" (""minimise-risks-to-life--property-and-the-environment-in-electricity-power-utilities-euswt10.pdf"", Current, Original)"
Pair 94,0.99,"[pplres25organise local signal engineering activities] ""Organise local signal engineering activities"" (""pplres25  organise local signal engineering activities.pdf"", Current, Original)","[pplret24] ""Organise local telecoms engineering activities"" (""pplret24  organise local telecoms engineering activities.pdf"", Current, Original)"
Pair 95,0.99,"[eusfes46] ""Sort and prepare recyclable materials for re-processing"" (""sort-and-prepare-recyclable-materials-for-re-processing-eusfes46.pdf"", Current, Original)","[euswo46] ""Sort and prepare recyclable materials for re-processing"" (""sort-and-prepare-recyclable-materials-for-re-processing-euswo46.pdf"", Current, Original)"
Pair 96,0.99,"[astc212] ""Deep clean equipment and surfaces"" (""astc212.pdf"", Current, Original)","[astpc216] ""Deep clean premises and facilities"" (""astpc216.pdf"", Current, Tailored)"
Pair 97,0.99,"[eusfes09] ""Transport waste"" (""transport-waste-eusfes09.pdf"", Current, Original)","[euswo09] ""Transport waste"" (""transport-waste-euswo09.pdf"", Current, Original)"
Pair 98,0.99,"[coglata2-15] ""Carry out sampling operations for scientific or technical tests"" (""carry-out-sampling-operations-for-scientific-or-technical-tests-coglata2-15.pdf"", Current, Original)","[coglata2-15] ""Carry out sampling operations for scientific or technical tests"" (""coglata2-15.pdf"", Current, Original)"
Pair 99,0.99,"[sfj za12 ] ""Administer compliance with data protection legislation"" (""sfjza12 (2).pdf"", Current, Original)","[sfj za12 ] ""Administer compliance with data protection legislation"" (""sfjza12.pdf"", Current, Original)"
Pair 100,0.99,"[sfhci.i] ""Perform image guided procedures and/or interventions "" (""perform-image-guided-procedures-and-or-interventions--sfhci.pdf"", Current, Original)","[sfhci.i] ""Perform image guided procedures and/or interventions "" (""sfhci.i.pdf"", Current, Original)"
Pair 101,0.99,"[imiag5] ""Shape non-glass based automotive glazing materials "" (""imiag5.pdf"", Current, Tailored)","[proag6] ""Shape automotive glazing materials "" (""proag6.pdf"", Current, Original)"
Pair 102,0.99,"[eusfes18] ""Store waste and operating materials within a waste management facility"" (""store-waste-and-operating-materials-within-a-waste-management-facility-eusfes18.pdf"", Current, Original)","[euswo18] ""Store waste and operating materials within a waste management facility"" (""store-waste-and-operating-materials-within-a-waste-management-facility-euswo18.pdf"", Current, Original)"
Pair 103,0.985,"[semet16] ""Trying out and proving injection moulds"" (""semet16.pdf"", Current, Original)","[semet316] ""Trying out and proving injection moulds"" (""semet316.pdf"", Current, Original)"
Pair 104,0.985,"[semet15] ""Trying out and proving dies"" (""semet15.pdf"", Current, Original)","[semet315] ""Trying out and proving dies"" (""semet315.pdf"", Current, Original)"
Pair 105,0.985,"[semem3-82] ""Assisting in the installation of fluid power equipment"" (""semem382.pdf"", Current, Original)","[sememi2-51] ""Assisting in the installation of fluid power equipment"" (""sememi251.pdf"", Current, Original)"
Pair 106,0.985,"[sfj112] ""Maintain the currency of your competence and knowledge in public service"" (""sfj112.pdf"", Current, Original)","[sfj112] ""Maintain the currency of your competence and knowledge in public service"" (""sfj112l.pdf"", Current, Original)"
Pair 107,0.985,"[sfskr51] ""Attend sites in response to keyholding requests"" (""sfskr51.pdf"", Current, Original)","[sfskr51l] ""Attend sites in response to keyholding requests legacy"" (""sfskr51l.pdf"", Legacy, Original)"
Pair 108,0.985,"[sfs sys 19] ""Control contract work"" (""control-contract-work-sfs sys 19.pdf"", Current, Original)","[sfs sys 19] ""Control contract work"" (""sfssys19.pdf"", Current, Original)"
Pair 109,0.985,"[cfawb7] ""Sell your products or services on the internet"" (""cfawb7.pdf"", Current, Original)","[skspi44] ""Sell your products or services on the internet"" (""skspi44.pdf"", Current, Imported)"
