,Keywords,Keywords_2
astfm412.pdf,"risks, controls, business, continuity, identifying, organisation, facilities management, operation","['Risks; Controls; Business Continuity: Facilities management; Energy', 'Management; Energy Efficiency Measures', '4']"
astfm413.pdf,"operational, facilities management, objectives, performance, managing","['Operational; Facilities Management; Energy Management; Energy Efficiency', 'Measures', '4']"
astfm414.pdf,"facilities management, objectives, environment, procurement, funding","['Facilities management; Environment; Procurement; Energy Management;', 'Energy Efficiency Measures', '4']"
astfm416.pdf,"utilisation, facilities management, design, organisation, needs, design","['Utilisation; Facilities Management; Space Management; Energy Efficiency', '5']"
astfm417.pdf,"facilities management, managers, understanding, health, safety, managing","['Facilities management; Energy Efficiency Measures', '4']"
astfm418.pdf,"managers, facilities management, energy, portfolio, organisation, requirements","['Managers; Facilities Management; Energy; Energy Efficiency Measures', '4']"
calculate-and-administer-fluid-therapy-to-veterinary-patients-lanrvn11.pdf,fluid therapy; flow control; catheters,"['veterinary, nurses, client', '4']"
care-for-veterinary-in-patients-lanaux3.pdf,patient accommodation; nursing care,"['nurses, animals, preparing, equipment', '4']"
ccsapaa1.pdf,ccc,['10']
ccsapaa2.pdf,"archaeological practice, archaeology, heritage;","['Archaeology; Conservation; Research;', '6']"
ccsapah13.pdf,archaeological practice; archaeology; conservation; heritage; resources; resource planning;,"['Archaeology; Archaeological; Practice;, Conservation; Cultural Heritage;', 'Heritage;', '4']"
ccscr34.pdf,manage time for craft practice; blacksmithing,"['budget; comparison; income; expenditure; cashflow;', '4']"
ccsmpr1.pdf,"music, music practitioner, musical arrangement","['Musician; music artist; music performer; composer; arrange music; musical', 'arrangement;', 'CCSMPR1 Arrange music to a brief', '4']"
ccsmpr10.pdf,music; music artist; composer; music collaboration;,"['Music; musician; composer; songwriter; compose music;', '4']"
ccsmpr11.pdf,musict; music artist; composer; multi media music;,"['Music; composition; composer; songwriter;', '4']"
ccsmpr12.pdf,muisc; music artist; musical arrangement; composor;,"['Music; musician; composer; arranger; musical arrangement;', '4']"
ccsmpr15.pdf,music; music artist; composer; digital production technology,"['Music, music performer, composer, music composer, music technology', '4']"
ccsmpr25.pdf,music; music artist; music recording; perform music; musical performance; music performer,"['Music; musician; music performer; music performance; music recording;', '4']"
ccsmpr28.pdf,music; music artist; musical performance; music performer; musical ensemble,"['Musician; music artist; music performer; band; group; musical ensemble;', 'perform music;', '4']"
ccsmpr29.pdf,music artist; music; soloist; accompany a soloist; musical accompaniment,"['Musician; music artist; music performer; accompany soloist; solosit;', 'CCSMPR29 Accompany a soloist', '4']"
ccsmpr30.pdf,music; music artist; musical peformance; music technology,"['Music performer; musician; music technology', '4']"
ccsmpr38.pdf,music; music artist; music performer; composer; harmony; functional harmony; apply functional harmony;,"['Music; musician; music artist; functional harmony; harmony;', 'CCSMPR38 Apply functional harmony', '4']"
ccsmpr4.pdf,music; music artist; musical arrangement; arrangement; composer,"['Music; music artist; music composer; composer; arrangement; musical', 'arrangement;', '4']"
ccsmpr40.pdf,music artist; music performer; music; composer; communicate music;,"['Music; musician; music leader; performer; composer', 'CCSMPR40 Communicate music', '4']"
ccsmpr51.pdf,music; musician; music artist; composer; funding; sponsorship; musical activity,"['Musician; music artist; music performer; composer; songwriter; funding;', 'sponsorship;', '4']"
ccsmpr7.pdf,music; music technology; digital production;composer; musical arrangement; arranger;,"['Music, music performer, music artist, composer, arranger, musical', 'arrangement, music technology', '4']"
ccsmt19.pdf,music; sound engineering; sound recording; recording console; mixing console; mixing; music technology; live events; exhibition,
ccsmt5.pdf,music; musician; sound engineering; music technology,"['Sound; audio; CPD; development; career;', '4']"
ccssl28l.pdf,electrical trades,['4']
ccstp3l.pdf,'',['4']
ccstp52l.pdf,'',['4']
cogls326.pdf,"problem solving, innovation, colleagues","['Encourage problems; problem solving; innovation', '4']"
cogwt24.pdf,"engineering and manufacturing technologies; manufacturing technologies; process, plant and machine operatives; process operatives","['Water; treatment; health; safety; environment; management', '7']"
collect--process-and-preserve--lanrvn9.pdf,animal care; samples; handling,"['animals, nurses, condition, clean', '5']"
collect-and-act-upon-feedback--euswm23.pdf,"manage, management, customer, care, improve, waste, services, utility, utilities, perceptions, performance indicators, customer feedback","['procedure, procedures, procedural, compliance, maintain operating', 'procedures, review procedures, management control, operational instructions', 'EUSWM23 Procedural compliance', '6']"
communicate-using-mobile-voice-communication-equipment-sfscwd7.pdf,community; warden; communicate; mobile; equipment; security,"['community, warden, physical, environment, maintain, maintenance, estate', '5']"
conduct-diagnostic-imaging-on-veterinary-patients-and-produce-the-results--lanrvn14.pdf,"diagnostic imaging, radiography","['veterinary, nurses, methods, laboratories', '4']"
cosao05.pdf,asbestos; condition survey,"['asbestos; surveying', '6']"
cosbedpo12.pdf,,['9']
cosbimb55.4.pdf,building information modelling,[]
cospi28.pdf,goods hoists; passenger hoists; transport platforms; tower cranes; mobile cranes; mobile plant; hoists; static plant,"['Work plans; Planning; Co-ordinating; Work relationships', '6']"
cosvr333.pdf,coating; lay-on; prime; emulsion; varnish; stripe-coat; solvent-borne; waterborne,['9']
cosvr476.pdf,enquiries; problems; customers; relationships; woodmachining; furniture; joinery;,"['Enquiries; Problems; Customers; Relationships', 'COSVR476 Deal with product enquiries', '6']"
develop-restoration-and-aftercare-schemes-for-landfill-sites-euswm13.pdf,"schemes, development, restoration, aftercare, landfill, pollution prevention and control, environmental protection systems, restoration schemes","['manage, transfer, recovered, waste, materials, facility, utility, utilities, pollution', 'prevention and control', '7']"
eusunpm19.pdf,"managing, business, processes, outputs, customers, stakeholders, needs, organisation, legal requirements","['Process; outputs; customers; stakeholders; resources; organisation; legal', 'requirements; utilities; cost; benefit', '4']"
euswm35.pdf,"provide, leadership, responsibility, area, motivating, development objectives, empower, waste, utility, utilities",
fsppfsgti10.pdf,"insurance claim, insurance policy, policies, claim, claimant, application, settlement, insured, uninsured, notification, loss","['insurance broking, broker, insurance policy, insurance cover, policies,', 'application, settlement, insured, uninsured, policy documentation, risk, loss', '5']"
fsppfsgtu18.pdf,"insurance broking, broker, insurance policy, insurance cover, policies, application, settlement, insured, uninsured, policy documentation, risk, loss","['insurance underwriting, insurance policy, insurance cover, policies, policy', 'renewal, policy alteration, application, insured, uninsured, policy', 'documentation, risk, loss', '5']"
handle-and-control-veterinary-patients-in-a-veterinary-setting-lanrvn3.pdf,handling and control; animal care,"['Veterinary, nurses, animals, prevent', '4']"
identify-and-generate-new-waste-resource-management-business-opportunities-euswm01.pdf,"generate, generation, secure, waste, management, business, utility, utilities, market research, promotional activities, analyse, feedback","['reception, waste, utility, utilities, pollution prevention, removal of wastes,', 'unauthorised wastes, waste inspection', '5']"
imiaemei02.pdf,install motor vehicle electrical system enhancements,['7']
imiarpo13.pdf,edge; panel; repair; spray; paint; automotive; vehicle,"['Mix; match; paint; colour; automotive; vehicle', '6']"
imihr10.pdf,"negotiate rates for the hire of goods, equipment or services","['Hire; rental, recover; receive; goods; equipment; off hire', '5']"
imilt018.pdf,conduct diagnostic consultations with lift truck customers,"['IMILT018', '5']"
imilv16.pdf,technical; support; advice; colleagues; motor; vehicle; light; roadside; assistance; recovery,"['Liaise; light; vehicles; product; manufacturers; technical; warranty', '7']"
imimet02l.pdf,"remove, renew and refit electrical components following accident damage ",['5']
imimet03l.pdf,"remove, renew and refit trim components following accident damage ",['5']
imimet08l.pdf,handle automotive refrigerants,['5']
imirr15.pdf,carry out basic motor vehicle repairs at the roadside,['4']
imivf07.pdf,carry out light vehicle four wheel alignment ,['7']
imivrg15v2.pdf,keywords,['5']
imivs5l.pdf,handling vehicle sales telephone enquiries,['4']
impft134k.pdf,impft134k,['4']
implement-and-manage-improvements-and-changes-to-waste-resource-management-systems-and-operations-euswm03.pdf,"manage, improvements, waste, management, operations, utility, utilities, cost benefit analysis","['control, site, operations, transfer, waste, environmental protection, preparation', 'of wastes, unauthorised wastes', '7']"
lanagc5l.pdf,harvest; crops; manual,"['harvest; crops; mechanical', '5']"
lanh14.pdf,crops; plants; nutrients; fertiliser,"['crops; plants; water; irrigation', '5']"
lift-and-handle-goods-safely--sfscsh8.pdf,handle; lift; goods; manual handling,"['Cash, Coin, Reconcile', '5']"
lsi yw14.pdf,youth; young people; values; advocate; behalf; participate; represent; feedback; outcomes; aims; constraints; barriers; encourage; needs; interests; individuals; groups ,"['Youth; young people; diversity; values; beliefs; explore; respect; trust; selfimage; self-esteem; self-confidence; participation; strengths; behaviours;', 'successes; spirituality; conviction; non-belief; resilience', '5']"
maintain--develop-and-share-ex-euswm21.pdf,"waste management; sustainability; environmental practice, regulations  ","['manage, management, transfer, outputs, disposal, residues, biological', 'treatment, operations, utility, utilities', '7']"
maintain-health--safety-and-wellbeing-in-the-waste-resource-management-industry-euswm18.pdf,"health, safety, working, environment, waste, management, personal hygiene, safety, procedures, potential hazards","['manage, management, transfer, outputs, disposal , residues, remediation ,', 'contaminated, contamination, land , utility, utilities, environmental risk', '7']"
manage-and-maintain-the-aftercare-of-closed-and-restored-landfill-sites-euswm15.pdf,"manage, maintain, restored, closed landfill, pollution prevention","['schemes, development, restoration, aftercare, landfill, pollution prevention and', 'control, environmental protection systems, restoration schemes', '7']"
manage-disposal-of-inert-waste-to-land-euswm12.pdf,"manage, site, operations, disposal, waste, landfill, utility, utilities, waste, handling, equipment","['control, activities, waste, management, waste management facility, utility,', 'utilities, objectives, targets', '6']"
manage-site-operations-for-the-remediation-of-contaminated-land-euswm16.pdf,"manage, management, operations, remediation, contaminated, contamination, land, treatment operations, health, safety and the environment","['prepare, preparation, landfill, acceptance, waste, utility, utilities, pollution', 'prevention and control, unauthorised wastes, waste handling equipment,', 'disposal operations', '7']"
manage-the-environmental-impact-of-waste-resource-management-activity-euswm19.pdf,"waste management; sustainability; environmental practice, environmental performance; environmental impact","['manage, management, operations, waste, thermal treatment, facility utilities,', 'utility', '8']"
manage-the-preparation--transfer--transport-and-disposal-of-materials--outputs-and-residues--euswm09.pdf,"manage, outputs, transfer, disposal, residues, waste, treatment, recovery, operations, utility, utilities, unauthorised wastes","['manage, improvements, waste, management, operations, utility, utilities, cost', 'benefit analysis', '7']"
manage-the-treatment-of-non-hazardous-materials-on-a-waste-resource-treatment-facility-euswm08.pdf,"manage, management, operations, waste, biological treatment, facility utilities, utility","['plan, waste, transport, operations, utility, utilities, vehicle capacity, operating', 'schedules, resource management', '6']"
minimise-and-deal-with-aggressive-and-abusive-behaviour-sfscwd3.pdf,community; warden; aggressive; abusive; behaviour; conflict; prevent; security,"['community, warden, safe, secure, incident, environment, hazards,', 'emergencies', '5']"
monitor-and-control-operating-procedures-required-for-legislative-compliance--euswm17.pdf,"procedure, procedures, procedural, compliance, maintain operating procedures, review procedures, management control, operational instructions","['manage, management, operations, remediation, contaminated, contamination,', 'land, treatment operations, health, safety and the environment', '7']"
mpqmg12.pdf,mine; mining; mineral; plant; machinery; equipment; resources; operating; excavate; extract,
mpqmg22.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,"['mine; miner; mining; plant; erect; dismantle', 'MPQMG Erect and dismantle plant in mines', '5']"
mpqmg24.pdf,explosive; mine; detonators; store; receive; issue; security; mining; blasting,
mpqmg25.pdf,explosive; mine; quarry; detonators; store; receive; issue; security; mining; quarrying; blasting,
mpqmg26.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,
mpqmg31.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,"['mine; mining; mineral; waste; store; processing; tip; stockpile; silo; bunker;', 'extract; underground; coal', '5']"
mpqmg32.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,"['mine; mining; mineral; material; separate; waste; by-product; dispose; process', '6']"
mpqmg34.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,
mpqmg37.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,"['mine; mining; mineral; equipment; resources; measure; mark; set up; drill;', 'blast; survey; extract; excavate; install', '5']"
mpqmg39.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,"['mine; mining; quarry; quarrying; tunnelling; demolition; civil engineering;', 'blasting; misfire; explosive', '5']"
mpqmg48.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,
mpqmg49.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,"['mine; mining; plant; machinery; operate; attachment; equipment; mobile;', 'underground; extract; excavate; materials', '5']"
mpqmg51.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid,"['mine; mining; visitors; contractors; tourist; tourism; escort, guide', 'MPQMG51 Escort mine visitors', '5']"
mpqmg52.pdf,mine; mining; mineral; plant; machinery; equipment; resources; secure; loads,"['mine; mining; lamp, self-rescuer; safety; emergency; coal; maintenance', '5']"
mpqmg54.pdf,mine; miner; mining; services; plant; equipment; resources; check; mineral; waste; pumps; mud; slurry; fluid; quarry; extract; extractives; processing; mine; mineral,"['plant; mobile; fork lift truck; crane; hoist; lorry loader; skip; counterbalance;', 'telehandler; operate; lift; transfer', '8']"
mpqpl386.pdf,quarry workers and related operatives; forklift truck drivers; plant and machine operatives,"['plant; extractives; mobile; preparation; prestart; checks; prepare; function', 'checks; fuel; lubricant', '8']"
mpqvg18.pdf,"mine; mining; specialised; powered; tools; equipment; underground; extract; 
excavate; operate; materials; minerals; miner",
mpqvg19.pdf,"mine; mining; ground; control; systems; equipment; underground; extract; 
excavate; operate; materials; minerals; miner; geotechnics; geotechnical; 
subsidence; strata; props pillars; girders; arches; tell-tales",
mpqvg20.pdf,"mine; mining; ground; control; systems; equipment; underground; extract; 
excavate; operate; materials; minerals; miner; geotechnics; geotechnical; 
subsidence; strata; props; pillars; roof bolts; girders; arches; tell-tales",
ppl1fs5l.pdf,provide service; food,"['Trolley, service', '5']"
pplbacem32.pdf,"recondition, electrical, components, bus, coach","['Diagnose, Mechanical, Electrical, Ancillary, fault', '7']"
pplcc14.pdf,"cabin crew, airlines, emergencies","['cabin crew, airlines, security, threat', '5']"
ppleva1.pdf,identify; negotiate; secure; venue; event,"['develop; concept; event', '7']"
ppltpts01.pdf,"transport planning, assessment, economic, environment, safety, policy, plan, scheme","['Professional development, role, responsibility, relationship, time, progress,', 'goal, objective', '8']"
pplukw17.pdf,"recognise and deal with customer queries, requests and problems","['Customer, query, problem', '5']"
pplukw28.pdf,"customer, communication, customer service, ","['Revenue, travel, documents, ticket, journey', '5']"
prepare-and-maintain-the-environment-and-equipment-ready-for-veterinary-surgical-procedures-lanrvn15.pdf,surgical; equipment; animal care,"['animals, monitoring, condition', '4']"
prepare-and-maintain-veterinary-diagnostic-test-equipment-and-materials-lanrvn8.pdf,testing; animal care; equipment,"['nurses, procedures, medical, surgical', '4']"
prepare-landfill-sites-for-the-acceptance-of-inert-waste-euswm11.pdf,"prepare, preparation, landfill, acceptance, waste, utility, utilities, pollution prevention and control, unauthorised wastes, waste handling equipment, disposal operations","['manage, maintain, restored, closed landfill, pollution prevention', '7']"
prepare-proposals-and-obtain-contracts-for-waste-resource-management-services-euswm02.pdf,"prepare, preparation, proposals, contracts, recycling, services, tender negotiations","['movement, sorting, storage, waste, utility, utilities', '6']"
prepare-the-clinical-environments-in-a-veterinary-practice-lanaux2.pdf,clinical environments,"['veterinary, nurses, admitting', '4']"
prepare-veterinary-patients-for-anaesthesia-or-sedation-lanrvn20.pdf,anaesthetics; equipment; animal care; veterinary,"['veterinary, nurses, equipment, x-ray, grids', '4']"
prepare-veterinary-patients-for-medical-procedures-and-diagnostic-investigations-lanrvn4.pdf,preparation; animal care,"['veterinary, nurses, support, services', '5']"
prepare-veterinary-patients-for-veterinary-surgical-procedures-lanrvn16.pdf,surgical; preparation; animal care,"['nurses, animals, blood, solutions', '4']"
proew06l.pdf,"engineered, wood, timber","['Wood; engineering', '4']"
proew09l.pdf,"engineered, wood, timber","['Wood; engineering', '6']"
proew11l.pdf,"wood, engineered, timber","['Wood; engineering', '4']"
programme--deploy-and-collect-data-from-data-logging-equipment-eusldc3.pdf,"data-logging, water network, monitoring, hygiene procedures","['measurement techniques; valve, meter chamber and hydrant covers', '5']"
promc15.pdf,"pottery; tiles; tableware; hotelware; sanitaryware; wood, timber, sales; merchants;","['pottery; tiles; tableware; hotelware; sanitaryware', 'PROMC15 Contribute to improvements', '4']"
provide-a-quality-service-sfscsh4.pdf,cash processing; services; customers; productivity; quality standards; work performance,"['Cash Processing, Services, Customers, Productivity', 'Cash Processing Operations', '7']"
provide-dispensed-veterinary-medicine-under-direction-of-a-registered-qualified-person-lanaux5.pdf,veterinary medicine,"['animals, nurses, illness, recovery', '4']"
provide-general-nursing-care-to-in-patients-in-a-veterinary-practice-lanrvn6.pdf,animal care; fluids; monitoring,"['animals, nurses, examination, medication', '4']"
provide-nursing-care-for-veterinary-patients-in-recovery-lanrvn22.pdf,recovery; nursing care; anaesthesia; sedation,"['nurses, positioning, aseptic, skin', '4']"
provide-support-and-advice-to-clients-regarding-the-care-of-their-animal-lanrvn2.pdf,support; advice; veterinary; animal care,"['veterinary, nurses, animals, equipment', '5']"
provide-witness-statements-of-breaches-of-law-and-regulations-sfscwd5.pdf,community; warden; breaches;  law; regulation; witness; record; statement; security,"['community, warden, information, receive, provide', 'SFSCWD5 Receive and provide information', '4']"
prowtm04l.pdf,"wood, timber, sales; merchants; ","['Wood; timber; yard; receive; goods;', '4']"
psa12 provide information on request from a pension scheme member or member’s representative.pdf,pension scheme; member; member’s representative,"['Pension scheme administration, process, early leaver notifications', '5']"
reconcile-notes-and-coin-and-consignments-sfscsh7.pdf,cash; notes; coin; reconcile,"['Documentation', '5']"
scdcpc409.pdf,"resources, negotiating, budgets, expenditure, marketing, project management; options; appraisal; priorities; agreement; resources; partnership","['resources, negotiating, budgets, expenditure, marketing, project management', ' Manage resources to meet priorities and demand (Commissioning, Procurement and Contracting)', 'Manage resources to meet priorities', '\x0c']"
select-and-prepare-accommodation-for-veterinary-patients-lanrvn5.pdf,veterinary patients; animal care,"['nurses, risks, welfare, restraint', '4']"
sembit305.pdf,"engineering, business, improvement, techniques, developing systems, visual management, performa; engineering leadership","['Engineering, business, improvement, techniques, developing systems, visual', 'management, performance indicators, shadow boards, Kaizan boards', '5']"
sembit5.pdf,"engineering, business, improvement, techniques, continuous; leadership; engineering manufacture","['Engineering, business, improvement, techniques, continuous improvement,', 'kaizen, benchmarking, objectives, targets, operating procedures', '8']"
semem342.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, environmental control, gas', 'scrubbers, solid particle separation, liquid particle separation, clean-up', 'equipment, noise absorbers, vibration absorbers', '8']"
semem344.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, lifts, fault finding, fault diagnosis,', 'diagnostic techniques, diagnostic methods, electrical system, mechanical', 'system, fluid power system', '7']"
semem345.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, lifts, inspection, servicing,', 'schedule, lift car, safety equipment, well equipment', '6']"
semem346.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, lifts, operation, function,', 'adjustment, mechanisms, safety system, lift car', '6']"
semem347.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, lifts, faults, rectification, traction', 'system, doors, safety system, mechanisms, control system', '6']"
semem349v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, escalators, fault finding, fault', 'diagnosis, diagnostic techniques, diagnostic methods, electrical system,', 'mechanical system, electronics', '7']"
semem350v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, escalators, fault rectification, steps,', 'chain assembly, control equipment, safety equipment, motors', '6']"
semem351v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, escalators, servicing, inspection,', 'schedule service, adjustment, operation, safety system', '6']"
semem352v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, escalators, testing, passenger', 'conveyor, test procedure, testing methods, testing equipment, safety system', '5']"
semem353v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, maintenance, electronic, communication, electronic, fault', 'diagnosis, transmitters, receivers, signal processors, display system', '8']"
semem354v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, maintenance, electronic, communication, testing, transmitters,', 'receivers, signal processors, display system', '8']"
semem355v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, maintenance, electronic, communication, testing, transmitters,', 'receivers, signal processors, display system', '9']"
semem356v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, electronic, communication,', 'scheduled maintenance, total preventative maintenance, system operations,', 'system functionality, system condition', '8']"
semem357v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, maintenance, electronic, communication, modifying, transmitters,', 'receivers, signal processors, display system', '8']"
semem358v2.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, manufacturing, maintenance, electronic, communication,', 'configuring, transmitters, receivers, signal processors, display system', '7']"
semem359.pdf,engineering; manufacturing; maintenance; engineering drawings; documentation; technical manuals; technical specifications; illustrations; reference tables; schematic layouts,"['Engineering, installation, electronic, communication, vhtransmitters, receivers,', 'signal processors, display system', '8']"
semem363.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem364.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem365.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem366.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem367.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem368.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem369.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem370.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem371.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem372.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem373.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Engineering, manufacturing, maintenance, engineering drawings,', 'documentation, technical manuals, technical specifications, illustrations,', 'reference tables, schematic layouts', '8']"
semem374.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Fault diagnosis, instrumentation, control equipment, control circuits,', 'engineering, maintenance, manufacturing, diagnostic techniques, faults,', 'maintenance documentation.', '8']"
semem375.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Instrumentation, control equipment, control circuits, engineering, corrective', 'maintenance, manufacturing, compliance with organisational policy and', 'procedures, maintenance/manufacturers documentation, test equipment,', 'maintenance activities.', '8']"
