,NOS 1,NOS 2
Pair 20,"('astll3', 'progress applications to rent property', 'astll3.pdf')","('astrl13 ', 'progress applications to rent property ', 'astrl13.pdf')"
Pair 21,"('astll4', 'negotiate tenancy / licence agreements', 'astll4.pdf')","('astrl14', 'negotiate tenancy/licence agreements', 'astrl14.pdf')"
Pair 22,"('astll7', 'visit tenanted properties', 'astll7.pdf')","('astrl17 ', 'visit tenanted properties ', 'astrl17.pdf')"
Pair 23,"('astllca', 'maintain the statutory local land charges register', 'astllca.pdf')","('astllcb', 'contribute to maintaining the statutory local land charges register', 'astllcb.pdf')"
Pair 24,"('astllck', 'research local land and property information', 'astllck.pdf')","('astllcn', 'conduct personal searches of local land and property information', 'astllcn.pdf')"
Pair 25,"('astlrics2-1', 'give customers a positive impression of yourself and your organisation', 'astlrics21.pdf')","('sfhss04', 'give customers a positive impression of yourself and your organisation', 'sfhss04.pdf')"
Pair 26,"('astlrl14', 'support learners by mentoring in the workplace', 'astlrl14.pdf')","('tdastl68', 'support learners by mentoring in the workplace', 'tdastl68.pdf')"
Pair 27,"('astlrr2.12', 'identify rights and burdens relating to applications', 'astlrr2.12.pdf')","('astlrr3.12', 'identify rights and burdens relating to applications', 'astlrr3.12.pdf')"
Pair 28,"('astlt2', 'establish liabilities and amounts due', 'astlt2.pdf')","('finlt2', 'establish liabilities and amounts due', 'fsplt2.pdf')"
Pair 29,"('astndea8', 'report on the energy assessment of new and existing non-dwellings using the simplified building energy model (sbem)', 'astndea8.pdf')","('astndea9', 'report on the energy assessment of new and existing non-dwellings using dynamic simulation model (dsm)', 'astndea9.pdf')"
Pair 30,"('asto04', 'analyse and evaluate research data and provide information', 'asto04.pdf')","('astspm3o04', 'analyse and evaluate research data and provide information within a surveying', 'astspm3o04.pdf')"
Pair 31,"('asto05', 'use technical information systems and information technology', 'asto05.pdf')","('astspm3o05', 'use technical information systems and information technology within a surveying environment', 'astspm3o05.pdf')"
Pair 32,"('asto06', 'collect, analyse and prevent measured survey data', 'asto06.pdf')","('astspm3o06', 'collect, analyse and present measured survey data within a surveying environment', 'astspm3o06.pdf')"
Pair 33,"('asto07', 'contribute to assessing of the condition of property', 'asto07.pdf')","('astspm3o07', 'contribute to assessing of the condition of property within a surveying environment', 'astspm3o07.pdf')"
Pair 34,"('asto08', 'measure and draft bills of quantities', 'asto08.pdf')","('astspm3o08', 'measure and draft bills of quantities within a surveying environment', 'astspm3o08.pdf')"
Pair 35,"('asto09', 'contribute to the preparation and processing of tender procurement', 'asto09.pdf')","('astspm3o09', 'contribute to the preparation and processing of tender procurement within a surveying environment', 'astspm3o09.pdf')"
Pair 36,"('asto10', 'prepare procurement programmes and schedules of work', 'asto10.pdf')","('astspm3o10', 'prepare procurement programmes and schedules of work within a surveying environment', 'astspm3o10.pdf')"
Pair 37,"('asto11', 'contribute to the co-ordination of site preparation and work programme', 'asto11.pdf')","('astspm3o11', 'contribute to the co-ordination of site preparation and work programme within a surveying environment', 'astspm3o11.pdf')"
Pair 38,"('asto14', 'manage contract cost control', 'asto14.pdf')","('astspm3o14', 'manage contract cost control within a surveying environment', 'astspm3o14.pdf')"
Pair 39,"('asto16', 'contribute to processing property acquisitions', 'asto16.pdf')","('astspm3o16', 'contribute to processing property acquisitions within a surveying environment', 'astspm3o16.pdf')"
Pair 40,"('asto17', 'progress property disposals', 'asto17.pdf')","('astspm3o17', 'progress property disposals within a surveying environment', 'astspm3o17.pdf')"
Pair 41,"('asto18', 'contribute to and process property agreements', 'asto18.pdf')","('astspm3o18', 'contribute to and process property agreements within a surveying environment', 'astspm3o18.pdf')"
Pair 42,"('asto19', 'contribute to the appraisal and valuation of property', 'asto19.pdf')","('astspm3o19', 'contribute to the appraisal and valuation of property within a surveying environment', 'astspm3o19.pdf')"
Pair 43,"('astpar1.2.4', 'develop a strategic plan for the provision of parking', 'astpar1.2.4.pdf')","('sfs evs 2', 'develop a strategic plan for the provision of event security', 'sfsevs2.pdf')"
Pair 44,"('astpar1.2.7', 'monitor and evaluate parking strategy and objectives', 'astpar1.2.7.pdf')","('sfjhf122', 'monitor and evaluate the quality of mentoring/befriending services', 'sfjhf122.pdf')"
Pair 45,"('astpar8.1.4', 'develop and implement policies and practices for the provision of parking services', 'astpar8.1.4.pdf')","('sfjhf37', 'develop and embed mentoring/befriending policies and practice', 'sfjhf37.pdf')"
Pair 46,"('astpc03', 'minimise risk to health, safety and the environment', 'astpc03.pdf')","('astpes3', 'minimise risk to health, safety and the environment', 'astpes3.pdf')"
Pair 47,"('astpc10 ', 'advise customers on services and estimate resources and costs', 'astpc10.pdf')","('astpes10', 'advise customers on service and estimate resources and costs', 'astpes10.pdf')"
Pair 48,"('astps3', 'work effectively in the administration of local taxation, benefits, grants and relief schemes', 'astps3.pdf')","('finps3', 'work effectively in the administration of local revenues', 'fspps3.pdf')"
Pair 49,"('astpssf4', 'recognise and deal with customer queries, requests and problems', 'astpssf4.pdf')","('propa530', 'recognise and deal with customer queries, requests and problems', 'propa530.pdf')"
Pair 50,"('astrbm02', 'set up management agreements for property', 'astrbm02.pdf')","('astrbm2', 'set up management agreements for property ', 'astrbm2.pdf')"
Pair 51,"('astrbm07', 'manage service providers for residential blocks', 'astrbm07.pdf')","('astrbm7', 'manage service providers for residential blocks ', 'astrbm7.pdf')"
Pair 52,"('astsal18', 'manage sales relationships with customers', 'astsal18.pdf')","('cfamssns18', 'manage sales relationships with customers', 'cfamssns18.pdf')"
Pair 53,"('eusfes34', 'be aware of and control workplace hazards', 'be-aware-of-and-control-workplace-hazards-eusfes34.pdf')","('euswo34', 'be aware of and control workplace hazards', 'be-aware-of-and-control-workplace-hazards-euswo34.pdf')"
Pair 54,"('impbw213', 'carry out dissolved oxygen quality assurance in brewing', 'carry-out-dissolved-oxygen-quality-assurance-in-brewing-impbw213.pdf')","('impbw211', 'carry out quality control for packaging in brewing', 'carry-out-quality-control-for-packaging-in-brewing-impbw211.pdf')"
Pair 55,"('impmp305', 'carry out post-mortem inspection activities (poultry)', 'carry-out-post-mortem-inspection-activities-(poultry)-impmp305.pdf')","('impmp303', 'carry out pre-slaughter inspection activities (red meat)', 'carry-out-pre-slaughter-inspection-activities-(red-meat)-impmp303.pdf')"
Pair 56,"('coglata4-04', 'carry out risk assessments on scientific or technical activity', 'carry-out-risk-assessments-on-scientific-or-technical-activity-coglata4-04.pdf')","('coglata4-04', 'carry out risk assessments on scientific or technical activity', 'coglata4-04.pdf')"
Pair 57,"('coglata2-04', 'carry out routine maintenance, cleaning and checking of scientific or technical equipment', 'carry-out-routine-maintenance--cleaning-and-checking-of-scientific-or-technical-equipment-coglata2-04.pdf')","('coglata2-04', 'carry out routine maintenance, cleaning and checking of scientific or technical equipment', 'coglata2-04.pdf')"
Pair 58,"('coglata2-15', 'carry out sampling operations for scientific or technical tests', 'carry-out-sampling-operations-for-scientific-or-technical-tests-coglata2-15.pdf')","('coglata2-15', 'carry out sampling operations for scientific or technical tests', 'coglata2-15.pdf')"
Pair 59,"('coglata3-09', 'carry out scientific or technical investigations', 'carry-out-scientific-or-technical-investigations-coglata3-09.pdf')","('coglata3-09', 'carry out scientific or technical investigations', 'coglata3-09.pdf')"
Pair 60,"('coglata2-13', 'carry out simple scientific or technical tests using automated equipment', 'carry-out-simple-scientific-or-technical-tests-using-automated-equipment-coglata2-13.pdf')","('coglata2-13', 'carry out simple scientific or technical tests using automated equipment', 'coglata2-13.pdf')"
Pair 61,"('coglata2-12', 'carry out simple scientific or technical tests using manual equipment', 'carry-out-simple-scientific-or-technical-tests-using-manual-equipment-coglata2-12.pdf')","('coglata2-12', 'carry out simple scientific or technical tests using manual equipment', 'coglata2-12.pdf')"
Pair 62,"('coglata3-10', 'carry out small scale processing', 'carry-out-small-scale-processing-coglata3-10.pdf')","('coglata3-10', 'carry out small scale processing', 'coglata3-10.pdf')"
Pair 63,"('cogdo10', 'carrying out maintenance within agreed scope of authority in downstream operations', 'carrying-out-maintenance-within-agreed-scope-of-authority-in-downstream-operations-cogdo10.pdf')","('cogdo27', 'participate in carrying out maintenance within agreed scope of authority in downstream operations', 'participate-in-carrying-out-maintenance-within-agreed-scope-of-authority-in-downstream-operations-cogdo27.pdf')"
Pair 64,"('ccsapac2', 'conduct non-intrusive archaeological investigations', 'ccsapac2.pdf')","('ccsapac4', 'conduct intrusive archaeological investigations', 'ccsapac4.pdf')"
Pair 65,"('ccsapae3', 'classify, compile and maintain data on the material remains and intangible heritage of past communities', 'ccsapae3.pdf')","('ccscv9', 'catalogue objects and collections within a cultural venue legacy', 'ccscv9l.pdf')"
Pair 66,"('ccsapah5', 'select personnel for activities', 'ccsapah5.pdf')","('sfj efsm13', 'select personnel for employment', 'sfjefsm13.pdf')"
Pair 67,"('ccsau12', 'prepare battery powered automations systems', 'ccsau12.pdf')","('sksl5', 'prepare battery lighting equipment and systems', 'sksl5.pdf')"
Pair 68,"('ccsau32', 'diagnose  faults on electronic equipment and circuits within automation systems', 'ccsau32.pdf')","('ccsau35', 'diagnosis faults on automation control desks and platforms', 'ccsau35.pdf')"
Pair 69,"('ccscrc01', 'use materials to make plastic clay, slip or glaze for craft ceramics', 'ccscrc01.pdf')","('procc03', 'process materials to make plastic clay, slip or glaze ', 'procc03.pdf')"
Pair 70,"('ccscrg03', 'craft glass by cutting', 'ccscrg03.pdf')","('ccscrg04', 'apply coatings or treatments to glass craftworks', 'ccscrg04.pdf')"
Pair 71,"('ccscv16', 'preparing for and delivering guided tours for visitors to cultural venues legacy', 'ccscv16l.pdf')","('ccscvo6', 'prepare for and deliver guided tours ', 'ccscvo6.pdf')"
Pair 72,"('ccscv27', 'facilitate the use of interactive exhibits legacy', 'ccscv27l.pdf')","('ccscvo7', 'facilitate the use of interactive exhibits ', 'ccscvo7.pdf')"
Pair 73,"('ccsdes20', 'research design concept', 'ccsdes20.pdf')","('proffi404', 'research design concept in the kitchen, bedroom and bathroom industry', 'proffi404.pdf')"
Pair 74,"('ccsdes31', 'manage intellectual property rights', 'ccsdes31.pdf')","('sks im28', 'manage intellectual property rights', 'sks im28.pdf')"
Pair 75,"('ccsdes5', 'follow a design process', 'ccsdes5.pdf')","('proffi402', 'follow a design process in the kitchen, bedroom and bathroom industry', 'proffi402.pdf')"
Pair 76,"('ccsdes7', 'contribute to the production of prototypes, models, mock-ups, artwork, samples or test pieces', 'ccsdes7.pdf')","('proffi403', 'contribute to the production of 2d and 3d prototypes, models, mock-ups, artwork, samples or test pieces', 'proffi403.pdf')"
Pair 77,"('ccsj3.12', 'join silverware components by soldering', 'ccsj3.12.pdf')","('ccsj3.9', 'join jewellery components by soldering ', 'ccsj3.9.pdf')"
Pair 78,"('ccsj3.4', 'demonstrate and apply an understanding of metallurgy to your jewellery or silversmithing work ', 'ccsj3.4.pdf')","('ccsj4.3', 'apply your advanced knowledge of metallurgy to jewellery or silversmithing work ', 'ccsj4.3.pdf')"
Pair 79,"('ccsmb6', 'support a music industry marketing campaign', 'ccsmb06.pdf')","('ccsrcs9', 'support a collecting society marketing campaign within a music business context', 'ccsrcs9.pdf')"
Pair 80,"('ccsmb8', 'support the identity, brand and characteristics of a record label', 'ccsmb08.pdf')","('ccsmp14', 'support the development of the identity, brand and characteristics of a music publishing organisation', 'ccsmp14.pdf')"
Pair 81,"('ccsmb10', 'understanding the music industry and keeping up to date', 'ccsmb10.pdf')","('ccsrcs13', 'understanding collecting societies and keeping up to date with the music industry', 'ccsrcs13.pdf')"
Pair 82,"('ccsmb14', 'assist with budget setting within a record label context', 'ccsmb14.pdf')","('ccsmp43', 'assist with budget setting and control within a music publishing business', 'ccsmp43.pdf')"
Pair 83,"('ccsmp40', 'track royalties and produce invoices within a music publishing context', 'ccsmp40.pdf')","('ccsrcs2', 'track royalties and produce invoices within a music business context', 'ccsrcs2.pdf')"
Pair 84,"('ccsmpr12', 'compose music for film or television', 'ccsmpr12.pdf')","('ccsmpr3', 'arrange music for film or television', 'ccsmpr3.pdf')"
Pair 85,"('ccsmpr13', 'compose music for digital media', 'ccsmpr13.pdf')","('ccsmpr4', 'arrange music for digital media', 'ccsmpr4.pdf')"
Pair 86,"('ccsmpr15', 'use digital production technology in composing music', 'ccsmpr15.pdf')","('ccsmpr7', 'use digital production technology in arranging music', 'ccsmpr7.pdf')"
Pair 87,"('ccssl11', 'rig and check lighting equipment legacy', 'ccssl11l.pdf')","('ccsttl26', 'rig and check lighting equipment  ', 'ccsttl26.pdf')"
Pair 88,"('ccssl17', 'programme and operate a lighting console for live performance legacy', 'ccssl17l.pdf')","('sksl12', 'programme and operate lighting console', 'sksl12.pdf')"
Pair 89,"('ccssl22', 'source sound equipment legacy', 'ccssl22l.pdf')","('ccsttl16', 'source and obtain sound equipment', 'ccsttl16.pdf')"
Pair 90,"('ccstp33', 'oversee the preparation and use of equipment for rigging and de-rigging for the entertainment industry legacy', 'ccstp33l.pdf')","('ccsttl25', 'oversee rigging and de-rigging activity for live productions', 'ccsttl25.pdf')"
Pair 91,"('ccstp37', 'prepare for flying for a live performance legacy', 'ccstp37l.pdf')","('ccsttl44', 'prepare for and operate flying for live productions', 'ccsttl44.pdf')"
Pair 92,"('ccstp55', 'set up flying and install flown components legacy', 'ccstp55l.pdf')","('ccsttl32', 'set up flying and install flown components for live productions', 'ccsttl32.pdf')"
Pair 93,"('ccstp69', 'run and crew an ongoing production legacy', 'ccstp69l.pdf')","('ccsttl50', 'manage ongoing live productions  ', 'ccsttl50.pdf')"
Pair 94,"('ccsttl27', 'connect wiring systems, wiring enclosures and equipment ', 'ccsttl27.pdf')","('sumets23', 'connect electrical systems, equipment and components - legacy', 'sumets23l.pdf')"
Pair 95,"('ccsttl30', 'set up and check sound equipment for live productions', 'ccsttl30.pdf')","('skss12', 'set up and check sound equipment', 'set-up-and-check-sound-equipment-skss12.pdf')"
Pair 96,"('cfabaa114', 'plan change for a team', 'cfabaa114.pdf')","('cfabaa115', 'plan change across teams', 'cfabaa115.pdf')"
Pair 97,"('cfabaa621', 'make and receive telephone calls', 'cfabaa621.pdf')","('ppl1foh4', 'make and receive telephone calls ', 'ppl1foh4l.pdf')"
Pair 98,"('cfabaa624', 'accept instructions to manage and improve own performance in a business environment', 'cfabaa624.pdf')","('sfjpd1.1', 'accept instructions to manage and improve own performance in a', 'sfjpd1.1.pdf')"
Pair 99,"('cfabac312', 'provide reception services', 'cfabac312.pdf')","('ppl2foh9', 'provide reception services', 'ppl2foh9l.pdf')"
Pair 100,"('cfabad112', 'design and develop an information system', 'cfabad112.pdf')","('sfjpa1.4', 'design and develop information systems', 'sfjpa1.4.pdf')"
Pair 101,"('cfabaf173', 'review and maintain work in a business environment', 'cfabaf173.pdf')","('sfjpk1.5', 'review and maintain work in a business environment', 'sfjpk1.5.pdf')"
Pair 102,"('cfabah111', 'support the monitoring and evaluation of trends and events that affect organisations', 'cfabah111.pdf')","('cfabah114', 'monitor and evaluate trends and events that affect organisations', 'cfabah114.pdf')"
Pair 103,"('cfabat001', 'evaluate and develop the organisation’s ability to bid', 'cfabat001l.pdf')","('insbtp001', 'evaluate and develop your organisation’s ability to bid', 'evaluate-and-develop-your-organisation’s-ability-to-bid-insbtp001.pdf')"
Pair 104,"('cfabd1', 'check the likely success of a business idea', 'cfabd1.pdf')","('skabt0923', 'check the likely success of a business idea ', 'skabt0923.pdf')"
Pair 105,"('cfabd6', 'make changes to improve the business', 'cfabd6.pdf')","('euswm65l', 'make changes to improve your business legacy', 'euswm65.pdf')"
Pair 106,"('cfabi2', 'undertake freelance work', 'cfabi2.pdf')","('skabt0925', 'undertake freelance work ', 'skabt0925.pdf')"
Pair 107,"('cfabi4l', 'provide and maintain the materials needed to deliver business information - legacy', 'cfabi4l.pdf')","('scdldss310', 'provide and maintain information materials for use in the service ', 'scdldss310l.pdf')"
Pair 108,"('cfabs2', 'monitor the quality and use of supplies and equipment in your business', 'cfabs2.pdf')","('euswm68l', 'monitor the quality and use of supplies and equipment in your business legacy', 'euswm68.pdf')"
Pair 109,"('cfacsa14', 'use customer service as a competitive tool', 'cfacsa14.pdf')","('prompr17', 'use customer service as a competitive tool', 'prompr17.pdf')"
Pair 110,"('cfacsa17', 'champion customer service', 'cfacsa17.pdf')","('prompr18', 'champion customer service', 'prompr18.pdf')"
Pair 111,"('cfacsa4', 'give customers a positive image of yourself and your organisation', 'cfacsa4.pdf')","('sfs5l', 'give a positive image of yourself legacy', 'sfs5.pdf')"
Pair 112,"('cfacsa5', 'promote additional services or products to customers', 'cfacsa5.pdf')","('sfjcccd1.2', 'provide additional services or products to customers', 'sfjcccd1.2.pdf')"
Pair 113,"('cfacsa6', 'process information about customers', 'cfacsa6.pdf')","('sfjccdb4.1', 'process information about customer service', 'sfjccdb4.1.pdf')"
Pair 114,"('cfacsb10', 'organise the delivery of reliable customer service', 'cfacsb10.pdf')","('sfjpc1.6', 'operational delivery, processing, customer service behaviours and processes, effective relationships with colleagues and', 'sfjpc1.6.pdf')"
Pair 115,"('cfacsb16', 'deliver seamless customer service with a team', 'cfacsb16.pdf')","('sfjpc1.7', 'deliver seamless customer service with a team', 'sfjpc1.7.pdf')"
Pair 116,"('cfacsb4', 'recognise diversity when delivering customer service', 'cfacsb4.pdf')","('sfjcccd2.1', 'recognise diversity when delivering customer service', 'sfjcccd2.1.pdf')"
Pair 117,"('cfacsb6', 'use questioning techniques when delivering customer service', 'cfacsb6.pdf')","('sfjccda1.2', 'use questioning techniques when delivering customer service', 'sfjccda1.2.pdf')"
Pair 118,"('cfacsb7', 'deal with customers using bespoke software', 'cfacsb7.pdf')","('sfjccdc1.1', 'deal with customers using bespoke software', 'sfjccdc1.1.pdf')"
Pair 119,"('cfacsd16', 'develop a customer service strategy for a part of an organisation', 'cfacsd16.pdf')","('prompr21', 'develop a customer service strategy for a part of an organisation', 'prompr21.pdf')"
Pair 120,"('cfacsd20', 'manage customer service performance', 'cfacsd20.pdf')","('sfjcccc3.1', 'manage customer service performance', 'sfjcccc3.1.pdf')"
Pair 121,"('cfacsd4', 'support customers using on-line customer services', 'cfacsd4.pdf')","('sfjccdb1.2', 'support customers using online customer service', 'sfjccdb1.2.pdf')"
Pair 122,"('cfacsd7', 'support customers using self-service technology', 'cfacsd7.pdf')","('sfjccdb1.1', 'support customers using self-service technology', 'sfjccdb1.1.pdf')"
Pair 123,"('cfaint03', 'interpret one-way as a professional interpreter ', 'cfaint03.pdf')","('cfaint04', 'interpret two-way as a professional interpreter ', 'cfaint04.pdf')"
Pair 124,"('cfalg3', 'develop procedures to control risks to health and safety', 'cfalg3.pdf')","('cfalg4', 'conduct an assessment of risks in the workplace', 'cfalg4.pdf')"
Pair 125,"('cfam4.4.4', 'co-ordinate communications functions and the dissemination of the organisation’s communications', 'cfam4.4.4.pdf')","('sfjccaj1.1', 'co-ordinate communications functions and the dissemination of the', 'sfjccaj1.1.pdf')"
Pair 126,"('cfam4.5.2', 'manage sales promotion plans', 'cfam4.5.2.pdf')","('cfam4.7.2', 'manage business to business motivation plans', 'cfam4.7.2.pdf')"
Pair 127,"('cfam4.5.3', 'implement sales promotion activity', 'cfam4.5.3.pdf')","('cfam4.7.3', 'implement business to business motivation activity', 'cfam4.7.3.pdf')"
Pair 128,"('cfam7.1.6', 'monitor and control relationship management activities', 'cfam7.1.6.pdf')","('sfjccbd2.1', 'monitor and control relationship management activities', 'sfjccbd2.1.pdf')"
Pair 129,"('cfamlb12', 'promote equality of opportunity, diversity and inclusion in your organisation', 'cfamlb12.pdf')","('sfjpsg4.2.2', 'promote equality of opportunity, diversity and inclusion in your', 'sfjpsg4.2.2.pdf')"
Pair 130,"('cfamld10', 'reduce and manage conflict in your team', 'cfamld10.pdf')","('sfjph4.1', 'reduce and manage conflict in your team', 'sfjph4.1.pdf')"
Pair 131,"('cfamld15', 'initiate and follow grievance procedure', 'cfamld15.pdf')","('sfjccba7.2', 'initiate and follow grievance procedure', 'sfjccba7.2.pdf')"
Pair 132,"('cfamle13', 'promote knowledge management in your organisation', 'cfamle13.pdf')","('prompr37', 'promote knowledge management in your organisation', 'prompr37.pdf')"
Pair 133,"('cfamle7', 'ensure an effective organisational approach to health and safety', 'cfamle7.pdf')","('prompr54', 'ensure an effective organisational approach to health and safety', 'prompr54.pdf')"
Pair 134,"('cfaop2', 'plan what people your business needs', 'cfaop2.pdf')","('eusra342b', 'plan what your business needs', 'eusra342b.pdf')"
Pair 135,"('cfaop3', 'recruit people for your business', 'cfaop3.pdf')","('eusra3419b', 'recruit people for your business', 'eusra3419b.pdf')"
Pair 136,"('cfaop5', 'make sure people in your business can do their work', 'cfaop5.pdf')","('eusra344b', 'make sure people in your business can do their work', 'eusra344b.pdf')"
Pair 137,"('cfaop8', 'change job roles and handle redundancy', 'cfaop8.pdf')","('sfjccba8.1', 'change job roles and handle redundancy', 'sfjccba8.1.pdf')"
Pair 138,"('cfapmvw5', 'implement policy and procedures to reduce the risk of violence at work', 'cfapmvw5.pdf')","('cfawrv5', 'unit wrv5: implement policy and procedures to reduce the risk of violence at work', 'cfawrv5.pdf')"
Pair 139,"('cfas5.3l', 'develop and deliver a professional sales presentation - legacy', 'cfas5.3l.pdf')","('propam514', 'develop & deliver a professional sales presentation  ', 'propam514.pdf')"
Pair 140,"('cfas5.5l', 'develop your personal networks - legacy', 'cfas5.5l.pdf')","('sfjpsg4.3.2', 'develop your personal networks', 'sfjpsg4.3.2.pdf')"
Pair 141,"('cfas6.3l', 'sell products and services at trade fairs, exhibitions or conferences - legacy', 'cfas6.3l.pdf')","('cfasal014', 'sell products and/or services at trade fairs, exhibitions or conferences', 'cfasal014.pdf')"
Pair 142,"('cfas7.6l', 'handle objections and close sales - legacy', 'cfas7.6l.pdf')","('propam510', 'handle objections and close sales', 'propam510.pdf')"
Pair 143,"('cfas8.5l', 'meet your customer’s after sales service needs - legacy', 'cfas8.5l.pdf')","('propam512', 'meet your customer’s after sales service', 'propam512.pdf')"
Pair 144,"('cfas9.4l', 'build and deliver customer service and customer care support - legacy', 'cfas9.4l.pdf')","('propam513', 'build and deliver customer service and customer care support', 'propam513.pdf')"
Pair 145,"('cfasma1.1v3.0', 'plan, manage and evaluate social marketing research programmes', 'cfasma1.1v3.0.pdf')","('sfjccab1.1', 'plan, manage and evaluate social marketing research programmes', 'sfjccab1.1.pdf')"
Pair 146,"('cfasma1.2v4.0', 'collect data on the knowledge, attitudes and behaviours of target groups', 'cfasma1.2v4.0.pdf')","('cfasma1.3v4.0', 'develop understanding of theories and evidence about what might influence the behaviour of target groups', 'cfasma1.3v4.0.pdf')"
Pair 147,"('cfasmd2.1v3.0', 'develop and provide products to enable people and organisations to adopt and sustain beneficial behaviour', 'cfasmd2.1v3.0.pdf')","('cfasmd2.2v3.0', 'develop and provide services to enable people and organisations to adopt and sustain beneficial behaviour', 'cfasmd2.2v3.0.pdf')"
Pair 148,"('cfaturc1', 'represent the union and promote its policies v2', 'cfaturc1.pdf')","('cfauc1', 'represent the union and promote its policies', 'cfauc1.pdf')"
Pair 149,"('cfaturc2', 'develop, organise and contribute to the recruitment and retention of union members v2', 'cfaturc2.pdf')","('cfauc2', 'develop, organise and contribute to the recruitment and retention of union members', 'cfauc2.pdf')"
Pair 150,"('cfaturc6', 'support activities and campaigns within the policies of the union v2', 'cfaturc6.pdf')","('cfauc6', 'support activities and campaigns within the policies of the union', 'cfauc6.pdf')"
