,14,4,6,11,5,9,8,15,10,12,7,13
44,,,install mechanical fire protection,,,producing motorsport composite mouldings using pre-preg laminating techniques,leading rail welding activities,"slinging, lifting and moving materials, machinery and components in a marine environment",,,maintain mechanical equipment within an engineered system used in food and drink operations,carry out pre-disposal tasks for explosive substances and/or articles
45,,,commission mechanical fire protection systems,,,producing motorsport composite mouldings using wet lay-up techniques,"producing mould, press tool or die components by manual machining",preparing loads for moving,,,understand how to maintain mechanical equipment within an engineered system used in food and drink operations,contribute to pre-disposal tasks for explosive substances and/or articles
46,,,handover mechanical fire protection system to customer,,,producing motorsport composite mouldings using resin infusion laminating techniques,carrying out cnc machine tool programming,preparing for rigging activities,,,maintain fluid power equipment within an engineered system used in food and drink operations,plan munition clearance and search operations and programmes
47,,,maintain and test the operational performance of mechanical fire protection,,,bonding motorsport composite mouldings,producing toolroom components using cnc turning machines,setting up and securing marine access structures,,,understand how to maintain fluid power equipment within an engineered system used in food and drink operations,assist in searching for specified targets
48,,,,,,applying finishes to motorsport composite mouldings,producing toolroom components using cnc milling machines,dismantling and removing access structures,,,maintain process controller equipment within an engineered system used in food and drink operations,contribute to removing the threat of munitions
49,,,,,,trimming motorsport composite mouldings using hand tools,producing toolroom components using cnc grinding machines,maintaining rigging and lifting equipment,,,understand how to maintain process controller equipment within an engineered system used in food and drink operations,move and transport munitions
50,,,,,,identifying defects in motorsport composite mouldings,producing toolroom components using cnc laser profiling machines,inspecting lifting equipment and accessories,,,carry out preventative planned maintenance on engineered systems within food and drink operations,contribute to the movement or transportation of munitions
51,,,,,,producing leisure vehicle composite mouldings using wet lay-up techniques,producing toolroom components using cnc electro-discharge machines,carrying out mooring and berthing operations,,,understand how to carry out preventative planned maintenance on engineered systems within food and drink operations,enable areas cleared of munitions or specified targets to be remediated
52,,,,,,producing leisure vehicle composite mouldings using resin infusion laminating techniques,producing toolroom components using cnc machining centres,carrying out manual splicing operations,,,carry out condition monitoring of plant and equipment used within food and drink operations,complete munitions or specified targets search reports
53,,,,,,trimming leisure vehicle composite mouldings using hand tools,producing jig and fixture components using hand fitting techniques,installing rigging and lifting equipment,,,understand how to carry out condition monitoring of plant and equipment used within food and drink operations,assist with the movement and transportation of munitions
54,,,,,,identifying defects in leisure vehicle composite mouldings,machining components for jigs and fixtures,inspect boat lifting and storage equipment,,,assist in the installation of equipment to produce an engineered system in food and drink operations,use and maintain search or munition clearance equipment
55,,,,,,repairing leisure vehicle composite mouldings,fabricating structural components for jigs and fixtures,"lift and move permanent way materials, components and equipment",,,understand how to assist in the installation of equipment to produce an engineered system in food and drink operations,"assist with the preparation, maintenance and use of search or munition clearance equipment"
56,,,,,,flattening and polishing vehicle bodies,assembling jig and fixture structures using a manual welding process,"assess and prepare permanent way materials, components and equipment for moving",,,apply total productive maintenance (tpm) in food and drink operations,plan specified targets search operations
57,,,,,,using wet lay-up laminating techniques to produce composite mouldings,setting a range of machines to produce toolroom components,"supervise the assessment, preparation and movement of permanent way materials, components and equipment",,,understand how to apply total productive maintenance (tpm) in food and drink operations ,manage munition clearance and search operations and programmes
58,,,,,,using spray lay-up laminating techniques to produce composite mouldings,machining toolroom components using a range of machines,track and swing crane and jib arms,,,read and extract information from service drawings and specifications for food and drink operations,evacuate casualties
59,,,,,,using resin flow infusion techniques to produce composite mouldings,setting centre lathes to produce toolroom components,track cameras,,,understand how to read and extract information from service drawings and specifications for food and drink operations ,manage specified targets search operations
60,,,,,,using resin film infusion techniques to produce composite mouldings,machining toolroom components using centre lathes,,,,carry out fault diagnosis on services and systems for food and drink operations,evaluate and improve the effectiveness of munition clearance and search operations and programmes
61,,,,,,using pre-preg laminating techniques to produce composite mouldings,setting milling machines to produce toolroom components,,,,understand how to carry out fault diagnosis on services and systems for food and drink operations,organise and supervise the delivery of specified targets search plans
62,,,,,,using resin transfer moulding techniques to produce composite mouldings,machining toolroom components using milling machines,,,,maintain fresh water distribution systems and equipment used in food and drink operations,provide advice on munition clearance and search related matters
63,,,,,,using hot press moulding techniques to produce composite mouldings,setting electro-discharge machines to produce toolroom components,,,,understand how to maintain fresh water distribution systems and equipment used in food and drink operations,evaluate the effectiveness of specified targets search operations
64,,,,,,using filament winding techniques to produce composite mouldings,machining toolroom components using electro-discharge machines,,,,maintain waste/foul water distribution systems and equipment used in food and drink operations,define the boundaries of the area to be searched for munitions
65,,,,,,using pultrusion techniques to produce composite mouldings,setting grinding machines to produce toolroom components,,,,understand how to maintain waste/foul water distribution systems and equipment used in food and drink operations,provide advice on specified targets search matters
66,,,,,,using atl/afp laminating techniques to produce composite mouldings,machining toolroom components using grinding machines,,,,maintain workplace environmental control systems used in food and drink operations,identify and record the location and disposition of potential munitions within boundaries
67,,,,,,curing and consolidating composite mouldings,joining materials by the manual metal arc welding process,,,,understand how to maintain workplace environmental control systems used in food and drink operations,identify and describe the area to be searched
68,,,,,,using hand tools to trim composite mouldings,joining materials by the manual mig/mag and other continuous wire processes,,,,maintain emergency power generation equipment used in food and drink operations,contribute to locating the disposition of potential munitions
69,,,,,,carrying out bonding activities on composite mouldings,joining materials by the manual tig and plasma-arc welding processes,,,,understand how to maintain emergency power generation equipment used in food and drink operations ,contribute to identifying and describing the area to be searched
70,,,,,,carrying out the application of surface treatments on composite mouldings,joining materials by the manual gas welding process,,,,maintain heating and ventilation systems used in food and drink operations,confirm the presence of munition(s)
71,,,,,,carrying out repairs on composite mouldings,cutting and shaping materials using nc/cnc laser profiling machines,,,,understand how to maintain heating and ventilation systems used in food and drink operations,contribute to locating and gaining access to specified targets
72,,,,,,checking for defects in composite mouldings,joining rails using the aluminothermic welding process,,,,maintain air conditioning and ventilation systems used in food and drink operations,work effectively in a team involved in activities for explosive substances and/or articles
73,,,,,,identifying defects in composite mouldings,restore rails to operational condition using an arc welding process,,,,understand how to maintain air conditioning and ventilation systems used in food and drink operations  ,make presentations on explosives matters
74,,,,,,carrying out repairs or modifications to jigs or fixtures,welding rails using flash welding equipment,,,,maintain gas distribution systems and equipment used in food and drink operations,hand over explosive substances and/or articles
75,,,,,,heat treating materials for fabrication activities,joining materials by manual torch brazing and soldering,,,,understand how to maintain gas distribution systems and equipment used in food and drink operations  ,pack or re-pack explosive substances and/or articles
76,,,,,,bonding engineering materials using adhesives,joining plastics using manual welding processes,,,,understand how to maintain compressed air systems and equipment used in food and drink operations,unpack explosive substances and/or articles
77,,,,,,heat treating materials for fabrication activities,joining materials using plastics welding machines,,,,maintain instrumentation and control systems used in food and drink operations,manage equipment in an explosives environment
78,,,,,,bonding engineering materials using adhesives,marking out components for fabrication,,,,understand how to maintain instrumentation and control systems used in food and drink operations,prepare and care for equipment in an explosives environment
79,,,,,,repairing marine mechanical components,joining materials by resistance spot welding,,,,maintain industrial refrigeration equipment used in food and drink operations,manage explosives safety
80,,,,,,applying surface treatments to marine wooden assemblies,cutting plate and sections using shearing machines,,,,understand how to maintain industrial refrigeration equipment used in food and drink operations,certify as free from explosives hazards
81,,,,,,using wet lay-up techniques to produce marine composite components,cutting materials using hand operated thermal cutting equipment,,,,carry out preventative planned maintenance on services systems and equipment used in food and drink operations,manage your own resources 
82,,,,,,using pre-preg laminating techniques to produce marine composite components,cutting and shaping materials using gas cutting machines,,,,understand how to carry out preventative planned maintenance on services systems and equipment used in food and drink operations,develop your competence in working with munitions or specified targets
83,,,,,,forming marine components by acrylic moulding,cutting materials using saws and abrasive discs,,,,assist in the installation of engineering services equipment used in food and drink operations,manage your own resources and professional development 
84,,,,,,carrying out trimming operations on marine composite mouldings,bending and forming plate using power operated machines,,,,understand how to assist in the installation of engineering services equipment used in food and drink operations,manage continuous improvement in activities for explosive substances and articles
85,,,,,,carrying out bonding operations on marine composite components,forming platework using power rolling machines,,,,carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations,allocate and check work in your team 
86,,,,,,carrying out repairs to marine composite mouldings,producing platework assemblies,,,,understand how to carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations ,provide leadership for your team
87,,,,,,checking marine composite components/mouldings for defects,producing holes using drilling machines,,,,carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations,provide technical or safety advice and/or guidance to others on explosives
88,,,,,,joining marine materials and components using adhesives,forming structural sections using machines,,,,understand how to carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations ,formulate national policy for explosive substances and articles
89,,,,,,carrying out patch preparation of material surfaces using hand and mechanical tools,producing structural steel ancillary components,,,,repair/overhaul instrumentation and control equipment used in food and drink operations,develop the organizational safety policy and/or strategy for explosives
90,,,,,,carrying out the preparation of material surfaces by abrasive blasting,forming pipework by machine bending,,,,understand how to repair/overhaul instrumentation and control equipment used in food and drink operations,implement the organizational safety policy and/or strategy for explosives
91,,,,,,preparing holding primer for application,cutting and shaping materials using cnc water jet cutting machines,,,,test and calibrate instrumentation and control equipment and circuits used in food and drink operations,analyse and identify aggregated hazards and risks for explosives
92,,,,,,applying holding primer by spray methods,marking out components for metalwork,,,,understand how to test and calibrate instrumentation and control equipment and circuits used in food and drink operations,assess the suitability of explosives facilities
93,,,,,,rectifying metallic surfaces using hand and power tools,forming sheetmetal using hand and machine tools,,,,assist in the installation of instrumentation and control equipment used in food and drink operations,determine and implement aggregated risk control measures for explosives
94,,,,,,preparing surfaces by ultra high pressure (uhp) water jetting,developing and marking out templates for metalwork,,,,understand how to assist in the installation of instrumentation and control equipment used in food and drink operations ,implement risk control measures for explosive substances and/or articles safety
95,,,,,,preparing marine coatings for application,joining materials by resistance spot welding,,,,service and repair braking systems on land-based equipment,develop and implement assurance systems for explosives safety
96,,,,,,carrying out the manual application of marine coatings,producing fillet welded joints using a manual welding process,,,,service and repair electrical systems on land-based equipment,carry out assurance audit of systems for explosives safety
97,,,,,,carrying out the application of marine coatings using spray methods,cutting plate and sections using shearing machines,,,,handle refrigerants,develop emergency response systems and procedures for explosives safety
98,,,,,,carrying out the application of deck screeds and other deck coverings,cutting materials using saws and abrasive discs,,,,service and repair land-based air-conditioning/refrigeration systems,investigate explosives-related safety incidents
99,,,,,,"applying fairing, filling and specialist protective coatings to marine components",bending and forming plate using press brakes or bending machines,,,,carry out the handover and installation of land-based equipment,determine the classification of explosive substances and/or articles
100,,,,,,applying surface finishes to yacht and boat wooden assemblies,forming platework using power rolling machines,,,,apply core land-based engineering principles: servicing and maintenance,contribute to the investigation of explosives safety incidents
101,,,,,,carrying out repairs to yacht and boat wooden components and assemblies,producing and finishing holes using drilling machines,,,,maintain plant and equipment in food and drink operations,assess explosives licence applications
102,,,,,,carrying out repairs to yacht and boat composite components,producing platework assemblies,,,,monitor and maintain the quality of treatment process outputs,prepare and submit an explosives licence application
103,,,,,,preparing yacht and boat surfaces for painting/finishing,welding materials by the manual metal arc process,,,,monitor and maintain treatment processing plant and equipment at optimum performance,make recommendations for the classification of explosive substances and/or articles
104,,,,,,preparing yacht and boat paints/coating materials for application,forming structural sections using machines,,,,organise maintenance of treatment processing plant and equipment ,review the factors affecting the safety of specific explosive substances and/or articles
105,,,,,,applying yacht and boat paints/coating materials manually,producing structural steel ancillary components,,,,overhaul and repair engines on land-based equipment,make recommendations on the factors affecting the safety of specific explosive substances and/or articles
106,,,,,,applying yacht and boat paints/coating materials using spray methods,forming pipework by machine bending,,,,identify and locate mechanical faults in bus/coach systems and components,analyse the acceptability of safety control measures for specific explosive substances and/or articles
107,,,,,,preparing yacht and boat material surfaces by abrasive blasting,welding materials by the semi-automatic mig/mag and flux cored arc processes,,,,identify and locate electrical faults in bus/coach systems and components,review safety control measures for specific explosive substances and/or articles
108,,,,,,carrying out the application of fairing/filling compounds to yachts and boats,welding rails using the aluminothermic welding process,,,,carry out scheduled mechanical maintenance on buses/coaches,review an organization’s safety management system for explosives
109,,,,,,applying yacht and boat paints/coatings manually,restore rails to operational condition using an arc welding process,,,,carry out scheduled electrical maintenance on buses/coaches,assess an organization’s explosives safety management system
110,,,,,,finishing marine wooden assemblies by applying surface treatments,preparing flash welding machines for operation,,,,carry out scheduled body maintenance on buses / coaches,establish the performance criteria for explosive substances and/or articles
111,,,,,,producing marine composite components using wet lay-up techniques,joining rails using flash welding equipment,,,,diagnose mechanical faults in bus/coach systems and components,manage the trial of explosive substances and/or articles
112,,,,,,producing marine composite components using pre-preg laminating techniques,welding materials by the manual tig and plasma arc welding process,,,,diagnose electrical faults in bus/coach systems and components,manage the test of explosive substances and/or articles
113,,,,,,producing marine components by acrylic moulding,determining welding and related technical requirements to achieve objectives,,,,install ancillary systems and components in buses/coaches,carry out pre-trial or pre-test tasks relating to explosive substances and/or articles
114,,,,,,trimming marine composite mouldings,planning welding production resources and activities,,,,recondition electrical components in buses/coaches,contribute to pre-trial or pre-test tasks relating to relating to explosive substances and/or articles
115,,,,,,bonding marine composite components,implementing welding production methods and procedures,,,,assist in the installation of signalling equipment,carry out trials of explosive substances and/or articles
116,,,,,,repairing marine composite components and assemblies,monitoring welding activities in production,,,,carry out installation of signalling assets,carry out tests of explosive substances and/or articles
117,,,,,,identifying defects in marine composite components and assemblies,inspecting welded components or structures for visual quality and dimensional accuracy,,,,diagnose faults in signalling assets,contribute to conducting trial or test of explosive substances and/or articles
118,,,,,,bonding marine materials and components using adhesives,operating cnc fabrication equipment,,,,assist in the installation of telecoms equipment,evaluate the results of trials of explosive substances and/or articles
119,,,,,,heat treating materials for marine fabrication activities,welding materials by the oxy/fuel gas welding process,,,,carry out installation of telecoms assets,evaluate the results of tests of explosive substances and/or articles
