,131,121,137,60,138,85,64,56,91,74,70,23,21,13,111,38,41,20,45,68,16,124,98,113,5,115,33,47,44,25,29,125,132,82,30,43,80,28,106,32,118,136,112,139,105,57,79,129,127,71,96,46,97,48,76,50,117,53,90,18,51,69,134,26,54,123,63,87,39,22,84,52,59,135,65,67,126,108,31,24,122,99,81,128,35,34,15,107,55,94,40,61,101,109,116,49,6
8,,,,,,,carrying out heat treatment of engineering materials,using manual flame brazing and soldering equipment,,,,,,"strength testing, gas tightness testing and direct purging ",,repairing and modifying aircraft mechanical assemblies and components,install overhead line equipment small part steelwork,carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations,,carrying out repairs or modifications to jigs or fixtures,,allocate and monitor resources for telecoms engineering activities,submit proposals for research work for explosive substances and/or articles,,,,,,,,,,,,,,,carry out monitoring of traction and rolling stock equipment,,,,,optimise standard operations which are under process control,"prepare and move traction and rolling stock assets, components and equipment",,joining materials by the manual metal arc welding process,testing engineering software,carry out routine adjustments to traction and rolling stock,identify bus/coach body damage and recommend suitable repair techniques,,,producing aircraft engine gearbox assemblies,,carrying out routine servicing of yacht and boat electrical/electronic equipment,producing engineering specifications,,working efficiently and effectively in engineering,connecting and testing electrical systems and equipment in leisure vehicles,,,carry out installation of signalling assets,producing aircraft composite mouldings using resin transfer moulding techniques,,dismantling aircraft gas turbine engines to module/unit level,carrying out motorsport vehicle inspections during a competition,implement quality assurance methods and procedures,forming structural sections using machines,,overhauling and repairing marine weapons equipment and systems,quality assure the air tightness testing process ,,,developing and marking out templates for metalwork,maintaining rigging and lifting equipment,,applying finishes to motorsport composite mouldings,co-ordinate communications for operational activities on utility networks and assets,,,testing aircraft environmental systems,carrying out project management of aeronautical engineering activities,monitor and control explosives processing,,carry out installation of electrification and plant assets,carrying out maintenance of ejection seat headbox parachute assemblies,maintain mechanical equipment within an engineered system used in food and drink operations,"decommission cooling systems, equipment and components",,,use and maintain search or munition clearance equipment,assembling aircraft electrical components,setting cnc machining centres for production of aircraft components,dispose of explosive substances and/or articles by complex mechanical breakdown procedures,,,,service and repair hydraulic systems on land-based equipment
9,,,,,,,,preparing and using manual flame brazing and braze  welding equipment,,,,,,"maintain domestic gas cookers, tumble dryers and leisure appliances",,modifying commercial and passenger carrying vehicles,,understand how to carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations ,,repairing marine mechanical components,,allocate and supervise traction and rolling stock resources,plan the research into explosive substances and/or articles,,,,,,,,,,,,,,,,,,,,evaluate and modify processing parameters to meet process operations,"supervise the movement of traction and rolling stock assets, components and equipment",,joining materials by the manual mig/mag and other continuous wire processes,performing engineering software analysis techniques,carry out checks and tests to confirm that traction and rolling stock assets comply with operational specifications,complete routine assembly of bus/coach body components,,,producing aircraft piston engine assemblies,,assisting in the installation of wooden furniture/outfitting units in yachts and boats,establish an engineering design brief,,,connecting and testing liquid petroleum gas systems and equipment in leisure vehicles,,,assist in the installation of telecoms equipment,producing aircraft composite mouldings using hot press moulding techniques,,rebuilding aircraft gas turbine engine assemblies after overhaul,removing and refitting motorsport engines and ancillary components,producing technical information for engineering activities,forming pipework by machine bending,,overhauling and repairing marine electrical rotating machines and domestic equipment,development testing aeronautical electronic equipment,,,producing structural steel ancillary components,inspecting lifting equipment and accessories,,applying surface treatments to marine wooden assemblies,,,,testing aircraft de-icing systems,undertaking project management activities ,supervise explosives processing,,plan electrification and plant engineering activities,carrying out maintenance of free fall parachute assemblies,understand how to maintain mechanical equipment within an engineered system used in food and drink operations,"commission cooling systems, equipment and components",,,"assist with the preparation, maintenance and use of search or munition clearance equipment",making modifications to aircraft cableforms and looms,machining aircraft components using cnc machining centres,dispose of explosive substances and/or articles by non-complex mechanical breakdown procedures,,,,service and repair pneumatic systems on land-based equipment
10,,,,,,,,,,,,,,install gas water heating and wet central heating ,,modifying or rewiring electrical circuits,,identify and locate mechanical faults in bus/coach systems and components,,carrying out repairs to marine composite mouldings,,obtaining resources for aeronautical engineering activities,undertake engineering research,,,,,,,,,,,,,,,,,,,,carry out complex manual operations,moving materials and components in an aircraft environment,,joining materials by the manual tig and plasma-arc welding processes,measuring engineering software quality,undertake the removal and replacement of traction and rolling stock components,provide roadside assistance for broken down buses/coaches,,,producing aircraft engine major assemblies,,installing electrical equipment in yachts and boats,create engineering designs,,,connecting and testing water pipework and equipment in leisure vehicles,,,carry out installation of telecoms assets,producing aircraft composite mouldings using filament winding techniques,,stripping and rebuilding engines for motorsport vehicles,removing and refitting transmissions on motorsport vehicles,implementing quality control systems and procedures in an engineering environment,using hand methods to bend and form marine pipe,,overhauling marine communication equipment and systems,testing post-production electronic components and circuits,,,marking off for the manufacture of marine steelwork components,installing rigging and lifting equipment,,carrying out patch preparation of material surfaces using hand and mechanical tools,,,,testing aircraft fuel systems,planning engineering activities,,,transfer responsibility of electrification and plant equipment and components,carrying out maintenance of static line parachute assemblies,maintain fluid power equipment within an engineered system used in food and drink operations,"install industrial and commercial heating & ventilation systems, equipment and components",,,plan specified targets search operations,assembling and fitting wiring looms to vehicles,producing aircraft components by manual machining,dispose of explosive substances and/or articles by complex chemical breakdown procedures,,,,inspect and test land-based machinery and equipment
11,,,,,,,,,,,,,,maintain gas water heating and wet central heating appliances,,carrying out modifications and rewiring of marine electrical circuits,,identify and locate electrical faults in bus/coach systems and components,,carrying out repairs to yacht and boat wooden components and assemblies,,obtaining resources for the implementation of engineering activities,identify and define areas of engineering research,,,,,,,,,,,,,,,,,,,,evaluate and adjust manual operations,"slinging, lifting and moving materials and components",,joining materials by the manual gas welding process,performing engineering software configuration management,modify traction and rolling stock components using tools,drive the bus/coach for testing and vehicle recovery,,,dressing aircraft engines,,installing electronic equipment into yachts and boats,evaluate engineering designs,,,installing the front and back panel in a leisure vehicle,,,prepare the structure for photovoltaic/solar thermal panel installation - existing structure,producing aircraft composite mouldings using pultrusion techniques,,testing engines for motorsport vehicles (fixed dynamometer),removing and refitting suspension systems on motorsport vehicles,checking marine fabrications for quality and dimensional accuracy,using bending machines to form marine pipe,,overhauling marine weapons equipment and systems,preparing facilities for testing electronic components and circuits,,,marking out for manufacture and assembly of marine wooden components,inspect boat lifting and storage equipment,,carrying out the preparation of material surfaces by abrasive blasting,,,,testing aircraft flying control surfaces and systems,carrying out project management of engineering activities,,,restore the contact systems to operational condition in the rail engineering industry ,carrying out maintenance of brake parachute assemblies,understand how to maintain fluid power equipment within an engineered system used in food and drink operations,"decommission heating & ventilation systems, equipment and components",,,manage munition clearance and search operations and programmes,installing cableforms and looms in motorsport vehicles,fabricating structural components for experimental vehicle engineering,dispose of explosive substances and/or articles by non-complex chemical breakdown procedures,,,,service and repair land-based treatment application equipment
12,,,,,,,,,,,,,,install gas pipework up to 35mm ,,assisting in modifying and adding electrical circuits in yachts and boats,,diagnose mechanical faults in bus/coach systems and components,,carrying out repairs to yacht and boat composite components,,assist in preparing resources for permanent way activities,develop a research methodology for engineering,,,,,,,,,,,,,,,,,,,,contribute to a machine-based processing operation,"slinging, lifting and moving materials and components",,joining rails using the aluminothermic welding process,performing engineering software acquisition,overhaul traction and rolling stock components,assess body damage to buses/coaches,,,assembling aircraft airframe ancillary components,,installing ancillary systems and equipment in yachts and boats,develop a strategy for the engineering design process,,,"completing the construction of a leisure vehicle by installing windows, doors and body graphics",,,fix solar thermal/photovoltaic panels onto a roof structure ,producing aircraft composite mouldings using atl/afp laminating techniques,,testing installed engines for motorsport vehicles (rolling road),removing and refitting braking systems on motorsport vehicles,,joining ferrous marine pipework by mechanical means,,overhauling electrical marine rotating machines and domestic equipment,writing specifications for testing electronic components or circuits,,,marking out marine sheet metalwork,,,preparing holding primer for application,,,,testing aircraft armament systems,producing engineering project plans,,,carry out technical assessment of electrification and plant,servicing aircrew protective helmets and electrical headsets,maintain process controller equipment within an engineered system used in food and drink operations,commission mechanical systems,,,manage specified targets search operations,testing motorsport vehicle cableforms and looms,machining components for experimental vehicle engineering,dispose of explosive substances and/or articles by complex biological breakdown procedures,,,,service and repair step-less or power-shift transmission systems on land based-equipment
13,,,,,,,,,,,,,,gas tightness testing and direct purging ,,modifying and rewiring marine electrical circuits,,diagnose electrical faults in bus/coach systems and components,,repairing marine composite components and assemblies,,allocate and monitor resources for permanent way engineering activities,propose and specify engineering research,,,,,,,,,,,,,,,,,,,,carry out a hand-based processing operation,setting up and preparing loads for moving,,restore rails to operational condition using an arc welding process,performing engineering software safety assessments,identify and assess defects and discrepancies in traction and rolling stock assets,repair electrical faults in bus/coach systems and components,,,assembling aircraft composite components,,installing domestic systems and equipment in yachts and boats,,,,finishing a leisure vehicle by installing soft furnishings and trim,,,fix solar thermal/photovoltaic panels into a roof structure ,using curing and consolidation equipment for aircraft composite mouldings,,stripping and rebuilding prototype engines for test,removing and refitting steering systems on motorsport vehicles,,joining non-ferrous marine pipework,,,carrying out functional tests on electrical equipment,,,marking off marine structural steelwork components,,,applying holding primer by spray methods,,,,testing aircraft assisted escape systems,,,,manually switch the electrical supply to contact systems to meet defined requirements in the rail engineering industry,"servicing aircrew nuclear, biological and chemical (nbc) respirators and equipment",understand how to maintain process controller equipment within an engineered system used in food and drink operations,establish electrical control (and supply) of mechanical building services and systems,,,evaluate and improve the effectiveness of munition clearance and search operations and programmes,constructing and assembling cableforms and wiring looms for motorsport vehicles,cutting and shaping sheet metal for experimental vehicle engineering,dispose of explosive substances and/or articles by non-complex biological breakdown procedures,,,,service and repair suspension systems on land-based equipment
14,,,,,,,,,,,,,,install domestic gas space heating appliances,,modifying and rewiring electrical circuits in yachts and boats,,recondition electrical components in buses/coaches,,repairing yacht and boat wooden components and assemblies,,allocate and monitor resources for signal engineering activities,evaluate the results of engineering research,,,,,,,,,,,,,,,,,,,,finish production components,moving materials and components in a marine environment,,welding rails using flash welding equipment,performing low level programming for engineering software,establish compliance with traction and rolling stock specifications,repair damage to bus/coach body components,,,assembling sub-assembly units to vehicles,,maintaining electrical equipment in yachts and boats,,,,final inspection and testing of leisure vehicles,,,fix solar thermal/photovoltaic panels onto a non-roof structure,producing aircraft components using wet lay-up techniques,,testing prototype engines (fixed dynamometer),removing and refitting chassis sub-assemblies and components on motorsport vehicles,,joining non-metallic marine pipework,,,carrying out tests on marine electrical and electronic equipment and circuits,,,carrying out pattern development for marine applications,,,rectifying metallic surfaces using hand and power tools,,,,installing aircraft radar systems,,,,isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry,servicing aircrew life preserver equipment,carry out preventative planned maintenance on engineered systems within food and drink operations,carry out safe electrical working practices on electrical control (and supply) for mechanical building services systems,,,organise and supervise the delivery of specified targets search plans,assembling and checking printed and allied electronic circuits,machining components for commercial and passenger carrying vehicle applications,dispose of explosive substances and/or articles by complex burning procedures,,,,
15,,,,,,,,,,,,,,maintain domestic gas space heating appliances,,repair or modify traction and rolling stock electrical circuits,,diagnose faults in signalling assets,,repairing yacht and boat composite components,,allocate and monitor resources for telecoms engineering activities,,,,,,,,,,,,,,,,,,,,,pack and store production components,prepare boats and yachts for moving within a marina yard,,joining plastics using manual welding processes,producing mechanical engineering drawings using a cad system,diagnose faults in traction and rolling stock assets,set out and assemble bus/coach body components,,,assembling power plant units,,maintaining electronic equipment in yachts and boats,,,,preparing lpg pipework and appliances for installation into leisure vehicles,,,installing aircraft mechanical controls,producing aircraft components using pre-preg laminating techniques,,testing prototype engines installed in vehicles,removing and refitting fuel systems on motorsport vehicles,,assisting in the installation of marine pipework and components,,,carrying out tests on marine electrical equipment and circuits,,,marking out for the manufacture and assembly of marine wooden components,,,preparing surfaces by ultra high pressure (uhp) water jetting,,,,testing aircraft visual display units and computer systems,,,,establish information for signal engineering maintenance and/or fault finding,servicing parachute assemblies,understand how to carry out preventative planned maintenance on engineered systems within food and drink operations,,,,provide advice on munition clearance and search related matters,assembling and wiring electronic equipment and systems,cutting and shaping sheet and tube materials to fabricate motorsport components,dispose of explosive substances and/or articles by non-complex burning procedures,,,,
16,,,,,,,,,,,,,,electrical fault finding on domestic gas appliances,,,,diagnose faults in telecoms assets,,repairing hovercraft skirting assemblies,,,,,,,,,,,,,,,,,,,,,,,unit 1: prepare materials for processing according to instructions within polymer processing and related operations,move and store boats and yachts on land,,joining materials using plastics welding machines,producing electrical or electronic engineering drawings using a cad system,plan traction and rolling stock engineering activities,recondition mechanical components in buses/coaches,,,assembling the rear axle sub-assembly,,servicing ancillary systems and equipment in yachts and boats,,,,preparing electrical equipment for installation into leisure vehicles,,,installing aircraft domestic equipment,producing aircraft components using resin infusion techniques,,assisting in the installation of engine/propulsion systems in yachts and boats,carrying out fault diagnosis and rectification activities on motorsport vehicles during a competition,,assisting in the testing of marine pipework systems,,,"setting to work, testing and trialling marine navigational equipment and systems",,,marking out for the installation of marine wooden assemblies,,,preparing marine coatings for application,,,,testing aircraft engine control units,,,,establish information for signal engineering installation,,maintain fresh water distribution systems and equipment used in food and drink operations,,,,define the boundaries of the area to be searched for munitions,mounting electrical components in enclosures,forming sheet and tube materials to fabricate motorsport components,dispose of explosive substances and/or articles by complex incineration procedures,,,,
17,,,,,,,,,,,,,,,,,,undertaking fault diagnosis on installed aircraft armament systems,,repairing rigid inflatable boat (rib) sponsons,,,,,,,,,,,,,,,,,,,,,,,unit 12: start up and maintain a machine-based production process within polymer processing and related operations,"slinging, lifting and moving materials, machinery and components in a marine environment",,joining materials by resistance spot welding,producing cad models (drawings) using a cad system,diagnose faults in ancillary systems in trs,repair mechanical/electrical faults in ancillary systems and components in buses/coaches,,,assembling the front suspension sub-assembly,,servicing domestic systems and equipment in yachts and boats,,,,preparing water and waste pipework and equipment for installation into leisure vehicles,,,installing aircraft lockers and storage units,producing aircraft components by acrylic moulding,,installing marine propulsion systems and equipment,"removing, fitting and trimming bodywork to motorsport vehicles",,shaping marine steelwork using a power press,,,"setting to work, testing and trialling marine sensor equipment and systems",,,marking out for fabrication and assembly of marine sheet metalwork,,,carrying out the manual application of marine coatings,,,,testing aircraft communication systems,,,,establish information for signal engineering testing,,understand how to maintain fresh water distribution systems and equipment used in food and drink operations,,,,provide advice on specified targets search matters,wiring electrical components and equipment in enclosures,loading and proving programs for cnc wood routing and sawing activities,dispose of explosive substances and/or articles by non-complex incineration procedures,,,,
18,,,,,,,,,,,,,,,,,,undertaking fault diagnosis on uninstalled aircraft armament system components,,,,,,,,,,,,,,,,,,,,,,,,,unit 13: shutdown a machine-based production process within polymer processing and related operations,preparing loads for moving,,joining materials by resistance spot welding,using computer software packages to assist with engineering activities,install and test traction and rolling stock assets and components,carry out roadside recovery of buses/coaches,,,assembling braking systems to vehicles,,marking out for the manufacture of wooden furniture/outfitting components for yachts and boats,,,,,,,installing aircraft interior panels and soft furnishings,producing aircraft components by injection moulding,,installing engine/propulsion systems in yachts and boats,removing and refitting electrical/electronic equipment on motorsport vehicles,,bending and forming marine pipe using hand methods,,,"setting to work, testing and trialling marine computer equipment and systems",,,marking out for the manufacture and installation of marine outfitting components,,,carrying out the application of marine coatings using spray methods,,,,testing aircraft flight guidance and control systems,,,,plan signal maintenance testing activities,,maintain waste/foul water distribution systems and equipment used in food and drink operations,,,,identify and record the location and disposition of potential munitions within boundaries,selecting and preparing materials and components for electrical assembly,setting cnc wood routing and sawing machines for production,dispose of explosive substances and/or articles by complex deflagration procedures,,,,
19,,,,,,,,,,,,,,,,,,carrying out fault diagnosis on aircraft avionics components or systems,,,,,,,,,,,,,,,,,,,,,,,,,unit 15: prepare to produce products by hand-based operations within polymer processing and related operations,"lift and move permanent way materials, components and equipment",,producing fillet welded joints using a manual welding process,,"accept, and return, responsibility for the control of traction and rolling stock assets",operate an it system in a bus/coach engineering and maintenance environment,,,assembling vehicle body sub-assemblies,,marking out for the installation of wooden furniture/outfitting units in yachts and boats,,,,,,,installing aircraft seating and furniture,carrying out trimming operations on aircraft composite components,,testing engine/propulsion systems and mechanical equipment in yachts and boats,installing electrical/electronic engine/transmission control units in motorsport vehicles,,bending and forming marine pipe using bending machines,,,"setting to work, testing and trialling marine electrical rotating machines and domestic equipment",,,producing patterns for hovercraft skirts,,,"applying fairing, filling and specialist protective coatings to marine components",,,,testing aircraft navigational systems,,,,determine requirements for safe access to work locations for signal engineering,,understand how to maintain waste/foul water distribution systems and equipment used in food and drink operations,,,,identify and describe the area to be searched,carrying out the installation of cable runs and circuits in marine structures,operating cnc wood routing and sawing machines,dispose of explosive substances and/or articles by non-complex deflagration procedures,,,,
20,,,,,,,,,,,,,,,,,,"carrying out fault diagnosis on aircraft airframe, mechanical components and systems",,,,,,,,,,,,,,,,,,,,,,,,,unit 16: produce products using hand-based operations within polymer processing and related operations,"assess and prepare permanent way materials, components and equipment for moving",,welding materials by the manual metal arc process,,provide operational support to users of traction and rolling stock assets,contribute to safe working practices in the rail engineering industry,,,assembling body sub-assemblies to produce a vehicle,,producing/finishing wooden furniture/outfitting components for yachts and,,,,,,,installing aircraft hydraulic systems,carrying out bonding operations on aircraft composite components,,servicing engine/propulsion systems in yachts and boats,installing visual display and computer systems to motorsport vehicles,,assembling ferrous marine pipework by mechanical means,,,testing marine electrical and electronic equipment and circuits,,,producing patterns for rigid inflatable boat (rib) sponsons,,,applying surface finishes to yacht and boat wooden assemblies,,,,testing aircraft radar systems,,,,reinstate the work area after signal engineering activities,,maintain workplace environmental control systems used in food and drink operations,,,,contribute to locating the disposition of potential munitions,carrying out the installation of cable runs and circuits in yachts and boats,producing furniture and structural components for leisure vehicles,dispose of explosive substances and/or articles by complex detonation procedures,,,,
21,,,,,,,,,,,,,,,,,,diagnosing and rectifying faults in vehicle electrical and electronic systems,,,,,,,,,,,,,,,,,,,,,,,,,unit 17: finish products within polymer processing and related operations,"supervise the assessment, preparation and movement of permanent way materials, components and equipment",,welding materials by the semi-automatic mig/mag and flux cored arc processes,,replace traction and rolling stock communication-electronic systems,,,,assembling electrical and electronic equipment to vehicles,,installing wooden furniture/outfitting units in yachts and boats,,,,,,,installing aircraft pneumatic systems,checking aircraft composite mouldings for defects,,stripping and rebuilding motorsport engines (pre-competition),installing communication systems to motorsport vehicles,,assembling non-ferrous marine pipework,,,setting to work and testing marine propulsion systems and equipment,,,marking out wood and composite materials,,,preparing yacht and boat surfaces for painting/finishing,,,,testing aircraft countermeasure systems,,,,assist in planned maintenance of signalling equipment,,understand how to maintain workplace environmental control systems used in food and drink operations,,,,contribute to identifying and describing the area to be searched,installing cable runs and circuits in marine structures,producing replacement components for maintenance activities,dispose of explosive substances and/or articles by non-complex detonation procedures,,,,
22,,,,,,,,,,,,,,,,,,carrying out fault diagnosis on experimental vehicles,,,,,,,,,,,,,,,,,,,,,,,,,unit 18: inspect products within polymer processing and related operations,,,welding rails using the aluminothermic welding process,,,,,,trimming of body components for vehicles,,marking out for the manufacture of structural components for wooden yachts and boats,,,,,,,installing aircraft de-icing systems,manufacturing vehicle composite mouldings using wet lay-up techniques,,service and maintain engines on land-based equipment,installing data acquisition systems to motorsport vehicles,,assembling non-metallic marine pipework,,,setting to work and testing marine power transmission systems and equipment,,,making components using hand tools and fitting techniques,,,preparing yacht and boat paints/coating materials for application,,,,test aircraft electro-optical and infrared systems,,,,carry out planned maintenance of signalling assets,,maintain emergency power generation equipment used in food and drink operations,,,,confirm the presence of munition(s),installing cable runs and circuits in yacht and boat structures,"producing mould, press tool or die components by manual machining",dispose of explosive substances and/or articles by function as intended procedures,,,,
23,,,,,,,,,,,,,,,,,,locating and diagnosing faults in post-production electronic components and circuits,,,,,,,,,,,,,,,,,,,,,,,,,unit 19: prepare to configure processing equipment within polymer processing and related operations,,,restore rails to operational condition using an arc welding process,,,,,,machining and hand sewing of vehicle trim components,,lining off for assembly and erection of yacht and boat wooden components,,,,,,,installing aircraft fuel systems,manufacturing vehicle composite mouldings using pre-preg laminating techniques,,,modifying motorsport vehicle electrical/electronic systems,,installing marine pipework and components,,,setting to work and testing marine hydraulic systems and equipment,,,producing components using hand fitting techniques,,,applying yacht and boat paints/coating materials manually,,,,testing aircraft instrumentation systems,,,,adjust signalling components and equipment to meet operational requirements,,understand how to maintain emergency power generation equipment used in food and drink operations ,,,,contribute to locating and gaining access to specified targets,wiring electrical equipment and circuits,carrying out cnc machine tool programming,carry out post-disposal tasks for explosive substances and/or articles,,,,
24,,,,,,,,,,,,,,,,,,locating and diagnosing faults in electrical systems and equipment,,,,,,,,,,,,,,,,,,,,,,,,,unit 20: configure processing equipment within polymer processing and related operations,,,preparing flash welding machines for operation,,,,,,assembling trim components to vehicles,,producing/finishing wooden structural components for yachts and boats,,,,,,,installing aircraft environmental systems,manufacturing vehicle components by acrylic moulding,,,setting up and testing motorsport vehicle electrical/electronic engine/transmission control units,,preparing and testing marine pipework systems,,,setting to work and testing marine pneumatic systems and equipment,,,carrying out aircraft detail fitting activities,,,applying yacht and boat paints/coating materials using spray methods,,,,carrying out maintenance of aircrew oxygen masks,,,,assist in the removal of signalling equipment,,maintain heating and ventilation systems used in food and drink operations,,,,,assembling electrical wiring support systems,producing toolroom components using cnc turning machines,determine the existence of a suitable disposal procedure for explosive substances and/or articles,,,,
25,,,,,,,,,,,,,,,,,,carrying out fault diagnosis on mechanical equipment,,,,,,,,,,,,,,,,,,,,,,,,,unit 29: configure and set processing systems to meet production requirements within polymer processing and related operations,,,joining rails using flash welding equipment,,,,,,producing and assembling substrates for vehicle components,,assembling/installing wooden structural components to produce yachts and,,,,,,,installing flying control surfaces and systems,bonding vehicle composite components,,,setting up and testing motorsport vehicle visual display and computing systems,,surveying marine pipework systems,,,setting to work and testing marine auxiliary power ,,,"general machining, fitting and assembly applications",,,preparing yacht and boat material surfaces by abrasive blasting,,,,testing uninstalled aircraft assisted escape system (aaes) components,,,,carry out removal of components from signalling assets,,understand how to maintain heating and ventilation systems used in food and drink operations,,,,,assembling and wiring electrical panels,producing toolroom components using cnc milling machines,contribute to post-disposal tasks for explosive substances and/or articles,,,,
26,,,,,,,,,,,,,,,,,,carrying out fault diagnosis on electrical equipment and circuits,,,,,,,,,,,,,,,,,,,,,,,,,unit 31: evaluate and modify processing parameters to meet process operations within polymer processing and related operations,,,welding materials by the manual tig and plasma arc welding process,,,,,,veneering and finishing vehicle components,,carrying out routine servicing of mechanical equipment,,,,,,,installing aircraft main engines,trimming vehicle composite mouldings using hand tools,,,setting up and testing motorsport vehicle communication systems,,forming marine components using a power press,,,setting to work and testing marine mechanical control equipment and systems,,,,,,carrying out the application of fairing/filling compounds to yachts and boats,,,,testing installed aircraft armament systems,,,,assist in the replacement of signalling equipment,,maintain air conditioning and ventilation systems used in food and drink operations,,,,,assembling electronic circuits,producing toolroom components using cnc grinding machines,adapt an existing disposal procedure for explosive substances and/or articles,,,,
27,,,,,,,,,,,,,,,,,,carrying out fault diagnosis on engineered systems,,,,,,,,,,,,,,,,,,,,,,,,,unit 32: carry out complex manual operations within polymer processing and related operations,,,determining welding and related technical requirements to achieve objectives,,,,,,assembling composite vehicle components,,carrying out routine servicing of electrical/electronic equipment,,,,,,,installing aircraft auxiliary engines,producing motorsport composite mouldings using pre-preg laminating techniques,,,setting up and testing motorsport vehicle data acquisition systems,,bending and straightening material using the heat-line method,,,"setting to work and testing marine steering gear, control equipment and systems",,,,,,applying yacht and boat paints/coatings manually,,,,testing uninstalled aircraft armament system components,,,,carry out replacement of components from signalling assets,,understand how to maintain air conditioning and ventilation systems used in food and drink operations  ,,,,,wiring and testing electrical equipment and circuits,producing toolroom components using cnc laser profiling machines,design a new disposal procedure for explosive substances and/or articles,,,,
28,,,,,,,,,,,,,,,,,,"carrying out fault diagnosis on mould, press tool or die equipment",,,,,,,,,,,,,,,,,,,,,,,,,unit 4: prepare for a processing operation within polymer processing and related operations,,,planning welding production resources and activities,,,,,,assembling and disassembling mechanical equipment on experimental vehicles,,,,,,,,,installing aircraft power transmission systems,producing motorsport composite mouldings using wet lay-up techniques,,,setting up and testing prototype vehicle data acquisition systems,,carrying out pipe fitting activities,,,setting to work and testing marine lifting equipment,,,,,,finishing marine wooden assemblies by applying surface treatments,,,,removing aircraft armament system components,,,,assist with establishing compliance with specifications for signalling equipment,,maintain gas distribution systems and equipment used in food and drink operations,,,,,forming and assembling electrical cable enclosure and support systems,producing toolroom components using cnc electro-discharge machines,plan the disposal of explosive substances and/or articles (complex),,,,
29,,,,,,,,,,,,,,,,,,locating faults in marine electrical and electronic equipment and circuits,,,,,,,,,,,,,,,,,,,,,,,,,unit 5: contribute to a machine-based processing,,,implementing welding production methods and procedures,,,,,,assembling and disassembling electrical and electronic equipment on experimental vehicles,,,,,,,,,installing aircraft instrument panels and meters,producing motorsport composite mouldings using resin infusion laminating techniques,,,inspecting manufactured vehicles,,forming and assembling pipework systems,,,setting to work and testing marine ancillary plant and equipment,,,,,,preparing marine material surfaces using hand and mechanical tools,,,,removing aircraft assisted escape systems (aaes),,,,establish compliance with specifications for signalling assets,,understand how to maintain gas distribution systems and equipment used in food and drink operations  ,,,,,"assembling, wiring and testing electrical panels/components mounted in enclosures",producing toolroom components using cnc machining centres,plan the disposal of explosive substances and/or articles (non-complex),,,,
30,,,,,,,,,,,,,,,,,,locating faults in marine mechanical equipment,,,,,,,,,,,,,,,,,,,,,,,,,unit 6: carry out a hand-based processing,,,monitoring welding activities in production,,,,,,producing commercial and passenger carrying vehicle body sub-assemblies,,,,,,,,,installing aircraft visual display units and computer systems,bonding motorsport composite mouldings,,,diagnosing and rectifying faults on motorsport vehicle systems (during competition),,,,,testing electrical and electronic equipment in yachts and boats,,,,,,preparing marine coating materials for application,,,,removing aircraft armament expendable stores,,,,conduct functional testing of newly installed signalling systems,,understand how to maintain compressed air systems and equipment used in food and drink operations,,,,,assembling and testing electronic circuits,machining components for jigs and fixtures,manage tasks for the disposal of explosive substances and/or articles,,,,
31,,,,,,,,,,,,,,,,,,diagnosing faults on marine electrical and electronic equipment and circuits,,,,,,,,,,,,,,,,,,,,,,,,,unit 7: finish production components within,,,welding materials by the oxy/fuel gas welding process,,,,,,assembling commercial and passenger carrying vehicle body sub-assemblies to produce a vehicle,,,,,,,,,installing aircraft engine control units,trimming motorsport composite mouldings using hand tools,,,carrying out maintenance activities on motorsport vehicle electrical equipment,,,,,testing marine electrical equipment and circuits,,,,,,applying marine coatings manually,,,,installing aircraft armament system components,,,,conduct maintenance testing of signalling assets,,maintain instrumentation and control systems used in food and drink operations,,,,,maintaining electronic equipment/systems,fabricating structural components for jigs and fixtures,carry out pre-disposal tasks for explosive substances and/or articles,,,,
32,,,,,,,,,,,,,,,,,,diagnosing faults on marine electrical equipment and circuits,,,,,,,,,,,,,,,,,,,,,,,,,unit 8: pack and store production components,,,welding pipe/tube using multiple manual arc welding processes,,,,,,fitting ancillary units to commercial and passenger carrying vehicles,,,,,,,,,installing aircraft power supplies,identifying defects in motorsport composite mouldings,,,preparing and manoeuvring armoured fighting vehicles (afvs) for maintenance and transportation  ,,,,,setting to work and testing marine power transmission systems and  equipment,,,,,,applying marine coatings using spray methods,,,,installing aircraft assisted escape systems (aaes),,,,conduct specific testing of signalling electronic equipment,,understand how to maintain instrumentation and control systems used in food and drink operations,,,,,general electrical and electronic engineering applications,setting a range of machines to produce toolroom components,contribute to pre-disposal tasks for explosive substances and/or articles,,,,
33,,,,,,,,,,,,,,,,,,diagnosing faults on marine mechanical equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,welding plate using multiple manual arc welding processes,,,,,,fitting internal and external trim and fitments to commercial and passenger carrying vehicles,,,,,,,,,installing aircraft communication systems,producing leisure vehicle composite mouldings using wet lay-up techniques,,,,,,,,setting to work and testing marine fire main systems and equipment,,,,,,preparing material surfaces by abrasive blasting,,,,installing aircraft armament expendable stores,,,,transfer responsibility of signalling assets,,maintain industrial refrigeration equipment used in food and drink operations,,,,,,machining toolroom components using a range of machines,hand over explosive substances and/or articles,,,,
