,42,38,9,29,4,36,27,24,25,16,26,35,20,45,21,31,7,19,14,44,15,40,8,43,10,11,34,33,18,32,39,5,28,13,37,30
8,,,carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations,,,,,,producing engineering specifications,carrying out visual inspection of welded motorsport components or structures,determining engineering software requirements,optimise standard operations which are under process control,producing aircraft composite mouldings using spray lay-up laminating techniques,supervise the loading of the vehicle with explosive substances and articles by others,,,"strength testing, gas tightness testing and direct purging ",lacquering and polishing veneered vehicle components,assist in the installation of signalling equipment,prepare vessel for rigging and de-rigging,conducting and monitoring static tests on vehicles,use hand tools and equipment in bus/coach engineering and maintenance,prepare and produce quotations for mechanical fire protection systems,rig static mounts for productions,quality assure the air tightness testing process ,"maintain industrial and commercial heating & ventilation systems, equipment and components",checking the compliance of electronic components,unit 46: contribute to the continuous improvement of the business within polymer processing and related operations,setting cnc turning machines for production of aircraft components,design the scale-up process for explosive substances and/or articles,de-commission assets on the electricity network,"service and repair land-based transport, handling and storage equipment",operate powered tools and equipment and small mobile plant for site operations on gas network construction,producing aircraft composite assemblies,establish and maintain effective working relationships in polymer processing and related operations,work safely
9,,,understand how to carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations ,,,,,,establish an engineering design brief,inspecting motorsport components by magnetic particle testing,producing  engineering software design,evaluate and modify processing parameters to meet process operations,producing aircraft composite mouldings using resin film infusion techniques,unload explosive substances and articles from the vehicle,,,"apply environmental legislation, working practices and principles (mechanical services)",applying finishes to vehicle composite mouldings,carry out installation of signalling assets,inspect and maintain yacht rigging,conducting and monitoring road tests on vehicles,carry out basic vehicle repairs in bus/coach engineering and maintenance,design systems for mechanical fire protection,track and swing crane and jib arms,build prototype(s) of selected design(s) for complex explosive articles,"service and maintain ductwork systems, equipment and components",checking the compliance of electrical equipment,unit 47: rectify process problems within polymer processing and related operations,machining aircraft components using cnc turning machines,create the specification for the design of complex explosive articles,configure electricity networks to asset owner's requirements,service and repair electronic control and monitoring systems on land-based equipment,join materials by electrofusion processes for site operations in gas network construction,assembling aircraft transparencies,unit 40: establish and maintain effective working relationships within polymer processing and related operations,conduct an assessment of the risks in the workplace
10,,,identify and locate mechanical faults in bus/coach systems and components,,,,,,create engineering designs,leading welding and fabrication activities,producing engineering software implementation,carry out complex manual operations,producing aircraft composite mouldings using resin transfer moulding techniques,supervise the unloading of explosive substances and articles from the vehicle by others,,,"maintain domestic gas cookers, tumble dryers and leisure appliances",applying finishes to motorsport composite mouldings,assist in the installation of telecoms equipment,preparing for rigging activities,setting up motorsport vehicles,carry out basic vehicle checks and servicing in bus/coach engineering and maintenance,install mechanical fire protection,track cameras,build prototype(s) of selected design(s) for explosive articles,maintain compressed air systems and equipment used in food and drink operations,,evaluate operational processes used on electricity network assets,setting cnc milling machines for production of aircraft components,create the specification for the design of an explosive article,determine the requirements for operations and maintenance of electricity network assets,service and repair hydraulic systems on land-based equipment,joint materials by butt fusion  processes in non routine operations for gas network construction,producing aircraft engine compressor assemblies,manage and oversee the quality of work,assess data and produce reports
11,,,identify and locate electrical faults in bus/coach systems and components,,,,,,evaluate engineering designs,leading rail welding activities,testing engineering software,evaluate and adjust manual operations,producing aircraft composite mouldings using hot press moulding techniques,"maintain the safety and the security of the load, self and property",,,oversee the work environment,flattening and polishing vehicle bodies,carry out installation of telecoms assets,maintaining rigging and lifting equipment,carrying out motorsport vehicle inspections during a competition,carry out bus/coach servicing,commission mechanical fire protection systems,,overhaul and repair engines on land-based equipment,comply with statutory regulations and organisational safety requirements in food and drink operations,,solve electricity network engineering problems with engineering solutions,machining aircraft components using cnc milling machines,assimilate and evaluate the information on explosive substances and/or articles,schedule operations and maintenance activities on electricity network assets,service and repair pneumatic systems on land-based equipment,excavate and maintain holes and trenches for utilities network construction,producing aircraft engine combustion assemblies,build and manage teams,prepare to undertake duties in the rail engineering industry
12,,,diagnose mechanical faults in bus/coach systems and components,,,,,,develop a strategy for the engineering design process,assembling jig and fixture structures using a manual welding process,performing engineering software analysis techniques,carry out complex sampling operations,producing aircraft composite mouldings using filament winding techniques,"prepare and move traction and rolling stock assets, components and equipment",,,organise the working environment,carrying out the application of surface treatments on composite mouldings,prepare the structure for photovoltaic/solar thermal panel installation - existing structure,inspecting lifting equipment and accessories,removing and refitting motorsport engines and ancillary components,rectify mechanical faults in bus/coach systems and components,handover mechanical fire protection system to customer,,reinstating the work area on completion of activities,understand how to comply with statutory regulations and organisational safety requirements in food and drink operations,,rectifying aeronautical engineering problems,setting cnc machining centres for production of aircraft components,gather and interpret the information on explosive substances and/or articles,obtain the resources to carry out work on electricity network assets,inspect and test land-based machinery and equipment,locate and avoid supply apparatus for utilities network construction,producing aircraft engine turbine assemblies,manage finance for your area of responsibility,
13,,,diagnose electrical faults in bus/coach systems and components,,,,,,,joining materials by the manual metal arc welding process,measuring engineering software quality,carry out testing operations,producing aircraft composite mouldings using pultrusion techniques,"supervise the movement of traction and rolling stock assets, components and equipment",,,prepare to carry out work,heat treating materials for fabrication activities,fix solar thermal/photovoltaic panels onto a roof structure ,carrying out mooring and berthing operations,removing and refitting transmissions on motorsport vehicles,rectify electrical faults in bus/coach systems and components,maintain and test the operational performance of mechanical fire protection,,carrying out routine servicing of aircraft,use engineering drawings and documents in maintenance activities in food and drink operations,,solve engineering or manufacturing problems,machining aircraft components using cnc machining centres,prepare the research strategy for explosive substances and/or articles,implement work on electricity network assets,service and repair land-based treatment application equipment,maintain a safe and secure working environment in utilities network construction,producing aircraft engine gearbox assemblies,establish and maintain effective working relationships on gas network construction sites ,
14,,,recondition electrical components in buses/coaches,,,,,,,joining materials by the manual mig/mag and other continuous wire processes,performing engineering software configuration management,contribute to a machine-based processing operation,producing aircraft composite mouldings using atl/afp laminating techniques,moving materials and components in an aircraft environment,,,"identify systems, equipment and components",heat treating materials for fabrication activities,fix solar thermal/photovoltaic panels into a roof structure ,carrying out manual splicing operations,removing and refitting suspension systems on motorsport vehicles,rectify body damage on bus/coach vehicle body components,,,vacuum forming aircraft components,understand how to use engineering drawings and documents in maintenance activities in food and drink operations,,monitor and evaluate engineering processes,producing aircraft components by manual machining,prepare the research programme for explosive substances and/or articles,specify methods and procedures to operate and maintain electricity network assets,apply core land-based engineering principles: mechanical principles,"operate powered tools, equipment and small mobile plant for utilities network construction",producing aircraft piston engine assemblies,contribute to an effective and safe working environment in the utilities sector,
15,,,diagnose faults in signalling assets,,,,,,,joining materials by the manual tig and plasma-arc welding processes,performing engineering software acquisition,carry out a hand-based processing operation,using curing and consolidation equipment for aircraft composite mouldings,positioning and securing aircraft access structures,,,"install domestic heating systems, equipment and components",applying surface treatments to marine wooden assemblies,fix solar thermal/photovoltaic panels onto a non-roof structure,installing rigging and lifting equipment,removing and refitting braking systems on motorsport vehicles,identify bus/coach body damage and recommend suitable repair techniques,,,installing aircraft armament systems,work in engineering food and drink operations ,,evaluate engineering risk assessments,drilling and finishing holes in aircraft components,submit proposals for research work for explosive substances and/or articles,install engineering components and assets in gas network construction,apply core land-based engineering principles: tools and equipment,reinstate excavations and surfaces during utilities network construction operations,producing aircraft engine major assemblies,achieve effective working relationships with colleagues in bus/coach engineering and maintenance,
16,,,diagnose faults in telecoms assets,,,,,,,joining materials by the manual gas welding process,performing engineering software safety assessments,finish production components,producing aircraft components using wet lay-up techniques,dismantling and removing aircraft access structures,,,"install plumbing systems, equipment and components",carrying out patch preparation of material surfaces using hand and mechanical tools,solar thermal/photovoltaic panels post installation activities ,inspect boat lifting and storage equipment,removing and refitting steering systems on motorsport vehicles,complete routine assembly of bus/coach body components,,,installing aircraft assisted escape mechanisms,understand how to work in engineering food and drink operations,,improve the quality of engineering products or processes,marking out components for experimental vehicle engineering,plan the research into explosive substances and/or articles,conduct specified testing of gas network engineering components and assets in gas network construction,"apply core land-based engineering principles: material preparation, shaping and assembling",access overhead line equipment construction sites,dressing aircraft engines,"evaluate and develop your own knowledge, understanding and skills in the bus/coach engineering and maintenance environment",
17,,,undertaking fault diagnosis on installed aircraft armament systems,,,,,,,joining rails using the aluminothermic welding process,performing low level programming for engineering software,pack and store production components,producing aircraft components using pre-preg laminating techniques,"slinging, lifting and moving materials and components",,,install weathering systems,carrying out the preparation of material surfaces by abrasive blasting,identify solar thermal/photovoltaic installation requirements,,removing and refitting chassis sub-assemblies and components on motorsport vehicles,provide roadside assistance for broken down buses/coaches,,,testing installed aircraft engines,hand over and confirm completion of maintenance activities within food and drink operations,,solving welding problems in production,using hand fitting techniques to produce components for experimental vehicle engineering,prepare and position explosive effects,conduct and commission specified connections to gas network assets,apply core land-based engineering principles: calculations,,installing aircraft cableforms/looms,maintain effective working relationships with colleagues in the rail engineering industry,
18,,,undertaking fault diagnosis on uninstalled aircraft armament system components,,,,,,,restore rails to operational condition using an arc welding process,performing computer system security assessments for engineering software,"accept, verify and store materials required for process operations",producing aircraft components using resin infusion techniques,"slinging, lifting and moving materials and components",,,install gas water heating and wet central heating ,preparing holding primer for application,produce specifications for solar thermal/photovoltaic installations,,removing and refitting fuel systems on motorsport vehicles,drive the bus/coach for testing and vehicle recovery,,,testing aircraft power transmission systems,understand how to hand over and confirm completion of maintenance activities within food and drink operations,,conducting business improvement activities,fabricating structural components for experimental vehicle engineering,initiate the explosive effect,determine technical requirements needed to achieve objectives in gas network construction operations,service and repair step-less or power-shift transmission systems on land based-equipment,,modifying aircraft electrical systems,"maintain and develop your knowledge, understanding and skills in the rail engineering industry",
19,,,carrying out fault diagnosis on aircraft avionics components or systems,,,,,,,welding rails using flash welding equipment,producing mechanical engineering drawings using a cad system,unit 1: prepare materials for processing according to instructions within polymer processing and related operations,producing aircraft components by acrylic moulding,setting up and preparing loads for moving,,,"decommission plumbing systems, equipment and components",applying holding primer by spray methods,installing aircraft mechanical controls,,carrying out fault diagnosis and rectification activities on motorsport vehicles during a competition,assess body damage to buses/coaches,,,testing aircraft hydraulic systems,maintain mechanical equipment within an engineered system used in food and drink operations,,,machining components for experimental vehicle engineering,assess the explosive substances and/or articles for disposal,determine resource requirements needed to achieve objectives in gas network construction,service and repair suspension systems on land-based equipment,,modifying aircraft avionics systems,plan for further professional development in the rail engineering industry,
20,,,"carrying out fault diagnosis on aircraft airframe, mechanical components and systems",,,,,,,joining materials by manual torch brazing and soldering,producing electrical or electronic engineering drawings using a cad system,unit 12: start up and maintain a machine-based production process within polymer processing and related operations,producing aircraft components by injection moulding,moving materials and components in a marine environment,,,"fit and fix cooling systems, equipment and components",rectifying metallic surfaces using hand and power tools,installing aircraft domestic equipment,,"removing, fitting and trimming bodywork to motorsport vehicles",repair electrical faults in bus/coach systems and components,,,testing aircraft pneumatic systems,understand how to maintain mechanical equipment within an engineered system used in food and drink operations,,,cutting and shaping sheet metal for experimental vehicle engineering,dispose of explosive substances and/or articles by complex mechanical breakdown procedures,plan engineering activities for gas network construction,,,testing aircraft cableforms/looms,leading a team in a continuing airworthiness environment,
21,,,diagnosing and rectifying faults in vehicle electrical and electronic systems,,,,,,,joining plastics using manual welding processes,producing cad models (drawings) using a cad system,unit 13: shutdown a machine-based production process within polymer processing and related operations,carrying out trimming operations on aircraft composite components,positioning and securing marine access structures,,,"decommission cooling systems, equipment and components",preparing surfaces by ultra high pressure (uhp) water jetting,installing aircraft lockers and storage units,,removing and refitting electrical/electronic equipment on motorsport vehicles,repair damage to bus/coach body components,,,testing aircraft environmental systems,maintain fluid power equipment within an engineered system used in food and drink operations,,,fitting pipework systems to commercial and passenger carrying vehicles,dispose of explosive substances and/or articles by non-complex mechanical breakdown procedures,co-ordinate communications for operational activities on utility networks and assets,,,producing aircraft wiring layouts and routeings,developing working relationships in a continuing airworthiness environment,
22,,,carrying out fault diagnosis on experimental vehicles,,,,,,,joining materials using plastics welding machines,using computer software packages to assist with engineering activities,unit 15: prepare to produce products by hand-based operations within polymer processing and related operations,carrying out bonding operations on aircraft composite components,removing marine access structures,,,"commission cooling systems, equipment and components",preparing marine coatings for application,installing aircraft interior panels and soft furnishings,,installing electrical/electronic engine/transmission control units in motorsport vehicles,set out and assemble bus/coach body components,,,testing aircraft de-icing systems,understand how to maintain fluid power equipment within an engineered system used in food and drink operations,,,machining components for commercial and passenger carrying vehicle applications,dispose of explosive substances and/or articles by complex chemical breakdown procedures,manage commissioning and handover of plant and equipment in food manufacture,,,"producing aircraft electrical sub-assemblies, cableforms and looms",leading mechanical manufacturing or inspection activities,
23,,,locating and diagnosing faults in post-production electronic components and circuits,,,,,,,joining materials by resistance spot welding,,unit 16: produce products using hand-based operations within polymer processing and related operations,carrying out repairs to aircraft composite mouldings,prepare boats and yachts for moving within a marina yard,,,"install industrial and commercial heating & ventilation systems, equipment and components",carrying out the manual application of marine coatings,installing aircraft seating and furniture,,installing visual display and computer systems to motorsport vehicles,recondition mechanical components in buses/coaches,,,testing aircraft fuel systems,maintain process controller equipment within an engineered system used in food and drink operations,,,marking out motorsport components for fabrication,dispose of explosive substances and/or articles by non-complex chemical breakdown procedures,plan utility network construction operations,,,modifying aircraft cableforms and looms,leading electrical/electronic product manufacturing or testing activities ,
24,,,locating and diagnosing faults in electrical systems and equipment,,,,,,,joining materials by resistance spot welding,,unit 17: finish products within polymer processing and related operations,checking aircraft composite mouldings for defects,move and store boats and yachts on land,,,maintain gas water heating and wet central heating appliances,carrying out the application of marine coatings using spray methods,installing aircraft hydraulic systems,,installing communication systems to motorsport vehicles,repair mechanical/electrical faults in ancillary systems and components in buses/coaches,,,testing aircraft flying control surfaces and systems,understand how to maintain process controller equipment within an engineered system used in food and drink operations,,,cutting and shaping sheet and tube materials to fabricate motorsport components,dispose of explosive substances and/or articles by complex biological breakdown procedures,plan and organise work of self and others,,,modifying aircraft armament systems and components,working efficiently and effectively in engineering,
25,,,carrying out fault diagnosis on mechanical equipment,,,,,,,producing fillet welded joints using a manual welding process,,unit 18: inspect products within polymer processing and related operations,manufacturing vehicle composite mouldings using wet lay-up techniques,"slinging, lifting and moving materials, machinery and components in a marine environment",,,"decommission heating & ventilation systems, equipment and components",carrying out the application of deck screeds and other deck coverings,installing aircraft pneumatic systems,,installing data acquisition systems to motorsport vehicles,carry out roadside recovery of buses/coaches,,,testing aircraft armament systems,carry out preventative planned maintenance on engineered systems within food and drink operations,,,forming sheet and tube materials to fabricate motorsport components,dispose of explosive substances and/or articles by non-complex biological breakdown procedures,assist in preparing resources for electrification and plant engineering activities,,,modifying aircraft avionic systems,working efficiently and effectively in engineering,
26,,,carrying out fault diagnosis on electrical equipment and circuits,,,,,,,welding materials by the manual metal arc process,,unit 19: prepare to configure processing equipment within polymer processing and related operations,manufacturing vehicle composite mouldings using pre-preg laminating techniques,preparing loads for moving,,,commission mechanical systems,"applying fairing, filling and specialist protective coatings to marine components",installing aircraft de-icing systems,,modifying motorsport vehicle electrical/electronic systems,operate an it system in a bus/coach engineering and maintenance environment,,,testing aircraft assisted escape systems,understand how to carry out preventative planned maintenance on engineered systems within food and drink operations,,,forming pipework for motorsport vehicles,dispose of explosive substances and/or articles by complex burning procedures,allocate and monitor resources for electrification and plant engineering activities,,,modifying aircraft propulsion equipment and systems,work in an efficient and effective way in the utilities sector,
27,,,carrying out fault diagnosis on engineered systems,,,,,,,welding materials by the semi-automatic mig/mag and flux cored arc processes,,unit 20: configure processing equipment within polymer processing and related operations,manufacturing vehicle components by acrylic moulding,setting up and securing marine access structures,,,establish electrical control (and supply) of mechanical building services and systems,applying surface finishes to yacht and boat wooden assemblies,installing aircraft fuel systems,,setting up and testing motorsport vehicle electrical/electronic engine/transmission control units,unit 3 – obtain and communicate information in the rail engineering industry,,,installing aircraft radar systems,carry out condition monitoring of plant and equipment used within food and drink operations,,,producing pipe assemblies for motorsport vehicles,dispose of explosive substances and/or articles by non-complex burning procedures,allocate and monitor resources for signal engineering activities,,,"installing, testing and modifying aircraft cableforms/looms in a mechanical structure",,
28,,,"carrying out fault diagnosis on mould, press tool or die equipment",,,,,,,welding rails using the aluminothermic welding process,,unit 22: carry out simple sampling operations within polymer processing and related operations,bonding vehicle composite components,dismantling and removing access structures,,,install gas pipework up to 35mm ,preparing yacht and boat surfaces for painting/finishing,installing aircraft environmental systems,,setting up and testing motorsport vehicle visual display and computing systems,working in a rail engineering environment,,,testing aircraft visual display units and computer systems,understand how to carry out condition monitoring of plant and equipment used within food and drink operations,,,loading and proving programs for cnc wood routing and sawing activities,dispose of explosive substances and/or articles by complex incineration procedures,allocate and monitor resources for telecoms engineering activities,,,repairing and modifying aircraft mechanical assemblies and components,,
29,,,locating faults in marine electrical and electronic equipment and circuits,,,,,,,restore rails to operational condition using an arc welding process,,unit 23: carry out simple testing operations within polymer processing and related operations,trimming vehicle composite mouldings using hand tools,"lift and move permanent way materials, components and equipment",,,carry out safe electrical working practices on electrical control (and supply) for mechanical building services systems,preparing yacht and boat paints/coating materials for application,installing flying control surfaces and systems,,setting up and testing motorsport vehicle communication systems,contribute to safe working practices in the rail engineering industry,,,testing aircraft engine control units,apply total productive maintenance (tpm) in food and drink operations,,,setting cnc wood routing and sawing machines for production,dispose of explosive substances and/or articles by non-complex incineration procedures,allocate and supervise traction and rolling stock resources,,,assembling aircraft airframe ancillary components,,
30,,,locating faults in marine mechanical equipment,,,,,,,preparing flash welding machines for operation,,unit 29: configure and set processing systems to meet production requirements within polymer processing and related operations,repairing defects in vehicle composite mouldings,"assess and prepare permanent way materials, components and equipment for moving",,,gas tightness testing and direct purging ,applying yacht and boat paints/coating materials manually,installing aircraft main engines,,setting up and testing motorsport vehicle data acquisition systems,carry out maintenance on electrification and plant equipment and components,,,testing aircraft communication systems,understand how to apply total productive maintenance (tpm) in food and drink operations ,,,operating cnc wood routing and sawing machines,dispose of explosive substances and/or articles by complex deflagration procedures,planning aeronautical engineering activities,,,producing aircraft cableforms and looms,,
