,Top skills extracted,Corresponding top clusters,Suite size
Rail engineering,Instruction; Compliance; Management; Direct current; Book; Overhead line; Engineering activity; Schedule; Ole; Calibration; Data management; Fault; Switch; Test equipment; Inspection; Power supply; Installation; Information systems; Rolling stock; Data acquisition,Electrical engineering; Electrical work; Hr management; Claims administration; Medical admin; Business management; Design and process engineering; Electronics; Civil engineering; Networks; Driving and automotive maintenance; Languages; Construction; Bi and data warehousing; Manufacturing methods; Employee development; It support; Marketing research; It security standards; Welding and machining,113
Mechanical manufacturing engineering suite 3 2008,Risk assessment; Instruction; Iso; Fault; Tolerance; Machine setting; Machine tool; Consumables; Parameter; Inspection; Machinery; Machining; Particle; Power supply; Trial; Chamfer; Cutter; Machine operation; Spring; Compliance,Welding and machining; Audit and compliance; Languages; Driving and automotive maintenance; Manufacturing methods; Claims administration; Construction; Employee development; Data engineering; Electronics; Accounting admin; Oil and gas extraction; Mainframe programming; Physics and math; Clinical research; Extracurricular activities and childcare; Graphic and digital design; Hr management; Software development; Animation,97
Renal,External link; Religious belief; Listen; Management; Anatomy; Physiology; Transplant; Therapy; Immunosuppression; Dialysis; Treatment planning; Immune system; Age; Prospect; History; Critical care; Psychology; Education; Statistic; Surgery,Languages; Physiotherapy and beauty; Recruitment; Extracurricular activities and childcare; Business management; Nephrology; Respiratory disease; Genomics and dna sequencing; Dermatology; Social work and caregiving; Mental health; Critical care; Flow cytometry; General sales; Phlebotomy; Research methods and statistics; Teaching; General practice; Surgery; Data engineering,96
Policing and law enforcement,Public service; Risk assessment; Management; Welfare; Law enforcement; Record keeping; Impact assessment; Compliance; Promote; Training; Parameter; Intelligence gathering; Silver; Cost; Explosive; Risk management; Audit; Acting; Collection; History,Teaching; Audit and compliance; Hr management; Business management; Legal services; Employee development; Office administration; Environmental planning; Intelligence; Recruitment; Marketing strategy and branding; Data engineering; Languages; Extracurricular activities and childcare; Claims administration; Mental health; Financial asset management; Procurement; Manufacturing methods; Driving and automotive maintenance,91
Polymer processing and related operations,Sort; Instruction; Schedule; Packaging; Environmental policy; Storage; Environmental regulation; Cleaning; Production schedule; Inspection; Workplace health and safety; Fault; Process equipment; Cost; Batch production; Production process; Parameter; Tolerance; Hand tool; Traceability,"Manufacturing methods; Health, safety and environment; Driving and automotive maintenance; Office administration; Claims administration; Shipping and warehouse operations; Construction; Electrical work; Supply chain management; Languages; Procurement; Employee development; Data engineering; Social work and caregiving; Business analysis and it projects; Marketing research; Oil and gas extraction; Welding and machining; Hr management; Logistics administration",86
Automotive engineering suite 3,Risk assessment; Instruction; Fault; Calibration; Consumables; Cable; Iso; Adhesive; Motorsport; Panel; Sealant; Compliance; Transport; Engine; Composite; Storage; Brake; Installation; Tolerance; Inspection,"Construction; Languages; Welding and machining; Audit and compliance; Driving and automotive maintenance; Electrical work; Manufacturing methods; Claims administration; Electrical engineering; Automotive engineering; Accounting admin; Oil and gas extraction; Animation; Heating, ventilation and plumbing; Mainframe programming; Electronics; Extracurricular activities and childcare; Hr management; Structural engineering; Data engineering",84
Maritime,Instruction; Contingency plan; Machinery; Management; Fault; Compliance; Schedule; Deck; Propulsion; Engine; Repair; Craft; Bridge; Environmental protection; First aid; Parameter; Fishing gear; Inspection; Barge; Survey,"Driving and automotive maintenance; Claims administration; Supply chain management; Construction; Languages; Business management; Health, safety and environment; Electrical work; Hr management; Civil engineering; Structural engineering; Electrical engineering; Animation; Employee development; Recruitment; Data engineering; Critical care; Environmental planning; Extracurricular activities and childcare; Shipping and warehouse operations",84
Marketing,Marketing; Management; Cost; Sales; Marketing communications; Articulate; Promote; Marketing mix; Listen; Collection; Listen actively; Public relations; Advertising; Direct marketing; Schedule; Target market; Data collection; Strategic management; Vision; Sales promotion,Marketing strategy and branding; Business management; General sales; Procurement; Media relations; Complex sales; Employee development; Graphic and digital design; Event planning; Mainframe programming; Financial asset management; Advertising; Office administration; Hr management; Retail; Electrical work; Research methods and statistics; Audit and compliance; Legacy mainframe; Supply chain management,83
Craft bakery,Bakery; Food; Food safety; Instruction; Recipe; Craft; Cleaning; Artisan; Time constraint; Storage; Puff; Process control; Danish; Mould; Unloading; Bakery ingredient; Production schedule; Schedule; Decorate; Avoid contamination,"Construction; Environmental planning; Languages; Retail management; Claims administration; Driving and automotive maintenance; Manufacturing methods; Legacy mainframe; Marketing research; Shipping and warehouse operations; Supply chain management; Oil and gas extraction; Welding and machining; Health, safety and environment; Design and process engineering; Mental health; Biochemistry; Synthetic biology; Phlebotomy; Extracurricular activities and childcare",81
Information security,Information security; Information systems; Management; Security policy; Compliance; Training; Information assurance; Security testing; Process control; Guide others; Audit; Resourcing; Risk management; White paper; Scanning; Information governance; Business continuity; Embedding; Authentication; Cost,It security operations; Business management; It security standards; It security implementation; Employee development; Hr management; Audit and compliance; Recruitment; Business analysis and it projects; Procurement; Manufacturing methods; Mainframe programming; Financial asset management; Multimedia production; Software development; Welding and machining; Animation; Clinical information systems; Archiving and libraries; Electronics,79
Aviation operations on the ground,Aviation; Civil; Civil aviation; Management; Instruction; Inspection; Compliance; Transport; Lighting; Schedule; Engine; Cost; Team leading; Fault; Civil aviation authority; Air navigation; React; Training; Calculation; Contingency plan,Aviation; Driving and automotive maintenance; Animation; Languages; Construction; Hr management; Claims administration; Business management; Employee development; Office administration; Electrical work; Recruitment; Data engineering; Procurement; Social work and caregiving; It security operations; Networks; Civil engineering; Environmental planning; Mainframe programming,76
Public health,Storage; Information sharing; Management; Promote; Cost; Community development; Collection; Projection; Cultural diversity; Change management; Data collection; Risk management; Surveillance; Macro; Capture; Empowerment; Resourcing; Policy development; Learning style; Survey,Business management; Shipping and warehouse operations; Digital marketing; Procurement; Social work and caregiving; Languages; Marketing strategy and branding; Research methods and statistics; Environmental planning; Recruitment; Accounting and financial management; Mainframe programming; Animation; Employee development; Manufacturing methods; Teaching; Financial asset management; Graphic and digital design; Office administration; Archiving and libraries,75
Diabetes,Management; Education; Nutrition; Diabetes management; Audit; Information audit; Retinopathy; Insulin; Child protection; Therapy; Age; Food; Create environment; History; Surgery; Psychology; Injection; Informed consent; Listen; Gestational diabetes,Nutrition and diabetes management; Teaching; Business management; Social work and caregiving; Audit and compliance; Languages; Ophthalmology; Dermatology; Phlebotomy; Animation; Mental health; Surgery; Recruitment; Physiotherapy and beauty; Claims administration; Patient support; Tissue culture; General practice; Critical care; Driving and automotive maintenance,75
"Project control, estimating, planning and cost engineering",Cost; Estimating; Schedule; Engineering activity; Management; Database; Acquisition; Version control; Instruction; Cost control; Training; Installation; Costing; Collection; Information systems; Compliance; Financial control; Simulation; Forecasting; Calculation,Procurement; Construction engineering; Business management; Electrical work; Design and process engineering; Accounting and financial management; Hr management; Mainframe programming; Financial asset management; Manufacturing methods; Employee development; Marketing research; Software development; Claims administration; Data engineering; Audit and compliance; It support; Electronics; Legal services; Recruitment,74
Hospitality professional cookery,Food; Food safety; Cooking; Management; Frying; Fault; Grilling; Storage; Glazing; Stewing; Roasting; Seasoning; Poultry; Cleaning; Game; Moulding; Season; Skinning; Yield; Shallow frying,"Retail management; Social work and caregiving; Construction; Languages; Welding and machining; Business management; Recruitment; Driving and automotive maintenance; Oil and gas extraction; Office administration; Shipping and warehouse operations; Mainframe programming; Data engineering; Dental assistance; Phlebotomy; Health, safety and environment; Biochemistry; Patient support; Legacy mainframe; Energy",72
Business and administration 2013,Interpersonal skill; Compliance; Cost; Grammar; Spelling; Management; Listening; Listen; Meet deadline; Information systems; Editing; Instruction; Promote; Adapt to change; Schedule; Office equipment; Fault; Active listening; English; Listen actively,Languages; Office administration; Recruitment; Business management; Mental health; Hr management; Employee development; Procurement; Claims administration; Mainframe programming; It security standards; It support; Graphic and digital design; Low vision support; Digital content authoring; Marketing strategy and branding; Electrical work; Supply chain management; Extracurricular activities and childcare; Energy,71
Marine engineering suite 2,Instruction; Risk assessment; Iso; Compliance; Iso standard; Consumables; Cable; Permit; Cleanliness; Storage; Repair; Tank; Schedule; Deck; Lighting; Adhesive; Gasket; Panel; Engine; Cleaning,"Construction; Welding and machining; Audit and compliance; Driving and automotive maintenance; Electrical work; Electrical engineering; Hr management; Languages; Claims administration; Heating, ventilation and plumbing; Oil and gas extraction; It security standards; Social work and caregiving; Animation; Health, safety and environment; Accounting admin; Structural engineering; Shipping and warehouse operations; Manufacturing methods; Mainframe programming",70
Management and leadership,Management; Promote; Vision; Risk management; Listen; Listen actively; Cooperation; Show empathy; Acting; Team building; Cost; Training; Innovation; Forecasting; Stress management; Smart; Empower; Business process; Creativity; Leadership style,Employee development; Business management; Marketing strategy and branding; Legacy mainframe; Recruitment; Financial asset management; Mainframe programming; Hr management; Procurement; Multimedia production; Business analysis and it projects; Audit and compliance; Office administration; Extracurricular activities and childcare; Accounting and financial management; Securities trading; Advertising; Teaching; Supply chain management; Digital marketing,70
Signmaking,Instruction; Environmental legislation; Tolerance; Storage; Environmental policy; Fault; Template; Warning sign; Composite; Schedule; Parameter; Installation; Cost; Machinery; Repair; Inspection; Recording format; Printer; Bitmap; Production process,"Health, safety and environment; Claims administration; Driving and automotive maintenance; Employee development; Languages; Shipping and warehouse operations; Animation; Software development; Structural engineering; Welding and machining; Premises security; It support; Procurement; Electrical work; Construction; Data engineering; Manufacturing methods; Mainframe programming; Office administration; Hr management",69
Meat and poultry processing,Food; Poultry; Cleanliness; Storage; Yield; Food safety; Compliance; Welfare; Management; Production process; Inspection; Avoid contamination; Packaging; Cleaning; Instruction; Game; Recipe; Schedule; Audit; Fault,"Languages; Driving and automotive maintenance; Social work and caregiving; Shipping and warehouse operations; Data engineering; Retail management; Hr management; Manufacturing methods; Business management; Mainframe programming; Audit and compliance; Health, safety and environment; Recruitment; Construction; Office administration; Claims administration; Electrical work; General sales; Procurement; Extracurricular activities and childcare",69
Production and control operations in food manufacture,Food; Instruction; Food safety; Supply chain; Schedule; Production schedule; Process specification; Process control; Machinery; Packaging; Storage; Fault; Avoid contamination; Recipe; Traceability; Process equipment; Written communication; Consumables; Instrumentation; Throughput,"Languages; Supply chain management; Claims administration; Retail management; Manufacturing methods; Business analysis and it projects; Driving and automotive maintenance; Construction; Health, safety and environment; Shipping and warehouse operations; Electrical work; Marketing research; Mainframe programming; Data engineering; Media relations; Accounting admin; Extracurricular activities and childcare; Procurement; Networks; Audit and compliance",68
Legal advice,Active listening; Listening; Welfare; Management; Education; Scheme; Judicial review; Social services; Cost; Service provision; Expert witness; Training; Compliance; Proof; Time management; Contract law; Mental health; Promote; Medical record; Negligence,Hr management; Legal services; Low vision support; Social work and caregiving; Employee development; Business management; Claims administration; Teaching; Graphic and digital design; Mental health; Procurement; Supply chain management; Languages; Audit and compliance; Civil engineering; Payroll and tax accounting; Accounting admin; Recruitment; Marketing strategy and branding; Medical coding,67
"Commissioning, procurement and contracting for care services",Management; Promote; Sustainability; Make decision; Risk management; Business model; Central; Transaction; Environmental model; Performance management; Service provision; Social services; Business process; Cost; Initiative; Manage budget; Creativity; Mapping; Innovation; Risk assessment,Business management; Financial asset management; Marketing strategy and branding; Energy; Mainframe programming; Shipping and warehouse operations; Hydrology; Audit and compliance; Business analysis and it projects; Supply chain management; Social work and caregiving; Employee development; Procurement; Office administration; Languages; Hr management; Recruitment; General sales; Environmental planning; Accounting and financial management,66
It users 6.2,Edit; Editing; Template; Spell; Storage; Management; Music; File format; Crop; Grammar; Stylus; Sort; Data entry; Camera; Book; Cost; Firewall; Animation; Scanner; Error message,Graphic and digital design; Multimedia production; Languages; Software development; Networks; It support; Office administration; Digital content authoring; Animation; Shipping and warehouse operations; Mainframe programming; Business management; Digital marketing; Electronics; Data engineering; Servers and middleware; Hr management; Medical admin; Bi and data warehousing; Environmental planning,64
Food technology,Food; Process control; Food science; Storage; Consultant; Packaging; Biochemistry; Food safety; Additive; Compliance; Protein; Cleaning; Salt; Collection; Data collection; Nutrition; Composition; Poultry; Instruction; Panel,Languages; Manufacturing methods; Laboratory techniques; Biochemistry; Driving and automotive maintenance; Shipping and warehouse operations; Recruitment; Synthetic biology; Retail management; Oil and gas extraction; Hr management; Biotechnology manufacturing; Research methods and statistics; Construction; Nutrition and diabetes management; Reproductive health; Business management; Extracurricular activities and childcare; Marketing research; Claims administration,64
Beauty therapy,Ventilation; Instruction; Lighting; Hair; Aftercare; Cost; Storage; Skin type; Age; Listening; Cleaning; Home care; Management; Contraindication; Anatomy; Physiology; Comment; First aid; Environmental protection; Promote,"Languages; Mainframe programming; Social work and caregiving; Driving and automotive maintenance; Animation; Physiotherapy and beauty; Heating, ventilation and plumbing; Claims administration; Manufacturing methods; Phlebotomy; Extracurricular activities and childcare; Health, safety and environment; Procurement; Shipping and warehouse operations; Reproductive health; Recruitment; Respiratory disease; Business management; Autoimmune conditions; Marketing strategy and branding",63
Custodial care,Instruction; Risk assessment; Promote; Management; Training; Contingency plan; History; Mental health; Lock; Fault; Acting; Installation; Make decision; Schedule; Education; Welfare; Timeline; Storage; Visual inspection; Inspection,Claims administration; Business management; Audit and compliance; Languages; Employee development; Marketing strategy and branding; Driving and automotive maintenance; Mental health; Supply chain management; Multimedia production; Social work and caregiving; Legal services; Recruitment; Construction; Mainframe programming; Graphic and digital design; Retail management; It support; Hr management; Office administration,62
Housing,Management; Promote; Initiative; Cost; Risk assessment; Information sharing; Inspection; Repair; Empower; Identify opportunity; Advise customer; Acting; Collection; Listening; Sales; Costing; Training; Consultation method; Mental health; Empowerment,Business management; Marketing strategy and branding; Driving and automotive maintenance; Procurement; Hr management; Employee development; Office administration; Digital marketing; Recruitment; Audit and compliance; General sales; Advertising; Languages; Social work and caregiving; Mental health; Archiving and libraries; Multimedia production; Claims administration; Shipping and warehouse operations; Business analysis and it projects,62
Freelancing in the creative and cultural industries,Craft; Music; Marketing; Proactive; Advertising; Business marketing; Initiative; Cost; Sales; Management; Vision; Business strategy; Promote; Timeline; Compliance; Target market; It support; Set target; Innovation; Identify opportunity,Marketing strategy and branding; Hr management; Construction; Multimedia production; Advertising; Office administration; Procurement; Business management; Employee development; General sales; Event planning; Graphic and digital design; Retail; Languages; Recruitment; Complex sales; It support; Audit and compliance; Accounting and financial management; Legacy mainframe,62
Supporting teaching and learning in schools,Age; Promote; Sort; Listening; Instruction; Education; Book; Bilingual; Listen; Management; Child protection; Information sharing; Storage; English; Numeracy; Learning support; Welfare; Training; Cultural diversity; Learning style,Social work and caregiving; Teaching; Languages; Marketing strategy and branding; Recruitment; Employee development; Office administration; Business management; Mental health; Claims administration; Hr management; Extracurricular activities and childcare; Medical admin; Multimedia production; Digital marketing; Shipping and warehouse operations; Environmental planning; Marketing research; Driving and automotive maintenance; Low vision support,61
Building information modelling,Synthesis; Civil engineering; Civil; Estimator; Town planning; Management; Cost; Consultant; Installation; Sustainability; Book; Schedule; Welfare; Ventilation; Adaptability; Parameter; Demolition; Risk assessment; Transport; Innovation,"Civil engineering; Environmental planning; Procurement; Histology; Business management; Marketing research; Energy; Hr management; Recruitment; Construction engineering; Employee development; Driving and automotive maintenance; Construction; It support; Health, safety and environment; Supply chain management; Languages; Financial asset management; Heating, ventilation and plumbing; Business analysis and it projects",61
Business enterprise,Cost; Management; Sales; Marketing; Training; Business planning; Scheme; Consultant; Mentor; Book; Recruit; Promote; Compliance; Loans; Vision; Set target; Financial statement; Storage; Business process; Patent,Business management; Procurement; Employee development; Marketing strategy and branding; General sales; Hr management; Recruitment; Accounting and financial management; Complex sales; Legal services; Office administration; Languages; Payroll and tax accounting; Driving and automotive maintenance; Insurance and lending; Retail; Shipping and warehouse operations; Accounting admin; Financial asset management; Securities trading,60
Children’s care learning and development,Mental health; Learning disability; Child development; Trauma; Promote; Make decision; Social network; Age; Management; Risk assessment; Disciplinary procedure; Initiative; Risk management; Training; Game; Listen; Education; Listening; Food; Child support,Mental health; Social work and caregiving; Business management; Marketing strategy and branding; Surgery; Digital marketing; Languages; Employee development; Recruitment; Extracurricular activities and childcare; Audit and compliance; Teaching; Office administration; Financial asset management; Retail management; Mainframe programming; Hr management; Multimedia production; Construction; Critical care,59
Achieving food manufacturing excellence,Food; Supply chain; Packaging; Management; Vision; Identify opportunity; Collection; Compliance; Six sigma; Food safety; Training; Promote; Consultant; Timeline; Smart; Sustainability; Root cause analysis; Standard deviation; Median; Inspection,Manufacturing methods; Languages; Business management; Supply chain management; Legacy mainframe; Employee development; Recruitment; Hr management; Research methods and statistics; Marketing strategy and branding; Mainframe programming; Archiving and libraries; Retail management; Graphic and digital design; Energy; Driving and automotive maintenance; Accounting and financial management; Procurement; Marketing research; Claims administration,58
Hairdressing 2008,Hair; Instruction; Cleaning; Hairdressing; Aftercare; J; Cost; History; Hair product; Home care; Porosity; Curl; Hair colour; Pricing; Listening; Thinning; Massage; Effleurage; Petrissage; Hair colouring,Languages; Driving and automotive maintenance; Claims administration; Dental assistance; Mainframe programming; Software development; Procurement; Social work and caregiving; Oil and gas extraction; Physiotherapy and beauty; Tomography and microscopy; Manufacturing methods; Web development; Financial asset management; Laboratory techniques; Recruitment; Data engineering; Welding and machining; Autoimmune conditions; Shipping and warehouse operations,58
Archaeological practice,Collection; Cost; Management; Schedule; Storage; Parameter; Archive; Promote; Archaeology; Comment; Survey; Compliance; Consultant; Catalogue; Acquisition; Installation; Risk assessment; Sort; Record keeping; Landscape,"Archiving and libraries; Procurement; Driving and automotive maintenance; Business management; Recruitment; Employee development; Hr management; Office administration; Marketing strategy and branding; Data engineering; Environmental planning; Electrical work; Journalism and writing; Teaching; Health, safety and environment; Claims administration; Shipping and warehouse operations; Civil engineering; Languages; Research methods and statistics",58
Environmental conservation,Risk assessment; Instruction; Wildlife; Management; Machinery; Landscape; Survey; Wildlife habitat; Schedule; Biodiversity; Collection; Transport; Erosion; Data collection; Inspection; Maintenance and repair; Repair; Cost; Promote; Dredging,"Driving and automotive maintenance; Environmental planning; Audit and compliance; Claims administration; Health, safety and environment; Languages; Civil engineering; Business management; Construction; Hr management; Electrical work; Hydrology; Employee development; Research methods and statistics; Recruitment; Manufacturing methods; Mainframe programming; Extracurricular activities and childcare; Procurement; Marketing strategy and branding",57
Treework,Risk assessment; Machinery; Environmental health and safety; Season; Slope; Management; Anchor; Thinning; Maximum; Cable; Instruction; Winch; Teamwork; Cost; Age; Stack; Pulley; Shackle; Biology; Forestry,"Driving and automotive maintenance; Audit and compliance; Health, safety and environment; Recruitment; Mainframe programming; Electrical work; Environmental planning; Construction; Business management; Social work and caregiving; Oil and gas extraction; Data engineering; Claims administration; Welding and machining; Languages; Procurement; Office administration; Civil engineering; Low vision support; Networks",57
Cultural heritage,Management; Exhibition; Marketing; Collection; Cost; Storage; Vision; Fundraising; Training; Information systems; Promote; Database; Instruction; Sales; Identify opportunity; Learning style; Risk assessment; Schedule; History; Central,Archiving and libraries; Business management; Marketing strategy and branding; Employee development; Event planning; Driving and automotive maintenance; General sales; Mainframe programming; Procurement; Legacy mainframe; Recruitment; Teaching; Shipping and warehouse operations; Audit and compliance; It security standards; Claims administration; Legal services; Office administration; Hr management; Retail,57
"Technical theatre and live production stage, sound, lighting and visuals",Schedule; Instruction; Lighting; Fault; Script; Management; Installation; Score; Storage; Risk assessment; Sort; Cable; Consumables; Cost; Compliance; Special effect; Alteration; Material process; Production schedule; Music,Electrical work; Driving and automotive maintenance; Animation; Languages; Claims administration; Multimedia production; Recruitment; Digital content authoring; It support; Electrical engineering; Audit and compliance; Business management; Office administration; Shipping and warehouse operations; Construction; Manufacturing methods; Accounting admin; Extracurricular activities and childcare; Supply chain management; Procurement,57
Animal care and welfare,Welfare; Animal welfare legislation; Training; Risk assessment; Biosecurity; Surgery; Instruction; Storage; Fear; Promote; Age; History; Management; Transport; Cost; Therapy; Food; Animal specie; Maintain equipment; Professional liability,"Hr management; Languages; Public health programmes; Employee development; Audit and compliance; Driving and automotive maintenance; Physiotherapy and beauty; Claims administration; Social work and caregiving; Biotechnology manufacturing; Surgery; Environmental planning; Shipping and warehouse operations; Marketing strategy and branding; Business management; Procurement; Dermatology; Heating, ventilation and plumbing; Extracurricular activities and childcare; Phlebotomy",56
Engineering maintenance in food manufacture,Food; Food safety; Cleaning; Permit; Seafood; Bakery; Instruction; Risk assessment; Schedule; Fault; Transformer; Gasket; Cable; Voltage; Lock; Repair; Consumables; Switch; Wiring; Storage,"Languages; Electrical engineering; Driving and automotive maintenance; Electrical work; Construction; Heating, ventilation and plumbing; Retail management; Extracurricular activities and childcare; Audit and compliance; Health, safety and environment; Manufacturing methods; Oil and gas extraction; Networks; Environmental planning; Claims administration; Welding and machining; Electronics; Logistics administration; Accounting admin; Shipping and warehouse operations",55
Community justice,Promote; Management; Listen; Risk assessment; Social justice; Acting; Mental health; Comment; Compliance; Cost; History; Interact with others; React; Education; Fear; Trial; Sort; Training; Schedule; Make decision,Business management; Marketing strategy and branding; Hr management; Recruitment; Audit and compliance; Mental health; Languages; Public health programmes; Employee development; Procurement; Social work and caregiving; Mainframe programming; Office administration; Multimedia production; Journalism and writing; Legal services; Teaching; Low vision support; Environmental planning; Data engineering,55
Craft generic,Craft; Cost; Intellectual property; Marketing; Pricing; Sketch; Property right; Management; Identify opportunity; Business planning; Sales; Experimentation; Creativity; Experiment; Instruction; Quotation; Invoice; Compliance; Calculation; Patent,"Construction; Procurement; Employee development; Claims administration; Marketing strategy and branding; Graphic and digital design; Business management; Languages; Recruitment; Legal services; Financial asset management; General sales; Accounting and financial management; Accounting admin; Health, safety and environment; Microfluidics; Driving and automotive maintenance; Office administration; Hr management; Audit and compliance",55
Processing industries operations,Instruction; Parameter; Instrumentation; Permit; Chemical reactor; Tank; Cost; Storage; Schedule; Cleaning; Environmental legislation; Process equipment; Process control; Sort; Hoist; Transport; Acting; Calibration; Composition; Fault,"Claims administration; Health, safety and environment; Data engineering; Driving and automotive maintenance; Languages; Manufacturing methods; Extracurricular activities and childcare; Electrical engineering; Energy; Procurement; Employee development; Electrical work; Shipping and warehouse operations; Welding and machining; Multimedia production; Logistics administration; Office administration; Business management; Social work and caregiving; Audit and compliance",54
"Fenestration, installation and surveying",Installation; Instruction; Glazing; Inspection; Aperture; Drainage; Floor; Information systems; Schedule; Panel; Consumables; Compliance; Proof; Machinery; Cleaning; Maximum; Risk assessment; Damp; Training; Repair,"Construction; It support; Driving and automotive maintenance; Claims administration; Data engineering; Heating, ventilation and plumbing; Graphic and digital design; It security standards; Hr management; Employee development; Electrical work; Accounting admin; Civil engineering; Mainframe programming; Audit and compliance; Languages; Oil and gas extraction; Bi and data warehousing; Shipping and warehouse operations; Health, safety and environment",54
