,index,URN,NOS Title,correct_exact_matches
12,agree-production-and-co-production-parameters--sksanim1.pdf,SKSANIM1,Agree production and co-production parameters,Management; Intellectual property; Parameter; Production process; Property right; Sort; Merchandising; Animation; Branding
13,agree-restoration-requirements-with-customers-profrr11.pdf,PROFRR11,Agree restoration requirements with customers,Repair
14,analyse-and-interpret-data-in-science-or-technology-related-industries-cogsqo-02.pdf,COGSQO-02,Analyse and interpret data in science or technology related industries,Management; Energetic; Comment; Statistical process control; Database; Timeline; Report writing; Manufacturing process
15,analysing-samples-in-downstream-operations-cogdo11.pdf,COGDO11,Analysing samples in downstream operations,Permit; Instruction; Clean equipment; Label sample; Sample preparation; Schedule
16,apply-adhesives-to-components-profm48.pdf,PROFM48,Apply adhesives to components,Adhesive; Instruction; Fault
17,apply-treatment-chemicals-to-wood-prowpt2.pdf,PROWPT2,Apply treatment chemicals to wood,Instruction; Machinery; Weathering; Storage; Application process; Fault; Ventilation
18,assemble-fish-or-shellfish-products-by-hand-impfp127.pdf,IMPFP127,Assemble fish or shellfish products by hand,Process specification; Production process; Food; Traceability; Production schedule
19,assess-and-report-on-studios-and-locations-for-sound-acquisition-skss03.pdf,SKSS03,Assess and report on studios and locations for sound acquisition,Ageing; Cost; Acquisition; Keep note; Sound quality; Schedule; Transport
20,assess-and-review-the-compliance-risks-relevant-to-your-organisation--fspcomp3.pdf,FSPCOMP3,Assess and review the compliance risks relevant to your organisation,Compliance; Risk assessment; Risk appetite
21,assess-and-specify-repair-requirements-profrr18.pdf,PROFRR18,Assess and specify repair requirements,Fault; Listen; Repair
22,assess-items-of-furniture-for-repair-profrr4.pdf,PROFRR4,Assess items of furniture for repair,Repair; Manufacturing process
23,assess-production-and-operational-costs-in-a-food-and-drink-business-impmr104.pdf,IMPMR104,Assess production and operational costs in a food and drink business,Management; Quotation; Production process; Food; Cost; Consult information source; Indirect cost
24,assist-in-administering-and-maintaining-anaesthetics-or-sedation-to-veterinary-patients-lanrvn21.pdf,LANRVN21,Assist in administering and maintaining anaesthetics or sedation to veterinary patients,Autoclave; Surgical procedure; Infection control; Anaesthetic; Hand hygiene; Fault; Packaging
25,assist-in-developing-the-compliance-culture-of-your-organisation--fspcomp7.pdf,FSPCOMP7,Assist in developing the compliance culture of your organisation,Management; Promote; Compliance; Vision
26,assist-management-of-production-filming-sksp25.pdf,SKSP25,Assist management of production filming,Management; Audition; Cost; Production schedule
27,assist-qualified-veterinary-staff-during-medical-procedures-and-diagnostic-investigations-lanrvn26.pdf,LANRVN26,Assist qualified veterinary staff during medical procedures and diagnostic investigations,Infection control; Anaesthetic; Animal position; Welfare; Ventilation
28,assist-the-veterinary-surgeon--lanrvn18.pdf,LANRVN18,Assist the veterinary surgeon as a scrubbed nurse to perform surgical procedures on veterinary patients,Ultrasound; Digital radiography; Radiography; Endoscopy; Surgical procedure; Infection control; Consumables; Maintain equipment; Diagnostic imaging; Fault; Cleaning; Packaging; Welfare; Schedule
29,assist-the-veterinary-surgeon-as-a-general-theatre-assistant-during-surgical-procedures--lanrvn17.pdf,LANRVN17,Assist the veterinary surgeon as a general theatre assistant during surgical procedures,History; Surgical procedure; Infection control; First aid; Welfare
30,assist-the-veterinary-surgeon-in-preparing-sedation-and-anaesthesia-materials-and-equipment-for-veterinary-lanrvn19.pdf,LANRVN19,Assist the veterinary surgeon in preparing sedation and anaesthesia materials and equipment for veterinary procedures,Infection control; Diagnostic imaging; Welfare
31,assist-with-the-milking-of-livestock-lanlp13.pdf,LANLP13,Assist with the milking of livestock,Instruction; Machinery; Risk assessment; Cleaning; Welfare; Food safety; Livestock
32,assist-with-the-post-production-process-sksp34.pdf,SKSP34,Assist with the post-production process,Production process; Transport
33,assure-quality-methods-and-procedures-in-a-science-or-technology-environment-cogsqo-03.pdf,COGSQO-03,Assure quality methods and procedures in a science or technology environment,Iso standard; Aseptic; Energetic; Patent; Parameter; Instruction; Inspection; Record keeping; Compliance; Sorting; Statistical method; Schedule; Manufacturing process
34,astacea1.pdf,ASTACEA1,"Work in a safe, effective and professional manner",Promote; Instruction; Advisory; Retrofit; Auditing; Inspection; Energy efficiency; Compliance; Risk assessment; Scheme
35,astacea2.pdf,ASTACEA2,Prepare for the energy assessment of air conditioning systems,Book; Anemometer; Condenser; Calibration; Energy consumption; Inspection; Evaporator; Risk assessment; Cooling systems; Estimating
36,astacea3.pdf,ASTACEA3,Inspect simple / packaged air conditioning systems,Air filter; Visual inspection; Heat exchanger; Logbook; Comment; Performance review; Age; Instruction; Interlock; Database; Installation; Condenser; Energy consumption; Fan coil unit; Inspection; Airflow; Evaporator; Energy efficiency; Compliance; Risk assessment; Cleaning; Test equipment; Cooling systems; Ventilation
37,astacea4.pdf,ASTACEA4,Inspect complex/central air conditioning systems,Visual inspection; Heat exchanger; Logbook; Parameter; Comment; Central; Performance review; Age; Cleanliness; Instruction; Building management; Floor; Database; Energy conservation; Installation; Water chiller; Condenser; Energy consumption; Fan coil unit; Inspection; Sight glass; Airflow; Nozzle; Energy efficiency; Differential; Chilled water; Compliance; Risk assessment; Cleaning; Water distribution; Test equipment; Evaporative cooler; Cooling systems; Pressure drop; Ventilation
38,astacea5.pdf,ASTACEA5,Report on the energy performance of air conditioning systems,Equipment maintenance; Comment; Calculation; Installation; Inspection; Fault; Cooling systems; Ventilation; It management
39,astap1.pdf,ASTAP1,Process appeals against local authority decisions,Parameter; Compliance
40,astasps34.pdf,ASTASPS34,Agree client requirements and prepare terms of engagement,Quotation; Age; Time constraint
41,astasps35.pdf,ASTASPS35,Investigate and evaluate factors that impact on the value of property,Age; Instruction; Pool; Damp; Inspection; Market trend; Building control
42,astasps36.pdf,ASTASPS36,Value property,Age; Auditing; Inspection; Market trend
43,astb6.pdf,ASTB6,Provide leadership in your area of responsibility,Management; Empower; Creativity; Innovation; Articulate; Mentoring; Leadership style; Listen; Vision
44,astbsc1.pdf,ASTBSC1,Work at and clean a biohazard scene,Transporting; Avoid contamination; Clean equipment; Storage; Cleaning; Trauma; Decontamination; Vaccination
45,astbus301.pdf,ASTBUS301,Carry out your responsibilities at work,Cope with pressure; Adapt to change
46,astbus302.pdf,ASTBUS302,Work within your business environment,Sustainability; Interpersonal skill; Interact with others; Support colleague; Business administration
47,astbus406.pdf,ASTBUS406,"Monitor and review the implementation of corporate objectives, strategies and policies",Promote; Identify opportunity; Compliance
48,astbus408.pdf,ASTBUS408,Evaluate internal and external factors and promote partnership working,Promote; Compliance
49,astbus410.pdf,ASTBUS410,Create and manage information systems,Management; Training; Information systems
50,astbus412.pdf,ASTBUS412,Chair meetings,Interpersonal skill; Time management; Attend meeting; Schedule
51,astc102.pdf,ASTC102,Maintain personal hygiene standards when cleaning,Instruction; Hair; Cleaning
52,astc105.pdf,ASTC105,Work with others and follow reporting procedures,Breakage; Instruction; Follow reporting procedure; Schedule
53,astc106.pdf,ASTC106,Work individually and follow reporting procedures,Breakage; Instruction; Follow reporting procedure; Schedule
54,astc107.pdf,ASTC107,Work in an environmentally friendly way,
55,astc108.pdf,ASTC108,Use and store equipment and cleaning agents in line with organisational procedures,Instruction; Sort; Clean equipment; Warning sign; Storage; Fault; Cleaning
56,astc109.pdf,ASTC109,"Deal with waste, recyclables, lost property and suspicious packages",Handle waste; Instruction; Collection; Cleaning
57,astc110.pdf,ASTC110,Use electrical or battery powered cleaning equipment effectively and safely,Battery pack; Instruction; Floor buffer; Warning sign; Cable; Battery; Storage; Cleaning; Test equipment; Ventilation
58,astc111.pdf,ASTC111,Clean a variety of surfaces using correct methods,Instruction; Floor; Warning sign; Storage; Cleaning
59,astc202.pdf,ASTC202,Communicate effectively with customers and others,Comment; Fault; Cleaning
60,astc203.pdf,ASTC203,Work as a team and develop yourself,Set target
61,astc204.pdf,ASTC204,Work individually and develop yourself,Breakage; Instruction; Set target; Schedule
62,astc208.pdf,ASTC208,Clean washrooms and replenish supplies,Instruction; Hair; Wetting; Consumables; Storage; Collection; Fault; Cleaning; Ventilation
63,astc209.pdf,ASTC209,Clean high risk areas,Cleanliness; Instruction; Machinery; Hand hygiene; Storage; Drainage; Risk assessment; Cleaning
64,astc210.pdf,ASTC210,Clean confined spaces,Acting; Cleanliness; Instruction; Storage; Risk assessment; Cleaning
65,astc211.pdf,ASTC211,Clean food areas,Management; Power supply; Instruction; Food preparation; Machinery; Food; Clean equipment; Hand hygiene; Ventilation systems; Fault; Cleaning; Food safety; Scaling; Ventilation
66,astc215.pdf,ASTC215,Clean glazed surfaces and façades,Instruction; Machinery; Wetting; Storage; Fault; Cleaning
67,astc218.pdf,ASTC218,Perform street cleansing manually,Instruction; Cart; Collection; Cleaning
68,astc221.pdf,ASTC221,Use a water-fed pole system to clean windows and facades,Braking; Composition; Fascia; Instruction; Tank; Payload; Guttering; Inspection; Risk assessment; Cleaning; Water filter
69,astc301.pdf,ASTC301,Supervise the work of cleaning staff,Contingency plan; Resource planning; Supervise the work of cleaning staff; Cleaning; Schedule; Coordinating
70,astc302.pdf,ASTC302,Contribute to the implementation of systems and best practice in cleaning,Cleaning
71,astc303.pdf,ASTC303,"Support equality, diversity and individual rights in the workplace",Promote; Age; Mental health; Interact with others; Cleaning
72,astc309.pdf,ASTC309,Supervise the cleaning of food areas,Management; Power supply; Food preparation; Food; Hand hygiene; Equipment cleaning; Cleaning; Food safety
73,astc311.pdf,ASTC311,Maintain a sustainable environment in cleaning,Cleaning
74,astc313.pdf,ASTC313,Train cleaning staff,Training; Training programme; Instruction; Identify training need; Cleaning
75,astccr1.pdf,ASTCCR1,Prepare to carry out clean-room cleaning operations,Lighter; Instruction; Filtration; Warning sign; Power tool; Cleaning; Hand tool; Radio frequency
76,astccr2.pdf,ASTCCR2,Carry out and complete clean-room cleaning operations,Cleanliness; Instruction; Filtration; Storage; Collection; Cleaning
77,astccr3.pdf,ASTCCR3,Contribute to maintaining the required standard of cleanliness of clean-rooms,Cleanliness; Instruction; Calibration; Particle; Cleaning
78,astccr4.pdf,ASTCCR4,Respond to spillages in clean-rooms,Instruction; Machinery; Storage
79,astccr5.pdf,ASTCCR5,Contribute to the control of infection in clean environments,Infectious disease; Instruction; Collection; Cleaning; Soap
80,astcea01.pdf,ASTCEA01,Prepare for the provision of commercial energy advice,Gather data; Promote; Prospective client; Site inspection; Glazing; Carbon reduction; Instruction; Insulation; Lighting; Energy consumption; Energy efficiency; Energy management; Scheme
81,astcea02.pdf,ASTCEA02,Establish the asset ratings of commercial buildings,Site inspection; Thermal; Lighting; Calculation; Inspection; Energy efficiency; Energy management; Geometry; Ventilation
82,astcea03.pdf,ASTCEA03,Establish the operational rating of buildings,Logbook; Calculation; Inspection; Energy management
83,astcea04.pdf,ASTCEA04 ,Identify effective measures to reduce energy consumption and achieve carbon reduction,Carbon reduction; Lighting; Consumables; Energy consumption; Energy efficiency; Energy management; Ventilation; Scheme
84,astcea05.pdf,ASTCEA05 ,Explain and promote energy efficiency and carbon reduction options to clients,Promote; Employee engagement; Carbon reduction; Cost; Cost benefit analysis; Lighting; Initiative; Energy efficiency; Energy management; Compliance; Impact assessment; Ventilation; Scheme
85,astcea06.pdf,ASTCEA06 ,Develop an energy management and carbon reduction plan with clients,Management; Parameter; Training; Carbon reduction; Building management; Audit; Lighting; Energy consumption; Energy supply; Proofing; Energy efficiency; Energy management; Compliance; Energy policy; Ventilation; Set target
86,astcea07.pdf,ASTCEA07 ,Support clients to implement energy management and carbon reduction plans,Early adopter; Corporate social responsibility; Training; Carbon reduction; Energy reduction; Cost; Cost benefit analysis; Audit; Energy consumption; Inertia; Energy management; Financial forecasting; Set target
87,astcea08 .pdf,ASTCEA08,Encourage senior management to promote and adopt energy efficiency and carbon reduction strategies and policies,Early adopter; Management; Promote; Training; Carbon reduction; Training programme; Energy reduction; Cost; Cost benefit analysis; Business strategy; Inertia; Energy efficiency; Energy management; Energy policy; Financial forecasting; Adoption; It management
88,astd3.pdf,ASTD3,"Recruit, select and keep colleagues",Management; Prospect; Training; Staff development; Initiative; Succession planning; Recruiting; Welfare; Team building; Recruit
89,astdea1.pdf,ASTDEA1,Work in an effective and professional manner,Promote; Constitution; Training; Advisory; Auditing; Inspection; Set objective
90,astdea2.pdf,ASTDEA2,Prepare for energy assessments of domestic property,Site inspection; Age; Instruction; Cost; Audit; Inspection; Roof; Sap; Energy efficiency; Scheme
91,astdea3.pdf,ASTDEA3,Identify representative properties for sampling and multiple certification,Site inspection; Logbook; Database; Inspection
92,astdea4.pdf,ASTDEA4,Undertake energy inspections,Gather data; Site inspection; Catalogue; Visual inspection; Glazing; Survey; Age; Heating systems; Insulation; Audit; Lighting; Calculation; Inspection; Roof; Sap; Energy efficiency; Sketch; Performance improvement; Elevation; Repair; Ventilation; Scheme
93,astdea5.pdf,ASTDEA5,Produce and explain energy performance certificates relating to domestic property,Site inspection; Survey; Advise customer; Age; Cost; Insulation; Audit; Database; Lighting; Calculation; Auditing; Inspection; Roof; Sap; Energy efficiency; Sketch; Performance improvement; Pathology; Elevation; Scheme
94,astea2.pdf,ASTEA2,Prepare for the provision of energy advice,Boiler; Gather data; Promote; Prospective client; Glazing; Instruction; Audit report; Insulation; Lighting; Installation; Condensing boiler; Marketing; Energy consumption; Roof; Analyse energy consumption
95,astea5.pdf,ASTEA5,Monitor the implementation of energy advice,Gather data; Audit report; Cost; Energy consumption; Quantification
96,astea6.pdf,ASTEA6,Promote community action to reduce energy consumption,Sustainability; Boiler; Promote; Renewable energy; Training; Promote sustainability; Cost; Insulation; Installation; Energy consumption; Identify opportunity
97,astea7.pdf,ASTEA7,Promote low and zero carbon energy technologies,Promote; Technology research; Thermal; Biomass; Grid connection; Promote sustainability; Energy consumption
98,astf6.pdf,ASTF6,Monitor and solve customer service problems,Management; Sorting
99,astffl1.pdf,ASTFFL1,Respond to requests for fire damage limitation work,Promote; Consultant; Instruction
100,astffl10.pdf,ASTFFL10,Prevent further damage to structures and contents by flooding,Machinery; Bucket; Insulation; Sandbag; Inspection; Waterproof; Cleaning
101,astffl11.pdf,ASTFFL11,Create acceptable dry conditions for restoration operations,Breakage; Instruction
102,astffl2.pdf,ASTFFL2,Assess and estimate work required to limit damage to structures post fire,Instruction; Triage; Floor; Cost; Lighting; Calculation; Inspection; Breathing apparatus; Camera; Roof; Risk assessment; Cleaning; Estimating
103,astffl3.pdf,ASTFFL3,Assess and estimate work required to limit damage to contents post fire,Instruction; Triage; Cost; Calculation; Risk assessment; Cleaning; Estimating
104,astffl6.pdf,ASTFFL6,Prepare for flood damage emergencies,Consumables
105,astffl7.pdf,ASTFFL7,Respond to flood damage emergencies,Triage; Floor; Tank; Inspection; Camera; Roof; Drainage; Risk assessment; Mould
106,astffl8.pdf,ASTFFL8,Assess and estimate work required to limit damage to structures after flood,Instruction; Floor; Cost; Calculation; Camera; Roof; Estimating
107,astffl9.pdf,ASTFFL9,Assess and estimate work required to limit damage to contents after flood,Book; Instruction; Floor; Cost; Calculation; Camera; Estimating
108,astfm301.pdf,ASTFM301,Establish and monitor the facilities required by clients,Management; Facility management; Water conservation; Cost; Office administration; Energy consumption; Inspection; Energy efficiency; Costing; Adoption
109,astfm305.pdf,ASTFM305,Maintain the quality of service delivery,Instruction; Service level agreement; Schedule
110,astfm306.pdf,ASTFM306,Contribute to the management of incidents and emergencies,Management; Permit; Instruction; Schedule
111,astfm308.pdf,ASTFM308,"Prioritise and implement the maintenance of property, systems and services",Cost; Energy consumption; Inspection; Identify opportunity; Energy efficiency; Costing; Fault; Schedule
112,astfm312.pdf,ASTFM312,Manage facilities management projects,Management; Facility management; Cost; Financial control; Estimating
113,astfm313.pdf,ASTFM313,Monitor and report on progress and the use of resources,Parameter; Collection; Schedule
114,astfm314.pdf,ASTFM314,Contribute to the procurement of supplies,Management; Logistics; Financial analysis; Energy consumption; Identify opportunity; Energy efficiency; Storage; Benchmarking; Supply chain; Adoption; Supply chain management
115,astfm317.pdf,ASTFM317,Remote support for products or services,Cost; Interact with others; Audit; Compliance; Logging
116,astfm318.pdf,ASTFM318,Supplying information for management control,Management; Cost; Consumables; Management accounting; Transaction; Spreadsheet
117,astfm319.pdf,ASTFM319,Contributing to the management of performance and the enhancement of value,Statistic; Management; Quotation; Cost management; Cost analysis; Linear regression; Time series; Cost; Engineering activity; Cost control; Marketing; Transaction; Forecasting; Tabular form; Costing; Spreadsheet; Benchmarking; Statistical method; Total quality management; Moving average; Present report
118,astfm320.pdf,ASTFM320,Disaster recovery and contingency planning,Facility management
119,astfm321.pdf,ASTFM321,Reassessing operational performance,Management; Contract management; Facility management; Cost; Service level agreement; Cluster
120,astfm323.pdf,ASTFM323,Allocate and manage the efficient use of space,Space management; Management; Instruction; Energy conservation; Optimisation; Inspection; Identify opportunity; Energy efficiency
121,astfm324.pdf,ASTFM324,Manage and monitor the efficient use of energy,Management; Energy efficiency; Energy management; Energy policy
122,astfm401.pdf,ASTFM401,Understand facilities management and its place in the organisation,Facility management; Energy reduction; Energy efficiency; Compliance
123,astfm402.pdf,ASTFM402,"Devise, plan and implement facilities management policies",Management; Facility management; Energy efficiency; Energy management
124,astfm403.pdf,ASTFM403,Manage a range of services in a facilities management environment,Management; Facility management; Identify opportunity; Energy efficiency; Energy management; Cleaning
125,astfm404.pdf,ASTFM404,"Develop, promote and market facilities management services",Management; Promote; Facility management; Make decision; Identify opportunity
126,astfm405.pdf,ASTFM405,Monitor and implement facilities management projects,Management; Facility management; Cost; Timeline; Schedule; Financial control
127,astfm406.pdf,ASTFM406,Manage change in a facilities management environment,Management; Facility management; Training; Negotiation skill; Identify training need
128,astfm407.pdf,ASTFM407,"Support equality, diversity and individual rights in facilities management",Promote; Facility management; Interact with others; Mobility
129,astfm408.pdf,ASTFM408,Develop productive working relationships with others when delivering facilities management services,Facility management; Mediation
130,astfm409.pdf,ASTFM409,Deliver facilities management through people,Facility management; Training; Recruiting; Recruit
131,astfm410.pdf,ASTFM410,Manage facilities management budgets and finances,Management; Facility management; Financial management; Cost; Projection; Calculation; Performance management
132,astfm411.pdf,ASTFM411,"Implement health and safety, environmental and quality standards for facilities management",Environmental policy; Facility management; Environmental issue; Environmental legislation; Compliance
133,astfm412.pdf,ASTFM412,Manage risks and controls to ensure business continuity,Management; Facility management; Cost; Risk management; Business continuity; Energy efficiency; Energy management
134,astfm413.pdf,ASTFM413,Manage operational performance in facilities management,Management; Facility management; Cost; Service level agreement; Identify opportunity; Energy efficiency; Energy management; Benchmarking; Vision
135,astfm414.pdf,ASTFM414,Specify and source products and services for facilities management,Sustainability; Management; Facility management; Cost; Procurement strategy; Acquisition; Identify opportunity; Energy management; Costing; Supply chain
136,astfm415.pdf,ASTFM415,Provide property asset management,Management; Permit; Facility management; Training; Asset management; Inspection; Identify opportunity; Energy management; Compliance; Schedule
137,astfm416.pdf,ASTFM416,Manage accommodation and space utilisation,Space management; Management; Facility management; Energy conservation; Identify opportunity; Design review; Energy efficiency; Energy management; Alteration
138,astfm417.pdf,ASTFM417,Oversee works and maintenance of facilities,Facility management; Cost; Audit; Economic analysis; Facility maintenance; Identify opportunity; Energy efficiency; Risk assessment; Schedule
139,astfm418.pdf,ASTFM418,Carry out energy management of facilities,Sustainability; Management; Renewable energy; Carbon footprint; Facility management; Insulation; Energy efficiency; Energy management; Alternative energy; Transport
140,astfm419.pdf,ASTFM419,Contribute to sustainable best practice through facilities management,Sustainability; Management; Promote; Corporate social responsibility; Carbon footprint; Facility management; Training; Design construction; Environmental protection; Education; Environmental management; Cost; Consumables; Energy efficiency; Sustainable design; Environmental sustainability; Surpass; Natural resource
141,astfm501.pdf,ASTFM501,Understand the strategic importance of facilities management,Management; Facility management; Cost; Identify opportunity; Energy management; Compliance; Embed
142,astfm502.pdf,ASTFM502,Oversee the implementation and review of facilities management policies,Sustainability; Management; Facility management; Energy efficiency; Energy management
143,astfm508.pdf,ASTFM508,Manage assets and the maintenance strategy,Management; Key performance indicator kpis; Facility management; Asset management; Cost; Auditing; Inspection; Business continuity; Facility maintenance; Identify opportunity; Energy efficiency; Energy management; Schedule
144,astfm510.pdf,ASTFM510L,Comply with regulation and legislation in facilities management,Facility management; Inspection; Compliance; Risk assessment
145,astfm514.pdf,ASTFM514L,Plan estates in facilities management,Sustainability; Portfolio management; Management; Facility management; Environmental issue; Asset management; Cost; Cost benefit analysis; Projection; Forecasting; Estate planning; Strategic development; Financial planning; Vision
146,astfm515.pdf,ASTFM515,Strategically plan space,Space management; Portfolio management; Management; Promote; Resource planning; Innovation; Facility management; Depreciation; Cost; Facility design; Identify opportunity; Design review; Energy efficiency; Energy management; Feasibility study; Collection; Benchmarking
147,astfm516.pdf,ASTFM516L,Mobilise facilities management contracts,Management; Facility management; Risk register; Iso; Training; Cost; Due diligence; Service level agreement; Contract administration; Risk assessment; Vision
148,astfm517.pdf,ASTFM517,Implement sustainable facilities management,Sustainability; Management; Facility management; Green energy; Environmental protection; Cost; Consumables; Energy consumption; Monitoring result; Energy efficiency; Collection; Building design
149,astgda1.pdf,ASTGDA1,"Provide information to customers on the principles, financing and operation of the green deal (or equivalent programme)",Acting; Quotation; R; Cost; Installation; Energy consumption; Energy efficiency; Alternative energy; Scheme
150,astgda2.pdf,ASTGDA2,Undertake home visits to carry out green deal (or equivalent programme)occupancy assessments and give advice,Management; Site inspection; Catalogue; Visual inspection; Thermal; Audit; Installation; Auditing; Energy consumption; Inspection; Sap; Energy efficiency; Sketch; Elevation; Mould; Scheme
151,astgda3.pdf,ASTGDA3,Prepare and issue domestic green deal (or equivalent programme) advice reports,Quotation; Cost; Audit; Calculation; Installation; Auditing; Inspection; Sap; Energy efficiency; Sketch; Performance improvement; Elevation; Scheme; Property fabric
152,astgda4.pdf,ASTGDA4,Explain the green deal (or equivalent programme) advice report to the domestic customer,Promote; Carbon reduction; Cost; Energy consumption; Sap; Energy efficiency; Performance improvement; Alternative energy; Logic
153,astgda5.pdf,ASTGDA5,Carry out non-domestic inspections to determine operational profile and give advice,Management; Catalogue; Visual inspection; It support; Carbon reduction; Score; Audit; Lighting; Consumables; Energy consumption; Inspection; Energy efficiency; Sketch; Energy management; Elevation; Ventilation; Scheme; Dynamic simulation
154,astgda6.pdf,ASTGDA6,Prepare and issue non-domestic green deal (or equivalent programme) advice reports,Quotation; Carbon reduction; Cost; Audit; Lighting; Calculation; Installation; Sort; Energy consumption; Inspection; Energy efficiency; Sketch; Performance improvement; Alternative energy; Elevation; Scheme; Property fabric
155,astgda7.pdf,ASTGDA7,Explain the green deal (or equivalent programme) advice report to the non-domestic customer,Management; Promote; Cost; Energy consumption; Energy efficiency; Performance improvement; Logic
156,astgen1.pdf,ASTGEN1,Contribute to health and safety in the workplace,Instruction; First aid; Emergency services; Welfare
157,astgen2.pdf,ASTGEN2,Communicate effectively in the workplace,Management; Call sign; Book; Telecommunication; Training; Instruction; Written communication; Fault; Understand instruction; Emergency services; Work efficiently
158,astgen4.pdf,ASTGEN4,Control the use of resources,Instruction; Storage
159,asth02.pdf,ASTHO2 ,Address the challenging behaviour of individuals in a supported housing context,Management; Age; Informed consent
160,asth201.pdf,ASTH201,Develop and maintain relationships with stakeholders in a housing context,Maintain trust
161,asth202.pdf,ASTH202,Maintain effective working relationships with housing colleagues and others,Management
162,asth203.pdf,ASTH203,"Monitor and maintain health, safety and security of self and others",
163,asth204.pdf,ASTH204,Process documents relating to housing services,Archive
164,asth205.pdf,ASTH205,Undertake promotional activity within the housing sector,Logistics; Promote; Social medium; Public service
165,asth206.pdf,ASTH206,Advertise and market properties,Marketing material; Marketing; Advertising
166,asth207.pdf,ASTH207,Use organisational it systems in a housing context,Management; Customer relationship management; Storage; Property management systems
167,asth208.pdf,ASTH208,Set up and deal with housing agreements,Listening
168,asth209.pdf,ASTH209,Match the needs of customers with available accommodation,Application process; Assist customer; Contact customer
169,asth210.pdf,ASTH210,Support the management of housing agreements,Management; Management information systems
170,asth212.pdf,ASTH212,Check and record the condition of property,History; Cost; Inspection; Repair
171,asth213.pdf,ASTH213,Respond to customer requests for repairs,Advise customer; Cost; Inspection; Fault; Repair
172,asth222.pdf,ASTH222,Ensure personal safety and security when lone working,
173,asth223.pdf,ASTH223,Hold meetings with customers and others,
174,asth224.pdf,ASTH224,Help develop customers to contribute to decision making,Identify opportunity
175,asth225.pdf,ASTH225,Support residents’ involvement in the local community,Identify opportunity
176,asth226.pdf,ASTH226,Support the rights of customers in the community,
177,asth301.pdf,ASTH301,"Promote safe, ethical and sustainable practice in your area of responsibility",Promote
178,asth303.pdf,ASTH303,Develop relationships with others to improve customer service in housing,
179,asth304.pdf,ASTH304,Respond to customer requests for repairs,Advise customer; Inspection; Fault; Repair
180,asth305.pdf,ASTH305,Inspect the condition of property,Inspection; Risk assessment; Repair
181,asth307.pdf,ASTH307,Allocate accommodation to meet customers’ needs,Application process
182,asth308.pdf,ASTH308,Set up and manage housing related agreements,Data entry; Management information systems
183,asth309.pdf,ASTH309,Monitor and respond to possible breaches of housing related agreements,Acting; Cost; Proactive
184,asth310.pdf,ASTH310,Sell property to housing customers,Sales; Cost; Scheme
185,asth311.pdf,ASTH311,Provide housing advice and guidance to customers,Promote; Service provision; Advise customer
186,asth312.pdf,ASTH312,Manage empty properties,Management; Sales strategy; Inspection; Repair
187,asth313.pdf,ASTH313,Provide a housing rent service,Advise customer; Payment method; Prioritise request; Collection
188,asth314.pdf,ASTH314,Manage temporary accommodation,Cost; Prioritise request
189,asth315.pdf,ASTH315,Deal with customers by telephone,Transaction; Listening; Costing; Listen
190,asth316.pdf,ASTH316,Help customers to identify and access development opportunities,Promote; Information sharing; Training; Cost; Initiative
