,Proportion of NOS,representation_factor,0
General practice,0.1030674846625767,-2.8330952380952374,21.0
Nutrition and diabetes management,0.39263803680981596,2.1813224267212,80.0
Public health programmes,0.05398773006134969,53.98773006134969,11.0
Mental health,1.6196319018404908,1.0819184381032,330.0
Social work and caregiving,2.007361963190184,-3.2550183374083135,409.0
Physiotherapy and beauty,1.0404907975460123,3.191689563024578,212.0
Neurological disorders,0.0343558282208589,-4.4242857142857135,7.0
Speech and hearing therapy,0.0687116564417178,-1.4408035714285714,14.0
Dermatology,0.029447852760736196,-6.995416666666666,6.0
Ophthalmology,0.0049079754601227,-21.801249999999996,1.0
Surgical procedures,0.024539877300613498,6.134969325153374,5.0
Prosthodontics and orthodontics,0.0343558282208589,-8.965,7.0
Dental assistance,0.1030674846625767,7.928268050967439,21.0
Patient support,0.0098159509202454,1.2269938650306749,2.0
Endodontics and dental appliances,0.0,,
Logistics administration,0.2748466257668712,-2.9652901785714283,56.0
Supply chain management,0.9276073619631903,-1.0273743386243386,189.0
Procurement,2.5521472392638036,1.7564674736846548,520.0
Shipping and warehouse operations,1.4036809815950921,1.6611609249646062,286.0
Premises security,0.25521472392638034,25.52147239263803,52.0
Legal services,0.6773006134969326,-1.0881431159420287,138.0
Office administration,1.8012269938650307,-2.448886239782016,367.0
Claims administration,2.3263803680981594,3.7461841676298864,474.0
Audit and compliance,2.022085889570552,2.3986783980670845,412.0
Financial asset management,0.5938650306748466,-3.4688016528925614,121.0
Securities trading,0.40736196319018403,-1.4409789156626507,83.0
Insurance and lending,0.11779141104294479,-2.1054166666666667,24.0
Retail management,0.8883435582822086,-1.420621546961326,181.0
Hr management,4.770552147239264,8.785547232484832,972.0
Recruitment,3.2588957055214722,6.570354245002969,664.0
Business management,8.245398773006135,2.8295809104345,1680.0
Employee development,5.433128834355829,28.445700703433655,1107.0
Accounting admin,0.4220858895705521,-5.010828488372095,86.0
Accounting and financial management,0.44171779141104295,-6.5358472222222215,90.0
Payroll and tax accounting,0.1226993865030675,-7.32685,25.0
Accounting software,0.0,,
